Date,SINGAPORE SMALL VALUE Small Cap
2001-01-01,170.971
2001-01-02,167.333
2001-01-03,165.921
2001-01-04,169.745
2001-01-05,171.103
2001-01-08,171.348
2001-01-09,169.344
2001-01-10,168.481
2001-01-11,165.769
2001-01-12,166.648
2001-01-15,165.321
2001-01-16,164.98
2001-01-17,165.446
2001-01-18,165.311
2001-01-19,166.683
2001-01-22,166.213
2001-01-23,166.652
2001-01-24,166.652
2001-01-25,166.798
2001-01-26,168.136
2001-01-29,168.279
2001-01-30,168.439
2001-01-31,172.327
2001-02-01,172.947
2001-02-02,175.97
2001-02-05,175.651
2001-02-06,176.171
2001-02-07,176.02
2001-02-08,178.528
2001-02-09,177.274
2001-02-12,179.083
2001-02-13,179.547
2001-02-14,177.77
2001-02-15,178.063
2001-02-16,178.489
2001-02-19,177.918
2001-02-20,179.212
2001-02-21,180.059
2001-02-22,179.748
2001-02-23,178.558
2001-02-26,178.135
2001-02-27,177.079
2001-02-28,178.33
2001-03-01,177.257
2001-03-02,177.869
2001-03-05,176.916
2001-03-06,177.059
2001-03-07,177.362
2001-03-08,177.22
2001-03-09,177.72
2001-03-12,174.983
2001-03-13,174.048
2001-03-14,172.281
2001-03-15,171.39
2001-03-16,170.554
2001-03-19,169.349
2001-03-20,169.458
2001-03-21,168.238
2001-03-22,166.27
2001-03-23,168.361
2001-03-26,167.77
2001-03-27,166.23
2001-03-28,164.538
2001-03-29,160.06
2001-03-30,161.419
2001-04-02,158.594
2001-04-03,158.918
2001-04-04,157.836
2001-04-05,159.532
2001-04-06,159.674
2001-04-09,156.346
2001-04-10,157.957
2001-04-11,159.807
2001-04-12,158.899
2001-04-13,158.88
2001-04-16,158.223
2001-04-17,156.971
2001-04-18,159.952
2001-04-19,160.574
2001-04-20,159.988
2001-04-23,160.969
2001-04-24,161.603
2001-04-25,161.607
2001-04-26,163.895
2001-04-27,163.921
2001-04-30,165.723
2001-05-01,166.433
2001-05-02,169.025
2001-05-03,166.944
2001-05-04,166.028
2001-05-07,165.815
2001-05-08,165.876
2001-05-09,165.709
2001-05-10,168.073
2001-05-11,169.143
2001-05-14,167.961
2001-05-15,169.044
2001-05-16,166.148
2001-05-17,167.788
2001-05-18,167.279
2001-05-21,168.299
2001-05-22,170.516
2001-05-23,171.47
2001-05-24,172.645
2001-05-25,171.689
2001-05-28,170.224
2001-05-29,169.849
2001-05-30,168.774
2001-05-31,169.758
2001-06-01,169.792
2001-06-04,170.83
2001-06-05,171.509
2001-06-06,172.631
2001-06-07,173.242
2001-06-08,173.135
2001-06-11,171.734
2001-06-12,170.712
2001-06-13,172.971
2001-06-14,173.317
2001-06-15,174.46
2001-06-18,175.316
2001-06-19,174.339
2001-06-20,173.604
2001-06-21,175.253
2001-06-22,178.402
2001-06-25,182.218
2001-06-26,181.867
2001-06-27,181.578
2001-06-28,179.756
2001-06-29,181.953
2001-07-02,179.121
2001-07-03,177.737
2001-07-04,175.999
2001-07-05,175.687
2001-07-06,173.262
2001-07-09,171.454
2001-07-10,172.221
2001-07-11,170.631
2001-07-12,172.497
2001-07-13,171.752
2001-07-16,172.703
2001-07-17,171.417
2001-07-18,169.841
2001-07-19,170.604
2001-07-20,171.807
2001-07-23,171.412
2001-07-24,172.955
2001-07-25,172.917
2001-07-26,174.553
2001-07-27,175.262
2001-07-30,173.878
2001-07-31,174.299
2001-08-01,174.033
2001-08-02,177.03
2001-08-03,176.789
2001-08-06,176.606
2001-08-07,176.814
2001-08-08,176.598
2001-08-09,176.607
2001-08-10,177.648
2001-08-13,176.842
2001-08-14,177.602
2001-08-15,179.227
2001-08-16,177.427
2001-08-17,176.74
2001-08-20,175.362
2001-08-21,183.134
2001-08-22,183.329
2001-08-23,183.823
2001-08-24,183.603
2001-08-27,184.586
2001-08-28,183.289
2001-08-29,183.132
