Date,PORTUGAL SMALL GROWTH Small Cap
2001-01-01,267.983
2001-01-02,265.523
2001-01-03,262.353
2001-01-04,262.644
2001-01-05,262.124
2001-01-08,260.809
2001-01-09,260.107
2001-01-10,261.019
2001-01-11,268.394
2001-01-12,273.989
2001-01-15,277.0
2001-01-16,273.455
2001-01-17,273.724
2001-01-18,278.033
2001-01-19,276.235
2001-01-22,273.306
2001-01-23,272.565
2001-01-24,269.139
2001-01-25,268.007
2001-01-26,267.288
2001-01-29,265.519
2001-01-30,267.862
2001-01-31,270.627
2001-02-01,272.415
2001-02-02,270.127
2001-02-05,269.863
2001-02-06,268.596
2001-02-07,267.881
2001-02-08,265.106
2001-02-09,265.601
2001-02-12,267.346
2001-02-13,266.624
2001-02-14,263.15
2001-02-15,260.832
2001-02-16,263.256
2001-02-19,262.38
2001-02-20,258.354
2001-02-21,258.385
2001-02-22,254.813
2001-02-23,255.667
2001-02-26,257.352
2001-02-27,259.898
2001-02-28,258.369
2001-03-01,260.072
2001-03-02,262.057
2001-03-05,262.944
2001-03-06,265.533
2001-03-07,264.339
2001-03-08,263.929
2001-03-09,263.024
2001-03-12,259.064
2001-03-13,256.313
2001-03-14,252.785
2001-03-15,253.369
2001-03-16,246.959
2001-03-19,244.474
2001-03-20,244.061
2001-03-21,239.356
2001-03-22,230.392
2001-03-23,235.445
2001-03-26,235.459
2001-03-27,233.999
2001-03-28,232.411
2001-03-29,230.867
2001-03-30,230.519
2001-04-02,227.246
2001-04-03,222.831
2001-04-04,229.562
2001-04-05,229.314
2001-04-06,230.34
2001-04-09,230.713
2001-04-10,227.339
2001-04-11,227.102
2001-04-12,227.862
2001-04-13,227.862
2001-04-16,225.528
2001-04-17,224.836
2001-04-18,224.66
2001-04-19,228.71
2001-04-20,230.094
2001-04-23,228.965
2001-04-24,228.021
2001-04-25,228.863
2001-04-26,230.286
2001-04-27,229.351
2001-04-30,230.302
2001-05-01,231.522
2001-05-02,232.632
2001-05-03,231.724
2001-05-04,233.782
2001-05-07,232.504
2001-05-08,231.474
2001-05-09,231.343
2001-05-10,232.073
2001-05-11,229.745
2001-05-14,229.917
2001-05-15,231.876
2001-05-16,233.139
2001-05-17,231.506
2001-05-18,231.014
2001-05-21,232.74
2001-05-22,229.047
2001-05-23,223.455
2001-05-24,222.545
2001-05-25,222.64
2001-05-28,222.535
2001-05-29,220.494
2001-05-30,222.882
2001-05-31,219.796
2001-06-01,220.303
2001-06-04,220.135
2001-06-05,220.412
2001-06-06,220.067
2001-06-07,221.459
2001-06-08,220.583
2001-06-11,217.404
2001-06-12,217.797
2001-06-13,220.208
2001-06-14,222.096
2001-06-15,218.695
2001-06-18,215.274
2001-06-19,210.111
2001-06-20,205.678
2001-06-21,205.172
2001-06-22,206.789
2001-06-25,209.326
2001-06-26,203.813
2001-06-27,198.922
2001-06-28,197.376
2001-06-29,195.407
2001-07-02,191.595
2001-07-03,192.643
2001-07-04,189.736
2001-07-05,184.189
2001-07-06,179.143
2001-07-09,180.96
2001-07-10,182.898
2001-07-11,183.365
2001-07-12,185.54
2001-07-13,185.888
2001-07-16,184.673
2001-07-17,183.075
2001-07-18,187.259
2001-07-19,187.78
2001-07-20,187.082
2001-07-23,187.579
2001-07-24,190.57
2001-07-25,191.534
2001-07-26,193.432
2001-07-27,195.134
2001-07-30,197.255
2001-07-31,195.854
2001-08-01,196.398
2001-08-02,198.713
2001-08-03,198.198
2001-08-06,196.333
2001-08-07,194.962
2001-08-08,192.475
2001-08-09,194.241
2001-08-10,195.388
2001-08-13,196.426
2001-08-14,198.936
2001-08-15,201.973
2001-08-16,201.307
2001-08-17,199.819
2001-08-20,197.514
2001-08-21,199.176
2001-08-22,199.43
2001-08-23,197.799
2001-08-24,198.745
2001-08-27,198.383
2001-08-28,195.365
2001-08-29,195.611
2001-08-30,194.775
2001-08-31,193.613
2001-09-03,190.92
2001-09-04,187.12
2001-09-05,185.686
2001-09-06,184.846
2001-09-07,184.516
2001-09-10,180.795
2001-09-11,177.298
2001-09-12,172.913
2001-09-13,172.372
2001-09-14,168.894
2001-09-17,164.663
2001-09-18,164.628
2001-09-19,167.312
2001-09-20,167.095
2001-09-21,162.638
2001-09-24,166.862
2001-09-25,174.609
2001-09-26,174.637
2001-09-27,173.344
2001-09-28,172.173
2001-10-01,171.659
2001-10-02,172.995
2001-10-03,173.119
2001-10-04,173.29
2001-10-05,174.343
2001-10-08,172.488
2001-10-09,173.608
2001-10-10,175.409
2001-10-11,173.747
2001-10-12,176.099
2001-10-15,177.614
2001-10-16,180.162
2001-10-17,181.92
2001-10-18,186.351
2001-10-19,185.733
2001-10-22,190.425
2001-10-23,191.947
2001-10-24,193.001
2001-10-25,188.581
2001-10-26,189.191
2001-10-29,191.284
2001-10-30,190.959
2001-10-31,192.613
2001-11-01,193.842
2001-11-02,194.008
2001-11-05,195.612
2001-11-06,194.651
2001-11-07,196.119
2001-11-08,193.079
2001-11-09,193.155
2001-11-12,194.833
2001-11-13,193.427
2001-11-14,192.884
2001-11-15,192.018
2001-11-16,193.707
2001-11-19,192.604
2001-11-20,193.405
2001-11-21,189.339
2001-11-22,190.86
2001-11-23,190.583
2001-11-26,194.012
2001-11-27,195.569
2001-11-28,193.71
2001-11-29,192.588
2001-11-30,196.977
2001-12-03,195.175
2001-12-04,195.551
2001-12-05,196.353
2001-12-06,197.704
2001-12-07,199.87
2001-12-10,199.162
2001-12-11,202.054
2001-12-12,202.265
2001-12-13,203.464
2001-12-14,205.222
2001-12-17,205.0
2001-12-18,204.213
2001-12-19,202.429
2001-12-20,200.291
2001-12-21,198.975
2001-12-24,196.989
2001-12-25,196.989
2001-12-26,197.157
2001-12-27,200.38
2001-12-28,202.715
2001-12-31,204.692
2002-01-01,204.692
2002-01-02,205.398
2002-01-03,206.081
2002-01-04,204.441
2002-01-07,203.095
2002-01-08,202.751
2002-01-09,201.391
2002-01-10,202.66
2002-01-11,201.287
2002-01-14,201.656
2002-01-15,202.628
2002-01-16,199.855
2002-01-17,199.609
2002-01-18,197.258
2002-01-21,197.895
2002-01-22,198.105
2002-01-23,197.502
2002-01-24,195.851
2002-01-25,189.911
2002-01-28,189.784
2002-01-29,188.445
2002-01-30,190.294
2002-01-31,190.266
2002-02-01,189.277
2002-02-04,189.191
2002-02-05,188.453
2002-02-06,187.666
2002-02-07,187.389
2002-02-08,187.952
2002-02-11,188.886
2002-02-12,188.617
2002-02-13,187.417
2002-02-14,186.388
2002-02-15,187.13
2002-02-18,186.171
2002-02-19,186.96
2002-02-20,187.424
2002-02-21,187.399
2002-02-22,187.972
2002-02-25,187.082
2002-02-26,186.99
2002-02-27,186.937
2002-02-28,188.429
2002-03-01,187.821
2002-03-04,191.184
2002-03-05,191.909
2002-03-06,193.66
2002-03-07,195.629
2002-03-08,194.905
2002-03-11,195.06
2002-03-12,192.341
2002-03-13,194.995
2002-03-14,197.574
2002-03-15,198.999
2002-03-18,198.486
2002-03-19,199.404
2002-03-20,199.268
2002-03-21,197.855
2002-03-22,199.538
2002-03-25,199.213
2002-03-26,198.762
2002-03-27,200.259
2002-03-28,200.651
2002-03-29,200.651
2002-04-01,202.296
2002-04-02,201.236
2002-04-03,200.106
2002-04-04,200.726
2002-04-05,199.968
2002-04-08,199.035
2002-04-09,200.257
2002-04-10,200.751
2002-04-11,202.958
2002-04-12,201.996
2002-04-15,201.79
2002-04-16,202.474
2002-04-17,203.853
2002-04-18,204.764
2002-04-19,204.76
2002-04-22,206.69
2002-04-23,206.744
2002-04-24,206.479
2002-04-25,208.007
2002-04-26,208.209
2002-04-29,209.917
2002-04-30,210.839
2002-05-01,212.033
2002-05-02,204.528
2002-05-03,204.374
2002-05-06,203.311
2002-05-07,200.19
2002-05-08,202.952
2002-05-09,204.074
2002-05-10,205.246
2002-05-13,204.168
2002-05-14,202.747
2002-05-15,203.342
2002-05-16,203.107
2002-05-17,204.315
2002-05-20,203.662
2002-05-21,202.537
2002-05-22,204.507
2002-05-23,208.282
2002-05-24,208.69
2002-05-27,206.625
2002-05-28,209.246
2002-05-29,208.978
2002-05-30,210.266
2002-05-31,207.558
2002-06-03,210.681
2002-06-04,210.444
2002-06-05,211.682
2002-06-06,212.797
2002-06-07,210.267
2002-06-10,210.078
2002-06-11,209.69
2002-06-12,208.712
2002-06-13,207.456
2002-06-14,206.802
2002-06-17,209.104
2002-06-18,210.674
2002-06-19,212.983
2002-06-20,213.143
2002-06-21,211.298
2002-06-24,209.326
2002-06-25,210.226
2002-06-26,211.936
2002-06-27,213.776
2002-06-28,217.314
2002-07-01,214.039
2002-07-02,209.982
2002-07-03,206.404
2002-07-04,208.34
2002-07-05,210.568
2002-07-08,214.73
2002-07-09,215.152
2002-07-10,213.497
2002-07-11,213.79
2002-07-12,213.714
2002-07-15,215.572
2002-07-16,218.182
2002-07-17,220.088
2002-07-18,220.671
2002-07-19,218.967
2002-07-22,215.711
2002-07-23,210.934
2002-07-24,206.197
2002-07-25,211.712
2002-07-26,207.749
2002-07-29,208.728
2002-07-30,207.792
2002-07-31,205.872
2002-08-01,205.747
2002-08-02,204.917
2002-08-05,204.504
2002-08-06,196.559
2002-08-07,195.269
2002-08-08,196.647
2002-08-09,200.9
2002-08-12,201.494
2002-08-13,203.672
2002-08-14,205.354
2002-08-15,203.825
2002-08-16,201.611
2002-08-19,201.267
2002-08-20,202.364
2002-08-21,204.802
2002-08-22,206.231
2002-08-23,208.579
2002-08-26,207.771
2002-08-27,210.488
2002-08-28,208.23
2002-08-29,207.113
2002-08-30,206.905
2002-09-02,204.791
2002-09-03,205.722
2002-09-04,205.234
2002-09-05,205.286
2002-09-06,206.363
2002-09-09,207.06
2002-09-10,205.828
2002-09-11,205.863
2002-09-12,206.1
2002-09-13,204.444
2002-09-16,203.499
2002-09-17,202.956
2002-09-18,197.19
2002-09-19,200.02
2002-09-20,200.025
2002-09-23,198.323
2002-09-24,195.292
2002-09-25,194.897
2002-09-26,197.767
2002-09-27,196.342
2002-09-30,190.312
2002-10-01,189.794
2002-10-02,190.562
2002-10-03,190.618
2002-10-04,189.689
2002-10-07,189.7
2002-10-08,188.835
2002-10-09,186.928
2002-10-10,184.997
2002-10-11,185.522
2002-10-14,182.547
2002-10-15,184.931
2002-10-16,185.007
2002-10-17,187.553
2002-10-18,188.161
2002-10-21,187.958
2002-10-22,188.926
2002-10-23,186.998
2002-10-24,185.97
2002-10-25,186.064
2002-10-28,189.121
