Date,PORTUGAL SMALL GROWTH Small Cap
1994-05-31,127.455
1994-06-30,126.027
1994-07-29,127.712
1994-08-31,141.684
1994-09-30,143.512
1994-10-31,152.895
1994-11-30,153.835
1994-12-30,153.027
1995-01-31,145.283
1995-02-28,154.246
1995-03-31,164.393
1995-04-28,159.902
1995-05-31,152.425
1995-06-30,154.629
1995-07-31,150.452
1995-08-31,137.525
1995-09-29,140.728
1995-10-31,142.243
1995-11-30,133.133
1995-12-29,138.284
1996-01-31,141.408
1996-02-29,141.141
1996-03-29,148.274
1996-04-30,152.799
1996-05-31,149.094
1996-06-28,157.664
1996-07-31,156.761
1996-08-30,165.292
1996-09-30,163.939
1996-10-31,166.34
1996-11-29,169.16
1996-12-31,178.605
1997-01-31,185.475
1997-02-28,186.261
1997-03-31,186.887
1997-04-30,181.288
1997-05-30,187.958
1997-06-30,195.714
1997-07-31,212.057
1997-08-29,202.101
1997-09-30,220.717
1997-10-31,217.749
1997-11-28,206.112
1997-12-31,208.088
1998-01-30,232.796
1998-02-27,267.596
1998-03-31,303.855
1998-04-30,339.799
1998-05-29,329.481
1998-06-30,299.097
1998-07-31,303.946
1998-08-31,272.683
1998-09-30,232.552
1998-10-30,264.102
1998-11-30,276.708
1998-12-31,274.021
1999-01-29,268.525
1999-02-26,251.931
1999-03-31,229.276
1999-04-30,214.23
1999-05-31,210.352
1999-06-30,230.607
1999-07-30,236.736
1999-08-31,244.415
1999-09-30,257.394
1999-10-29,260.093
1999-11-30,267.51
1999-12-31,278.026
2000-01-31,293.278
2000-02-29,334.403
2000-03-31,353.249
2000-04-28,319.406
2000-05-31,328.815
2000-06-30,338.59
2000-07-31,321.815
2000-08-31,302.559
2000-09-29,298.499
2000-10-31,274.318
2000-11-30,263.122
2000-12-29,267.983
2001-01-31,270.627
2001-02-28,258.369
2001-03-30,230.519
2001-04-30,230.302
2001-05-31,219.796
2001-06-29,195.407
2001-07-31,195.854
2001-08-31,193.613
2001-09-28,172.173
2001-10-31,192.613
2001-11-30,196.977
2001-12-31,204.692
2002-01-31,190.266
2002-02-28,188.429
2002-03-29,200.651
2002-04-30,210.839
2002-05-31,207.558
2002-06-28,217.314
2002-07-31,205.872
2002-08-30,206.905
2002-09-30,190.312
2002-10-31,194.503
2002-11-29,213.853
2002-12-31,213.521
2003-01-31,230.318
2003-02-28,226.233
2003-03-31,229.677
2003-04-30,248.415
2003-05-30,268.54
2003-06-30,278.66
2003-07-31,258.016
2003-08-29,257.693
2003-09-30,265.406
2003-10-31,293.648
2003-11-28,330.227
2003-12-31,362.183
2004-01-30,393.231
2004-02-27,430.877
2004-03-31,411.195
2004-04-30,408.536
2004-05-31,395.625
2004-06-30,403.251
2004-07-30,400.442
2004-08-31,396.935
2004-09-30,416.177
2004-10-29,436.022
2004-11-30,459.944
2004-12-31,481.013
2005-01-31,490.68
2005-02-28,502.074
2005-03-31,487.627
2005-04-29,486.367
2005-05-31,468.057
2005-06-30,462.515
2005-07-29,462.548
2005-08-31,477.97
2005-09-30,494.86
2005-10-31,479.271
2005-11-30,497.604
2005-12-30,525.659
2006-01-31,545.805
2006-02-28,576.124
2006-03-31,608.368
2006-04-28,631.076
2006-05-31,607.09
2006-06-30,603.357
2006-07-31,608.803
2006-08-31,650.803
2006-09-29,656.216
2006-10-31,686.367
2006-11-30,716.081
2006-12-29,729.432
2007-01-31,801.332
2007-02-28,817.438
2007-03-30,837.681
2007-04-30,945.825
2007-05-31,1000.0
2007-06-29,1022.369
2007-07-31,1015.129
2007-08-31,927.051
2007-09-28,885.26
2007-10-31,1009.381
2007-11-30,1010.031
2007-12-31,947.296
2008-01-31,828.536
2008-02-29,854.697
2008-03-31,904.138
2008-04-30,929.192
2008-05-30,870.196
2008-06-30,777.128
2008-07-31,784.403
2008-08-29,784.663
2008-09-30,649.965
2008-10-31,522.253
2008-11-28,487.031
2008-12-31,570.172
2009-01-30,537.229
2009-02-27,526.27
2009-03-31,575.05
2009-04-30,647.177
2009-05-29,678.262
2009-06-30,663.568
2009-07-31,669.865
2009-08-31,748.734
2009-09-30,860.327
2009-10-30,841.379
2009-11-30,840.983
2009-12-31,824.11
2010-01-29,752.849
2010-02-26,683.291
2010-03-31,741.114
2010-04-30,652.831
2010-05-31,544.045
2010-06-30,573.205
2010-07-30,610.953
2010-08-31,551.578
2010-09-30,575.323
2010-10-29,637.225
2010-11-30,475.614
2010-12-31,530.922
2011-01-31,515.489
2011-02-28,524.824
2011-03-31,514.461
2011-04-29,528.879
2011-05-31,485.435
2011-06-30,460.531
2011-07-29,387.991
2011-08-31,337.777
2011-09-30,292.351
2011-10-31,297.654
2011-11-30,281.349
2011-12-30,283.291
2012-01-31,271.749
2012-02-29,279.744
2012-03-30,301.953
2012-04-30,295.867
2012-05-31,256.175
2012-06-29,280.369
2012-07-31,294.215
2012-08-31,320.318
2012-09-28,369.899
2012-10-31,372.299
2012-11-30,400.075
2012-12-31,442.621
2013-01-31,529.754
2013-02-28,504.417
2013-03-29,520.693
2013-04-30,547.702
2013-05-31,527.137
2013-06-28,520.355
2013-07-31,551.462
2013-08-30,528.99
2013-09-30,563.336
2013-10-31,698.191
2013-11-29,759.729
2013-12-31,840.975
2014-01-31,810.697
2014-02-28,963.91
2014-03-31,1014.809
2014-04-30,957.414
2014-05-30,874.911
2014-06-30,836.553
2014-07-31,933.665
2014-08-29,941.76
2014-09-30,974.468
2014-10-31,913.839
2014-11-28,940.242
2014-12-31,703.039
2015-01-30,638.506
2015-02-27,841.498
2015-03-31,915.245
2015-04-30,955.107
2015-05-29,914.624
2015-06-30,876.984
2015-07-31,933.793
2015-08-31,873.63
2015-09-30,890.137
2015-10-30,954.946
2015-11-30,937.065
2015-12-31,953.839
2016-01-29,877.547
2016-02-29,854.392
2016-03-31,857.176
2016-04-29,889.084
2016-05-31,940.702
2016-06-30,694.365
2016-07-29,775.263
2016-08-31,756.225
2016-09-30,725.274
2016-10-31,716.515
2016-11-30,642.2
2016-12-30,639.409
2017-01-31,583.51
2017-02-28,600.259
2017-03-31,677.029
2017-04-28,715.848
2017-05-31,816.558
2017-06-30,835.765
2017-07-31,881.656
2017-08-31,843.273
2017-09-29,886.769
2017-10-31,896.893
2017-11-30,949.626
2017-12-29,960.467
2018-01-31,1108.862
2018-02-28,1004.532
2018-03-30,954.402
2018-04-30,967.593
2018-05-31,880.188
2018-06-29,895.187
2018-07-31,933.549
2018-08-31,896.036
2018-09-28,914.747
2018-10-31,824.327
2018-11-30,862.29
2018-12-31,821.249
2019-01-31,884.306
2019-02-28,862.23
2019-03-29,860.273
2019-04-30,908.97
2019-05-31,898.637
2019-06-28,947.009
2019-07-31,854.029
2019-08-30,773.18
2019-09-30,754.677
2019-10-31,806.904
2019-11-29,806.063
2019-12-31,857.147
2020-01-31,810.281
2020-02-28,739.316
2020-03-31,613.199
2020-04-30,712.031
2020-05-29,693.047
2020-06-30,765.048
2020-07-31,803.523
2020-08-31,828.306
2020-09-30,847.691
2020-10-30,790.727
2020-11-30,840.009
2020-12-31,908.486
2021-01-29,885.55
2021-02-26,894.692
2021-03-31,900.616
2021-04-30,961.134
2021-05-31,1051.273
2021-06-30,1085.534
2021-07-30,1040.936
2021-08-31,1125.078
2021-09-30,1122.302
2021-10-29,1143.067
2021-11-30,1004.773
2021-12-31,1064.745
2022-01-31,966.733
2022-02-28,935.361
2022-03-31,966.227
2022-04-29,888.834
2022-05-31,920.616
2022-06-30,844.527
2022-07-29,838.488
2022-08-31,843.539
2022-09-30,718.685
2022-10-31,761.896
2022-11-30,797.165
2022-12-30,806.558
2023-01-31,862.434
2023-02-28,858.587
2023-03-31,849.991
2023-04-28,860.587
2023-05-31,795.471
2023-06-30,824.538
2023-07-31,868.691
2023-08-31,844.622
2023-09-29,795.455
2023-10-31,830.617
2023-11-30,881.388
2023-12-29,945.523
2024-01-31,1001.759
2024-02-29,1010.473
2024-03-29,1014.823
2024-04-30,989.594
2024-05-31,1021.388
2024-06-28,966.18
2024-07-31,982.028
2024-08-30,1005.1
2024-09-30,987.833
2024-10-31,932.058
2024-11-29,924.986
2024-12-31,997.185
2025-01-31,1058.052
2025-02-28,1144.358
2025-03-31,1253.001
2025-04-30,1333.115
2025-05-30,1406.427
2025-06-30,1452.536
2025-07-31,1521.957
