Date,CANADA LARGE VALUE Large Cap
2001-01-01,332.899
2001-01-02,323.603
2001-01-03,329.255
2001-01-04,328.783
2001-01-05,325.481
2001-01-08,325.668
2001-01-09,322.224
2001-01-10,322.969
2001-01-11,324.984
2001-01-12,321.882
2001-01-15,323.258
2001-01-16,325.251
2001-01-17,321.007
2001-01-18,316.427
2001-01-19,318.282
2001-01-22,322.957
2001-01-23,327.575
2001-01-24,327.023
2001-01-25,329.694
2001-01-26,327.629
2001-01-29,330.654
2001-01-30,333.736
2001-01-31,333.605
2001-02-01,335.652
2001-02-02,339.968
2001-02-05,341.458
2001-02-06,340.154
2001-02-07,337.536
2001-02-08,335.372
2001-02-09,334.749
2001-02-12,333.425
2001-02-13,332.084
2001-02-14,329.594
2001-02-15,327.886
2001-02-16,326.1
2001-02-19,325.99
2001-02-20,321.817
2001-02-21,313.471
2001-02-22,314.833
2001-02-23,310.87
2001-02-26,319.151
2001-02-27,318.758
2001-02-28,318.302
2001-03-01,318.683
2001-03-02,315.058
2001-03-05,320.652
2001-03-06,320.018
2001-03-07,320.97
2001-03-08,320.171
2001-03-09,315.302
2001-03-12,308.208
2001-03-13,313.33
2001-03-14,308.074
2001-03-15,307.502
2001-03-16,299.566
2001-03-19,304.76
2001-03-20,301.319
2001-03-21,295.491
2001-03-22,290.427
2001-03-23,293.474
2001-03-26,300.812
2001-03-27,302.351
2001-03-28,298.336
2001-03-29,294.955
2001-03-30,300.253
2001-04-02,302.402
2001-04-03,297.087
2001-04-04,297.634
2001-04-05,300.316
2001-04-06,299.029
2001-04-09,303.183
2001-04-10,310.896
2001-04-11,306.148
2001-04-12,303.956
2001-04-13,303.956
2001-04-16,303.854
2001-04-17,305.556
2001-04-18,309.703
2001-04-19,313.184
2001-04-20,314.816
2001-04-23,311.094
2001-04-24,307.76
2001-04-25,310.727
2001-04-26,313.696
2001-04-27,314.8
2001-04-30,310.735
2001-05-01,311.746
2001-05-02,312.267
2001-05-03,311.257
2001-05-04,312.344
2001-05-07,312.723
2001-05-08,312.221
2001-05-09,315.705
2001-05-10,320.492
2001-05-11,315.916
2001-05-14,316.441
2001-05-15,318.737
2001-05-16,323.588
2001-05-17,326.919
2001-05-18,327.933
2001-05-21,328.306
2001-05-22,324.998
2001-05-23,324.462
2001-05-24,326.039
2001-05-25,324.843
2001-05-28,325.181
2001-05-29,323.879
2001-05-30,321.511
2001-05-31,323.458
2001-06-01,330.196
2001-06-04,333.589
2001-06-05,331.165
2001-06-06,330.657
2001-06-07,331.37
2001-06-08,329.973
2001-06-11,329.277
2001-06-12,327.09
2001-06-13,325.814
2001-06-14,321.085
2001-06-15,314.079
2001-06-18,306.709
2001-06-19,307.089
2001-06-20,306.721
2001-06-21,310.872
2001-06-22,313.359
2001-06-25,313.77
2001-06-26,308.915
2001-06-27,305.168
2001-06-28,306.629
2001-06-29,313.506
2001-07-02,313.982
2001-07-03,316.518
2001-07-04,315.151
2001-07-05,313.004
2001-07-06,307.454
2001-07-09,310.402
2001-07-10,307.646
2001-07-11,306.224
2001-07-12,310.987
2001-07-13,313.044
2001-07-16,305.491
2001-07-17,308.225
2001-07-18,306.95
2001-07-19,306.566
2001-07-20,306.063
2001-07-23,304.865
2001-07-24,304.602
2001-07-25,305.99
2001-07-26,305.32
2001-07-27,308.476
2001-07-30,307.067
2001-07-31,308.925
2001-08-01,308.995
2001-08-02,307.616
2001-08-03,307.906
2001-08-06,309.579
2001-08-07,312.075
2001-08-08,307.896
2001-08-09,309.879
2001-08-10,306.987
2001-08-13,307.553
2001-08-14,308.087
2001-08-15,305.615
2001-08-16,308.185
2001-08-17,303.544
2001-08-20,305.299
2001-08-21,301.856
2001-08-22,304.809
2001-08-23,305.223
2001-08-24,310.297
2001-08-27,312.411
2001-08-28,309.465
2001-08-29,303.368
2001-08-30,300.994
2001-08-31,298.738
2001-09-03,298.45
2001-09-04,301.611
2001-09-05,299.256
2001-09-06,300.018
2001-09-07,295.589
2001-09-10,296.114
2001-09-11,284.713
2001-09-12,287.088
2001-09-13,290.495
2001-09-14,280.874
2001-09-17,280.484
2001-09-18,277.797
2001-09-19,271.928
2001-09-20,265.659
2001-09-21,263.346
2001-09-24,271.647
2001-09-25,272.533
2001-09-26,271.92
2001-09-27,271.892
2001-09-28,277.037
2001-10-01,276.642
2001-10-02,280.223
2001-10-03,283.301
2001-10-04,279.913
2001-10-05,280.044
2001-10-08,280.43
2001-10-09,278.537
2001-10-10,280.409
2001-10-11,282.799
2001-10-12,281.607
2001-10-15,280.982
2001-10-16,282.402
2001-10-17,278.768
2001-10-18,274.782
2001-10-19,275.387
2001-10-22,274.083
2001-10-23,275.364
2001-10-24,273.753
2001-10-25,275.072
2001-10-26,278.189
2001-10-29,272.272
2001-10-30,270.41
2001-10-31,271.611
2001-11-01,275.593
2001-11-02,278.036
2001-11-05,280.951
2001-11-06,284.854
2001-11-07,283.851
2001-11-08,282.157
2001-11-09,285.195
2001-11-12,286.154
2001-11-13,291.847
2001-11-14,293.694
2001-11-15,291.964
2001-11-16,293.15
2001-11-19,297.995
2001-11-20,293.968
2001-11-21,289.624
2001-11-22,291.456
2001-11-23,294.295
2001-11-26,294.465
2001-11-27,295.66
2001-11-28,292.629
2001-11-29,295.314
2001-11-30,296.808
2001-12-03,292.904
2001-12-04,295.184
2001-12-05,302.265
2001-12-06,300.655
2001-12-07,301.796
2001-12-10,299.264
2001-12-11,298.001
2001-12-12,303.236
2001-12-13,300.749
2001-12-14,299.622
2001-12-17,305.744
2001-12-18,305.902
2001-12-19,302.66
2001-12-20,299.061
2001-12-21,298.794
2001-12-24,296.005
2001-12-25,296.005
2001-12-26,295.931
2001-12-27,300.219
2001-12-28,300.851
2001-12-31,300.304
2002-01-01,300.304
2002-01-02,298.207
2002-01-03,303.07
2002-01-04,305.173
2002-01-07,307.431
2002-01-08,303.263
2002-01-09,302.428
2002-01-10,300.048
2002-01-11,300.487
2002-01-14,297.039
2002-01-15,299.132
2002-01-16,296.65
2002-01-17,295.251
2002-01-18,293.154
2002-01-21,292.923
2002-01-22,294.937
2002-01-23,297.05
2002-01-24,298.802
2002-01-25,297.912
2002-01-28,297.261
2002-01-29,298.518
2002-01-30,297.827
2002-01-31,302.375
2002-02-01,302.303
2002-02-04,297.453
2002-02-05,293.468
2002-02-06,289.571
2002-02-07,290.247
2002-02-08,293.138
2002-02-11,297.147
2002-02-12,294.15
2002-02-13,293.671
2002-02-14,292.375
2002-02-15,291.502
2002-02-18,294.256
2002-02-19,291.606
2002-02-20,290.724
2002-02-21,289.431
2002-02-22,290.151
2002-02-25,293.508
2002-02-26,294.136
2002-02-27,296.775
2002-02-28,298.972
2002-03-01,304.208
2002-03-04,310.904
2002-03-05,308.458
2002-03-06,313.443
2002-03-07,314.187
2002-03-08,309.526
2002-03-11,309.353
2002-03-12,307.576
2002-03-13,307.936
2002-03-14,305.931
2002-03-15,308.704
2002-03-18,309.246
2002-03-19,311.527
2002-03-20,310.103
2002-03-21,306.697
2002-03-22,307.074
2002-03-25,301.672
2002-03-26,301.006
2002-03-27,302.83
2002-03-28,303.707
2002-03-29,303.707
2002-04-01,303.145
2002-04-02,304.206
2002-04-03,303.863
2002-04-04,301.361
2002-04-05,303.547
2002-04-08,299.769
2002-04-09,299.949
2002-04-10,304.144
2002-04-11,299.967
2002-04-12,302.51
2002-04-15,303.182
2002-04-16,306.971
2002-04-17,308.522
2002-04-18,306.999
2002-04-19,311.959
2002-04-22,308.287
2002-04-23,303.254
2002-04-24,305.737
2002-04-25,305.477
2002-04-26,303.529
2002-04-29,302.106
2002-04-30,305.437
2002-05-01,307.329
2002-05-02,307.481
2002-05-03,304.206
2002-05-06,299.166
2002-05-07,298.717
2002-05-08,303.787
2002-05-09,301.438
2002-05-10,302.721
2002-05-13,304.51
2002-05-14,307.126
2002-05-15,307.133
2002-05-16,308.345
2002-05-17,308.683
2002-05-20,309.033
2002-05-21,308.596
2002-05-22,306.137
2002-05-23,310.154
2002-05-24,308.901
2002-05-27,308.731
2002-05-28,310.0
2002-05-29,306.889
2002-05-30,307.517
2002-05-31,313.52
2002-06-03,309.834
2002-06-04,307.942
2002-06-05,304.924
2002-06-06,303.391
2002-06-07,303.842
2002-06-10,303.965
2002-06-11,299.14
2002-06-12,298.109
2002-06-13,294.183
2002-06-14,289.674
2002-06-17,295.353
2002-06-18,294.313
2002-06-19,292.336
2002-06-20,292.284
2002-06-21,289.052
2002-06-24,288.326
2002-06-25,288.306
2002-06-26,284.5
2002-06-27,291.396
2002-06-28,293.265
2002-07-01,293.748
2002-07-02,286.735
2002-07-03,286.873
2002-07-04,287.187
2002-07-05,292.265
2002-07-08,292.704
2002-07-09,290.323
2002-07-10,283.29
2002-07-11,280.928
2002-07-12,277.263
2002-07-15,271.785
2002-07-16,272.791
2002-07-17,272.218
2002-07-18,272.697
2002-07-19,264.247
2002-07-22,254.732
2002-07-23,243.852
2002-07-24,253.476
2002-07-25,250.92
2002-07-26,251.632
2002-07-29,260.294
2002-07-30,260.777
2002-07-31,264.577
2002-08-01,262.775
2002-08-02,261.449
2002-08-05,260.507
