Date,CANADA LARGE VALUE Large Cap
2017-11-30,1298.199
2017-12-29,1343.486
2018-01-31,1360.665
2018-02-28,1250.505
2018-03-30,1247.651
2018-04-30,1272.081
2018-05-31,1295.921
2018-06-29,1300.447
2018-07-31,1328.045
2018-08-31,1319.523
2018-09-28,1322.088
2018-10-31,1228.326
2018-11-30,1236.255
2018-12-31,1129.19
2019-01-31,1281.777
2019-02-28,1316.135
2019-03-29,1287.112
2019-04-30,1342.07
2019-05-31,1268.34
2019-06-28,1343.9
2019-07-31,1334.715
2019-08-30,1303.285
2019-09-30,1370.883
2019-10-31,1379.212
2019-11-29,1401.285
2019-12-31,1438.634
2020-01-31,1395.777
2020-02-28,1285.496
2020-03-31,957.055
2020-04-30,1011.481
2020-05-29,1027.82
2020-06-30,1047.388
2020-07-31,1076.356
2020-08-31,1163.139
2020-09-30,1077.169
2020-10-30,1060.574
2020-11-30,1260.688
2020-12-31,1295.515
2021-01-29,1308.01
2021-02-26,1403.663
2021-03-31,1514.686
2021-04-30,1589.972
2021-05-31,1685.244
2021-06-30,1664.066
2021-07-30,1625.995
2021-08-31,1625.345
2021-09-30,1631.167
2021-10-29,1758.217
2021-11-30,1655.959
2021-12-31,1771.35
2022-01-31,1883.513
2022-02-28,1911.338
2022-03-31,1983.38
2022-04-29,1886.984
2022-05-31,1967.675
2022-06-30,1748.81
2022-07-29,1807.9
2022-08-31,1716.879
2022-09-30,1561.278
2022-10-31,1662.272
2022-11-30,1751.1
2022-12-30,1668.265
2023-01-31,1836.246
2023-02-28,1747.397
2023-03-31,1703.954
2023-04-28,1757.114
2023-05-31,1643.419
2023-06-30,1743.586
2023-07-31,1813.604
2023-08-31,1727.373
2023-09-29,1695.292
2023-10-31,1600.937
2023-11-30,1744.785
2023-12-29,1895.549
2024-01-31,1849.155
2024-02-29,1845.242
2024-03-29,1940.191
2024-04-30,1870.57
2024-05-31,1959.494
2024-06-28,1894.808
2024-07-31,2010.157
2024-08-30,2121.567
2024-09-30,2212.754
2024-10-31,2154.33
2024-11-29,2276.948
2024-12-31,2167.98
2025-01-31,2207.29
2025-02-28,2211.552
2025-03-31,2169.438
2025-04-30,2264.141
2025-05-30,2392.118
2025-06-30,2467.441
2025-07-31,2493.984
2025-08-29,2636.51
2025-09-30,2753.018
