Date,CANADA LARGE VALUE Large Cap
1994-05-31,113.065
1994-06-30,106.226
1994-07-29,110.437
1994-08-31,118.638
1994-09-30,120.281
1994-10-31,120.445
1994-11-30,116.132
1994-12-30,116.456
1995-01-31,111.259
1995-02-28,116.93
1995-03-31,119.322
1995-04-28,124.126
1995-05-31,128.904
1995-06-30,130.147
1995-07-31,132.473
1995-08-31,134.366
1995-09-29,134.496
1995-10-31,135.118
1995-11-30,138.432
1995-12-29,139.708
1996-01-31,144.641
1996-02-29,140.975
1996-03-29,144.261
1996-04-30,150.225
1996-05-31,152.787
1996-06-28,152.144
1996-07-31,151.713
1996-08-30,157.037
1996-09-30,165.185
1996-10-31,179.991
1996-11-29,196.574
1996-12-31,189.541
1997-01-31,198.399
1997-02-28,200.961
1997-03-31,192.631
1997-04-30,197.096
1997-05-30,212.176
1997-06-30,217.415
1997-07-31,230.559
1997-08-29,217.955
1997-09-30,231.677
1997-10-31,228.842
1997-11-28,230.098
1997-12-31,241.967
1998-01-30,238.121
1998-02-27,260.24
1998-03-31,276.487
1998-04-30,279.242
1998-05-29,277.592
1998-06-30,268.294
1998-07-31,249.303
1998-08-31,195.17
1998-09-30,208.969
1998-10-30,227.413
1998-11-30,234.444
1998-12-31,237.602
1999-01-29,250.413
1999-02-26,237.912
1999-03-31,244.618
1999-04-30,267.611
1999-05-31,253.665
1999-06-30,253.963
1999-07-30,253.422
1999-08-31,252.376
1999-09-30,244.612
1999-10-29,251.194
1999-11-30,247.882
1999-12-31,248.446
2000-01-31,249.24
2000-02-29,247.46
2000-03-31,261.361
2000-04-28,264.23
2000-05-31,271.269
2000-06-30,282.314
2000-07-31,285.547
2000-08-31,302.96
2000-09-29,308.416
2000-10-31,314.567
2000-11-30,299.245
2000-12-29,332.899
2001-01-31,333.605
2001-02-28,318.302
2001-03-30,300.253
2001-04-30,310.735
2001-05-31,323.458
2001-06-29,313.506
2001-07-31,308.925
2001-08-31,298.738
2001-09-28,277.037
2001-10-31,271.611
2001-11-30,296.808
