Date,FINLAND MID VALUE Mid Cap
1994-05-31,138.374
1994-06-30,129.847
1994-07-29,141.715
1994-08-31,146.618
1994-09-30,146.737
1994-10-31,150.101
1994-11-30,138.651
1994-12-30,140.81
1995-01-31,136.632
1995-02-28,142.457
1995-03-31,130.55
1995-04-28,144.076
1995-05-31,141.657
1995-06-30,144.395
1995-07-31,155.036
1995-08-31,149.452
1995-09-29,150.397
1995-10-31,139.029
1995-11-30,143.38
1995-12-29,137.437
1996-01-31,137.381
1996-02-29,146.957
1996-03-29,149.906
1996-04-30,151.842
1996-05-31,158.57
1996-06-28,165.969
1996-07-31,168.835
1996-08-30,181.129
1996-09-30,176.35
1996-10-31,175.028
1996-11-29,179.867
1996-12-31,188.647
1997-01-31,187.981
1997-02-28,197.207
1997-03-31,196.521
1997-04-30,186.717
1997-05-30,196.022
1997-06-30,200.091
1997-07-31,199.099
1997-08-29,183.885
1997-09-30,203.147
1997-10-31,195.981
1997-11-28,188.942
1997-12-31,180.924
1998-01-30,184.214
1998-02-27,200.803
1998-03-31,210.348
1998-04-30,229.824
1998-05-29,234.641
1998-06-30,228.526
1998-07-31,218.745
1998-08-31,203.24
1998-09-30,169.162
1998-10-30,182.292
1998-11-30,193.509
1998-12-31,199.881
1999-01-29,189.049
1999-02-26,186.259
1999-03-31,203.061
1999-04-30,223.074
1999-05-31,199.736
1999-06-30,203.182
1999-07-30,213.621
1999-08-31,222.262
1999-09-30,212.963
1999-10-29,211.636
1999-11-30,206.151
1999-12-31,234.396
2000-01-31,233.524
2000-02-29,229.284
2000-03-31,237.199
2000-04-28,216.896
2000-05-31,205.968
2000-06-30,223.946
2000-07-31,215.37
2000-08-31,207.903
2000-09-29,198.412
2000-10-31,180.706
2000-11-30,184.038
2000-12-29,206.256
2001-01-31,192.822
2001-02-28,190.86
2001-03-30,175.698
2001-04-30,195.455
2001-05-31,187.181
2001-06-29,181.22
2001-07-31,177.866
2001-08-31,191.882
2001-09-28,172.624
2001-10-31,188.978
2001-11-30,184.823
2001-12-31,183.55
2002-01-31,192.524
2002-02-28,200.51
2002-03-29,215.471
2002-04-30,220.592
2002-05-31,231.849
2002-06-28,233.251
2002-07-31,199.354
2002-08-30,198.489
2002-09-30,172.32
2002-10-31,201.629
2002-11-29,225.704
2002-12-31,212.883
2003-01-31,193.124
2003-02-28,191.677
2003-03-31,185.695
2003-04-30,210.636
2003-05-30,211.55
2003-06-30,215.97
2003-07-31,229.587
2003-08-29,249.76
2003-09-30,242.881
2003-10-31,265.458
2003-11-28,275.681
2003-12-31,284.888
2004-01-30,278.08
2004-02-27,296.376
2004-03-31,291.999
2004-04-30,295.176
2004-05-31,293.485
2004-06-30,311.253
2004-07-30,319.986
2004-08-31,320.477
2004-09-30,326.631
2004-10-29,345.605
2004-11-30,390.262
2004-12-31,417.627
2005-01-31,400.12
2005-02-28,425.087
2005-03-31,440.19
2005-04-29,427.211
2005-05-31,433.561
2005-06-30,477.355
2005-07-29,469.265
2005-08-31,481.914
2005-09-30,501.807
2005-10-31,461.887
2005-11-30,475.34
2005-12-30,505.822
2006-01-31,567.419
2006-02-28,584.207
2006-03-31,612.368
2006-04-28,615.258
2006-05-31,575.985
2006-06-30,573.949
2006-07-31,567.857
2006-08-31,612.848
2006-09-29,614.424
2006-10-31,661.772
2006-11-30,752.164
2006-12-29,805.965
2007-01-31,817.539
2007-02-28,832.919
2007-03-30,879.217
2007-04-30,965.149
2007-05-31,1000.0
2007-06-29,1009.309
2007-07-31,995.846
2007-08-31,951.947
2007-09-28,1041.605
2007-10-31,1011.927
2007-11-30,924.02
2007-12-31,888.063
2008-01-31,826.636
2008-02-29,840.92
2008-03-31,925.53
2008-04-30,916.324
2008-05-30,940.184
2008-06-30,798.629
2008-07-31,711.044
2008-08-29,735.035
2008-09-30,600.136
2008-10-31,502.451
2008-11-28,480.537
2008-12-31,486.174
2009-01-30,425.392
2009-02-27,349.39
2009-03-31,350.306
2009-04-30,459.29
2009-05-29,510.92
2009-06-30,478.202
2009-07-31,542.942
2009-08-31,604.626
2009-09-30,627.809
2009-10-30,612.636
2009-11-30,641.449
2009-12-31,657.931
2010-01-29,638.653
2010-02-26,620.549
2010-03-31,711.584
2010-04-30,729.343
2010-05-31,622.156
2010-06-30,640.836
2010-07-30,724.063
2010-08-31,690.551
2010-09-30,831.525
2010-10-29,838.139
2010-11-30,789.096
2010-12-31,912.849
2011-01-31,1007.122
2011-02-28,969.607
2011-03-31,1013.631
2011-04-29,1042.07
2011-05-31,969.033
2011-06-30,929.567
2011-07-29,827.293
2011-08-31,719.045
2011-09-30,596.908
2011-10-31,672.714
2011-11-30,649.14
2011-12-30,619.673
2012-01-31,691.868
2012-02-29,736.302
2012-03-30,722.647
2012-04-30,700.795
2012-05-31,577.082
2012-06-29,626.022
2012-07-31,620.883
2012-08-31,633.541
2012-09-28,660.351
2012-10-31,662.359
2012-11-30,689.336
2012-12-31,733.525
2013-01-31,768.095
2013-02-28,733.852
2013-03-29,704.828
2013-04-30,734.369
2013-05-31,721.793
2013-06-28,665.857
2013-07-31,727.491
2013-08-30,753.668
2013-09-30,823.615
2013-10-31,893.81
2013-11-29,921.437
2013-12-31,957.179
2014-01-31,891.471
2014-02-28,1027.817
2014-03-31,1003.043
2014-04-30,1078.006
2014-05-30,1080.176
2014-06-30,1075.586
2014-07-31,1029.457
2014-08-29,992.512
2014-09-30,952.021
2014-10-31,954.75
2014-11-28,985.583
2014-12-31,954.244
2015-01-30,997.065
2015-02-27,1040.577
2015-03-31,1048.708
2015-04-30,1097.367
2015-05-29,1084.812
2015-06-30,1085.06
2015-07-31,1123.203
2015-08-31,1034.413
2015-09-30,971.434
2015-10-30,1121.5
2015-11-30,1149.53
2015-12-31,1121.116
2016-01-29,1039.969
2016-02-29,1041.505
2016-03-31,1133.193
2016-04-29,1157.467
2016-05-31,1152.19
2016-06-30,1134.739
2016-07-29,1239.368
2016-08-31,1217.872
2016-09-30,1271.965
2016-10-31,1290.746
2016-11-30,1289.858
2016-12-30,1355.419
2017-01-31,1331.992
2017-02-28,1350.646
2017-03-31,1426.994
2017-04-28,1548.622
2017-05-31,1610.195
2017-06-30,1621.799
2017-07-31,1617.65
2017-08-31,1608.6
2017-09-29,1676.51
2017-10-31,1850.524
2017-11-30,1873.881
2017-12-29,1924.229
2018-01-31,2092.818
2018-02-28,2119.623
2018-03-30,2188.175
2018-04-30,2306.875
2018-05-31,2317.404
2018-06-29,2235.124
2018-07-31,2136.42
2018-08-31,2308.232
2018-09-28,2324.252
2018-10-31,2021.405
2018-11-30,1849.298
2018-12-31,1772.136
2019-01-31,1941.192
2019-02-28,1973.713
2019-03-29,1945.228
2019-04-30,1924.016
2019-05-31,1750.042
2019-06-28,1905.53
2019-07-31,1884.758
2019-08-30,1879.956
2019-09-30,2003.97
2019-10-31,2177.451
2019-11-29,2208.044
2019-12-31,2335.04
2020-01-31,2233.627
2020-02-28,2053.696
2020-03-31,1860.105
2020-04-30,1992.298
2020-05-29,2095.5
2020-06-30,2101.121
2020-07-31,2054.671
2020-08-31,2278.228
2020-09-30,2304.215
2020-10-30,2131.199
2020-11-30,2473.269
2020-12-31,2705.179
2021-01-29,2642.539
2021-02-26,2797.986
2021-03-31,2696.786
2021-04-30,2907.117
2021-05-31,2826.397
2021-06-30,2874.642
2021-07-30,3059.752
2021-08-31,3013.676
2021-09-30,2674.095
2021-10-29,2714.422
2021-11-30,2727.134
2021-12-31,2853.907
2022-01-31,2733.825
2022-02-28,2691.54
2022-03-31,2667.698
2022-04-29,2670.165
2022-05-31,2681.032
2022-06-30,2439.558
2022-07-29,2542.856
2022-08-31,2619.41
2022-09-30,2362.637
2022-10-31,2498.407
2022-11-30,2743.003
2022-12-30,2805.483
2023-01-31,2844.29
2023-02-28,2816.385
2023-03-31,2707.343
2023-04-28,2736.652
2023-05-31,2571.046
2023-06-30,2512.263
2023-07-31,2703.185
2023-08-31,2740.976
2023-09-29,2628.171
2023-10-31,2580.796
2023-11-30,2812.653
2023-12-29,2971.701
2024-01-31,2894.589
2024-02-29,2761.781
2024-03-29,2800.369
2024-04-30,2956.609
2024-05-31,3227.016
2024-06-28,3089.73
2024-07-31,3060.357
2024-08-30,3258.319
2024-09-30,3217.577
2024-10-31,2884.655
2024-11-29,2709.316
2024-12-31,2625.0
2025-01-31,2786.762
2025-02-28,2734.17
2025-03-31,2711.74
2025-04-30,2870.662
2025-05-30,2989.119
2025-06-30,3102.146
