Date,FINLAND MID VALUE Mid Cap
1994-05-31,120.941
1994-06-30,113.489
1994-07-29,123.861
1994-08-31,128.147
1994-09-30,128.251
1994-10-31,131.191
1994-11-30,121.184
1994-12-30,123.07
1995-01-31,119.419
1995-02-28,124.51
1995-03-31,114.168
1995-04-28,126.415
1995-05-31,124.293
1995-06-30,126.695
1995-07-31,136.031
1995-08-31,131.131
1995-09-29,131.961
1995-10-31,121.986
1995-11-30,125.804
1995-12-29,120.59
1996-01-31,120.54
1996-02-29,128.942
1996-03-29,131.53
1996-04-30,133.982
1996-05-31,139.918
1996-06-28,146.447
1996-07-31,148.976
1996-08-30,159.824
1996-09-30,155.607
1996-10-31,154.44
1996-11-29,158.71
1996-12-31,166.458
1997-01-31,165.87
1997-02-28,174.011
1997-03-31,173.517
1997-04-30,165.62
1997-05-30,173.874
1997-06-30,177.483
1997-07-31,176.603
1997-08-29,163.108
1997-09-30,180.194
1997-10-31,173.837
1997-11-28,167.593
1997-12-31,160.482
1998-01-30,163.4
1998-02-27,178.201
1998-03-31,187.211
1998-04-30,205.328
1998-05-29,209.632
1998-06-30,204.169
1998-07-31,195.43
1998-08-31,181.578
1998-09-30,151.132
1998-10-30,162.863
1998-11-30,172.884
1998-12-31,178.577
1999-01-29,168.9
1999-02-26,166.407
1999-03-31,182.116
1999-04-30,201.163
1999-05-31,180.117
1999-06-30,183.224
1999-07-30,192.638
1999-08-31,200.43
1999-09-30,192.045
1999-10-29,190.848
1999-11-30,185.902
1999-12-31,211.373
2000-01-31,210.586
2000-02-29,206.809
2000-03-31,214.591
2000-04-28,196.546
2000-05-31,186.643
2000-06-30,202.934
2000-07-31,195.163
2000-08-31,188.396
2000-09-29,179.796
2000-10-31,163.751
2000-11-30,166.771
2000-12-29,186.904
2001-01-31,174.731
2001-02-28,172.987
2001-03-30,159.925
2001-04-30,180.995
2001-05-31,173.334
2001-06-29,167.814
2001-07-31,164.708
2001-08-31,177.687
2001-09-28,159.853
2001-10-31,174.998
2001-11-30,171.15
2001-12-31,169.971
2002-01-31,178.281
2002-02-28,185.819
2002-03-29,200.54
2002-04-30,206.966
2002-05-31,217.528
2002-06-28,218.843
2002-07-31,187.04
2002-08-30,186.228
2002-09-30,161.676
2002-10-31,189.174
2002-11-29,211.762
2002-12-31,199.733
2003-01-31,181.195
2003-02-28,179.837
2003-03-31,176.519
2003-04-30,200.796
2003-05-30,201.668
2003-06-30,205.881
2003-07-31,218.863
2003-08-29,238.093
2003-09-30,231.536
2003-10-31,253.058
2003-11-28,262.803
2003-12-31,271.58
2004-01-30,265.09
2004-02-27,282.532
2004-03-31,281.574
2004-04-30,287.165
2004-05-31,285.519
2004-06-30,302.805
2004-07-30,311.301
2004-08-31,311.779
2004-09-30,317.766
2004-10-29,336.225
2004-11-30,379.67
2004-12-31,406.293
2005-01-31,389.26
2005-02-28,413.549
2005-03-31,428.243
2005-04-29,417.68
2005-05-31,423.888
2005-06-30,466.705
2005-07-29,458.795
2005-08-31,471.162
2005-09-30,490.611
2005-10-31,451.582
2005-11-30,464.735
2005-12-30,494.536
2006-01-31,554.759
2006-02-28,571.172
2006-03-31,598.705
2006-04-28,607.198
2006-05-31,568.44
2006-06-30,566.43
2006-07-31,560.418
2006-08-31,604.82
2006-09-29,606.375
2006-10-31,653.103
2006-11-30,742.311
2006-12-29,795.407
2007-01-31,806.829
2007-02-28,822.008
2007-03-30,872.38
2007-04-30,965.149
2007-05-31,1000.0
2007-06-29,1009.309
2007-07-31,995.846
2007-08-31,951.947
2007-09-28,1041.605
2007-10-31,1011.927
2007-11-30,924.02
2007-12-31,888.063
2008-01-31,826.636
2008-02-29,840.92
2008-03-31,935.836
2008-04-30,930.87
2008-05-30,955.108
2008-06-30,811.306
2008-07-31,722.331
2008-08-29,746.703
2008-09-30,609.662
2008-10-31,510.427
2008-11-28,488.165
