Date,CANADA GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,116.893
1975-02-28,120.422
1975-03-31,116.054
1975-04-30,119.567
1975-05-30,121.961
1975-06-30,127.019
1975-07-31,124.066
1975-08-29,120.558
1975-09-30,116.029
1975-10-31,111.695
1975-11-28,119.938
1975-12-31,115.031
1976-01-30,123.766
1976-02-27,128.584
1976-03-31,127.758
1976-04-30,128.689
1976-05-31,131.083
1976-06-30,128.673
1976-07-30,126.456
1976-08-31,124.173
1976-09-30,121.454
1976-10-29,117.596
1976-11-30,105.69
1976-12-31,120.211
1977-01-31,116.368
1977-02-28,113.096
1977-03-31,113.116
1977-04-29,109.047
1977-05-31,107.323
1977-06-30,111.459
1977-07-29,110.785
1977-08-31,105.787
1977-09-30,106.959
1977-10-31,98.947
1977-11-30,105.747
1977-12-30,112.909
1978-01-31,103.866
1978-02-28,103.779
1978-03-31,107.417
1978-04-28,107.358
1978-05-31,112.883
1978-06-30,114.661
1978-07-31,120.379
1978-08-31,121.221
1978-09-29,124.929
1978-10-31,117.367
1978-11-30,127.034
1978-12-29,130.862
1979-01-31,134.067
1979-02-28,138.235
1979-03-30,153.795
1979-04-30,158.04
1979-05-31,167.17
1979-06-29,186.102
1979-07-31,174.352
1979-08-31,194.831
1979-09-28,216.646
1979-10-31,196.173
1979-11-30,220.497
1979-12-31,231.76
1980-01-31,261.927
1980-02-29,322.205
1980-03-31,235.315
1980-04-30,246.046
1980-05-30,263.713
1980-06-30,297.995
1980-07-31,306.431
1980-08-29,301.63
1980-09-30,296.434
1980-10-31,277.189
1980-11-28,280.565
1980-12-31,260.085
1981-01-30,262.104
1981-02-27,249.486
1981-03-31,267.499
1981-04-30,267.832
1981-05-29,289.848
1981-06-30,294.267
1981-07-31,272.305
1981-08-31,274.191
1981-09-30,218.669
1981-10-30,220.159
1981-11-30,250.196
1981-12-31,232.028
1982-01-29,207.92
1982-02-26,187.084
1982-03-31,172.729
1982-04-30,171.918
1982-05-31,167.479
1982-06-30,140.786
1982-07-30,149.569
1982-08-31,176.52
1982-09-30,175.766
1982-10-29,194.61
1982-11-30,196.205
1982-12-31,211.059
1983-01-31,216.685
1983-02-28,214.932
1983-03-31,217.413
1983-04-29,240.96
1983-05-31,245.714
1983-06-30,253.108
1983-07-29,253.824
1983-08-31,258.997
1983-09-30,259.038
1983-10-31,238.594
1983-11-30,262.161
1983-12-30,256.819
1984-01-31,241.195
1984-02-29,246.863
1984-03-30,240.508
1984-04-30,236.056
1984-05-31,228.09
1984-06-29,223.344
1984-07-31,213.242
1984-08-31,249.721
1984-09-28,249.957
1984-10-31,240.831
1984-11-30,237.307
1984-12-31,234.775
1985-01-31,254.328
1985-02-28,244.266
1985-03-29,260.851
1985-04-30,260.573
1985-05-31,267.73
1985-06-28,260.06
1985-07-31,275.155
1985-08-30,275.322
1985-09-30,258.068
1985-10-31,259.637
1985-11-29,276.07
1985-12-31,270.454
1986-01-31,252.661
1986-02-28,254.725
1986-03-31,273.241
1986-04-30,285.206
1986-05-30,288.359
1986-06-30,285.066
1986-07-31,274.041
1986-08-29,286.552
1986-09-30,276.599
1986-10-31,288.754
1986-11-28,291.175
1986-12-31,293.567
1987-01-30,329.901
1987-02-27,347.677
1987-03-31,383.114
1987-04-30,372.645
1987-05-29,367.848
1987-06-30,378.164
1987-07-31,409.137
1987-08-31,417.258
1987-09-30,411.17
1987-10-30,313.194
1987-11-30,309.115
1987-12-31,329.46
1988-01-29,324.43
1988-02-29,345.792
1988-03-31,370.466
1988-04-29,380.267
1988-05-31,360.528
1988-06-30,389.366
1988-07-29,381.78
1988-08-31,357.964
1988-09-30,361.631
1988-10-31,374.298
1988-11-30,370.931
1988-12-30,380.682
1989-01-31,411.918
1989-02-28,406.836
1989-03-31,404.356
1989-04-28,407.659
1989-05-31,411.386
1989-06-30,425.666
1989-07-31,458.866
1989-08-31,467.494
1989-09-29,462.879
1989-10-31,461.661
1989-11-30,466.141
1989-12-29,473.67
1990-01-31,429.431
1990-02-28,432.525
1990-03-30,432.828
1990-04-30,402.939
1990-05-31,433.147
1990-06-29,432.302
1990-07-31,444.779
1990-08-31,428.375
1990-09-28,417.813
1990-10-31,391.272
1990-11-30,395.456
1990-12-31,413.531
1991-01-31,397.982
1991-02-28,419.874
1991-03-29,416.591
1991-04-30,425.694
1991-05-31,436.292
1991-06-28,430.513
1991-07-31,435.124
1991-08-30,435.319
1991-09-30,428.554
1991-10-31,452.153
1991-11-29,442.065
1991-12-31,450.662
1992-01-31,460.79
1992-02-28,457.972
1992-03-31,438.59
1992-04-30,427.885
1992-05-29,425.622
1992-06-30,426.027
1992-07-31,435.673
1992-08-31,423.901
1992-09-30,402.322
1992-10-30,413.638
1992-11-30,403.37
1992-12-31,414.762
1993-01-29,408.847
1993-02-26,424.455
1993-03-31,433.351
1993-04-30,449.929
1993-05-31,451.003
1993-06-30,445.131
1993-07-30,439.614
1993-08-31,442.767
1993-09-30,418.66
1993-10-29,464.959
1993-11-30,451.06
1993-12-31,473.836
1994-01-31,504.311
1994-02-28,477.038
1994-03-31,465.946
1994-04-29,459.584
1994-05-31,465.451
1994-06-30,431.534
1994-07-29,453.196
1994-08-31,469.863
1994-09-30,484.369
1994-10-31,472.451
1994-11-30,440.438
1994-12-30,456.577
1995-01-31,430.353
1995-02-28,453.835
1995-03-31,482.015
1995-04-28,478.1
1995-05-31,500.381
1995-06-30,516.422
1995-07-31,527.876
1995-08-31,525.147
1995-09-29,522.763
1995-10-31,513.885
1995-11-30,539.655
1995-12-29,541.673
1996-01-31,577.052
