Date,CANADA GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,116.852
1975-02-28,120.33
1975-03-31,115.917
1975-04-30,119.38
1975-05-30,121.725
1975-06-30,126.726
1975-07-31,123.729
1975-08-29,120.18
1975-09-30,115.611
1975-10-31,111.238
1975-11-28,119.397
1975-12-31,114.456
1976-01-30,123.096
1976-02-27,127.833
1976-03-31,126.955
1976-04-30,127.824
1976-05-31,130.146
1976-06-30,127.695
1976-07-30,125.438
1976-08-31,123.116
1976-09-30,120.363
1976-10-29,116.48
1976-11-30,104.627
1976-12-31,118.949
1977-01-31,115.086
1977-02-28,111.794
1977-03-31,111.757
1977-04-29,107.677
1977-05-31,105.916
1977-06-30,109.943
1977-07-29,109.221
1977-08-31,104.234
1977-09-30,105.332
1977-10-31,97.384
1977-11-30,104.027
1977-12-30,111.02
1978-01-31,102.071
1978-02-28,101.93
1978-03-31,105.453
1978-04-28,105.341
1978-05-31,110.709
1978-06-30,112.398
1978-07-31,117.951
1978-08-31,118.721
1978-09-29,122.302
1978-10-31,114.838
1978-11-30,124.241
1978-12-29,127.922
1979-01-31,130.995
1979-02-28,135.005
1979-03-30,150.144
1979-04-30,154.222
1979-05-31,163.069
1979-06-29,181.475
1979-07-31,169.942
1979-08-31,189.838
1979-09-28,211.028
1979-10-31,191.009
1979-11-30,214.624
1979-12-31,225.514
1980-01-31,254.794
1980-02-29,313.354
1980-03-31,228.75
1980-04-30,239.1
1980-05-30,256.186
1980-06-30,289.411
1980-07-31,297.521
1980-08-29,292.77
1980-09-30,287.645
1980-10-31,268.883
1980-11-28,272.079
1980-12-31,252.128
1981-01-30,254.005
1981-02-27,241.691
1981-03-31,259.054
1981-04-30,259.287
1981-05-29,280.518
1981-06-30,284.704
1981-07-31,263.36
1981-08-31,265.091
1981-09-30,211.31
1981-10-30,212.669
1981-11-30,241.614
1981-12-31,223.986
1982-01-29,200.57
1982-02-26,180.321
1982-03-31,166.324
1982-04-30,165.391
1982-05-31,160.982
1982-06-30,135.178
1982-07-30,143.491
1982-08-31,169.236
1982-09-30,168.377
1982-10-29,186.306
1982-11-30,187.703
1982-12-31,201.788
1983-01-31,207.036
1983-02-28,205.226
1983-03-31,207.439
1983-04-29,229.761
1983-05-31,234.136
1983-06-30,241.024
1983-07-29,241.546
1983-08-31,246.31
1983-09-30,246.239
1983-10-31,226.681
1983-11-30,248.966
1983-12-30,243.777
1984-01-31,228.826
1984-02-29,234.089
1984-03-30,227.939
1984-04-30,223.593
1984-05-31,215.919
1984-06-29,211.302
1984-07-31,201.612
1984-08-31,235.991
1984-09-28,236.098
1984-10-31,227.356
1984-11-30,223.908
1984-12-31,221.394
1985-01-31,239.718
1985-02-28,230.114
1985-03-29,245.622
1985-04-30,245.235
1985-05-31,251.85
1985-06-28,244.502
1985-07-31,258.571
1985-08-30,258.606
1985-09-30,242.268
1985-10-31,243.616
1985-11-29,258.919
1985-12-31,253.527
1986-01-31,236.718
1986-02-28,238.526
1986-03-31,255.76
1986-04-30,266.852
1986-05-30,269.693
1986-06-30,266.506
1986-07-31,256.087
1986-08-29,267.676
1986-09-30,258.276
1986-10-31,269.521
1986-11-28,271.67
1986-12-31,273.803
1987-01-30,307.595
1987-02-27,324.069
1987-03-31,356.993
1987-04-30,347.121
1987-05-29,342.534
1987-06-30,352.022
1987-07-31,380.746
1987-08-31,388.177
1987-09-30,382.382
1987-10-30,291.094
1987-11-30,287.162
1987-12-31,305.932
1988-01-29,301.113
1988-02-29,320.802
1988-03-31,343.556
1988-04-29,352.495
1988-05-31,334.036
1988-06-30,360.606
1988-07-29,353.412
1988-08-31,331.195
1988-09-30,334.426
1988-10-31,345.982
1988-11-30,342.697
1988-12-30,351.547
1989-01-31,380.24
1989-02-28,375.375
1989-03-31,372.9
1989-04-28,375.76
1989-05-31,379.014
1989-06-30,391.985
1989-07-31,422.378
1989-08-31,430.129
1989-09-29,425.721
1989-10-31,424.437
1989-11-30,428.391
1989-12-29,435.147
1990-01-31,394.33
1990-02-28,397.005
1990-03-30,397.092
1990-04-30,369.465
1990-05-31,396.987
1990-06-29,396.02
1990-07-31,407.258
1990-08-31,392.037
1990-09-28,382.176
1990-10-31,357.699
1990-11-30,361.337
1990-12-31,377.671
1991-01-31,363.273
1991-02-28,383.074
1991-03-29,379.898
1991-04-30,388.018
1991-05-31,397.496
1991-06-28,392.04
1991-07-31,396.055
1991-08-30,396.042
1991-09-30,389.679
1991-10-31,410.946
1991-11-29,401.572
1991-12-31,409.193
1992-01-31,418.199
1992-02-28,415.445
1992-03-31,397.661
1992-04-30,387.754
1992-05-29,385.505
1992-06-30,385.669
1992-07-31,394.202
1992-08-31,383.344
1992-09-30,363.634
1992-10-30,373.676
1992-11-30,364.218
1992-12-31,374.323
1993-01-29,368.797
1993-02-26,382.691
1993-03-31,390.541
1993-04-30,405.316
1993-05-31,406.11
1993-06-30,400.65
1993-07-30,395.51
1993-08-31,398.183
1993-09-30,376.327
1993-10-29,417.791
1993-11-30,405.13
1993-12-31,425.435
1994-01-31,452.648
1994-02-28,428.005
1994-03-31,417.91
1994-04-29,412.06
1994-05-31,417.179
1994-06-30,386.625
1994-07-29,405.897
1994-08-31,420.687
1994-09-30,433.554
1994-10-31,422.758
1994-11-30,393.98
1994-12-30,408.3
1995-01-31,384.72
1995-02-28,405.594
1995-03-31,430.659
1995-04-28,427.021
1995-05-31,446.795
1995-06-30,460.989
1995-07-31,471.083
1995-08-31,468.508
1995-09-29,466.241
1995-10-31,458.177
1995-11-30,481.017
1995-12-29,482.673
1996-01-31,514.065
1996-02-29,513.576
1996-03-29,516.779
1996-04-30,539.053
1996-05-31,548.97
1996-06-28,524.252
1996-07-31,497.506
1996-08-30,523.613
1996-09-30,538.077
1996-10-31,576.134
1996-11-29,609.803
1996-12-31,594.632
1997-01-31,622.915
1997-02-28,599.855
1997-03-31,567.496
1997-04-30,583.264
1997-05-30,643.604
1997-06-30,656.683
1997-07-31,700.503
1997-08-29,671.708
1997-09-30,725.191
1997-10-31,692.909
1997-11-28,685.254
1997-12-31,703.051
1998-01-30,674.109
1998-02-27,737.345
1998-03-31,805.662
1998-04-30,804.061
1998-05-29,819.603
1998-06-30,783.392
1998-07-31,750.444
1998-08-31,591.546
1998-09-30,556.429
1998-10-30,631.579
1998-11-30,677.665
1998-12-31,700.419
1999-01-29,791.585
1999-02-26,741.912
1999-03-31,773.728
1999-04-30,828.072
1999-05-31,841.624
1999-06-30,890.546
1999-07-30,900.986
1999-08-31,856.359
1999-09-30,924.652
1999-10-29,1038.029
1999-11-30,1149.691
1999-12-31,1408.636
