Date,CANADA GROWTH Standard (Large+Mid Cap)
2001-01-01,1145.15
2001-01-02,1081.828
2001-01-03,1208.563
2001-01-04,1231.647
2001-01-05,1144.527
2001-01-08,1139.968
2001-01-09,1117.485
2001-01-10,1117.176
2001-01-11,1187.536
2001-01-12,1167.67
2001-01-15,1164.346
2001-01-16,1150.908
2001-01-17,1210.367
2001-01-18,1249.149
2001-01-19,1356.867
2001-01-22,1311.432
2001-01-23,1350.392
2001-01-24,1353.562
2001-01-25,1292.873
2001-01-26,1286.236
2001-01-29,1346.002
2001-01-30,1360.922
2001-01-31,1350.155
2001-02-01,1318.097
2001-02-02,1260.053
2001-02-05,1257.751
2001-02-06,1256.182
2001-02-07,1184.693
2001-02-08,1172.345
2001-02-09,1120.474
2001-02-12,1118.782
2001-02-13,1090.257
2001-02-14,1084.489
2001-02-15,1105.646
2001-02-16,850.205
2001-02-19,874.842
2001-02-20,812.238
2001-02-21,806.606
2001-02-22,817.156
2001-02-23,797.032
2001-02-26,801.38
2001-02-27,781.214
2001-02-28,788.533
2001-03-01,785.091
2001-03-02,758.702
2001-03-05,761.579
2001-03-06,790.57
2001-03-07,790.484
2001-03-08,773.179
2001-03-09,758.398
2001-03-12,726.832
2001-03-13,730.242
2001-03-14,708.381
2001-03-15,713.679
2001-03-16,710.134
2001-03-19,725.519
2001-03-20,704.075
2001-03-21,691.311
2001-03-22,715.004
2001-03-23,706.651
2001-03-26,708.302
2001-03-27,708.401
2001-03-28,663.745
2001-03-29,658.683
2001-03-30,678.018
2001-04-02,681.744
2001-04-03,649.067
2001-04-04,648.677
2001-04-05,666.329
2001-04-06,655.822
2001-04-09,661.751
2001-04-10,690.348
2001-04-11,682.453
2001-04-12,713.318
2001-04-13,713.318
2001-04-16,697.49
2001-04-17,704.36
2001-04-18,748.278
2001-04-19,765.82
2001-04-20,760.729
2001-04-23,735.171
2001-04-24,723.61
2001-04-25,733.069
2001-04-26,726.399
2001-04-27,728.597
2001-04-30,736.192
2001-05-01,739.682
2001-05-02,759.746
2001-05-03,749.542
2001-05-04,749.224
