Date,CANADA GROWTH Standard (Large+Mid Cap)
2001-01-01,1005.342
2001-01-02,949.751
2001-01-03,1061.014
2001-01-04,1081.279
2001-01-05,1004.795
2001-01-08,1000.793
2001-01-09,981.055
2001-01-10,980.784
2001-01-11,1042.553
2001-01-12,1025.113
2001-01-15,1022.195
2001-01-16,1010.398
2001-01-17,1062.543
2001-01-18,1096.589
2001-01-19,1191.151
2001-01-22,1151.265
2001-01-23,1185.467
2001-01-24,1188.249
2001-01-25,1134.973
2001-01-26,1129.146
2001-01-29,1181.613
2001-01-30,1194.711
2001-01-31,1185.259
2001-02-01,1157.117
2001-02-02,1106.161
2001-02-05,1104.141
2001-02-06,1102.763
2001-02-07,1040.005
2001-02-08,1029.165
2001-02-09,983.629
2001-02-12,982.144
2001-02-13,957.103
2001-02-14,952.039
2001-02-15,970.612
2001-02-16,746.369
2001-02-19,767.996
2001-02-20,713.039
2001-02-21,708.094
2001-02-22,717.356
2001-02-23,699.69
2001-02-26,703.506
2001-02-27,685.802
2001-02-28,692.227
2001-03-01,689.16
2001-03-02,665.996
2001-03-05,668.521
2001-03-06,693.97
2001-03-07,693.889
2001-03-08,678.648
2001-03-09,665.674
2001-03-12,637.968
2001-03-13,640.936
2001-03-14,621.745
2001-03-15,626.392
2001-03-16,623.28
2001-03-19,636.784
2001-03-20,617.963
2001-03-21,606.76
2001-03-22,627.555
2001-03-23,620.223
2001-03-26,621.672
2001-03-27,621.759
2001-03-28,582.566
2001-03-29,578.123
2001-03-30,595.093
2001-04-02,598.363
2001-04-03,569.683
2001-04-04,569.34
2001-04-05,584.834
2001-04-06,575.612
2001-04-09,580.815
2001-04-10,605.914
2001-04-11,598.985
2001-04-12,626.075
2001-04-13,626.075
2001-04-16,612.183
2001-04-17,618.213
2001-04-18,656.76
2001-04-19,672.156
2001-04-20,667.687
2001-04-23,645.255
2001-04-24,635.108
2001-04-25,643.411
2001-04-26,637.556
2001-04-27,639.486
2001-04-30,646.152
2001-05-01,649.215
2001-05-02,666.825
2001-05-03,657.869
2001-05-04,657.589
2001-05-07,659.367
2001-05-08,664.069
2001-05-09,658.184
2001-05-10,656.432
2001-05-11,640.927
2001-05-14,632.834
2001-05-15,635.337
2001-05-16,644.449
2001-05-17,655.335
2001-05-18,655.743
2001-05-21,656.599
2001-05-22,676.218
2001-05-23,667.418
2001-05-24,665.649
2001-05-25,659.98
2001-05-28,662.384
2001-05-29,657.811
2001-05-30,637.029
2001-05-31,634.938
2001-06-01,648.618
2001-06-04,653.23
2001-06-05,646.331
2001-06-06,640.43
2001-06-07,643.883
2001-06-08,635.177
2001-06-11,630.543
2001-06-12,625.03
2001-06-13,612.821
2001-06-14,604.4
2001-06-15,591.607
2001-06-18,573.823
2001-06-19,571.799
2001-06-20,569.622
2001-06-21,574.609
2001-06-22,582.936
2001-06-25,581.422
2001-06-26,572.832
2001-06-27,569.845
2001-06-28,570.972
2001-06-29,587.651
2001-07-02,588.543
2001-07-03,592.977
2001-07-04,587.978
2001-07-05,578.364
2001-07-06,561.47
2001-07-09,566.837
2001-07-10,558.43
2001-07-11,555.561
2001-07-12,567.59
2001-07-13,571.491
2001-07-16,558.37
2001-07-17,567.706
2001-07-18,557.335
2001-07-19,561.937
2001-07-20,561.042
2001-07-23,558.385
2001-07-24,554.603
2001-07-25,562.549
2001-07-26,566.158
2001-07-27,576.428
2001-07-30,572.664
2001-07-31,580.151
2001-08-01,581.998
2001-08-02,577.728
2001-08-03,575.945
2001-08-06,579.076
2001-08-07,577.895
2001-08-08,564.914
2001-08-09,563.853
2001-08-10,557.478
2001-08-13,554.699
2001-08-14,548.703
2001-08-15,542.722
2001-08-16,546.871
2001-08-17,536.493
2001-08-20,532.697
2001-08-21,524.869
2001-08-22,536.044
2001-08-23,537.718
2001-08-24,548.11
2001-08-27,549.135
2001-08-28,540.306
2001-08-29,532.926
2001-08-30,522.073
2001-08-31,519.215
2001-09-03,518.713
2001-09-04,521.922
2001-09-05,513.748
2001-09-06,511.586
2001-09-07,510.207
2001-09-10,505.254
2001-09-11,478.652
2001-09-12,482.644
2001-09-13,479.194
2001-09-14,464.127
2001-09-17,461.6
2001-09-18,452.739
2001-09-19,449.272
2001-09-20,437.499
2001-09-21,436.738
2001-09-24,447.818
2001-09-25,452.702
2001-09-26,446.03
2001-09-27,445.24
2001-09-28,457.64
2001-10-01,455.704
2001-10-02,463.74
2001-10-03,471.844
2001-10-04,475.468
2001-10-05,476.83
2001-10-08,477.487
2001-10-09,473.279
2001-10-10,481.484
2001-10-11,492.788
2001-10-12,492.529
2001-10-15,487.652
2001-10-16,491.737
2001-10-17,475.511
2001-10-18,468.994
2001-10-19,471.828
2001-10-22,477.751
2001-10-23,482.601
2001-10-24,483.66
2001-10-25,488.451
2001-10-26,493.174
2001-10-29,482.742
2001-10-30,470.617
2001-10-31,473.441
2001-11-01,480.095
2001-11-02,481.48
2001-11-05,487.745
2001-11-06,494.652
2001-11-07,497.165
2001-11-08,495.179
2001-11-09,498.277
2001-11-12,498.287
2001-11-13,511.55
2001-11-14,518.944
2001-11-15,509.621
2001-11-16,516.761
2001-11-19,533.628
2001-11-20,523.558
2001-11-21,511.718
2001-11-22,518.344
2001-11-23,521.776
2001-11-26,523.009
2001-11-27,524.398
2001-11-28,520.657
2001-11-29,523.918
2001-11-30,531.986
2001-12-03,527.492
2001-12-04,534.522
2001-12-05,544.005
2001-12-06,539.723
2001-12-07,539.548
2001-12-10,537.258
2001-12-11,534.102
2001-12-12,541.346
2001-12-13,533.261
2001-12-14,534.813
2001-12-17,542.934
2001-12-18,544.962
2001-12-19,542.053
2001-12-20,540.583
2001-12-21,541.481
2001-12-24,536.794
2001-12-25,536.794
2001-12-26,536.66
2001-12-27,545.853
2001-12-28,547.863
2001-12-31,549.459
2002-01-01,549.459
2002-01-02,542.982
2002-01-03,550.053
2002-01-04,551.994
2002-01-07,553.609
2002-01-08,549.914
2002-01-09,549.356
2002-01-10,542.844
2002-01-11,544.225
2002-01-14,537.522
2002-01-15,541.677
2002-01-16,539.773
2002-01-17,536.631
2002-01-18,533.734
2002-01-21,530.682
2002-01-22,529.854
2002-01-23,528.818
2002-01-24,536.502
2002-01-25,535.857
2002-01-28,532.293
2002-01-29,534.265
2002-01-30,530.286
2002-01-31,536.797
2002-02-01,542.393
2002-02-04,535.473
2002-02-05,530.816
2002-02-06,527.447
2002-02-07,526.104
2002-02-08,531.924
2002-02-11,535.822
2002-02-12,533.684
2002-02-13,536.504
2002-02-14,534.043
2002-02-15,533.283
2002-02-18,535.288
2002-02-19,528.893
2002-02-20,523.969
2002-02-21,526.471
2002-02-22,524.951
2002-02-25,530.42
2002-02-26,534.466
2002-02-27,541.574
2002-02-28,542.793
2002-03-01,552.475
2002-03-04,562.838
2002-03-05,562.993
2002-03-06,570.127
2002-03-07,572.794
2002-03-08,566.294
2002-03-11,569.944
2002-03-12,565.628
2002-03-13,565.61
2002-03-14,561.239
2002-03-15,566.463
2002-03-18,576.569
2002-03-19,580.007
2002-03-20,580.657
2002-03-21,575.174
2002-03-22,577.355
2002-03-25,566.374
2002-03-26,564.902
2002-03-27,573.13
2002-03-28,573.254
2002-03-29,573.254
2002-04-01,573.247
2002-04-02,576.214
