Date,SWEDEN SMID CAP SMID (Small+Mid Cap)
1994-05-31,139.582
1994-06-30,133.377
1994-07-29,137.816
1994-08-31,134.277
1994-09-30,136.735
1994-10-31,147.726
1994-11-30,144.81
1994-12-30,145.897
1995-01-31,150.029
1995-02-28,151.587
1995-03-31,137.799
1995-04-28,150.833
1995-05-31,149.223
1995-06-30,154.672
1995-07-31,165.963
1995-08-31,158.772
1995-09-29,175.478
1995-10-31,172.508
1995-11-30,178.691
1995-12-29,179.55
1996-01-31,172.699
1996-02-29,182.031
1996-03-29,186.945
1996-04-30,196.521
1996-05-31,203.158
1996-06-28,209.503
1996-07-31,205.304
1996-08-30,213.594
1996-09-30,223.948
1996-10-31,228.971
1996-11-29,241.641
1996-12-31,245.823
1997-01-31,246.418
1997-02-28,250.282
1997-03-31,255.015
1997-04-30,233.346
1997-05-30,246.333
1997-06-30,252.38
1997-07-31,257.434
1997-08-29,254.519
1997-09-30,277.039
1997-10-31,262.819
1997-11-28,265.418
1997-12-31,260.545
1998-01-30,259.523
1998-02-27,275.77
1998-03-31,296.419
1998-04-30,310.975
1998-05-29,321.978
1998-06-30,313.753
1998-07-31,320.309
1998-08-31,273.042
1998-09-30,258.47
1998-10-30,256.25
1998-11-30,269.473
1998-12-31,267.523
1999-01-29,278.419
1999-02-26,273.486
1999-03-31,269.922
1999-04-30,277.474
1999-05-31,275.703
1999-06-30,282.409
1999-07-30,289.363
1999-08-31,296.49
1999-09-30,301.263
1999-10-29,303.173
1999-11-30,327.136
1999-12-31,384.639
2000-01-31,391.282
2000-02-29,449.537
2000-03-31,427.356
2000-04-28,391.345
2000-05-31,379.477
2000-06-30,359.531
2000-07-31,349.311
2000-08-31,339.938
2000-09-29,316.743
2000-10-31,296.487
2000-11-30,270.476
2000-12-29,291.711
2001-01-31,305.436
2001-02-28,283.176
2001-03-30,247.747
2001-04-30,270.632
2001-05-31,262.532
2001-06-29,246.505
2001-07-31,245.222
2001-08-31,228.402
2001-09-28,204.06
2001-10-31,219.927
2001-11-30,240.766
2001-12-31,248.895
2002-01-31,246.565
2002-02-28,256.569
2002-03-29,266.225
2002-04-30,260.96
2002-05-31,268.808
2002-06-28,274.811
2002-07-31,239.419
2002-08-30,232.441
2002-09-30,202.728
2002-10-31,222.899
2002-11-29,253.616
2002-12-31,234.886
2003-01-31,222.481
2003-02-28,227.625
2003-03-31,222.796
2003-04-30,261.233
2003-05-30,271.18
2003-06-30,275.557
2003-07-31,286.462
2003-08-29,290.952
2003-09-30,302.359
2003-10-31,329.497
2003-11-28,345.84
2003-12-31,371.002
2004-01-30,374.167
2004-02-27,376.075
2004-03-31,368.336
2004-04-30,370.184
2004-05-31,374.631
2004-06-30,378.335
2004-07-30,363.651
2004-08-31,367.268
2004-09-30,390.51
2004-10-29,400.914
2004-11-30,451.096
2004-12-31,470.277
2005-01-31,459.119
2005-02-28,492.568
2005-03-31,478.062
2005-04-29,454.909
2005-05-31,470.647
2005-06-30,465.471
2005-07-29,495.982
2005-08-31,501.639
2005-09-30,526.07
2005-10-31,501.778
2005-11-30,522.986
2005-12-30,564.044
2006-01-31,608.941
2006-02-28,619.391
2006-03-31,673.634
2006-04-28,731.919
2006-05-31,683.751
2006-06-30,685.956
2006-07-31,679.339
2006-08-31,698.505
2006-09-29,727.931
2006-10-31,771.441
2006-11-30,814.621
2006-12-29,890.293
2007-01-31,891.831
2007-02-28,875.427
2007-03-30,932.011
2007-04-30,1000.196
2007-05-31,1000.0
2007-06-29,976.545
2007-07-31,984.24
2007-08-31,930.676
2007-09-28,964.653
2007-10-31,986.644
2007-11-30,929.702
2007-12-31,900.473
2008-01-31,812.518
2008-02-29,883.034
2008-03-31,900.747
2008-04-30,897.859
2008-05-30,931.54
2008-06-30,823.442
2008-07-31,761.395
2008-08-29,737.597
2008-09-30,575.606
2008-10-31,411.621
2008-11-28,374.401
2008-12-31,401.766
2009-01-30,365.767
2009-02-27,332.356
2009-03-31,370.295
2009-04-30,476.79
2009-05-29,533.778
2009-06-30,516.478
2009-07-31,619.728
2009-08-31,672.057
2009-09-30,694.247
2009-10-30,716.236
2009-11-30,740.203
2009-12-31,750.009
2010-01-29,732.301
2010-02-26,757.297
2010-03-31,810.44
2010-04-30,819.425
2010-05-31,704.233
2010-06-30,706.037
2010-07-30,804.264
2010-08-31,758.712
2010-09-30,920.446
2010-10-29,931.657
2010-11-30,899.204
2010-12-31,1005.222
2011-01-31,1036.863
2011-02-28,1033.039
2011-03-31,1070.873
2011-04-29,1139.103
2011-05-31,1103.604
2011-06-30,1042.452
2011-07-29,1007.094
2011-08-31,916.944
2011-09-30,783.182
2011-10-31,923.478
2011-11-30,882.706
2011-12-30,886.457
2012-01-31,944.74
2012-02-29,1018.562
2012-03-30,1003.419
2012-04-30,978.194
2012-05-31,849.033
2012-06-29,892.051
2012-07-31,946.475
2012-08-31,954.081
2012-09-28,995.485
2012-10-31,980.494
2012-11-30,1016.895
2012-12-31,1059.089
2013-01-31,1109.06
2013-02-28,1123.349
2013-03-29,1124.521
2013-04-30,1145.938
2013-05-31,1135.415
2013-06-28,1076.69
2013-07-31,1213.879
2013-08-30,1181.068
2013-09-30,1264.511
2013-10-31,1260.479
2013-11-29,1277.949
2013-12-31,1329.453
2014-01-31,1275.642
2014-02-28,1370.767
2014-03-31,1354.209
2014-04-30,1385.672
2014-05-30,1386.294
2014-06-30,1387.508
2014-07-31,1308.858
2014-08-29,1305.941
2014-09-30,1231.795
2014-10-31,1226.074
2014-11-28,1257.203
2014-12-31,1223.953
2015-01-30,1229.254
2015-02-27,1340.041
2015-03-31,1287.635
2015-04-30,1349.745
2015-05-29,1315.476
2015-06-30,1268.495
2015-07-31,1278.704
2015-08-31,1222.778
2015-09-30,1212.593
2015-10-30,1297.811
2015-11-30,1335.889
2015-12-31,1338.621
2016-01-29,1207.719
2016-02-29,1245.133
2016-03-31,1358.734
2016-04-29,1370.055
2016-05-31,1370.158
2016-06-30,1308.104
2016-07-29,1380.07
2016-08-31,1390.363
2016-09-30,1431.05
2016-10-31,1320.536
2016-11-30,1293.34
2016-12-30,1356.226
2017-01-31,1419.112
2017-02-28,1426.646
2017-03-31,1445.598
2017-04-28,1531.587
2017-05-31,1583.688
2017-06-30,1594.377
2017-07-31,1638.955
2017-08-31,1646.392
2017-09-29,1672.898
2017-10-31,1684.001
2017-11-30,1645.034
2017-12-29,1674.928
2018-01-31,1783.281
2018-02-28,1691.191
2018-03-30,1664.274
2018-04-30,1676.0
2018-05-31,1668.368
2018-06-29,1637.1
2018-07-31,1731.617
2018-08-31,1689.781
2018-09-28,1704.616
2018-10-31,1529.186
2018-11-30,1484.82
2018-12-31,1450.546
2019-01-31,1549.021
2019-02-28,1588.597
2019-03-29,1610.435
2019-04-30,1641.733
2019-05-31,1539.918
2019-06-28,1674.921
2019-07-31,1623.364
2019-08-30,1574.999
2019-09-30,1605.069
2019-10-31,1695.72
2019-11-29,1754.543
2019-12-31,1853.36
2020-01-31,1813.058
2020-02-28,1681.959
2020-03-31,1389.757
2020-04-30,1559.848
2020-05-29,1738.311
2020-06-30,1798.504
2020-07-31,2010.692
2020-08-31,2130.264
2020-09-30,2170.76
2020-10-30,2047.162
2020-11-30,2362.996
2020-12-31,2558.619
2021-01-29,2526.214
2021-02-26,2604.574
2021-03-31,2690.29
2021-04-30,2932.161
2021-05-31,3042.042
2021-06-30,2952.232
2021-07-30,3187.465
2021-08-31,3187.174
2021-09-30,2907.06
2021-10-29,3129.369
2021-11-30,2993.492
2021-12-31,3118.887
2022-01-31,2677.779
2022-02-28,2492.118
2022-03-31,2653.686
2022-04-29,2376.589
2022-05-31,2348.868
2022-06-30,1929.143
2022-07-29,2181.156
2022-08-31,1938.435
2022-09-30,1704.364
2022-10-31,1777.367
2022-11-30,1984.448
2022-12-30,1978.279
2023-01-31,2157.681
2023-02-28,2189.399
2023-03-31,2187.264
2023-04-28,2254.525
2023-05-31,2016.239
2023-06-30,2016.348
2023-07-31,2077.733
2023-08-31,1898.554
2023-09-29,1850.089
2023-10-31,1741.564
2023-11-30,2033.679
2023-12-29,2294.054
2024-01-31,2187.372
2024-02-29,2214.232
2024-03-29,2285.886
2024-04-30,2221.678
2024-05-31,2411.384
2024-06-28,2336.21
2024-07-31,2408.129
2024-08-30,2534.931
2024-09-30,2602.894
2024-10-31,2340.989
2024-11-29,2279.327
2024-12-31,2243.13
2025-01-31,2398.642
2025-02-28,2486.038
2025-03-31,2468.097
2025-04-30,2604.526
2025-05-30,2660.478
2025-06-30,2707.571
