Date,SWEDEN SMID CAP SMID (Small+Mid Cap)
2001-12-18,234.107
2001-12-19,230.728
2001-12-20,227.422
2001-12-21,228.3
2001-12-24,225.283
2001-12-25,225.283
2001-12-26,224.517
2001-12-27,231.582
2001-12-28,235.84
2001-12-31,237.754
2002-01-01,237.754
2002-01-02,240.461
2002-01-03,247.769
2002-01-04,246.814
2002-01-07,246.913
2002-01-08,242.652
2002-01-09,244.457
2002-01-10,245.188
2002-01-11,247.395
2002-01-14,240.342
2002-01-15,240.619
2002-01-16,233.774
2002-01-17,234.358
2002-01-18,236.711
2002-01-21,234.995
2002-01-22,236.089
2002-01-23,237.919
2002-01-24,237.209
2002-01-25,232.981
2002-01-28,232.401
2002-01-29,232.669
2002-01-30,230.184
2002-01-31,235.533
2002-02-01,236.057
2002-02-04,236.511
2002-02-05,236.506
2002-02-06,237.724
2002-02-07,235.709
2002-02-08,235.195
2002-02-11,237.509
2002-02-12,236.711
2002-02-13,238.116
2002-02-14,236.776
2002-02-15,237.404
2002-02-18,236.212
2002-02-19,235.973
2002-02-20,234.033
2002-02-21,238.081
2002-02-22,239.144
2002-02-25,239.921
2002-02-26,241.765
2002-02-27,244.398
2002-02-28,245.09
2002-03-01,245.937
2002-03-04,255.463
2002-03-05,257.097
2002-03-06,256.284
2002-03-07,259.141
2002-03-08,259.935
2002-03-11,258.238
2002-03-12,254.042
2002-03-13,254.504
2002-03-14,255.069
2002-03-15,256.099
2002-03-18,256.614
2002-03-19,256.996
2002-03-20,257.363
2002-03-21,256.394
2002-03-22,256.658
2002-03-25,255.511
2002-03-26,254.014
2002-03-27,253.288
2002-03-28,254.457
2002-03-29,254.457
2002-04-01,256.969
2002-04-02,257.25
2002-04-03,255.055
2002-04-04,254.312
2002-04-05,255.272
2002-04-08,250.744
2002-04-09,250.225
2002-04-10,250.277
2002-04-11,249.342
2002-04-12,248.879
2002-04-15,250.318
2002-04-16,252.688
2002-04-17,254.98
2002-04-18,253.275
2002-04-19,252.604
2002-04-22,246.864
2002-04-23,247.823
2002-04-24,245.073
2002-04-25,243.064
2002-04-26,248.277
2002-04-29,248.975
2002-04-30,250.22
2002-05-01,251.69
2002-05-02,252.177
