Date,SWEDEN SMID CAP SMID (Small+Mid Cap)
2001-01-01,291.711
2001-01-02,285.687
2001-01-03,274.334
2001-01-04,283.14
2001-01-05,288.857
2001-01-08,284.777
2001-01-09,280.279
2001-01-10,282.398
2001-01-11,287.988
2001-01-12,291.631
2001-01-15,291.439
2001-01-16,287.856
2001-01-17,290.225
2001-01-18,297.568
2001-01-19,299.625
2001-01-22,295.447
2001-01-23,294.371
2001-01-24,292.268
2001-01-25,290.579
2001-01-26,290.158
2001-01-29,293.006
2001-01-30,297.79
2001-01-31,305.436
2001-02-01,305.399
2001-02-02,303.504
2001-02-05,300.028
2001-02-06,302.642
2001-02-07,300.024
2001-02-08,295.507
2001-02-09,292.218
2001-02-12,291.314
2001-02-13,288.334
2001-02-14,283.171
2001-02-15,286.03
2001-02-16,285.43
2001-02-19,286.037
2001-02-20,285.987
2001-02-21,281.638
2001-02-22,274.813
2001-02-23,273.39
2001-02-26,278.3
2001-02-27,282.037
2001-02-28,283.176
2001-03-01,282.639
2001-03-02,283.317
2001-03-05,283.517
2001-03-06,288.251
2001-03-07,287.115
2001-03-08,288.027
2001-03-09,285.993
2001-03-12,276.826
2001-03-13,267.453
2001-03-14,261.733
2001-03-15,262.638
2001-03-16,253.354
2001-03-19,252.411
2001-03-20,253.332
2001-03-21,246.144
2001-03-22,233.485
2001-03-23,242.644
2001-03-26,252.881
2001-03-27,255.577
2001-03-28,250.13
2001-03-29,245.117
2001-03-30,247.747
2001-04-02,245.991
2001-04-03,242.805
2001-04-04,243.565
2001-04-05,250.556
2001-04-06,251.609
2001-04-09,257.395
2001-04-10,259.104
2001-04-11,257.464
2001-04-12,258.753
2001-04-13,258.753
2001-04-16,256.041
2001-04-17,255.138
2001-04-18,259.246
2001-04-19,268.174
2001-04-20,267.879
2001-04-23,262.853
2001-04-24,261.524
2001-04-25,262.869
2001-04-26,266.236
2001-04-27,266.937
2001-04-30,270.632
2001-05-01,271.765
2001-05-02,272.182
2001-05-03,269.218
2001-05-04,269.77
2001-05-07,270.235
2001-05-08,267.486
2001-05-09,266.246
2001-05-10,271.165
2001-05-11,269.116
2001-05-14,266.142
2001-05-15,266.015
2001-05-16,266.074
2001-05-17,270.601
2001-05-18,274.162
2001-05-21,276.781
2001-05-22,275.951
2001-05-23,272.845
2001-05-24,271.966
2001-05-25,270.75
2001-05-28,271.196
2001-05-29,269.155
2001-05-30,266.132
2001-05-31,262.532
2001-06-01,259.854
2001-06-04,258.501
2001-06-05,260.613
2001-06-06,259.885
2001-06-07,259.411
2001-06-08,258.273
2001-06-11,253.585
2001-06-12,253.17
2001-06-13,256.998
2001-06-14,254.273
2001-06-15,257.039
2001-06-18,256.139
2001-06-19,251.924
2001-06-20,244.319
2001-06-21,244.902
2001-06-22,245.414
2001-06-25,248.841
2001-06-26,243.473
2001-06-27,244.84
2001-06-28,245.695
2001-06-29,246.505
2001-07-02,246.892
2001-07-03,246.409
2001-07-04,244.498
2001-07-05,240.505
2001-07-06,236.686
2001-07-09,235.503
2001-07-10,237.97
2001-07-11,238.474
2001-07-12,239.765
2001-07-13,240.571
2001-07-16,241.694
2001-07-17,237.182
2001-07-18,240.302
2001-07-19,242.338
2001-07-20,241.12
2001-07-23,238.889
2001-07-24,239.258
2001-07-25,238.722
2001-07-26,239.919
2001-07-27,241.704
2001-07-30,243.971
2001-07-31,245.222
2001-08-01,246.551
2001-08-02,250.669
2001-08-03,252.279
2001-08-06,250.523
2001-08-07,249.132
2001-08-08,247.934
2001-08-09,246.423
2001-08-10,245.04
2001-08-13,246.131
2001-08-14,247.941
2001-08-15,249.043
2001-08-16,245.357
2001-08-17,243.608
2001-08-20,234.819
2001-08-21,236.303
2001-08-22,237.877
2001-08-23,239.938
2001-08-24,241.863
2001-08-27,241.343
2001-08-28,238.329
2001-08-29,235.631
2001-08-30,230.177
2001-08-31,228.402
2001-09-03,224.461
2001-09-04,221.691
2001-09-05,222.144
2001-09-06,220.525
2001-09-07,218.174
2001-09-10,215.987
2001-09-11,202.192
2001-09-12,209.417
2001-09-13,211.086
2001-09-14,211.19
2001-09-17,209.126
2001-09-18,203.634
2001-09-19,204.254
2001-09-20,193.301
2001-09-21,185.5
2001-09-24,191.029
2001-09-25,197.804
2001-09-26,198.982
2001-09-27,199.762
2001-09-28,204.06
2001-10-01,205.472
2001-10-02,205.122
2001-10-03,205.72
2001-10-04,215.255
2001-10-05,218.092
