Date,SWEDEN SMID CAP SMID (Small+Mid Cap)
1994-05-31,129.313
1994-06-30,123.597
1994-07-29,127.711
1994-08-31,124.432
1994-09-30,126.71
1994-10-31,136.895
1994-11-30,134.193
1994-12-30,135.199
1995-01-31,139.047
1995-02-28,140.491
1995-03-31,127.713
1995-04-28,140.003
1995-05-31,138.846
1995-06-30,143.925
1995-07-31,154.432
1995-08-31,147.74
1995-09-29,163.296
1995-10-31,160.532
1995-11-30,166.286
1995-12-29,167.085
1996-01-31,160.735
1996-02-29,169.421
1996-03-29,173.995
1996-04-30,183.268
1996-05-31,190.195
1996-06-28,196.213
1996-07-31,192.28
1996-08-30,200.045
1996-09-30,209.756
1996-10-31,214.461
1996-11-29,226.327
1996-12-31,230.245
1997-01-31,230.827
1997-02-28,234.447
1997-03-31,238.901
1997-04-30,219.255
1997-05-30,231.774
1997-06-30,237.487
1997-07-31,242.242
1997-08-29,239.499
1997-09-30,260.69
1997-10-31,247.309
1997-11-28,249.754
1997-12-31,245.17
1998-01-30,244.208
1998-02-27,259.526
1998-03-31,279.022
1998-04-30,293.459
1998-05-29,304.047
1998-06-30,296.303
1998-07-31,302.495
1998-08-31,257.857
1998-09-30,244.095
1998-10-30,241.999
1998-11-30,254.486
1998-12-31,252.644
1999-01-29,262.934
1999-02-26,258.276
1999-03-31,255.099
1999-04-30,262.796
1999-05-31,261.174
1999-06-30,267.526
1999-07-30,274.114
1999-08-31,280.864
1999-09-30,285.386
1999-10-29,287.195
1999-11-30,309.896
1999-12-31,364.369
2000-01-31,370.661
2000-02-29,425.847
2000-03-31,404.98
2000-04-28,371.413
2000-05-31,360.439
2000-06-30,341.493
2000-07-31,331.787
2000-08-31,322.884
2000-09-29,300.853
2000-10-31,281.613
2000-11-30,256.907
2000-12-29,277.077
2001-01-31,290.118
2001-02-28,268.975
2001-03-30,235.545
2001-04-30,258.124
2001-05-31,250.74
2001-06-29,235.47
2001-07-31,234.245
2001-08-31,218.178
2001-09-28,194.926
2001-10-31,210.083
2001-11-30,229.989
2001-12-31,237.754
2002-01-31,235.533
2002-02-28,245.09
2002-03-29,254.457
2002-04-30,250.22
2002-05-31,257.871
2002-06-28,263.63
2002-07-31,229.678
2002-08-30,222.984
2002-09-30,194.482
2002-10-31,213.832
2002-11-29,243.3
2002-12-31,225.332
2003-01-31,213.438
2003-02-28,218.373
2003-03-31,213.889
2003-04-30,252.491
2003-05-30,262.529
2003-06-30,266.774
2003-07-31,277.331
2003-08-29,281.678
2003-09-30,292.726
2003-10-31,318.999
2003-11-28,334.822
2003-12-31,359.182
2004-01-30,362.265
2004-02-27,364.113
2004-03-31,357.157
2004-04-30,360.894
2004-05-31,365.776
2004-06-30,369.392
2004-07-30,355.055
2004-08-31,358.587
2004-09-30,381.287
2004-10-29,391.445
2004-11-30,440.441
2004-12-31,459.202
2005-01-31,448.307
2005-02-28,480.968
2005-03-31,466.996
2005-04-29,447.084
2005-05-31,463.571
2005-06-30,458.472
2005-07-29,488.524
2005-08-31,494.096
2005-09-30,518.202
2005-10-31,494.275
2005-11-30,515.165
2005-12-30,555.617
2006-01-31,599.844
2006-02-28,610.137
2006-03-31,664.665
2006-04-28,725.074
2006-05-31,678.454
2006-06-30,680.703
2006-07-31,674.137
2006-08-31,693.176
2006-09-29,722.422
2006-10-31,765.652
2006-11-30,808.532
2006-12-29,883.762
2007-01-31,885.293
2007-02-28,869.01
2007-03-30,926.756
2007-04-30,999.02
2007-05-31,1000.0
2007-06-29,976.548
2007-07-31,984.243
2007-08-31,930.706
2007-09-28,964.784
2007-10-31,986.778
2007-11-30,929.828
2007-12-31,900.618
2008-01-31,812.672
2008-02-29,883.201
2008-03-31,901.66
2008-04-30,905.35
2008-05-30,942.063
2008-06-30,832.748
2008-07-31,769.999
2008-08-29,745.942
2008-09-30,582.212
2008-10-31,416.345
2008-11-28,378.698
2008-12-31,406.448
2009-01-30,370.029
2009-02-27,336.229
2009-03-31,374.897
2009-04-30,485.813
2009-05-29,544.964
2009-06-30,527.301
2009-07-31,632.715
2009-08-31,686.14
2009-09-30,708.862
2009-10-30,731.313
2009-11-30,755.801
2009-12-31,765.914
2010-01-29,747.831
2010-02-26,773.357
2010-03-31,828.374
2010-04-30,841.081
2010-05-31,724.358
2010-06-30,726.214
2010-07-30,827.247
2010-08-31,780.409
2010-09-30,946.863
2010-10-29,958.395
2010-11-30,925.059
2010-12-31,1034.155
2011-01-31,1066.707
2011-02-28,1062.772
2011-03-31,1102.677
2011-04-29,1177.364
2011-05-31,1146.15
2011-06-30,1083.199
2011-07-29,1046.458
2011-08-31,952.81
2011-09-30,813.952
2011-10-31,959.761
2011-11-30,917.419
2011-12-30,921.56
2012-01-31,982.151
2012-02-29,1058.896
2012-03-30,1045.406
2012-04-30,1022.898
2012-05-31,891.612
2012-06-29,936.786
2012-07-31,993.941
2012-08-31,1001.95
2012-09-28,1045.625
2012-10-31,1029.879
2012-11-30,1068.113
2012-12-31,1112.647
2013-01-31,1165.145
2013-02-28,1180.157
2013-03-29,1182.647
2013-04-30,1211.11
2013-05-31,1205.993
2013-06-28,1143.618
2013-07-31,1289.334
2013-08-30,1254.508
2013-09-30,1343.459
2013-10-31,1339.175
2013-11-29,1357.736
2013-12-31,1412.476
2014-01-31,1355.305
