Date,EUROPE MID GROWTH Mid Cap
1994-05-31,264.735
1994-06-30,259.476
1994-07-29,270.776
1994-08-31,278.068
1994-09-30,268.025
1994-10-31,275.943
1994-11-30,264.252
1994-12-30,267.371
1995-01-31,264.95
1995-02-28,267.381
1995-03-31,272.672
1995-04-28,282.308
1995-05-31,287.632
1995-06-30,292.437
1995-07-31,304.42
1995-08-31,293.098
1995-09-29,302.356
1995-10-31,297.364
1995-11-30,292.376
1995-12-29,300.396
1996-01-31,304.313
1996-02-29,320.718
1996-03-29,329.987
1996-04-30,338.152
1996-05-31,347.964
1996-06-28,351.248
1996-07-31,345.715
1996-08-30,355.831
1996-09-30,358.603
1996-10-31,367.944
1996-11-29,377.519
1996-12-31,387.917
1997-01-31,389.684
1997-02-28,395.639
1997-03-31,399.663
1997-04-30,389.795
1997-05-30,406.707
1997-06-30,427.069
1997-07-31,432.004
1997-08-29,418.848
1997-09-30,445.866
1997-10-31,429.048
1997-11-28,430.479
1997-12-31,435.145
1998-01-30,454.114
1998-02-27,490.475
1998-03-31,534.676
1998-04-30,555.549
1998-05-29,579.435
1998-06-30,573.298
1998-07-31,590.573
1998-08-31,513.913
1998-09-30,482.056
1998-10-30,518.075
1998-11-30,541.151
1998-12-31,572.18
1999-01-29,589.113
1999-02-26,562.283
1999-03-31,549.419
1999-04-30,551.36
1999-05-31,544.403
1999-06-30,552.982
1999-07-30,567.172
1999-08-31,571.317
1999-09-30,565.605
1999-10-29,569.757
1999-11-30,621.003
1999-12-31,714.654
2000-01-31,693.67
2000-02-29,822.639
2000-03-31,781.2
2000-04-28,695.074
2000-05-31,665.069
2000-06-30,675.784
2000-07-31,675.153
2000-08-31,677.617
2000-09-29,633.182
2000-10-31,582.9
2000-11-30,510.182
2000-12-29,545.468
2001-01-31,551.253
2001-02-28,492.058
2001-03-30,432.701
2001-04-30,463.646
2001-05-31,441.904
2001-06-29,416.532
2001-07-31,409.182
2001-08-31,395.581
2001-09-28,338.686
2001-10-31,362.296
2001-11-30,384.014
2001-12-31,387.045
2002-01-31,372.964
2002-02-28,368.292
2002-03-29,388.344
2002-04-30,378.643
2002-05-31,381.27
2002-06-28,363.662
2002-07-31,321.384
2002-08-30,324.215
2002-09-30,286.034
2002-10-31,311.023
2002-11-29,331.373
2002-12-31,311.663
2003-01-31,294.735
2003-02-28,275.468
2003-03-31,275.489
2003-04-30,313.551
2003-05-30,338.788
2003-06-30,340.102
2003-07-31,349.695
2003-08-29,351.882
2003-09-30,360.498
2003-10-31,392.574
2003-11-28,407.086
2003-12-31,430.941
2004-01-30,451.476
2004-02-27,464.108
2004-03-31,453.315
2004-04-30,447.243
2004-05-31,456.458
2004-06-30,463.948
2004-07-30,442.534
2004-08-31,440.902
2004-09-30,458.153
2004-10-29,476.002
2004-11-30,518.009
2004-12-31,541.008
2005-01-31,535.496
2005-02-28,562.145
2005-03-31,545.718
2005-04-29,531.366
2005-05-31,535.845
2005-06-30,545.498
2005-07-29,567.907
2005-08-31,580.643
2005-09-30,591.219
2005-10-31,568.303
2005-11-30,587.855
2005-12-30,611.303
2006-01-31,664.348
2006-02-28,671.606
2006-03-31,700.819
2006-04-28,736.841
2006-05-31,709.579
2006-06-30,708.589
2006-07-31,718.325
2006-08-31,748.816
2006-09-29,759.849
2006-10-31,797.588
2006-11-30,837.875
2006-12-29,878.323
2007-01-31,882.403
2007-02-28,885.584
2007-03-30,927.037
2007-04-30,975.881
2007-05-31,1000.0
2007-06-29,991.255
2007-07-31,976.832
2007-08-31,949.647
2007-09-28,981.867
2007-10-31,1033.698
2007-11-30,965.64
2007-12-31,947.311
2008-01-31,848.573
2008-02-29,876.343
2008-03-31,882.974
2008-04-30,915.695
2008-05-30,939.967
2008-06-30,864.377
2008-07-31,807.795
2008-08-29,791.367
2008-09-30,644.789
2008-10-31,466.914
2008-11-28,439.665
2008-12-31,462.11
2009-01-30,431.042
2009-02-27,397.511
2009-03-31,417.358
2009-04-30,478.374
2009-05-29,537.592
2009-06-30,526.79
2009-07-31,573.135
2009-08-31,603.191
2009-09-30,640.111
2009-10-30,623.557
2009-11-30,650.363
2009-12-31,663.918
2010-01-29,637.182
2010-02-26,624.873
2010-03-31,672.49
2010-04-30,669.996
2010-05-31,587.521
2010-06-30,586.709
2010-07-30,649.265
2010-08-31,622.566
2010-09-30,708.085
2010-10-29,734.828
2010-11-30,698.684
2010-12-31,764.954
2011-01-31,777.418
2011-02-28,805.306
2011-03-31,814.548
2011-04-29,872.457
2011-05-31,848.752
2011-06-30,826.941
2011-07-29,798.429
2011-08-31,731.469
2011-09-30,636.255
2011-10-31,711.403
2011-11-30,679.115
2011-12-30,666.646
2012-01-31,701.986
2012-02-29,756.969
2012-03-30,763.847
2012-04-30,753.685
2012-05-31,661.39
2012-06-29,694.996
2012-07-31,704.277
2012-08-31,731.222
2012-09-28,760.261
2012-10-31,765.476
2012-11-30,788.625
2012-12-31,803.842
2013-01-31,838.411
2013-02-28,838.763
2013-03-29,846.053
2013-04-30,865.915
2013-05-31,870.505
2013-06-28,839.462
2013-07-31,909.879
2013-08-30,903.777
2013-09-30,958.959
2013-10-31,989.517
2013-11-29,999.071
2013-12-31,1029.086
2014-01-31,1004.77
2014-02-28,1089.018
2014-03-31,1071.957
2014-04-30,1084.38
2014-05-30,1092.009
2014-06-30,1080.39
2014-07-31,1029.741
2014-08-29,1034.02
2014-09-30,971.88
2014-10-31,957.193
2014-11-28,987.632
2014-12-31,970.55
2015-01-30,971.255
2015-02-27,1037.098
2015-03-31,1005.752
2015-04-30,1055.584
2015-05-29,1062.196
2015-06-30,1038.602
2015-07-31,1067.158
2015-08-31,1009.063
2015-09-30,974.508
2015-10-30,1037.733
2015-11-30,1034.17
2015-12-31,1027.869
2016-01-29,950.062
2016-02-29,941.812
2016-03-31,1012.993
2016-04-29,1021.817
2016-05-31,1024.968
2016-06-30,962.517
2016-07-29,1018.671
2016-08-31,1022.356
2016-09-30,1028.363
2016-10-31,967.929
2016-11-30,944.213
2016-12-30,973.845
2017-01-31,1023.042
2017-02-28,1036.304
2017-03-31,1068.772
2017-04-28,1121.082
2017-05-31,1172.416
2017-06-30,1156.26
2017-07-31,1198.404
2017-08-31,1207.125
2017-09-29,1252.155
2017-10-31,1265.35
2017-11-30,1257.117
2017-12-29,1280.399
2018-01-31,1350.959
2018-02-28,1281.464
2018-03-30,1264.191
2018-04-30,1278.263
2018-05-31,1273.476
2018-06-29,1258.203
2018-07-31,1297.137
2018-08-31,1289.822
2018-09-28,1272.347
2018-10-31,1137.973
2018-11-30,1099.931
2018-12-31,1047.164
2019-01-31,1128.373
2019-02-28,1168.46
2019-03-29,1173.011
2019-04-30,1223.382
2019-05-31,1159.811
2019-06-28,1242.781
2019-07-31,1224.483
2019-08-30,1203.119
2019-09-30,1215.543
2019-10-31,1260.275
2019-11-29,1302.437
2019-12-31,1353.389
2020-01-31,1345.14
2020-02-28,1242.777
2020-03-31,1058.019
2020-04-30,1154.347
2020-05-29,1252.313
2020-06-30,1281.364
2020-07-31,1372.422
2020-08-31,1450.51
2020-09-30,1431.735
2020-10-30,1375.171
2020-11-30,1536.985
2020-12-31,1633.698
2021-01-29,1614.145
2021-02-26,1605.279
2021-03-31,1631.569
2021-04-30,1750.404
2021-05-31,1821.661
2021-06-30,1820.967
2021-07-30,1895.364
2021-08-31,1920.732
2021-09-30,1788.24
2021-10-29,1865.182
2021-11-30,1781.817
2021-12-31,1861.577
2022-01-31,1628.578
2022-02-28,1576.866
2022-03-31,1579.217
2022-04-29,1450.107
2022-05-31,1414.887
2022-06-30,1263.871
2022-07-29,1363.776
2022-08-31,1242.291
2022-09-30,1102.67
2022-10-31,1178.912
2022-11-30,1305.162
2022-12-30,1305.499
2023-01-31,1435.932
2023-02-28,1416.132
2023-03-31,1464.384
2023-04-28,1512.52
2023-05-31,1421.824
2023-06-30,1453.553
2023-07-31,1516.82
2023-08-31,1445.757
2023-09-29,1342.222
2023-10-31,1264.332
2023-11-30,1432.404
2023-12-29,1535.824
2024-01-31,1501.048
2024-02-29,1547.229
2024-03-29,1591.708
2024-04-30,1528.578
2024-05-31,1606.695
2024-06-28,1558.412
2024-07-31,1590.187
2024-08-30,1650.378
2024-09-30,1672.708
2024-10-31,1558.466
2024-11-29,1568.118
2024-12-31,1539.565
2025-01-31,1636.933
2025-02-28,1659.058
2025-03-31,1655.637
2025-04-30,1767.109
2025-05-30,1902.651
2025-06-30,1950.544
2025-07-31,1926.731
2025-08-29,1974.606
2025-09-30,1995.282
