Date,EUROPE MID GROWTH Mid Cap
1994-05-31,256.423
1994-06-30,251.583
1994-07-29,262.667
1994-08-31,269.765
1994-09-30,260.032
1994-10-31,267.733
1994-11-30,256.398
1994-12-30,259.43
1995-01-31,257.11
1995-02-28,259.481
1995-03-31,264.637
1995-04-28,274.091
1995-05-31,279.519
1995-06-30,284.515
1995-07-31,296.29
1995-08-31,285.294
1995-09-29,294.319
1995-10-31,289.477
1995-11-30,284.621
1995-12-29,292.447
1996-01-31,296.279
1996-02-29,312.265
1996-03-29,321.315
1996-04-30,329.388
1996-05-31,339.166
1996-06-28,342.645
1996-07-31,337.392
1996-08-30,347.273
1996-09-30,350.002
1996-10-31,359.145
1996-11-29,368.494
1996-12-31,378.667
1997-01-31,380.407
1997-02-28,386.232
1997-03-31,390.187
1997-04-30,380.695
1997-05-30,397.479
1997-06-30,417.611
1997-07-31,422.608
1997-08-29,409.738
1997-09-30,436.185
1997-10-31,419.756
1997-11-28,421.159
1997-12-31,425.728
1998-01-30,444.322
1998-02-27,479.922
1998-03-31,523.205
1998-04-30,543.829
1998-05-29,567.5
1998-06-30,561.785
1998-07-31,578.877
1998-08-31,503.746
1998-09-30,472.534
1998-10-30,507.849
1998-11-30,530.47
1998-12-31,560.886
1999-01-29,577.51
1999-02-26,551.208
1999-03-31,538.626
1999-04-30,540.638
1999-05-31,533.931
1999-06-30,542.423
1999-07-30,556.404
1999-08-31,560.487
1999-09-30,554.886
1999-10-29,558.972
1999-11-30,609.249
1999-12-31,701.129
2000-01-31,680.551
2000-02-29,807.081
2000-03-31,766.501
2000-04-28,682.325
2000-05-31,653.047
2000-06-30,663.611
2000-07-31,663.109
2000-08-31,665.531
2000-09-29,621.889
2000-10-31,572.507
2000-11-30,501.089
2000-12-29,535.763
2001-01-31,541.488
2001-02-28,483.357
2001-03-30,425.136
2001-04-30,455.645
2001-05-31,434.604
2001-06-29,409.788
2001-07-31,402.645
2001-08-31,389.275
2001-09-28,333.291
2001-10-31,356.537
2001-11-30,377.911
2001-12-31,380.908
2002-01-31,367.081
2002-02-28,362.485
2002-03-29,382.347
2002-04-30,372.939
2002-05-31,375.861
2002-06-28,358.606
2002-07-31,316.958
2002-08-30,319.804
2002-09-30,282.143
2002-10-31,306.799
2002-11-29,326.88
2002-12-31,307.437
2003-01-31,290.798
2003-02-28,271.788
2003-03-31,271.873
2003-04-30,309.802
2003-05-30,335.023
2003-06-30,336.465
2003-07-31,346.001
2003-08-29,348.209
2003-09-30,356.735
2003-10-31,388.496
2003-11-28,402.874
2003-12-31,426.487
2004-01-30,446.848
2004-02-27,459.35
2004-03-31,448.704
2004-04-30,443.02
2004-05-31,452.663
2004-06-30,460.231
2004-07-30,439.019
2004-08-31,437.443
2004-09-30,454.571
2004-10-29,472.291
2004-11-30,514.015
2004-12-31,536.839
2005-01-31,531.406
2005-02-28,557.852
2005-03-31,541.601
2005-04-29,527.606
2005-05-31,532.863
2005-06-30,542.612
2005-07-29,564.979
2005-08-31,577.668
2005-09-30,588.194
2005-10-31,565.448
2005-11-30,584.936
2005-12-30,608.277
2006-01-31,661.114
2006-02-28,668.361
2006-03-31,697.55
2006-04-28,733.885
2006-05-31,707.774
2006-06-30,706.93
2006-07-31,716.846
2006-08-31,747.275
2006-09-29,758.288
2006-10-31,796.037
2006-11-30,836.27
2006-12-29,876.685
2007-01-31,880.822
2007-02-28,884.044
2007-03-30,925.562
2007-04-30,974.778
2007-05-31,1000.0
2007-06-29,991.41
2007-07-31,977.153
2007-08-31,949.978
2007-09-28,982.224
2007-10-31,1034.247
2007-11-30,966.165
2007-12-31,947.872
2008-01-31,849.143
2008-02-29,876.98
2008-03-31,884.115
2008-04-30,918.034
2008-05-30,943.551
2008-06-30,867.958
2008-07-31,811.354
2008-08-29,794.886
2008-09-30,647.789
2008-10-31,469.109
2008-11-28,441.767
2008-12-31,464.387
2009-01-30,433.26
2009-02-27,399.612
2009-03-31,419.756
2009-04-30,481.623
2009-05-29,542.131
2009-06-30,531.451
2009-07-31,578.378
2009-08-31,608.729
2009-09-30,646.02
2009-10-30,629.328
2009-11-30,656.451
2009-12-31,670.233
2010-01-29,643.272
2010-02-26,630.888
2010-03-31,679.349
2010-04-30,677.334
2010-05-31,594.482
2010-06-30,593.939
2010-07-30,657.425
2010-08-31,630.408
2010-09-30,717.029
2010-10-29,744.147
2010-11-30,707.584
2010-12-31,774.737
2011-01-31,787.393
2011-02-28,815.719
2011-03-31,825.578
2011-04-29,885.154
2011-05-31,862.412
2011-06-30,840.467
2011-07-29,811.665
2011-08-31,743.648
2011-09-30,646.895
2011-10-31,723.313
2011-11-30,690.547
2011-12-30,677.942
2012-01-31,713.937
2012-02-29,769.929
2012-03-30,777.333
2012-04-30,767.675
2012-05-31,674.631
2012-06-29,709.268
2012-07-31,718.831
2012-08-31,746.419
2012-09-28,776.134
2012-10-31,781.514
2012-11-30,805.228
2012-12-31,820.89
2013-01-31,856.32
2013-02-28,856.685
2013-03-29,864.406
2013-04-30,885.602
2013-05-31,891.874
2013-06-28,860.362
2013-07-31,932.7
2013-08-30,926.525
2013-09-30,983.24
2013-10-31,1014.603
2013-11-29,1024.471
2013-12-31,1055.304
2014-01-31,1030.512
2014-02-28,1116.95
2014-03-31,1099.846
2014-04-30,1113.436
2014-05-30,1122.522
2014-06-30,1110.876
2014-07-31,1058.836
2014-08-29,1063.345
2014-09-30,999.489
2014-10-31,984.403
2014-11-28,1015.774
2014-12-31,998.222
2015-01-30,999.059
2015-02-27,1066.909
2015-03-31,1035.011
2015-04-30,1087.004
2015-05-29,1094.752
2015-06-30,1070.832
2015-07-31,1100.287
2015-08-31,1040.447
2015-09-30,1004.843
2015-10-30,1070.114
2015-11-30,1066.44
2015-12-31,1060.017
2016-01-29,979.834
2016-02-29,971.611
2016-03-31,1045.302
2016-04-29,1055.364
2016-05-31,1059.786
2016-06-30,995.487
2016-07-29,1053.739
2016-08-31,1057.644
2016-09-30,1063.937
2016-10-31,1001.438
2016-11-30,976.962
2016-12-30,1007.722
2017-01-31,1058.658
2017-02-28,1072.541
2017-03-31,1106.632
2017-04-28,1161.729
2017-05-31,1216.542
2017-06-30,1200.035
2017-07-31,1243.898
2017-08-31,1253.136
2017-09-29,1300.03
2017-10-31,1313.894
2017-11-30,1305.469
2017-12-29,1329.674
2018-01-31,1402.95
2018-02-28,1330.984
2018-03-30,1313.561
2018-04-30,1329.78
2018-05-31,1326.788
2018-06-29,1311.415
2018-07-31,1352.071
2018-08-31,1344.724
2018-09-28,1326.629
2018-10-31,1186.684
2018-11-30,1147.105
2018-12-31,1092.099
