Date,EUROPE MID GROWTH Mid Cap
2001-01-01,545.468
2001-01-02,538.161
2001-01-03,520.214
2001-01-04,529.211
2001-01-05,525.521
2001-01-08,517.569
2001-01-09,512.849
2001-01-10,514.996
2001-01-11,526.642
2001-01-12,537.232
2001-01-15,532.919
2001-01-16,526.0
2001-01-17,538.996
2001-01-18,548.141
2001-01-19,549.257
2001-01-22,544.421
2001-01-23,543.731
2001-01-24,540.715
2001-01-25,541.371
2001-01-26,539.105
2001-01-29,536.975
2001-01-30,543.259
2001-01-31,551.253
2001-02-01,553.558
2001-02-02,543.638
2001-02-05,541.511
2001-02-06,542.573
2001-02-07,536.494
2001-02-08,530.099
2001-02-09,526.817
2001-02-12,530.471
2001-02-13,524.355
2001-02-14,514.479
2001-02-15,514.348
2001-02-16,511.877
2001-02-19,510.712
2001-02-20,503.862
2001-02-21,500.47
2001-02-22,493.292
2001-02-23,487.625
2001-02-26,492.797
2001-02-27,498.392
2001-02-28,492.058
2001-03-01,484.243
2001-03-02,487.104
2001-03-05,485.887
2001-03-06,498.16
2001-03-07,498.72
2001-03-08,498.461
2001-03-09,490.816
2001-03-12,475.81
2001-03-13,461.671
2001-03-14,449.138
2001-03-15,451.408
2001-03-16,438.845
2001-03-19,436.444
2001-03-20,445.151
2001-03-21,431.655
2001-03-22,406.731
2001-03-23,422.238
2001-03-26,436.217
2001-03-27,442.038
2001-03-28,435.532
2001-03-29,430.828
2001-03-30,432.701
2001-04-02,426.878
2001-04-03,413.745
2001-04-04,419.028
2001-04-05,427.13
2001-04-06,426.619
2001-04-09,429.156
2001-04-10,433.101
2001-04-11,436.115
2001-04-12,441.114
2001-04-13,441.114
2001-04-16,437.343
2001-04-17,434.185
2001-04-18,446.925
2001-04-19,458.497
2001-04-20,461.659
2001-04-23,452.185
2001-04-24,450.327
2001-04-25,450.851
2001-04-26,458.022
2001-04-27,458.803
2001-04-30,463.646
2001-05-01,463.774
2001-05-02,466.473
2001-05-03,459.913
2001-05-04,459.575
2001-05-07,460.092
2001-05-08,460.219
2001-05-09,455.246
2001-05-10,457.856
2001-05-11,454.272
2001-05-14,448.296
2001-05-15,450.282
2001-05-16,451.395
2001-05-17,455.013
2001-05-18,456.445
2001-05-21,459.929
2001-05-22,462.29
2001-05-23,457.005
2001-05-24,454.098
2001-05-25,454.24
2001-05-28,455.644
2001-05-29,449.734
2001-05-30,444.696
2001-05-31,441.904
2001-06-01,439.337
2001-06-04,441.08
2001-06-05,443.621
2001-06-06,440.558
2001-06-07,442.79
2001-06-08,441.115
2001-06-11,434.187
2001-06-12,429.687
2001-06-13,433.201
2001-06-14,429.831
2001-06-15,426.367
2001-06-18,423.616
2001-06-19,422.186
2001-06-20,414.737
2001-06-21,416.69
2001-06-22,417.913
2001-06-25,419.894
2001-06-26,413.777
2001-06-27,414.421
2001-06-28,413.47
2001-06-29,416.532
2001-07-02,418.276
2001-07-03,413.828
2001-07-04,409.428
2001-07-05,400.521
2001-07-06,396.517
2001-07-09,397.319
2001-07-10,401.325
2001-07-11,397.456
2001-07-12,398.557
2001-07-13,398.014
2001-07-16,397.432
2001-07-17,392.961
2001-07-18,398.537
2001-07-19,401.062
2001-07-20,400.141
2001-07-23,397.771
2001-07-24,396.903
2001-07-25,395.675
2001-07-26,396.183
2001-07-27,401.061
2001-07-30,405.853
2001-07-31,409.182
2001-08-01,414.263
2001-08-02,419.431
2001-08-03,418.105
2001-08-06,414.314
2001-08-07,410.582
2001-08-08,408.534
2001-08-09,406.777
2001-08-10,407.647
2001-08-13,409.86
2001-08-14,413.308
2001-08-15,416.155
2001-08-16,411.558
2001-08-17,410.071
2001-08-20,405.95
2001-08-21,407.397
2001-08-22,409.176
2001-08-23,406.987
2001-08-24,411.277
2001-08-27,409.866
2001-08-28,406.319
2001-08-29,405.197
2001-08-30,397.291
2001-08-31,395.581
2001-09-03,390.54
2001-09-04,387.456
2001-09-05,381.34
2001-09-06,374.497
2001-09-07,373.841
2001-09-10,365.601
2001-09-11,349.418
2001-09-12,347.674
2001-09-13,349.549
2001-09-14,339.88
2001-09-17,337.529
2001-09-18,332.567
2001-09-19,331.195
2001-09-20,316.782
2001-09-21,304.867
2001-09-24,316.733
2001-09-25,327.457
2001-09-26,331.664
2001-09-27,332.497
2001-09-28,338.686
2001-10-01,333.914
2001-10-02,333.438
2001-10-03,336.445
2001-10-04,346.682
2001-10-05,347.22
2001-10-08,347.933
2001-10-09,349.778
2001-10-10,354.321
2001-10-11,360.247
2001-10-12,360.482
2001-10-15,358.227
2001-10-16,361.783
2001-10-17,368.456
2001-10-18,360.264
2001-10-19,354.742
2001-10-22,355.32
2001-10-23,361.719
2001-10-24,364.308
2001-10-25,361.492
2001-10-26,366.668
2001-10-29,367.419
2001-10-30,360.479
2001-10-31,362.296
2001-11-01,365.231
2001-11-02,365.922
2001-11-05,370.241
2001-11-06,372.067
2001-11-07,375.033
2001-11-08,378.148
2001-11-09,378.264
2001-11-12,372.007
2001-11-13,377.308
2001-11-14,382.837
2001-11-15,386.021
2001-11-16,390.456
2001-11-19,392.493
2001-11-20,387.497
2001-11-21,382.094
2001-11-22,385.451
2001-11-23,383.266
2001-11-26,386.442
2001-11-27,385.246
2001-11-28,381.699
2001-11-29,380.27
2001-11-30,384.014
2001-12-03,379.835
2001-12-04,383.591
2001-12-05,392.892
2001-12-06,395.046
2001-12-07,393.063
2001-12-10,387.873
2001-12-11,387.032
2001-12-12,385.805
2001-12-13,380.334
2001-12-14,378.347
2001-12-17,384.413
2001-12-18,384.681
2001-12-19,381.065
2001-12-20,378.307
2001-12-21,376.779
2001-12-24,374.31
2001-12-25,374.301
2001-12-26,374.969
2001-12-27,382.047
2001-12-28,383.457
2001-12-31,387.045
2002-01-01,387.045
2002-01-02,389.5
2002-01-03,395.565
2002-01-04,396.091
2002-01-07,393.785
2002-01-08,391.66
2002-01-09,391.014
2002-01-10,389.494
2002-01-11,390.077
2002-01-14,385.64
2002-01-15,385.588
2002-01-16,377.81
2002-01-17,380.206
2002-01-18,380.682
2002-01-21,378.981
2002-01-22,378.714
2002-01-23,379.425
2002-01-24,380.444
2002-01-25,374.452
2002-01-28,374.624
2002-01-29,372.412
2002-01-30,369.26
2002-01-31,372.964
2002-02-01,373.58
2002-02-04,373.593
2002-02-05,370.245
2002-02-06,367.138
2002-02-07,366.339
2002-02-08,367.765
2002-02-11,371.913
2002-02-12,371.207
2002-02-13,371.015
2002-02-14,371.789
2002-02-15,372.239
2002-02-18,369.273
2002-02-19,365.645
2002-02-20,362.262
2002-02-21,363.785
2002-02-22,364.106
2002-02-25,365.246
2002-02-26,367.504
2002-02-27,369.802
2002-02-28,368.292
2002-03-01,371.011
2002-03-04,380.128
2002-03-05,377.929
2002-03-06,380.703
2002-03-07,387.154
2002-03-08,387.779
2002-03-11,386.357
2002-03-12,380.83
2002-03-13,381.843
2002-03-14,385.41
2002-03-15,387.344
2002-03-18,390.697
2002-03-19,392.138
2002-03-20,391.302
2002-03-21,389.916
2002-03-22,389.402
2002-03-25,386.392
2002-03-26,386.387
2002-03-27,385.617
2002-03-28,388.344
2002-03-29,388.344
2002-04-01,391.809
2002-04-02,391.682
2002-04-03,388.762
2002-04-04,386.249
2002-04-05,386.084
2002-04-08,380.463
2002-04-09,382.267
2002-04-10,384.875
2002-04-11,383.016
2002-04-12,382.632
2002-04-15,383.139
2002-04-16,386.938
2002-04-17,388.778
2002-04-18,386.645
2002-04-19,387.023
2002-04-22,384.315
2002-04-23,383.089
2002-04-24,381.855
2002-04-25,381.013
