Date,ACWI MID VALUE Mid Cap
1994-05-31,248.531
1994-06-30,251.288
1994-07-29,255.575
1994-08-31,261.333
1994-09-30,255.455
1994-10-31,257.232
1994-11-30,243.817
1994-12-30,246.431
1995-01-31,241.91
1995-02-28,242.634
1995-03-31,251.709
1995-04-28,258.756
1995-05-31,259.087
1995-06-30,258.201
1995-07-31,269.963
1995-08-31,265.494
1995-09-29,266.582
1995-10-31,260.137
1995-11-30,265.945
1995-12-29,273.822
1996-01-31,279.413
1996-02-29,281.196
1996-03-29,286.43
1996-04-30,296.545
1996-05-31,293.333
1996-06-28,293.854
1996-07-31,282.891
1996-08-30,285.577
1996-09-30,291.41
1996-10-31,290.395
1996-11-29,299.5
1996-12-31,297.556
1997-01-31,296.51
1997-02-28,301.606
1997-03-31,293.93
1997-04-30,295.347
1997-05-30,313.453
1997-06-30,324.351
1997-07-31,331.044
1997-08-29,317.488
1997-09-30,329.216
1997-10-31,315.449
1997-11-28,311.152
1997-12-31,313.053
1998-01-30,314.633
1998-02-27,336.322
1998-03-31,351.821
1998-04-30,351.71
1998-05-29,343.622
1998-06-30,334.337
1998-07-31,326.482
1998-08-31,280.185
1998-09-30,283.63
1998-10-30,306.871
1998-11-30,318.052
1998-12-31,323.267
1999-01-29,315.224
1999-02-26,308.607
1999-03-31,320.831
1999-04-30,348.133
1999-05-31,343.847
1999-06-30,353.697
1999-07-30,355.036
1999-08-31,351.982
1999-09-30,344.648
1999-10-29,345.512
1999-11-30,343.578
1999-12-31,357.185
2000-01-31,343.216
2000-02-29,336.74
2000-03-31,356.091
2000-04-28,346.722
2000-05-31,348.062
2000-06-30,355.493
2000-07-31,350.979
2000-08-31,365.719
2000-09-29,355.527
2000-10-31,347.629
2000-11-30,342.908
2000-12-29,362.355
2001-01-31,369.825
2001-02-28,363.669
2001-03-30,346.431
2001-04-30,366.616
2001-05-31,372.853
2001-06-29,368.159
2001-07-31,362.971
2001-08-31,361.659
2001-09-28,321.019
2001-10-31,326.313
2001-11-30,343.679
2001-12-31,353.427
2002-01-31,353.751
2002-02-28,360.465
2002-03-29,381.346
2002-04-30,388.073
2002-05-31,393.161
2002-06-28,373.709
2002-07-31,340.42
2002-08-30,342.913
2002-09-30,309.473
2002-10-31,318.563
2002-11-29,335.125
2002-12-31,328.472
2003-01-31,321.072
2003-02-28,315.222
2003-03-31,313.544
2003-04-30,339.514
2003-05-30,365.781
2003-06-30,370.692
2003-07-31,381.796
2003-08-29,394.893
2003-09-30,399.795
2003-10-31,428.023
2003-11-28,435.312
2003-12-31,462.659
2004-01-30,471.743
2004-02-27,489.607
2004-03-31,496.842
2004-04-30,481.655
2004-05-31,489.992
2004-06-30,509.33
2004-07-30,499.293
2004-08-31,506.112
2004-09-30,522.897
2004-10-29,537.527
2004-11-30,575.707
2004-12-31,601.606
2005-01-31,593.603
2005-02-28,618.879
2005-03-31,610.665
2005-04-29,593.582
2005-05-31,606.802
2005-06-30,621.13
2005-07-29,648.124
2005-08-31,651.728
2005-09-30,674.367
2005-10-31,653.036
2005-11-30,680.869
2005-12-30,704.218
2006-01-31,740.809
2006-02-28,743.793
2006-03-31,762.706
2006-04-28,789.423
2006-05-31,763.704
2006-06-30,766.926
2006-07-31,771.698
2006-08-31,790.839
2006-09-29,801.729
2006-10-31,835.423
2006-11-30,868.926
2006-12-29,886.17
2007-01-31,905.842
2007-02-28,915.556
2007-03-30,931.424
2007-04-30,966.84
2007-05-31,1000.0
2007-06-29,983.909
2007-07-31,956.911
2007-08-31,945.635
2007-09-28,972.943
2007-10-31,997.962
2007-11-30,933.058
2007-12-31,908.623
2008-01-31,855.723
2008-02-29,854.955
2008-03-31,849.775
2008-04-30,883.572
2008-05-30,903.606
2008-06-30,806.019
2008-07-31,788.575
2008-08-29,784.955
2008-09-30,696.188
2008-10-31,537.412
2008-11-28,512.272
2008-12-31,544.238
2009-01-30,496.855
2009-02-27,437.785
2009-03-31,478.561
2009-04-30,560.008
2009-05-29,615.448
2009-06-30,612.286
2009-07-31,678.043
2009-08-31,718.502
2009-09-30,758.061
2009-10-30,733.822
2009-11-30,755.98
2009-12-31,781.551
2010-01-29,758.931
2010-02-26,772.849
2010-03-31,829.898
2010-04-30,844.325
2010-05-31,764.776
2010-06-30,743.799
2010-07-30,806.651
2010-08-31,777.456
2010-09-30,854.796
2010-10-29,883.167
2010-11-30,861.839
2010-12-31,934.847
2011-01-31,952.275
2011-02-28,975.789
