Date,ACWI MID VALUE Mid Cap
2001-01-01,362.375
2001-01-02,358.979
2001-01-03,362.112
2001-01-04,361.22
2001-01-05,359.88
2001-01-08,359.949
2001-01-09,357.797
2001-01-10,359.073
2001-01-11,358.917
2001-01-12,358.128
2001-01-15,357.469
2001-01-16,358.759
2001-01-17,359.32
2001-01-18,361.152
2001-01-19,359.678
2001-01-22,361.23
2001-01-23,364.222
2001-01-24,362.798
2001-01-25,364.216
2001-01-26,363.771
2001-01-29,366.005
2001-01-30,368.429
2001-01-31,369.825
2001-02-01,371.994
2001-02-02,369.628
2001-02-05,369.782
2001-02-06,369.42
2001-02-07,368.545
2001-02-08,367.48
2001-02-09,367.621
2001-02-12,370.085
2001-02-13,369.802
2001-02-14,369.805
2001-02-15,370.199
2001-02-16,368.641
2001-02-19,368.347
2001-02-20,366.584
2001-02-21,363.435
2001-02-22,361.386
2001-02-23,360.871
2001-02-26,365.005
2001-02-27,365.683
2001-02-28,363.669
2001-03-01,363.316
2001-03-02,364.054
2001-03-05,364.684
2001-03-06,367.795
2001-03-07,368.491
2001-03-08,369.783
2001-03-09,366.865
2001-03-12,358.774
2001-03-13,354.836
2001-03-14,348.307
2001-03-15,349.869
2001-03-16,344.562
2001-03-19,346.929
2001-03-20,345.577
2001-03-21,342.741
2001-03-22,334.361
2001-03-23,340.215
2001-03-26,346.919
2001-03-27,349.621
2001-03-28,347.485
2001-03-29,345.713
2001-03-30,346.431
2001-04-02,343.281
2001-04-03,339.476
2001-04-04,341.258
2001-04-05,347.166
2001-04-06,345.109
2001-04-09,346.144
2001-04-10,349.398
2001-04-11,348.99
2001-04-12,352.272
2001-04-13,352.398
2001-04-16,350.687
2001-04-17,351.745
2001-04-18,358.125
2001-04-19,360.861
2001-04-20,360.373
2001-04-23,358.981
2001-04-24,358.722
2001-04-25,361.196
2001-04-26,363.732
2001-04-27,365.142
2001-04-30,366.616
2001-05-01,369.673
2001-05-02,369.753
2001-05-03,368.045
2001-05-04,369.919
2001-05-07,369.482
2001-05-08,368.205
2001-05-09,367.292
2001-05-10,368.658
2001-05-11,367.568
2001-05-14,366.185
2001-05-15,368.407
2001-05-16,372.124
2001-05-17,375.736
2001-05-18,376.264
2001-05-21,379.642
2001-05-22,379.454
2001-05-23,377.527
2001-05-24,377.06
2001-05-25,375.347
2001-05-28,375.241
2001-05-29,374.311
2001-05-30,371.229
2001-05-31,372.853
2001-06-01,373.078
2001-06-04,373.952
2001-06-05,374.937
2001-06-06,373.46
2001-06-07,374.754
2001-06-08,374.559
2001-06-11,371.445
2001-06-12,369.598
2001-06-13,370.012
2001-06-14,366.299
2001-06-15,365.517
2001-06-18,364.038
2001-06-19,363.615
2001-06-20,363.085
2001-06-21,364.64
2001-06-22,364.638
2001-06-25,363.898
2001-06-26,364.369
2001-06-27,364.69
2001-06-28,364.731
2001-06-29,368.159
2001-07-02,368.467
2001-07-03,368.838
2001-07-04,367.715
2001-07-05,365.27
2001-07-06,360.93
2001-07-09,360.632
2001-07-10,359.924
2001-07-11,358.559
2001-07-12,361.849
2001-07-13,362.075
2001-07-16,360.431
2001-07-17,360.375
2001-07-18,361.204
2001-07-19,362.033
2001-07-20,361.127
2001-07-23,357.927
2001-07-24,355.158
2001-07-25,357.273
2001-07-26,359.631
2001-07-27,360.45
2001-07-30,360.399
2001-07-31,362.971
2001-08-01,365.468
2001-08-02,368.868
2001-08-03,368.322
2001-08-06,366.097
2001-08-07,366.011
2001-08-08,363.738
2001-08-09,362.445
2001-08-10,364.875
2001-08-13,365.34
2001-08-14,367.27
2001-08-15,369.477
2001-08-16,369.363
2001-08-17,367.451
2001-08-20,366.241
2001-08-21,366.869
2001-08-22,368.505
2001-08-23,367.388
2001-08-24,368.493
2001-08-27,367.74
2001-08-28,366.299
2001-08-29,364.889
2001-08-30,361.204
2001-08-31,361.659
2001-09-03,359.6
2001-09-04,359.903
2001-09-05,357.184
2001-09-06,353.933
2001-09-07,350.47
2001-09-10,345.957
2001-09-11,342.356
2001-09-12,337.185
2001-09-13,338.389
2001-09-14,337.551
2001-09-17,324.212
2001-09-18,322.672
2001-09-19,320.485
2001-09-20,311.325
2001-09-21,303.421
2001-09-24,309.846
2001-09-25,313.195
2001-09-26,312.8
2001-09-27,314.268
