Date,ACWI MID VALUE Mid Cap
1994-05-31,261.074
1994-06-30,263.894
1994-07-29,268.336
1994-08-31,274.371
1994-09-30,268.155
1994-10-31,269.99
1994-11-30,255.897
1994-12-30,258.618
1995-01-31,253.854
1995-02-28,254.6
1995-03-31,264.046
1995-04-28,271.393
1995-05-31,271.67
1995-06-30,270.66
1995-07-31,282.906
1995-08-31,278.204
1995-09-29,279.291
1995-10-31,272.51
1995-11-30,278.58
1995-12-29,286.809
1996-01-31,292.639
1996-02-29,294.482
1996-03-29,299.893
1996-04-30,310.409
1996-05-31,306.951
1996-06-28,307.405
1996-07-31,295.849
1996-08-30,298.636
1996-09-30,304.69
1996-10-31,303.608
1996-11-29,313.113
1996-12-31,311.059
1997-01-31,309.938
1997-02-28,315.242
1997-03-31,307.166
1997-04-30,308.558
1997-05-30,327.36
1997-06-30,338.626
1997-07-31,345.542
1997-08-29,331.381
1997-09-30,343.57
1997-10-31,329.184
1997-11-28,324.685
1997-12-31,326.642
1998-01-30,328.269
1998-02-27,350.881
1998-03-31,366.969
1998-04-30,366.754
1998-05-29,358.21
1998-06-30,348.409
1998-07-31,340.168
1998-08-31,291.912
1998-09-30,295.462
1998-10-30,319.65
1998-11-30,331.278
1998-12-31,336.697
1999-01-29,328.281
1999-02-26,321.323
1999-03-31,333.922
1999-04-30,362.254
1999-05-31,357.674
1999-06-30,367.809
1999-07-30,369.147
1999-08-31,365.888
1999-09-30,358.168
1999-10-29,359.029
1999-11-30,356.943
1999-12-31,371.014
2000-01-31,356.463
2000-02-29,349.663
2000-03-31,369.583
2000-04-28,359.776
2000-05-31,361.041
2000-06-30,368.642
2000-07-31,363.879
2000-08-31,379.066
2000-09-29,368.385
2000-10-31,360.146
2000-11-30,355.178
2000-12-29,375.24
2001-01-31,382.919
2001-02-28,376.472
2001-03-30,358.449
2001-04-30,379.173
2001-05-31,385.381
2001-06-29,380.364
2001-07-31,374.925
2001-08-31,373.466
2001-09-28,331.372
2001-10-31,336.784
2001-11-30,354.62
2001-12-31,364.584
2002-01-31,364.858
2002-02-28,371.695
2002-03-29,393.042
2002-04-30,399.847
2002-05-31,404.852
2002-06-28,384.627
2002-07-31,350.297
2002-08-30,352.689
2002-09-30,318.086
2002-10-31,327.33
2002-11-29,344.173
2002-12-31,337.14
2003-01-31,329.478
2003-02-28,323.273
2003-03-31,321.252
2003-04-30,347.654
2003-05-30,374.218
2003-06-30,378.976
2003-07-31,390.217
2003-08-29,403.409
2003-09-30,408.182
2003-10-31,436.926
2003-11-28,444.169
2003-12-31,471.809
2004-01-30,480.97
2004-02-27,498.959
2004-03-31,505.979
2004-04-30,490.238
2004-05-31,498.342
2004-06-30,517.72
2004-07-30,507.392
2004-08-31,514.04
2004-09-30,530.827
2004-10-29,545.572
2004-11-30,584.048
2004-12-31,610.019
2005-01-31,601.769
2005-02-28,627.094
2005-03-31,618.383
2005-04-29,600.734
2005-05-31,613.641
2005-06-30,627.753
2005-07-29,654.862
2005-08-31,658.183
2005-09-30,680.646
2005-10-31,658.989
2005-11-30,686.763
2005-12-30,709.917
2006-01-31,746.622
2006-02-28,749.355
2006-03-31,767.922
2006-04-28,794.499
2006-05-31,768.045
2006-06-30,770.812
2006-07-31,775.46
2006-08-31,794.294
2006-09-29,804.781
2006-10-31,838.475
2006-11-30,871.735
2006-12-29,888.448
2007-01-31,908.009
2007-02-28,917.354
2007-03-30,932.579
2007-04-30,967.535
2007-05-31,1000.0
2007-06-29,983.296
2007-07-31,956.016
2007-08-31,944.308
2007-09-28,971.044
2007-10-31,995.727
2007-11-30,930.592
2007-12-31,905.684
2008-01-31,852.744
2008-02-29,851.577
2008-03-31,845.602
2008-04-30,878.654
2008-05-30,897.71
2008-06-30,800.206
2008-07-31,782.584
2008-08-29,778.56
2008-09-30,690.006
2008-10-31,532.394
2008-11-28,507.2
2008-12-31,538.331
2009-01-30,491.338
2009-02-27,432.682
2009-03-31,472.473
2009-04-30,552.497
2009-05-29,606.56
2009-06-30,603.008
2009-07-31,667.617
2009-08-31,707.147
2009-09-30,745.764
2009-10-30,721.827
2009-11-30,743.235
2009-12-31,768.057
2010-01-29,745.699
2010-02-26,759.055
2010-03-31,814.585
2010-04-30,828.334
2010-05-31,749.653
2010-06-30,728.724
2010-07-30,790.114
2010-08-31,761.177
2010-09-30,836.519
2010-10-29,864.17
2010-11-30,842.899
2010-12-31,913.831
2011-01-31,930.723
2011-02-28,953.345
2011-03-31,953.352
2011-04-29,989.757
2011-05-31,970.375
2011-06-30,947.931
2011-07-29,924.143
2011-08-31,855.884
2011-09-30,769.578
2011-10-31,842.697
2011-11-30,811.444
2011-12-30,812.037
2012-01-31,868.974
2012-02-29,912.41
2012-03-30,914.802
2012-04-30,895.185
2012-05-31,807.917
2012-06-29,847.701
2012-07-31,855.918
2012-08-31,876.059
2012-09-28,905.655
2012-10-31,907.561
2012-11-30,922.652
2012-12-31,962.885
2013-01-31,1012.054
2013-02-28,1016.668
2013-03-29,1040.491
2013-04-30,1083.801
2013-05-31,1070.082
2013-06-28,1039.155
2013-07-31,1092.646
2013-08-30,1065.923
2013-09-30,1129.221
2013-10-31,1174.208
2013-11-29,1176.289
2013-12-31,1197.961
2014-01-31,1161.469
2014-02-28,1219.521
2014-03-31,1232.376
2014-04-30,1243.871
2014-05-30,1265.676
2014-06-30,1295.713
2014-07-31,1268.52
2014-08-29,1294.082
2014-09-30,1235.13
2014-10-31,1246.277
2014-11-28,1263.642
2014-12-31,1252.261
2015-01-30,1247.591
2015-02-27,1307.301
2015-03-31,1288.337
2015-04-30,1324.307
2015-05-29,1322.696
2015-06-30,1277.897
2015-07-31,1270.953
2015-08-31,1190.733
2015-09-30,1152.285
2015-10-30,1228.526
2015-11-30,1211.014
2015-12-31,1177.658
2016-01-29,1103.092
2016-02-29,1109.308
2016-03-31,1211.154
2016-04-29,1248.667
2016-05-31,1231.371
2016-06-30,1214.447
2016-07-29,1279.492
2016-08-31,1285.144
2016-09-30,1300.962
2016-10-31,1278.249
2016-11-30,1310.539
2016-12-30,1339.272
2017-01-31,1378.136
2017-02-28,1411.531
2017-03-31,1420.047
2017-04-28,1439.821
2017-05-31,1460.018
2017-06-30,1476.359
2017-07-31,1517.578
2017-08-31,1510.253
2017-09-29,1538.256
2017-10-31,1556.596
2017-11-30,1589.43
2017-12-29,1623.278
2018-01-31,1686.073
2018-02-28,1609.748
2018-03-30,1595.976
2018-04-30,1621.532
2018-05-31,1600.225
2018-06-29,1580.729
2018-07-31,1614.961
2018-08-31,1608.557
2018-09-28,1604.842
2018-10-31,1494.887
2018-11-30,1517.244
2018-12-31,1404.923
2019-01-31,1537.422
2019-02-28,1568.51
2019-03-29,1566.017
2019-04-30,1608.116
2019-05-31,1505.078
2019-06-28,1590.883
2019-07-31,1589.43
2019-08-30,1529.465
2019-09-30,1598.129
2019-10-31,1633.562
2019-11-29,1656.36
2019-12-31,1710.882
2020-01-31,1658.055
2020-02-28,1493.175
2020-03-31,1151.261
2020-04-30,1278.801
2020-05-29,1321.23
2020-06-30,1353.043
2020-07-31,1402.688
2020-08-31,1469.849
2020-09-30,1432.759
2020-10-30,1415.981
2020-11-30,1636.426
2020-12-31,1717.288
2021-01-29,1720.187
2021-02-26,1815.329
2021-03-31,1893.839
2021-04-30,1972.138
2021-05-31,2020.281
2021-06-30,1985.203
2021-07-30,1988.756
2021-08-31,2039.162
2021-09-30,1972.113
2021-10-29,2037.728
2021-11-30,1961.268
2021-12-31,2070.029
2022-01-31,2000.17
2022-02-28,1992.051
2022-03-31,2013.715
2022-04-29,1902.603
2022-05-31,1919.918
2022-06-30,1716.502
2022-07-29,1820.946
2022-08-31,1776.391
2022-09-30,1589.317
2022-10-31,1704.505
2022-11-30,1836.007
2022-12-30,1789.819
2023-01-31,1929.987
2023-02-28,1874.606
2023-03-31,1821.261
2023-04-28,1843.702
2023-05-31,1756.685
2023-06-30,1867.623
2023-07-31,1961.304
2023-08-31,1890.197
2023-09-29,1819.146
2023-10-31,1735.863
2023-11-30,1892.289
2023-12-29,2021.158
2024-01-31,1988.568
2024-02-29,2039.77
2024-03-29,2132.721
2024-04-30,2064.511
2024-05-31,2130.671
2024-06-28,2086.245
2024-07-31,2195.371
2024-08-30,2252.243
2024-09-30,2306.099
2024-10-31,2239.487
2024-11-29,2333.286
2024-12-31,2203.436
2025-01-31,2276.728
2025-02-28,2261.4
2025-03-31,2217.411
2025-04-30,2217.726
2025-05-30,2315.169
2025-06-30,2390.128
