Date,UNITED KINGDOM IMI VALUE IMI (Large+Mid+Small Cap)
2024-05-31,1339.754
2024-06-28,1312.117
2024-07-31,1385.699
2024-08-30,1404.26
2024-09-30,1425.644
2024-10-31,1353.099
2024-11-29,1376.525
2024-12-31,1345.242
2025-01-31,1410.097
2025-02-28,1453.293
2025-03-31,1472.126
2025-04-30,1499.563
2025-05-30,1579.201
2025-06-30,1619.22
2025-07-31,1632.224
2025-08-29,1698.674
2025-09-30,1736.624
