Date,UNITED KINGDOM IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,185.445
1994-06-30,186.417
1994-07-29,196.811
1994-08-31,207.276
1994-09-30,199.852
1994-10-31,212.217
1994-11-30,202.677
1994-12-30,203.626
1995-01-31,202.15
1995-02-28,202.589
1995-03-31,217.899
1995-04-28,222.044
1995-05-31,227.895
1995-06-30,225.075
1995-07-31,238.646
1995-08-31,232.782
1995-09-29,240.288
1995-10-31,238.633
1995-11-30,239.532
1995-12-29,248.31
1996-01-31,246.977
1996-02-29,250.211
1996-03-29,251.314
1996-04-30,256.322
1996-05-31,262.222
1996-06-28,258.84
1996-07-31,259.513
1996-08-30,272.856
1996-09-30,278.17
1996-10-31,291.749
1996-11-29,307.347
1996-12-31,321.95
1997-01-31,312.427
1997-02-28,319.503
1997-03-31,324.461
1997-04-30,328.725
1997-05-30,344.657
1997-06-30,350.318
1997-07-31,364.399
1997-08-29,361.185
1997-09-30,389.094
1997-10-31,375.92
1997-11-28,376.982
1997-12-31,383.816
1998-01-30,397.681
1998-02-27,421.917
1998-03-31,450.559
1998-04-30,452.98
1998-05-29,438.351
1998-06-30,439.437
1998-07-31,429.889
1998-08-31,390.114
1998-09-30,388.48
1998-10-30,406.652
1998-11-30,419.274
1998-12-31,421.62
1999-01-29,412.976
1999-02-26,428.15
1999-03-31,448.169
1999-04-30,486.757
1999-05-31,462.475
1999-06-30,464.493
1999-07-30,474.071
1999-08-31,473.822
1999-09-30,462.019
1999-10-29,463.448
1999-11-30,466.778
1999-12-31,488.499
2000-01-31,430.611
2000-02-29,406.654
2000-03-31,448.99
2000-04-28,438.375
2000-05-31,434.676
2000-06-30,445.311
2000-07-31,438.053
2000-08-31,448.944
2000-09-29,439.26
2000-10-31,443.343
2000-11-30,433.032
2000-12-29,462.834
2001-01-31,461.869
2001-02-28,448.056
2001-03-30,428.634
2001-04-30,455.014
2001-05-31,449.284
2001-06-29,435.0
2001-07-31,433.597
2001-08-31,438.209
2001-09-28,398.792
2001-10-31,407.447
2001-11-30,417.543
2001-12-31,429.65
2002-01-31,420.65
2002-02-28,419.799
2002-03-29,448.918
2002-04-30,463.476
2002-05-31,470.942
2002-06-28,447.358
2002-07-31,418.133
2002-08-30,418.351
2002-09-30,367.643
2002-10-31,393.357
2002-11-29,401.323
2002-12-31,389.9
2003-01-31,362.433
2003-02-28,361.428
2003-03-31,357.71
2003-04-30,391.271
2003-05-30,424.952
