Date,UNITED KINGDOM IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,462.302
2001-01-02,462.045
2001-01-03,460.665
2001-01-04,464.158
2001-01-05,466.061
2001-01-08,466.764
2001-01-09,460.722
2001-01-10,458.643
2001-01-11,462.407
2001-01-12,458.167
2001-01-15,459.999
2001-01-16,453.345
2001-01-17,459.723
2001-01-18,460.637
2001-01-19,455.373
2001-01-22,456.37
2001-01-23,460.572
2001-01-24,458.118
2001-01-25,458.519
2001-01-26,460.414
2001-01-29,462.215
2001-01-30,463.464
2001-01-31,461.325
2001-02-01,464.815
2001-02-02,464.206
2001-02-05,468.917
2001-02-06,467.425
2001-02-07,465.257
2001-02-08,459.273
2001-02-09,459.65
2001-02-12,464.694
2001-02-13,463.793
2001-02-14,465.708
2001-02-15,461.094
2001-02-16,457.495
2001-02-19,458.032
2001-02-20,451.163
2001-02-21,452.441
2001-02-22,453.405
2001-02-23,452.001
2001-02-26,445.537
2001-02-27,446.571
2001-02-28,447.528
2001-03-01,452.914
2001-03-02,455.506
2001-03-05,457.319
2001-03-06,457.688
2001-03-07,457.891
2001-03-08,458.664
2001-03-09,453.947
2001-03-12,448.271
2001-03-13,436.481
2001-03-14,428.542
2001-03-15,434.39
2001-03-16,421.303
2001-03-19,419.743
2001-03-20,425.318
2001-03-21,418.844
2001-03-22,402.829
2001-03-23,409.077
2001-03-26,419.803
2001-03-27,431.099
2001-03-28,425.797
2001-03-29,427.574
2001-03-30,428.129
2001-04-02,427.325
2001-04-03,420.783
2001-04-04,426.542
2001-04-05,430.49
2001-04-06,432.398
2001-04-09,440.839
2001-04-10,444.641
2001-04-11,441.97
2001-04-12,442.864
2001-04-13,442.862
2001-04-16,441.004
2001-04-17,440.751
2001-04-18,443.291
2001-04-19,447.376
2001-04-20,450.853
2001-04-23,450.569
2001-04-24,449.082
2001-04-25,450.078
2001-04-26,452.546
2001-04-27,456.444
2001-04-30,454.478
2001-05-01,453.492
2001-05-02,452.356
2001-05-03,443.783
2001-05-04,452.83
2001-05-07,453.696
2001-05-08,452.273
2001-05-09,450.666
2001-05-10,455.082
2001-05-11,450.672
2001-05-14,437.596
2001-05-15,448.099
2001-05-16,453.332
2001-05-17,454.86
2001-05-18,456.572
2001-05-21,459.315
2001-05-22,457.975
