Date,UNITED KINGDOM IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,462.847
2001-01-02,462.59
2001-01-03,461.209
2001-01-04,464.705
2001-01-05,466.611
2001-01-08,467.315
2001-01-09,461.266
2001-01-10,459.184
2001-01-11,462.953
2001-01-12,458.708
2001-01-15,460.542
2001-01-16,453.88
2001-01-17,460.265
2001-01-18,461.181
2001-01-19,455.911
2001-01-22,456.909
2001-01-23,461.115
2001-01-24,458.659
2001-01-25,459.06
2001-01-26,460.957
2001-01-29,462.76
2001-01-30,464.011
2001-01-31,461.869
2001-02-01,465.363
2001-02-02,464.754
2001-02-05,469.47
2001-02-06,467.976
2001-02-07,465.806
2001-02-08,459.815
2001-02-09,460.192
2001-02-12,465.242
2001-02-13,464.34
2001-02-14,466.258
2001-02-15,461.638
2001-02-16,458.035
2001-02-19,458.572
2001-02-20,451.695
2001-02-21,452.975
2001-02-22,453.94
2001-02-23,452.534
2001-02-26,446.063
2001-02-27,447.098
2001-02-28,448.056
2001-03-01,453.449
2001-03-02,456.044
2001-03-05,457.858
2001-03-06,458.228
2001-03-07,458.431
2001-03-08,459.205
2001-03-09,454.483
2001-03-12,448.8
2001-03-13,436.996
2001-03-14,429.047
2001-03-15,434.902
2001-03-16,421.8
2001-03-19,420.238
2001-03-20,425.82
2001-03-21,419.338
2001-03-22,403.304
2001-03-23,409.56
2001-03-26,420.298
2001-03-27,431.608
2001-03-28,426.3
2001-03-29,428.079
2001-03-30,428.634
2001-04-02,427.829
2001-04-03,421.28
2001-04-04,427.045
2001-04-05,430.998
2001-04-06,432.908
2001-04-09,441.359
2001-04-10,445.166
2001-04-11,442.492
2001-04-12,443.387
2001-04-13,443.384
2001-04-16,441.524
2001-04-17,441.271
2001-04-18,443.814
2001-04-19,447.904
2001-04-20,451.385
2001-04-23,451.101
2001-04-24,449.612
2001-04-25,450.609
2001-04-26,453.079
2001-04-27,456.983
2001-04-30,455.014
2001-05-01,454.028
2001-05-02,452.889
2001-05-03,444.307
2001-05-04,453.364
2001-05-07,454.231
2001-05-08,452.807
2001-05-09,451.198
2001-05-10,455.619
2001-05-11,451.204
2001-05-14,438.112
2001-05-15,448.628
2001-05-16,453.867
2001-05-17,455.397
2001-05-18,457.111
2001-05-21,459.857
2001-05-22,458.516
2001-05-23,453.668
2001-05-24,451.095
2001-05-25,452.788
2001-05-28,452.697
2001-05-29,451.524
2001-05-30,450.486
2001-05-31,449.284
2001-06-01,449.634
2001-06-04,453.047
2001-06-05,454.661
2001-06-06,448.502
2001-06-07,450.775
2001-06-08,448.492
2001-06-11,440.395
2001-06-12,438.845
2001-06-13,441.687
2001-06-14,441.3
2001-06-15,440.068
2001-06-18,437.337
2001-06-19,437.987
2001-06-20,436.929
2001-06-21,438.34
2001-06-22,439.013
2001-06-25,440.64
2001-06-26,434.076
2001-06-27,437.081
2001-06-28,435.702
2001-06-29,435.0
2001-07-02,441.952
2001-07-03,435.801
2001-07-04,433.806
2001-07-05,429.893
2001-07-06,425.852
2001-07-09,425.793
2001-07-10,425.808
2001-07-11,422.188
2001-07-12,425.597
2001-07-13,426.692
2001-07-16,426.204
2001-07-17,420.3
2001-07-18,421.627
2001-07-19,425.029
2001-07-20,425.374
2001-07-23,425.319
2001-07-24,419.524
2001-07-25,416.898
2001-07-26,417.361
2001-07-27,423.37
2001-07-30,426.736
2001-07-31,433.597
2001-08-01,437.482
2001-08-02,440.164
2001-08-03,438.033
2001-08-06,434.077
2001-08-07,434.095
2001-08-08,430.806
2001-08-09,428.412
2001-08-10,431.091
2001-08-13,431.763
2001-08-14,436.881
2001-08-15,441.227
2001-08-16,439.48
2001-08-17,437.298
2001-08-20,438.367
2001-08-21,443.486
2001-08-22,445.881
2001-08-23,442.162
2001-08-24,447.433
2001-08-27,446.35
2001-08-28,445.096
2001-08-29,445.022
2001-08-30,437.642
2001-08-31,438.209
2001-09-03,436.071
2001-09-04,439.602
2001-09-05,437.592
2001-09-06,429.69
2001-09-07,420.819
2001-09-10,415.425
2001-09-11,399.036
2001-09-12,400.674
2001-09-13,407.017
2001-09-14,394.216
2001-09-17,402.775
2001-09-18,398.499
2001-09-19,388.767
2001-09-20,372.865
2001-09-21,360.195
2001-09-24,375.464
2001-09-25,381.036
2001-09-26,386.052
2001-09-27,388.838
2001-09-28,398.792
2001-10-01,391.905
2001-10-02,392.171
2001-10-03,399.222
2001-10-04,411.322
2001-10-05,413.695
2001-10-08,409.78
2001-10-09,407.464
2001-10-10,412.535
2001-10-11,412.755
2001-10-12,414.403
2001-10-15,407.507
2001-10-16,409.315
2001-10-17,419.844
2001-10-18,410.202
2001-10-19,399.975
2001-10-22,400.027
2001-10-23,408.342
2001-10-24,407.597
2001-10-25,404.16
2001-10-26,413.227
2001-10-29,411.437
2001-10-30,404.751
2001-10-31,407.447
2001-11-01,410.529
2001-11-02,414.305
2001-11-05,419.09
2001-11-06,419.809
2001-11-07,423.139
2001-11-08,425.715
2001-11-09,424.442
2001-11-12,416.316
2001-11-13,422.788
2001-11-14,420.298
2001-11-15,415.823
2001-11-16,419.331
2001-11-19,420.886
2001-11-20,420.964
2001-11-21,420.485
2001-11-22,422.311
2001-11-23,417.694
2001-11-26,419.175
2001-11-27,418.099
2001-11-28,415.658
2001-11-29,416.726
2001-11-30,417.543
2001-12-03,412.883
2001-12-04,414.829
2001-12-05,422.354
2001-12-06,428.019
2001-12-07,423.07
2001-12-10,418.392
2001-12-11,416.627
2001-12-12,416.706
2001-12-13,414.009
2001-12-14,414.969
2001-12-17,422.763
2001-12-18,423.21
2001-12-19,419.396
2001-12-20,415.365
2001-12-21,418.824
2001-12-24,421.029
2001-12-25,421.028
2001-12-26,423.486
2001-12-27,428.574
2001-12-28,429.662
2001-12-31,429.65
2002-01-01,429.651
2002-01-02,428.089
2002-01-03,433.281
2002-01-04,435.279
2002-01-07,432.77
2002-01-08,429.896
2002-01-09,428.445
2002-01-10,428.664
2002-01-11,427.712
2002-01-14,424.149
2002-01-15,425.968
2002-01-16,421.677
2002-01-17,422.89
2002-01-18,420.334
2002-01-21,422.465
2002-01-22,420.589
2002-01-23,423.278
2002-01-24,425.675
2002-01-25,420.243
2002-01-28,424.061
2002-01-29,418.329
2002-01-30,416.239
2002-01-31,420.65
2002-02-01,422.371
2002-02-04,422.139
2002-02-05,417.806
2002-02-06,416.029
2002-02-07,418.024
2002-02-08,419.499
2002-02-11,424.011
2002-02-12,425.68
2002-02-13,427.875
2002-02-14,432.063
2002-02-15,430.892
2002-02-18,428.359
2002-02-19,424.065
2002-02-20,418.057
2002-02-21,420.41
2002-02-22,420.641
2002-02-25,425.117
2002-02-26,427.494
2002-02-27,425.068
2002-02-28,419.799
2002-03-01,426.155
2002-03-04,435.319
2002-03-05,434.213
2002-03-06,436.889
2002-03-07,441.837
2002-03-08,440.116
2002-03-11,440.323
2002-03-12,436.486
2002-03-13,438.976
2002-03-14,441.029
2002-03-15,446.051
2002-03-18,446.824
2002-03-19,449.256
2002-03-20,447.739
2002-03-21,446.823
2002-03-22,446.778
2002-03-25,443.64
2002-03-26,443.682
2002-03-27,444.215
2002-03-28,448.915
2002-03-29,448.918
2002-04-01,453.539
2002-04-02,452.479
2002-04-03,451.447
2002-04-04,448.812
2002-04-05,449.156
2002-04-08,445.293
2002-04-09,446.507
2002-04-10,452.447
2002-04-11,447.599
2002-04-12,449.229
2002-04-15,452.477
2002-04-16,457.239
2002-04-17,458.935
2002-04-18,460.031
2002-04-19,461.861
2002-04-22,462.699
2002-04-23,460.554
2002-04-24,462.912
2002-04-25,462.07
2002-04-26,459.217
2002-04-29,460.386
2002-04-30,463.476
2002-05-01,461.977
2002-05-02,467.59
2002-05-03,476.608
2002-05-06,476.41
2002-05-07,468.011
2002-05-08,471.159
2002-05-09,468.518
2002-05-10,469.908
2002-05-13,473.473
2002-05-14,470.883
2002-05-15,473.787
2002-05-16,473.836
2002-05-17,474.432
2002-05-20,471.815
2002-05-21,470.126
2002-05-22,467.294
2002-05-23,467.58
2002-05-24,471.803
2002-05-27,471.085
2002-05-28,466.504
2002-05-29,466.226
2002-05-30,466.356
2002-05-31,470.942
2002-06-03,470.472
2002-06-04,471.008
2002-06-05,461.07
2002-06-06,460.482
2002-06-07,456.633
2002-06-10,454.676
2002-06-11,457.945
2002-06-12,452.63
2002-06-13,446.658
2002-06-14,433.359
2002-06-17,442.76
2002-06-18,441.209
2002-06-19,437.102
2002-06-20,434.1
2002-06-21,436.031
2002-06-24,432.56
2002-06-25,439.031
2002-06-26,437.538
2002-06-27,436.079
2002-06-28,447.358
2002-07-01,452.149
2002-07-02,441.839
2002-07-03,428.594
2002-07-04,433.157
2002-07-05,444.022
2002-07-08,447.25
2002-07-09,444.879
2002-07-10,436.55
2002-07-11,419.327
2002-07-12,415.31
2002-07-15,396.538
2002-07-16,399.467
2002-07-17,413.669
2002-07-18,423.263
2002-07-19,409.119
2002-07-22,389.469
2002-07-23,382.631
2002-07-24,376.627
2002-07-25,392.489
2002-07-26,393.806
2002-07-29,409.065
2002-07-30,411.174
2002-07-31,418.133
2002-08-01,398.182
2002-08-02,403.253
2002-08-05,395.262
2002-08-06,400.264
2002-08-07,398.184
2002-08-08,407.341
2002-08-09,413.126
2002-08-12,406.383
2002-08-13,412.486
2002-08-14,409.591
2002-08-15,421.502
2002-08-16,422.403
2002-08-19,428.456
2002-08-20,424.038
2002-08-21,426.491
2002-08-22,430.708
2002-08-23,425.049
2002-08-26,425.849
2002-08-27,434.614
2002-08-28,420.636
2002-08-29,415.871
2002-08-30,418.351
2002-09-02,415.403
2002-09-03,403.894
2002-09-04,401.413
2002-09-05,399.067
2002-09-06,406.516
2002-09-09,402.181
2002-09-10,410.967
2002-09-11,411.257
2002-09-12,403.067
2002-09-13,396.914
2002-09-16,396.331
2002-09-17,391.541
2002-09-18,379.67
2002-09-19,376.634
2002-09-20,379.351
2002-09-23,370.629
2002-09-24,362.668
2002-09-25,364.684
2002-09-26,377.422
2002-09-27,380.141
2002-09-30,367.643
2002-10-01,373.866
2002-10-02,379.676
2002-10-03,375.53
2002-10-04,369.752
2002-10-07,368.972
2002-10-08,362.176
2002-10-09,363.396
2002-10-10,366.917
2002-10-11,382.6
2002-10-14,378.231
2002-10-15,396.184
2002-10-16,392.395
2002-10-17,401.577
2002-10-18,397.564
2002-10-21,398.049
2002-10-22,394.909
2002-10-23,386.326
2002-10-24,393.606
2002-10-25,390.289
2002-10-28,393.367
2002-10-29,380.324
2002-10-30,385.896
2002-10-31,393.357
2002-11-01,391.745
2002-11-04,401.117
2002-11-05,405.015
2002-11-06,399.547
2002-11-07,401.49
2002-11-08,400.065
2002-11-11,398.052
2002-11-12,400.661
2002-11-13,394.579
2002-11-14,393.632
2002-11-15,397.745
2002-11-18,402.451
2002-11-19,402.692
2002-11-20,398.051
2002-11-21,407.077
2002-11-22,406.172
2002-11-25,396.964
2002-11-26,390.742
2002-11-27,394.389
2002-11-28,401.636
2002-11-29,401.323
2002-12-02,400.307
2002-12-03,396.771
2002-12-04,394.578
2002-12-05,392.244
2002-12-06,391.557
2002-12-09,384.031
2002-12-10,381.707
2002-12-11,386.067
2002-12-12,381.629
2002-12-13,378.958
2002-12-16,388.935
2002-12-17,385.369
2002-12-18,378.812
2002-12-19,379.515
2002-12-20,384.34
2002-12-23,386.419
2002-12-24,387.715
2002-12-25,387.715
2002-12-26,387.642
2002-12-27,379.139
2002-12-30,385.825
2002-12-31,389.9
2003-01-01,389.898
2003-01-02,394.112
2003-01-03,395.012
2003-01-06,397.872
2003-01-07,392.257
2003-01-08,386.713
2003-01-09,390.038
2003-01-10,395.38
2003-01-13,393.052
2003-01-14,392.941
2003-01-15,386.251
2003-01-16,387.041
2003-01-17,383.388
2003-01-20,377.041
2003-01-21,373.463
2003-01-22,368.706
2003-01-23,366.358
2003-01-24,366.77
2003-01-27,354.973
2003-01-28,357.328
2003-01-29,356.841
2003-01-30,364.586
2003-01-31,362.433
2003-02-03,373.243
2003-02-04,365.916
2003-02-05,375.173
2003-02-06,366.14
2003-02-07,365.434
2003-02-10,362.723
2003-02-11,367.833
2003-02-12,362.653
2003-02-13,364.886
2003-02-14,362.924
2003-02-17,368.076
2003-02-18,369.856
2003-02-19,364.977
2003-02-20,366.557
2003-02-21,370.129
2003-02-24,367.507
2003-02-25,356.773
2003-02-26,357.652
2003-02-27,355.439
2003-02-28,361.428
2003-03-03,365.574
2003-03-04,361.282
2003-03-05,360.684
2003-03-06,359.476
2003-03-07,352.967
2003-03-10,346.293
2003-03-11,349.518
2003-03-12,335.858
2003-03-13,352.214
2003-03-14,358.376
2003-03-17,367.644
2003-03-18,367.424
2003-03-19,368.61
2003-03-20,369.764
2003-03-21,377.728
2003-03-24,369.907
2003-03-25,370.0
2003-03-26,373.404
2003-03-27,365.553
2003-03-28,363.464
2003-03-31,357.71
2003-04-01,362.715
2003-04-02,367.56
2003-04-03,369.279
2003-04-04,370.985
2003-04-07,378.645
2003-04-08,371.82
2003-04-09,371.923
2003-04-10,372.607
2003-04-11,373.346
2003-04-14,378.089
2003-04-15,383.806
2003-04-16,380.438
2003-04-17,383.761
2003-04-18,383.761
2003-04-21,380.139
2003-04-22,386.308
2003-04-23,392.289
2003-04-24,388.763
2003-04-25,382.613
2003-04-28,390.42
2003-04-29,391.35
2003-04-30,391.271
2003-05-01,388.682
2003-05-02,394.299
2003-05-05,395.05
2003-05-06,403.18
2003-05-07,398.116
2003-05-08,394.315
2003-05-09,398.659
2003-05-12,402.896
2003-05-13,404.165
2003-05-14,405.15
2003-05-15,410.619
2003-05-16,413.548
2003-05-19,407.529
2003-05-20,410.678
2003-05-21,410.05
2003-05-22,412.583
2003-05-23,414.252
2003-05-26,414.452
2003-05-27,416.237
2003-05-28,423.297
2003-05-29,429.924
2003-05-30,424.952
2003-06-02,431.593
2003-06-03,428.398
2003-06-04,430.683
2003-06-05,433.972
2003-06-06,440.293
2003-06-09,433.674
2003-06-10,432.227
2003-06-11,439.765
2003-06-12,443.459
2003-06-13,440.011
2003-06-16,445.081
2003-06-17,450.16
2003-06-18,448.752
2003-06-19,440.844
2003-06-20,441.376
2003-06-23,435.523
2003-06-24,431.867
2003-06-25,434.933
2003-06-26,429.636
2003-06-27,428.521
2003-06-30,424.868
2003-07-01,421.396
2003-07-02,426.575
2003-07-03,428.956
2003-07-04,427.517
2003-07-07,430.485
2003-07-08,428.083
2003-07-09,425.556
2003-07-10,422.031
2003-07-11,425.687
2003-07-14,430.965
2003-07-15,424.659
2003-07-16,420.137
2003-07-17,416.913
2003-07-18,416.624
2003-07-21,417.496
2003-07-22,421.213
2003-07-23,421.763
2003-07-24,429.588
2003-07-25,430.823
2003-07-28,434.146
