Date,EUROPE IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,258.995
1994-06-30,256.223
1994-07-29,267.112
1994-08-31,276.184
1994-09-30,267.766
1994-10-31,276.121
1994-11-30,265.032
1994-12-30,268.047
1995-01-31,266.153
1995-02-28,271.835
1995-03-31,283.271
1995-04-28,292.76
1995-05-31,298.079
1995-06-30,305.1
1995-07-31,320.868
1995-08-31,312.209
1995-09-29,324.255
1995-10-31,321.423
1995-11-30,320.361
1995-12-29,328.568
1996-01-31,330.834
1996-02-29,339.704
1996-03-29,346.938
1996-04-30,351.202
1996-05-31,356.659
1996-06-28,362.896
1996-07-31,355.613
1996-08-30,368.146
1996-09-30,374.128
1996-10-31,382.939
1996-11-29,398.824
1996-12-31,405.927
1997-01-31,406.651
1997-02-28,411.272
1997-03-31,424.099
1997-04-30,421.849
1997-05-30,439.07
1997-06-30,463.413
1997-07-31,477.859
1997-08-29,452.629
1997-09-30,490.552
1997-10-31,466.927
1997-11-28,473.071
1997-12-31,487.102
1998-01-30,509.856
1998-02-27,552.976
1998-03-31,586.049
1998-04-30,596.229
1998-05-29,617.26
1998-06-30,618.815
1998-07-31,634.248
1998-08-31,556.901
1998-09-30,531.755
1998-10-30,574.754
1998-11-30,609.725
1998-12-31,642.454
1999-01-29,645.906
1999-02-26,622.649
1999-03-31,618.395
1999-04-30,621.194
1999-05-31,597.822
1999-06-30,610.128
1999-07-30,618.943
1999-08-31,630.6
1999-09-30,632.206
1999-10-29,658.857
1999-11-30,698.577
1999-12-31,791.426
2000-01-31,774.141
2000-02-29,854.144
2000-03-31,835.321
2000-04-28,782.923
2000-05-31,758.998
2000-06-30,768.928
2000-07-31,754.877
2000-08-31,746.301
2000-09-29,695.943
2000-10-31,667.117
2000-11-30,611.773
2000-12-29,650.291
2001-01-31,647.245
2001-02-28,567.082
2001-03-30,511.13
2001-04-30,553.193
2001-05-31,516.287
2001-06-29,487.15
2001-07-31,483.503
2001-08-31,464.725
2001-09-28,413.877
2001-10-31,434.754
2001-11-30,456.599
2001-12-31,466.064
2002-01-31,438.0
2002-02-28,433.838
2002-03-29,453.503
2002-04-30,441.898
2002-05-31,434.245
2002-06-28,420.029
2002-07-31,375.014
2002-08-30,371.792
2002-09-30,328.909
2002-10-31,361.824
2002-11-29,378.754
2002-12-31,366.141
2003-01-31,348.371
2003-02-28,336.676
2003-03-31,334.714
2003-04-30,381.077
2003-05-30,402.728
2003-06-30,405.984
2003-07-31,410.611
2003-08-29,410.77
2003-09-30,423.97
2003-10-31,450.576
2003-11-28,469.662
2003-12-31,501.157
2004-01-30,514.941
2004-02-27,530.951
2004-03-31,512.289
2004-04-30,503.476
2004-05-31,509.819
2004-06-30,514.512
2004-07-30,497.168
2004-08-31,495.209
2004-09-30,513.869
2004-10-29,531.249
2004-11-30,569.405
2004-12-31,593.054
2005-01-31,580.797
2005-02-28,607.187
2005-03-31,592.996
2005-04-29,584.493
2005-05-31,587.559
2005-06-30,593.624
2005-07-29,617.376
2005-08-31,629.245
2005-09-30,646.947
2005-10-31,625.658
2005-11-30,634.509
2005-12-30,657.371
2006-01-31,703.859
2006-02-28,701.824
2006-03-31,732.478
2006-04-28,773.496
2006-05-31,750.062
2006-06-30,751.113
2006-07-31,759.296
2006-08-31,783.423
2006-09-29,786.369
2006-10-31,817.159
2006-11-30,849.944
2006-12-29,877.188
2007-01-31,887.696
2007-02-28,889.521
2007-03-30,927.469
2007-04-30,982.677
2007-05-31,1000.0
2007-06-29,999.977
2007-07-31,988.224
2007-08-31,982.254
2007-09-28,1035.882
2007-10-31,1087.153
2007-11-30,1066.03
2007-12-31,1046.717
2008-01-31,942.535
2008-02-29,972.198
2008-03-31,973.263
2008-04-30,1005.831
2008-05-30,1027.167
2008-06-30,956.385
2008-07-31,927.833
2008-08-29,886.191
2008-09-30,749.214
2008-10-31,594.485
2008-11-28,548.768
2008-12-31,578.124
2009-01-30,530.412
2009-02-27,486.978
2009-03-31,515.362
2009-04-30,564.166
2009-05-29,633.515
2009-06-30,626.873
2009-07-31,685.842
2009-08-31,710.124
2009-09-30,745.196
2009-10-30,749.397
2009-11-30,772.476
2009-12-31,786.187
2010-01-29,748.994
2010-02-26,738.565
2010-03-31,789.026
2010-04-30,774.55
2010-05-31,685.499
2010-06-30,689.779
2010-07-30,756.429
2010-08-31,736.918
2010-09-30,822.14
2010-10-29,854.17
2010-11-30,809.808
2010-12-31,879.059
2011-01-31,887.175
2011-02-28,915.748
2011-03-31,918.963
2011-04-29,993.684
2011-05-31,969.468
2011-06-30,949.905
2011-07-29,928.222
2011-08-31,846.562
2011-09-30,742.806
2011-10-31,832.417
2011-11-30,800.246
2011-12-30,786.212
2012-01-31,828.626
2012-02-29,886.832
2012-03-30,889.478
2012-04-30,886.474
2012-05-31,780.603
2012-06-29,825.969
2012-07-31,844.812
2012-08-31,869.853
2012-09-28,893.102
2012-10-31,900.748
2012-11-30,928.342
2012-12-31,948.337
2013-01-31,998.631
2013-02-28,992.58
2013-03-29,999.857
2013-04-30,1029.112
2013-05-31,1028.405
2013-06-28,986.917
2013-07-31,1051.872
2013-08-30,1039.488
2013-09-30,1107.762
2013-10-31,1139.839
2013-11-29,1155.234
2013-12-31,1182.605
2014-01-31,1133.55
2014-02-28,1219.025
2014-03-31,1206.732
2014-04-30,1223.742
2014-05-30,1239.838
2014-06-30,1235.98
2014-07-31,1180.419
2014-08-29,1191.31
2014-09-30,1146.308
2014-10-31,1125.843
2014-11-28,1167.187
2014-12-31,1122.908
2015-01-30,1132.283
2015-02-27,1206.536
2015-03-31,1179.602
2015-04-30,1230.476
2015-05-29,1234.613
2015-06-30,1201.051
2015-07-31,1245.976
2015-08-31,1164.175
2015-09-30,1129.987
2015-10-30,1211.059
2015-11-30,1198.824
2015-12-31,1181.904
2016-01-29,1109.643
2016-02-29,1088.706
2016-03-31,1158.881
2016-04-29,1168.744
2016-05-31,1173.471
2016-06-30,1129.133
2016-07-29,1181.983
2016-08-31,1174.94
2016-09-30,1186.687
2016-10-31,1115.281
2016-11-30,1080.888
2016-12-30,1122.642
2017-01-31,1154.036
2017-02-28,1182.728
2017-03-31,1224.119
2017-04-28,1278.571
2017-05-31,1349.139
2017-06-30,1327.638
2017-07-31,1361.192
2017-08-31,1369.921
2017-09-29,1409.684
2017-10-31,1426.387
2017-11-30,1424.262
2017-12-29,1450.04
2018-01-31,1520.551
2018-02-28,1433.369
2018-03-30,1424.348
2018-04-30,1449.672
2018-05-31,1438.327
2018-06-29,1429.553
2018-07-31,1471.399
2018-08-31,1460.609
2018-09-28,1441.634
2018-10-31,1311.539
2018-11-30,1297.439
2018-12-31,1238.273
2019-01-31,1324.733
2019-02-28,1375.143
2019-03-29,1400.809
2019-04-30,1457.572
2019-05-31,1396.981
2019-06-28,1495.271
2019-07-31,1478.122
2019-08-30,1460.694
2019-09-30,1472.342
2019-10-31,1519.338
2019-11-29,1555.208
2019-12-31,1613.252
2020-01-31,1599.166
2020-02-28,1465.297
2020-03-31,1305.795
2020-04-30,1406.918
2020-05-29,1493.919
2020-06-30,1536.321
2020-07-31,1635.953
2020-08-31,1703.073
2020-09-30,1680.113
2020-10-30,1588.336
2020-11-30,1777.64
2020-12-31,1883.214
2021-01-29,1861.079
2021-02-26,1873.649
2021-03-31,1908.398
2021-04-30,2029.63
2021-05-31,2113.776
2021-06-30,2111.133
2021-07-30,2182.331
2021-08-31,2223.402
2021-09-30,2091.652
2021-10-29,2202.711
2021-11-30,2109.358
2021-12-31,2228.862
2022-01-31,1994.496
2022-02-28,1934.236
2022-03-31,1937.899
2022-04-29,1796.429
2022-05-31,1759.392
2022-06-30,1597.397
2022-07-29,1735.379
2022-08-31,1597.301
2022-09-30,1446.139
2022-10-31,1527.635
2022-11-30,1703.268
2022-12-30,1689.913
2023-01-31,1838.238
2023-02-28,1815.314
2023-03-31,1909.861
2023-04-28,1977.641
2023-05-31,1888.356
2023-06-30,1961.828
2023-07-31,2001.159
2023-08-31,1908.784
2023-09-29,1787.193
2023-10-31,1719.176
2023-11-30,1914.673
2023-12-29,2021.87
2024-01-31,2039.01
2024-02-29,2104.816
2024-03-29,2164.532
2024-04-30,2090.651
2024-05-31,2195.152
2024-06-28,2164.566
2024-07-31,2174.055
2024-08-30,2263.576
2024-09-30,2254.578
2024-10-31,2093.412
2024-11-29,2061.654
2024-12-31,2005.833
2025-01-31,2143.26
2025-02-28,2174.697
2025-03-31,2097.827
2025-04-30,2201.827
2025-05-30,2317.145
2025-06-30,2368.417
