Date,EUROPE IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,249.893
1994-06-30,247.409
1994-07-29,258.047
1994-08-31,266.821
1994-09-30,258.696
1994-10-31,266.783
1994-11-30,256.093
1994-12-30,259.022
1995-01-31,257.209
1995-02-28,262.712
1995-03-31,273.781
1995-04-28,283.032
1995-05-31,288.467
1995-06-30,295.536
1995-07-31,310.911
1995-08-31,302.531
1995-09-29,314.215
1995-10-31,311.484
1995-11-30,310.471
1995-12-29,318.456
1996-01-31,320.67
1996-02-29,329.28
1996-03-29,336.304
1996-04-30,340.548
1996-05-31,346.03
1996-06-28,352.419
1996-07-31,345.453
1996-08-30,357.639
1996-09-30,363.47
1996-10-31,372.051
1996-11-29,387.519
1996-12-31,394.441
1997-01-31,395.16
1997-02-28,399.672
1997-03-31,412.164
1997-04-30,410.206
1997-05-30,427.171
1997-06-30,451.191
1997-07-31,465.402
1997-08-29,440.846
1997-09-30,477.795
1997-10-31,454.796
1997-11-28,460.789
1997-12-31,474.48
1998-01-30,496.662
1998-02-27,538.695
1998-03-31,570.985
1998-04-30,581.178
1998-05-29,601.939
1998-06-30,603.863
1998-07-31,619.05
1998-08-31,543.564
1998-09-30,519.023
1998-10-30,560.996
1998-11-30,595.134
1998-12-31,627.08
1999-01-29,630.465
1999-02-26,607.785
1999-03-31,603.707
1999-04-30,606.613
1999-05-31,584.137
1999-06-30,596.378
1999-07-30,605.144
1999-08-31,616.557
1999-09-30,618.136
1999-10-29,644.201
1999-11-30,683.047
1999-12-31,773.842
2000-01-31,756.962
2000-02-29,835.218
2000-03-31,816.886
2000-04-28,765.863
2000-05-31,742.754
2000-06-30,752.59
2000-07-31,738.942
2000-08-31,730.571
2000-09-29,681.28
2000-10-31,653.069
2000-11-30,598.9
2000-12-29,636.616
2001-01-31,633.654
2001-02-28,555.243
2001-03-30,500.64
2001-04-30,542.16
2001-05-31,506.33
2001-06-29,477.841
2001-07-31,474.322
2001-08-31,455.965
2001-09-28,406.085
2001-10-31,426.545
2001-11-30,447.979
2001-12-31,457.273
2002-01-31,429.786
2002-02-28,425.704
2002-03-29,445.154
2002-04-30,434.053
2002-05-31,426.87
2002-06-28,413.05
2002-07-31,368.806
2002-08-30,365.671
2002-09-30,323.507
2002-10-31,355.9
2002-11-29,372.56
