Date,EUROPE IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,636.628
2001-01-02,629.216
2001-01-03,612.73
2001-01-04,627.332
2001-01-05,626.888
2001-01-08,619.221
2001-01-09,608.25
2001-01-10,606.657
2001-01-11,621.139
2001-01-12,630.244
2001-01-15,626.474
2001-01-16,616.424
2001-01-17,629.124
2001-01-18,637.371
2001-01-19,633.379
2001-01-22,631.511
2001-01-23,630.061
2001-01-24,627.153
2001-01-25,626.106
2001-01-26,624.184
2001-01-29,621.947
2001-01-30,626.392
2001-01-31,633.654
2001-02-01,632.533
2001-02-02,620.988
2001-02-05,621.063
2001-02-06,619.013
2001-02-07,609.896
2001-02-08,601.919
2001-02-09,593.828
2001-02-12,603.005
2001-02-13,597.061
2001-02-14,582.47
2001-02-15,585.662
2001-02-16,578.029
2001-02-19,576.855
2001-02-20,565.703
2001-02-21,560.91
2001-02-22,554.718
2001-02-23,543.424
2001-02-26,551.76
2001-02-27,558.68
2001-02-28,555.243
2001-03-01,550.959
2001-03-02,554.93
2001-03-05,559.413
2001-03-06,573.656
2001-03-07,570.253
2001-03-08,568.399
2001-03-09,559.312
2001-03-12,540.649
2001-03-13,528.983
2001-03-14,517.768
2001-03-15,523.351
2001-03-16,504.672
2001-03-19,501.465
2001-03-20,512.927
2001-03-21,498.279
2001-03-22,470.534
2001-03-23,490.199
2001-03-26,508.534
2001-03-27,518.49
2001-03-28,505.578
2001-03-29,499.306
2001-03-30,500.64
2001-04-02,496.363
2001-04-03,480.061
2001-04-04,490.056
2001-04-05,501.261
2001-04-06,501.261
2001-04-09,506.322
2001-04-10,513.267
2001-04-11,514.936
2001-04-12,519.351
2001-04-13,519.335
2001-04-16,514.745
2001-04-17,508.972
2001-04-18,524.191
2001-04-19,533.229
2001-04-20,534.714
2001-04-23,525.432
2001-04-24,524.996
2001-04-25,525.801
2001-04-26,533.291
2001-04-27,536.068
2001-04-30,542.16
2001-05-01,543.334
2001-05-02,542.931
2001-05-03,533.937
2001-05-04,536.659
2001-05-07,537.914
2001-05-08,535.354
2001-05-09,529.921
2001-05-10,538.561
2001-05-11,531.548
2001-05-14,521.912
2001-05-15,527.832
2001-05-16,529.922
2001-05-17,534.849
2001-05-18,535.887
2001-05-21,538.093
2001-05-22,539.099
2001-05-23,530.66
2001-05-24,528.147
2001-05-25,524.064
2001-05-28,526.72
2001-05-29,518.095
2001-05-30,510.197
2001-05-31,506.33
2001-06-01,503.509
2001-06-04,505.77
2001-06-05,512.561
2001-06-06,508.946
2001-06-07,509.604
2001-06-08,507.668
2001-06-11,499.282
2001-06-12,490.593
2001-06-13,496.068
2001-06-14,492.553
2001-06-15,489.26
2001-06-18,484.59
2001-06-19,483.549
2001-06-20,477.062
2001-06-21,478.24
2001-06-22,479.419
2001-06-25,481.309
2001-06-26,473.458
2001-06-27,472.409
2001-06-28,473.499
2001-06-29,477.841
2001-07-02,484.027
2001-07-03,478.184
2001-07-04,472.741
2001-07-05,462.349
2001-07-06,456.683
2001-07-09,458.627
2001-07-10,459.107
2001-07-11,455.344
2001-07-12,457.362
2001-07-13,459.179
2001-07-16,457.568
2001-07-17,451.656
2001-07-18,456.927
2001-07-19,463.918
2001-07-20,461.118
2001-07-23,459.992
2001-07-24,456.982
2001-07-25,453.899
2001-07-26,456.4
2001-07-27,463.536
2001-07-30,469.459
2001-07-31,474.322
2001-08-01,479.192
2001-08-02,482.21
2001-08-03,479.194
2001-08-06,475.861
2001-08-07,474.216
2001-08-08,467.741
2001-08-09,464.229
2001-08-10,463.563
2001-08-13,467.613
2001-08-14,472.253
2001-08-15,475.503
2001-08-16,469.709
2001-08-17,464.003
2001-08-20,460.977
2001-08-21,466.352
2001-08-22,468.311
2001-08-23,466.069
2001-08-24,473.135
2001-08-27,472.156
2001-08-28,465.822
2001-08-29,464.921
2001-08-30,455.34
2001-08-31,455.965
2001-09-03,449.44
2001-09-04,446.705
2001-09-05,437.507
2001-09-06,427.827
2001-09-07,424.829
2001-09-10,418.85
2001-09-11,396.365
2001-09-12,403.652
2001-09-13,407.831
2001-09-14,393.077
2001-09-17,399.581
2001-09-18,396.209
2001-09-19,393.109
2001-09-20,378.092
2001-09-21,364.451
2001-09-24,382.442
2001-09-25,391.651
2001-09-26,394.777
2001-09-27,398.298
2001-09-28,406.085
2001-10-01,400.177
2001-10-02,402.561
2001-10-03,405.526
2001-10-04,415.974
2001-10-05,415.693
2001-10-08,417.147
2001-10-09,417.11
2001-10-10,424.049
2001-10-11,427.265
2001-10-12,425.845
2001-10-15,419.651
2001-10-16,424.973
2001-10-17,432.993
