Date,SWEDEN SMALL VALUE Small Cap
2001-01-01,153.879
2001-01-02,152.428
2001-01-03,149.079
2001-01-04,150.782
2001-01-05,153.036
2001-01-08,150.728
2001-01-09,148.704
2001-01-10,149.343
2001-01-11,150.518
2001-01-12,152.107
2001-01-15,152.023
2001-01-16,151.141
2001-01-17,151.584
2001-01-18,153.802
2001-01-19,154.927
2001-01-22,153.378
2001-01-23,152.926
2001-01-24,151.848
2001-01-25,150.72
2001-01-26,151.21
2001-01-29,153.047
2001-01-30,154.793
2001-01-31,157.68
2001-02-01,158.494
2001-02-02,158.016
2001-02-05,157.453
2001-02-06,157.417
2001-02-07,157.144
2001-02-08,155.548
2001-02-09,154.4
2001-02-12,154.385
2001-02-13,153.673
2001-02-14,150.662
2001-02-15,151.64
2001-02-16,153.289
2001-02-19,153.528
2001-02-20,153.004
2001-02-21,151.722
2001-02-22,148.742
2001-02-23,148.338
2001-02-26,150.678
2001-02-27,151.896
2001-02-28,152.948
2001-03-01,153.457
2001-03-02,155.005
2001-03-05,155.416
2001-03-06,156.838
2001-03-07,156.917
2001-03-08,157.156
2001-03-09,156.181
2001-03-12,152.219
2001-03-13,147.555
2001-03-14,144.372
2001-03-15,144.103
2001-03-16,141.446
2001-03-19,141.277
2001-03-20,141.744
2001-03-21,139.282
2001-03-22,133.502
2001-03-23,137.167
2001-03-26,140.034
2001-03-27,141.903
2001-03-28,139.728
2001-03-29,137.505
2001-03-30,138.208
2001-04-02,137.936
2001-04-03,136.834
2001-04-04,137.498
2001-04-05,140.081
2001-04-06,140.81
2001-04-09,143.04
2001-04-10,143.906
2001-04-11,143.238
2001-04-12,144.153
2001-04-13,144.153
2001-04-16,142.642
2001-04-17,141.588
2001-04-18,141.972
2001-04-19,144.884
2001-04-20,146.032
2001-04-23,143.953
2001-04-24,144.129
2001-04-25,145.08
2001-04-26,147.151
2001-04-27,146.332
2001-04-30,146.272
2001-05-01,146.884
2001-05-02,147.524
2001-05-03,149.371
2001-05-04,149.155
2001-05-07,149.421
2001-05-08,147.907
2001-05-09,147.988
2001-05-10,149.769
2001-05-11,149.376
2001-05-14,148.983
2001-05-15,150.217
2001-05-16,150.009
2001-05-17,151.593
2001-05-18,151.942
2001-05-21,153.608
2001-05-22,153.15
2001-05-23,151.4
2001-05-24,150.912
2001-05-25,150.884
2001-05-28,151.889
2001-05-29,151.22
2001-05-30,151.453
2001-05-31,149.427
2001-06-01,147.983
2001-06-04,147.212
2001-06-05,148.504
2001-06-06,147.977
2001-06-07,146.922
2001-06-08,146.605
2001-06-11,145.401
2001-06-12,145.047
2001-06-13,147.648
2001-06-14,147.837
2001-06-15,148.73
2001-06-18,148.906
2001-06-19,147.945
2001-06-20,144.086
2001-06-21,144.013
2001-06-22,144.314
2001-06-25,144.995
2001-06-26,143.473
2001-06-27,143.752
2001-06-28,143.291
2001-06-29,144.492
2001-07-02,143.925
2001-07-03,143.329
2001-07-04,143.422
2001-07-05,141.021
2001-07-06,140.481
2001-07-09,140.623
2001-07-10,141.901
2001-07-11,142.014
2001-07-12,142.252
2001-07-13,142.16
2001-07-16,142.079
2001-07-17,140.263
2001-07-18,142.328
2001-07-19,142.112
2001-07-20,142.215
2001-07-23,140.767
2001-07-24,140.952
2001-07-25,140.792
2001-07-26,141.351
2001-07-27,142.236
2001-07-30,143.252
2001-07-31,144.045
2001-08-01,144.762
2001-08-02,146.357
2001-08-03,147.225
2001-08-06,146.252
2001-08-07,145.931
2001-08-08,145.041
2001-08-09,145.265
2001-08-10,145.738
2001-08-13,146.165
2001-08-14,146.622
2001-08-15,147.919
2001-08-16,146.885
2001-08-17,145.604
2001-08-20,140.088
2001-08-21,141.322
2001-08-22,141.778
2001-08-23,142.532
