Date,SWEDEN SMALL VALUE Small Cap
1994-05-31,70.386
1994-06-30,66.424
1994-07-29,67.714
1994-08-31,65.428
1994-09-30,65.208
1994-10-31,69.118
1994-11-30,68.46
1994-12-30,70.274
1995-01-31,72.392
1995-02-28,73.864
1995-03-31,67.681
1995-04-28,72.404
1995-05-31,70.552
1995-06-30,73.265
1995-07-31,78.531
1995-08-31,75.233
1995-09-29,85.191
1995-10-31,87.235
1995-11-30,91.298
1995-12-29,91.288
1996-01-31,87.755
1996-02-29,94.299
1996-03-29,96.467
1996-04-30,98.709
1996-05-31,106.268
1996-06-28,111.037
1996-07-31,109.494
1996-08-30,115.237
1996-09-30,120.388
1996-10-31,124.577
1996-11-29,131.639
1996-12-31,137.59
1997-01-31,140.69
1997-02-28,144.316
1997-03-31,148.991
1997-04-30,138.203
1997-05-30,142.299
1997-06-30,141.694
1997-07-31,142.026
1997-08-29,145.145
1997-09-30,158.074
1997-10-31,149.066
1997-11-28,147.774
1997-12-31,144.848
1998-01-30,147.391
1998-02-27,156.52
1998-03-31,162.211
1998-04-30,167.123
1998-05-29,165.99
1998-06-30,159.06
1998-07-31,154.163
1998-08-31,129.492
1998-09-30,122.823
1998-10-30,117.981
1998-11-30,118.874
1998-12-31,116.165
1999-01-29,118.202
1999-02-26,119.56
1999-03-31,120.761
1999-04-30,124.237
1999-05-31,122.416
1999-06-30,122.668
1999-07-30,123.83
1999-08-31,125.951
1999-09-30,126.785
1999-10-29,124.641
1999-11-30,128.201
1999-12-31,143.071
2000-01-31,143.956
2000-02-29,160.836
2000-03-31,166.431
2000-04-28,159.314
2000-05-31,157.318
2000-06-30,161.469
2000-07-31,155.602
2000-08-31,155.954
2000-09-29,155.894
2000-10-31,143.491
2000-11-30,144.706
2000-12-29,153.879
2001-01-31,157.68
2001-02-28,152.948
2001-03-30,138.208
2001-04-30,146.272
2001-05-31,149.427
2001-06-29,144.492
2001-07-31,144.045
2001-08-31,139.915
2001-09-28,123.174
2001-10-31,131.845
2001-11-30,141.473
2001-12-31,144.035
2002-01-31,150.04
2002-02-28,158.764
2002-03-29,166.539
2002-04-30,167.873
2002-05-31,179.357
2002-06-28,180.625
2002-07-31,161.203
2002-08-30,157.165
2002-09-30,140.185
2002-10-31,152.469
2002-11-29,173.66
2002-12-31,165.779
2003-01-31,158.344
2003-02-28,155.213
2003-03-31,152.481
2003-04-30,175.364
2003-05-30,184.99
2003-06-30,191.854
2003-07-31,199.165
2003-08-29,208.349
2003-09-30,217.813
2003-10-31,236.797
2003-11-28,254.702
2003-12-31,271.864
2004-01-30,269.885
2004-02-27,277.925
2004-03-31,275.853
2004-04-30,276.461
