Date,SWEDEN SMALL VALUE Small Cap
1994-05-31,76.447
1994-06-30,72.144
1994-07-29,73.545
1994-08-31,71.062
1994-09-30,70.823
1994-10-31,75.07
1994-11-30,74.356
1994-12-30,76.325
1995-01-31,78.626
1995-02-28,80.225
1995-03-31,73.509
1995-04-28,78.622
1995-05-31,76.555
1995-06-30,79.482
1995-07-31,85.195
1995-08-31,81.618
1995-09-29,92.394
1995-10-31,94.611
1995-11-30,99.018
1995-12-29,99.006
1996-01-31,95.175
1996-02-29,102.272
1996-03-29,104.623
1996-04-30,107.026
1996-05-31,114.684
1996-06-28,119.83
1996-07-31,118.166
1996-08-30,124.364
1996-09-30,129.884
1996-10-31,134.404
1996-11-29,142.022
1996-12-31,148.443
1997-01-31,151.788
1997-02-28,155.7
1997-03-31,160.743
1997-04-30,148.548
1997-05-30,152.769
1997-06-30,152.12
1997-07-31,152.476
1997-08-29,155.825
1997-09-30,169.704
1997-10-31,160.034
1997-11-28,158.647
1997-12-31,155.506
1998-01-30,158.236
1998-02-27,168.037
1998-03-31,174.146
1998-04-30,179.049
1998-05-29,177.741
1998-06-30,170.288
1998-07-31,165.045
1998-08-31,138.633
1998-09-30,131.493
1998-10-30,126.309
1998-11-30,127.265
1998-12-31,124.365
1999-01-29,126.546
1999-02-26,128.0
1999-03-31,129.176
1999-04-30,132.66
1999-05-31,130.6
1999-06-30,130.869
1999-07-30,132.108
1999-08-31,134.371
1999-09-30,135.261
1999-10-29,132.974
1999-11-30,136.771
1999-12-31,152.636
2000-01-31,153.579
2000-02-29,171.588
2000-03-31,177.557
2000-04-28,169.693
2000-05-31,167.381
2000-06-30,171.797
2000-07-31,165.555
2000-08-31,165.929
2000-09-29,165.866
2000-10-31,152.669
2000-11-30,153.962
2000-12-29,163.722
2001-01-31,167.758
2001-02-28,162.724
2001-03-30,146.853
2001-04-30,154.831
2001-05-31,157.889
2001-06-29,152.675
2001-07-31,152.202
2001-08-31,147.838
2001-09-28,130.149
2001-10-31,139.311
2001-11-30,149.485
2001-12-31,152.192
2002-01-31,158.537
2002-02-28,167.755
2002-03-29,175.834
2002-04-30,176.483
2002-05-31,188.508
2002-06-28,189.841
2002-07-31,169.428
2002-08-30,165.183
2002-09-30,147.337
2002-10-31,160.249
2002-11-29,182.52
2002-12-31,174.238
2003-01-31,166.423
2003-02-28,163.132
2003-03-31,159.78
2003-04-30,182.458
2003-05-30,191.986
2003-06-30,199.083
2003-07-31,206.669
2003-08-29,216.2
2003-09-30,226.021
2003-10-31,245.72
2003-11-28,264.299
2003-12-31,282.108
2004-01-30,280.054
2004-02-27,288.397
2004-03-31,285.391
2004-04-30,284.655
2004-05-31,291.439
2004-06-30,297.178
2004-07-30,294.635
2004-08-31,300.928
2004-09-30,324.783
2004-10-29,335.035
2004-11-30,378.762
2004-12-31,395.964
2005-01-31,386.773
2005-02-28,425.549
2005-03-31,414.505
2005-04-29,396.111
2005-05-31,400.085
2005-06-30,398.851
2005-07-29,423.325
2005-08-31,424.132
2005-09-30,441.268
2005-10-31,423.389
2005-11-30,449.463
2005-12-30,499.84
2006-01-31,583.255
2006-02-28,592.424
2006-03-31,664.261
2006-04-28,721.508
2006-05-31,667.518
2006-06-30,667.481
2006-07-31,665.787
2006-08-31,675.419
2006-09-29,708.745
2006-10-31,753.113
2006-11-30,800.276
2006-12-29,873.184
2007-01-31,892.901
2007-02-28,873.691
2007-03-30,934.379
2007-04-30,1003.847
2007-05-31,1000.0
2007-06-29,948.714
2007-07-31,947.01
2007-08-31,908.328
2007-09-28,934.417
2007-10-31,969.086
2007-11-30,909.067
2007-12-31,871.517
2008-01-31,794.249
2008-02-29,859.668
2008-03-31,887.393
2008-04-30,843.615
2008-05-30,847.073
2008-06-30,716.412
2008-07-31,695.333
2008-08-29,693.121
2008-09-30,532.837
2008-10-31,377.525
2008-11-28,314.161
2008-12-31,357.612
2009-01-30,329.78
2009-02-27,303.132
2009-03-31,336.171
2009-04-30,441.601
2009-05-29,487.199
2009-06-30,459.296
2009-07-31,543.386
2009-08-31,601.868
2009-09-30,644.628
2009-10-30,678.0
2009-11-30,700.945
2009-12-31,717.369
2010-01-29,710.697
2010-02-26,721.196
2010-03-31,777.635
2010-04-30,759.551
2010-05-31,650.55
2010-06-30,641.646
2010-07-30,742.019
2010-08-31,707.222
2010-09-30,896.413
2010-10-29,921.724
2010-11-30,873.866
2010-12-31,1025.313
2011-01-31,1052.462
2011-02-28,1042.112
2011-03-31,1094.153
2011-04-29,1151.93
2011-05-31,1110.331
2011-06-30,1034.315
2011-07-29,986.463
2011-08-31,904.208
2011-09-30,762.397
2011-10-31,893.808
2011-11-30,838.275
2011-12-30,864.95
2012-01-31,938.691
2012-02-29,1007.106
2012-03-30,972.466
2012-04-30,963.309
2012-05-31,841.565
2012-06-29,870.003
2012-07-31,911.286
2012-08-31,900.65
2012-09-28,955.702
2012-10-31,934.085
2012-11-30,951.213
2012-12-31,1003.659
2013-01-31,1089.065
2013-02-28,1161.513
2013-03-29,1130.774
2013-04-30,1160.499
2013-05-31,1157.097
2013-06-28,1088.614
2013-07-31,1202.947
2013-08-30,1187.39
2013-09-30,1295.232
2013-10-31,1333.249
2013-11-29,1355.768
2013-12-31,1408.776
2014-01-31,1388.681
2014-02-28,1505.981
2014-03-31,1500.977
2014-04-30,1556.274
2014-05-30,1590.791
2014-06-30,1568.365
2014-07-31,1466.932
2014-08-29,1432.375
2014-09-30,1341.775
2014-10-31,1310.982
2014-11-28,1350.43
2014-12-31,1337.06
2015-01-30,1350.504
2015-02-27,1485.862
2015-03-31,1420.026
2015-04-30,1470.626
2015-05-29,1400.174
2015-06-30,1353.182
2015-07-31,1386.332
2015-08-31,1354.713
2015-09-30,1341.083
2015-10-30,1432.505
2015-11-30,1474.267
2015-12-31,1487.36
2016-01-29,1383.585
2016-02-29,1477.908
2016-03-31,1622.788
2016-04-29,1613.946
2016-05-31,1608.435
2016-06-30,1550.978
2016-07-29,1679.042
2016-08-31,1701.245
2016-09-30,1735.612
2016-10-31,1637.047
2016-11-30,1603.231
2016-12-30,1684.91
2017-01-31,1738.423
2017-02-28,1731.245
2017-03-31,1744.858
2017-04-28,1867.651
2017-05-31,1955.704
2017-06-30,1970.478
2017-07-31,2042.457
2017-08-31,2050.445
2017-09-29,2084.485
2017-10-31,2073.259
2017-11-30,2076.939
2017-12-29,2145.47
2018-01-31,2217.89
2018-02-28,2119.96
2018-03-30,2095.45
2018-04-30,2103.993
2018-05-31,2046.115
2018-06-29,1977.915
2018-07-31,2078.577
2018-08-31,2087.248
2018-09-28,2112.377
2018-10-31,1936.156
2018-11-30,1904.291
2018-12-31,1855.254
2019-01-31,1993.9
2019-02-28,2001.691
2019-03-29,1995.0
2019-04-30,2030.079
2019-05-31,1948.561
2019-06-28,2104.137
2019-07-31,2046.209
2019-08-30,2008.806
2019-09-30,2035.541
2019-10-31,2163.365
2019-11-29,2235.294
2019-12-31,2411.588
2020-01-31,2336.519
2020-02-28,2178.082
