Date,ISRAEL MID GROWTH Mid Cap
1995-05-31,977.0
1995-06-30,1027.948
1995-07-31,1049.158
1995-08-31,1075.348
1995-09-29,1115.922
1995-10-31,1080.305
1995-11-30,1077.287
1995-12-29,1108.547
1996-01-31,1063.462
1996-02-29,1159.162
1996-03-29,1069.146
1996-04-30,1192.933
1996-05-31,1301.399
1996-06-28,1277.752
1996-07-31,1215.909
1996-08-30,1326.828
1996-09-30,1302.808
1996-10-31,1255.736
1996-11-29,1281.121
1996-12-31,1326.573
1997-01-31,1476.013
1997-02-28,1448.285
1997-03-31,1365.577
1997-04-30,1372.616
1997-05-30,1521.282
1997-06-30,1520.979
1997-07-31,1682.75
1997-08-29,1607.897
1997-09-30,1681.342
1997-10-31,1653.176
1997-11-28,1719.891
1997-12-31,1721.805
1998-01-30,1566.013
1998-02-27,1686.572
1998-03-31,1769.306
1998-04-30,1802.097
1998-05-29,1813.688
1998-06-30,1815.667
1998-07-31,1727.717
1998-08-31,1477.287
1998-09-30,1409.297
1998-10-30,1291.732
1998-11-30,1469.131
1998-12-31,1635.099
1999-01-29,1571.297
1999-02-26,1578.896
1999-03-31,1764.772
1999-04-30,1764.495
1999-05-31,1897.616
1999-06-30,2118.61
1999-07-30,2186.784
1999-08-31,2095.814
1999-09-30,2211.415
1999-10-29,2443.064
1999-11-30,2856.731
1999-12-31,3322.69
2000-01-31,3246.003
2000-02-29,3984.765
2000-03-31,3662.138
2000-04-28,3122.02
2000-05-31,3032.877
2000-06-30,3425.584
2000-07-31,3272.05
2000-08-31,3683.802
2000-09-29,3415.371
2000-10-31,2715.354
2000-11-30,2134.193
2000-12-29,2006.376
2001-01-31,2377.101
2001-02-28,2095.629
2001-03-30,1606.664
2001-04-30,1792.109
2001-05-31,1742.11
2001-06-29,1697.313
2001-07-31,1668.476
2001-08-31,1667.023
2001-09-28,1301.213
2001-10-31,1359.162
2001-11-30,1504.319
2001-12-31,1649.104
2002-01-31,1477.541
2002-02-28,1316.494
2002-03-29,1383.659
2002-04-30,1109.338
2002-05-31,1140.021
2002-06-28,971.951
2002-07-31,945.731
2002-08-30,886.818
2002-09-30,746.528
2002-10-31,644.183
