Date,GERMANY SMALL VALUE Small Cap
2001-01-01,261.333
2001-01-02,263.216
2001-01-03,261.486
2001-01-04,262.545
2001-01-05,264.148
2001-01-08,263.892
2001-01-09,261.411
2001-01-10,261.409
2001-01-11,264.154
2001-01-12,265.48
2001-01-15,264.501
2001-01-16,264.162
2001-01-17,262.828
2001-01-18,267.679
2001-01-19,264.877
2001-01-22,267.12
2001-01-23,267.884
2001-01-24,264.07
2001-01-25,263.292
2001-01-26,263.902
2001-01-29,263.684
2001-01-30,265.887
2001-01-31,268.058
2001-02-01,271.501
2001-02-02,270.291
2001-02-05,273.018
2001-02-06,270.739
2001-02-07,269.582
2001-02-08,265.365
2001-02-09,267.149
2001-02-12,269.114
2001-02-13,266.623
2001-02-14,264.999
2001-02-15,261.647
2001-02-16,265.755
2001-02-19,266.345
2001-02-20,262.95
2001-02-21,262.967
2001-02-22,260.836
2001-02-23,259.676
2001-02-26,261.369
2001-02-27,264.578
2001-02-28,264.984
2001-03-01,266.236
2001-03-02,267.55
2001-03-05,267.722
2001-03-06,270.046
2001-03-07,268.875
2001-03-08,270.787
2001-03-09,270.729
2001-03-12,267.354
2001-03-13,262.296
2001-03-14,257.444
2001-03-15,256.664
2001-03-16,253.34
2001-03-19,252.355
2001-03-20,254.52
2001-03-21,250.652
2001-03-22,242.579
2001-03-23,246.118
2001-03-26,248.757
2001-03-27,250.652
2001-03-28,247.753
2001-03-29,245.36
2001-03-30,246.546
2001-04-02,244.689
2001-04-03,243.246
2001-04-04,246.458
2001-04-05,246.974
2001-04-06,247.863
2001-04-09,248.536
2001-04-10,247.107
2001-04-11,245.584
2001-04-12,248.733
2001-04-13,248.733
2001-04-16,246.186
2001-04-17,245.558
2001-04-18,244.688
2001-04-19,249.609
2001-04-20,252.795
2001-04-23,251.78
2001-04-24,251.43
2001-04-25,252.666
2001-04-26,254.484
2001-04-27,252.104
2001-04-30,252.252
2001-05-01,253.56
2001-05-02,253.948
2001-05-03,253.338
2001-05-04,253.878
2001-05-07,253.752
2001-05-08,252.05
2001-05-09,251.661
2001-05-10,252.751
