Date,GERMANY SMALL VALUE Small Cap
2001-01-01,269.807
2001-01-02,271.75
2001-01-03,269.949
2001-01-04,271.042
2001-01-05,272.697
2001-01-08,272.433
2001-01-09,269.872
2001-01-10,269.869
2001-01-11,272.703
2001-01-12,274.072
2001-01-15,273.061
2001-01-16,272.711
2001-01-17,271.334
2001-01-18,276.342
2001-01-19,273.449
2001-01-22,275.765
2001-01-23,276.554
2001-01-24,272.617
2001-01-25,271.813
2001-01-26,272.442
2001-01-29,272.218
2001-01-30,274.492
2001-01-31,276.733
2001-02-01,280.288
2001-02-02,279.039
2001-02-05,281.854
2001-02-06,279.501
2001-02-07,278.306
2001-02-08,273.953
2001-02-09,275.795
2001-02-12,277.823
2001-02-13,275.252
2001-02-14,273.576
2001-02-15,270.115
2001-02-16,274.329
2001-02-19,274.938
2001-02-20,271.434
2001-02-21,271.452
2001-02-22,269.252
2001-02-23,268.003
2001-02-26,269.75
2001-02-27,273.061
2001-02-28,273.481
2001-03-01,274.773
2001-03-02,276.129
2001-03-05,276.307
2001-03-06,278.705
2001-03-07,277.497
2001-03-08,279.47
2001-03-09,279.411
2001-03-12,275.926
2001-03-13,270.707
2001-03-14,265.699
2001-03-15,264.894
2001-03-16,261.449
2001-03-19,260.433
2001-03-20,262.667
2001-03-21,258.661
2001-03-22,250.33
2001-03-23,253.982
2001-03-26,256.705
2001-03-27,258.661
2001-03-28,255.67
2001-03-29,253.2
2001-03-30,254.424
2001-04-02,252.499
2001-04-03,250.99
2001-04-04,254.286
2001-04-05,254.802
2001-04-06,255.7
2001-04-09,256.395
2001-04-10,254.921
2001-04-11,253.349
2001-04-12,256.598
2001-04-13,256.598
2001-04-16,253.97
2001-04-17,253.322
2001-04-18,252.424
2001-04-19,257.502
2001-04-20,260.788
2001-04-23,259.741
2001-04-24,259.38
2001-04-25,260.655
2001-04-26,262.53
2001-04-27,260.075
2001-04-30,260.228
2001-05-01,261.577
2001-05-02,261.977
2001-05-03,261.348
2001-05-04,261.905
2001-05-07,261.776
2001-05-08,260.02
2001-05-09,259.619
2001-05-10,260.692
2001-05-11,259.161
2001-05-14,258.145
2001-05-15,260.418
2001-05-16,261.776
2001-05-17,262.447
2001-05-18,261.329
2001-05-21,261.68
2001-05-22,259.133
2001-05-23,257.06
2001-05-24,256.553
2001-05-25,257.013
2001-05-28,258.188
2001-05-29,256.524
2001-05-30,256.992
2001-05-31,253.995
2001-06-01,254.016
2001-06-04,254.812
2001-06-05,255.722
2001-06-06,255.37
2001-06-07,255.167
2001-06-08,254.679
2001-06-11,252.516
2001-06-12,253.858
2001-06-13,254.63
2001-06-14,256.199
2001-06-15,256.36
2001-06-18,255.137
2001-06-19,253.608
2001-06-20,250.483
2001-06-21,251.554
2001-06-22,251.951
2001-06-25,252.779
2001-06-26,251.387
2001-06-27,251.665
2001-06-28,249.043
2001-06-29,249.115
2001-07-02,248.1
2001-07-03,247.634
2001-07-04,247.6
2001-07-05,243.812
2001-07-06,244.171
2001-07-09,244.752
2001-07-10,246.35
2001-07-11,246.252
2001-07-12,245.038
2001-07-13,245.652
2001-07-16,245.671
2001-07-17,244.57
2001-07-18,248.773
2001-07-19,249.008
2001-07-20,249.304
2001-07-23,247.593
