Date,GERMANY SMALL VALUE Small Cap
1994-05-31,297.731
1994-06-30,303.586
1994-07-29,306.818
1994-08-31,314.367
1994-09-30,308.234
1994-10-31,311.732
1994-11-30,294.441
1994-12-30,301.033
1995-01-31,299.237
1995-02-28,310.57
1995-03-31,317.612
1995-04-28,313.796
1995-05-31,313.834
1995-06-30,320.854
1995-07-31,324.133
1995-08-31,304.758
1995-09-29,308.017
1995-10-31,296.817
1995-11-30,284.125
1995-12-29,284.652
1996-01-31,280.571
1996-02-29,283.121
1996-03-29,274.952
1996-04-30,266.305
1996-05-31,272.642
1996-06-28,279.692
1996-07-31,276.727
1996-08-30,278.893
1996-09-30,271.451
1996-10-31,267.415
1996-11-29,263.956
1996-12-31,269.492
1997-01-31,267.772
1997-02-28,269.06
1997-03-31,284.297
1997-04-30,278.394
1997-05-30,304.085
1997-06-30,315.656
1997-07-31,310.318
1997-08-29,299.25
1997-09-30,311.692
1997-10-31,305.272
1997-11-28,299.043
1997-12-31,293.808
1998-01-30,294.661
1998-02-27,309.988
1998-03-31,318.485
1998-04-30,345.406
1998-05-29,359.899
1998-06-30,352.306
1998-07-31,354.672
1998-08-31,329.96
1998-09-30,327.856
1998-10-30,326.131
1998-11-30,333.507
1998-12-31,340.56
1999-01-29,325.473
1999-02-26,315.753
1999-03-31,309.802
1999-04-30,314.905
1999-05-31,309.069
1999-06-30,310.138
1999-07-30,318.033
1999-08-31,310.79
1999-09-30,304.733
1999-10-29,306.181
1999-11-30,289.67
1999-12-31,292.34
2000-01-31,289.725
2000-02-29,286.602
2000-03-31,291.697
2000-04-28,278.283
2000-05-31,283.822
2000-06-30,292.781
2000-07-31,283.846
2000-08-31,271.65
2000-09-29,260.411
2000-10-31,246.019
2000-11-30,243.31
2000-12-29,261.333
2001-01-31,268.058
2001-02-28,264.984
2001-03-30,246.546
2001-04-30,252.252
2001-05-31,246.502
2001-06-29,242.137
2001-07-31,244.177
2001-08-31,244.356
2001-09-28,228.291
2001-10-31,239.089
2001-11-30,244.335
2001-12-31,241.565
2002-01-31,237.216
2002-02-28,234.951
2002-03-29,239.796
2002-04-30,246.307
2002-05-31,255.476
2002-06-28,244.422
2002-07-31,212.945
2002-08-30,213.409
2002-09-30,171.589
2002-10-31,181.308
2002-11-29,193.103
2002-12-31,190.534
2003-01-31,186.358
2003-02-28,178.526
2003-03-31,179.627
2003-04-30,217.504
2003-05-30,234.624
2003-06-30,242.076
2003-07-31,264.337
2003-08-29,274.663
2003-09-30,289.226
2003-10-31,322.731
2003-11-28,329.652
2003-12-31,353.75
2004-01-30,371.307
2004-02-27,379.367
2004-03-31,360.011
2004-04-30,357.812
2004-05-31,355.729
2004-06-30,370.298
2004-07-30,366.942
2004-08-31,361.718
2004-09-30,380.045
2004-10-29,390.29
2004-11-30,427.44
2004-12-31,447.978
2005-01-31,451.823
2005-02-28,480.242
2005-03-31,461.144
2005-04-29,437.027
2005-05-31,459.474
2005-06-30,474.681
2005-07-29,511.891
2005-08-31,530.156
2005-09-30,556.929
2005-10-31,514.783
2005-11-30,528.688
2005-12-30,554.715
2006-01-31,634.206
2006-02-28,663.313
2006-03-31,694.273
2006-04-28,740.367
2006-05-31,696.39
2006-06-30,677.375
2006-07-31,673.12
2006-08-31,674.959
2006-09-29,702.675
2006-10-31,733.148
2006-11-30,764.841
2006-12-29,816.964
2007-01-31,844.908
2007-02-28,846.406
2007-03-30,907.314
2007-04-30,977.972
2007-05-31,1000.0
2007-06-29,1011.009
2007-07-31,975.781
2007-08-31,936.898
2007-09-28,1001.122
2007-10-31,1064.654
2007-11-30,983.765
2007-12-31,973.668
2008-01-31,861.513
2008-02-29,911.674
2008-03-31,917.09
2008-04-30,936.948
2008-05-30,959.479
2008-06-30,848.792
2008-07-31,821.922
2008-08-29,803.94
2008-09-30,635.797
2008-10-31,461.132
2008-11-28,459.382
2008-12-31,593.189
2009-01-30,482.215
2009-02-27,440.537
2009-03-31,488.63
2009-04-30,624.553
2009-05-29,713.845
2009-06-30,711.999
2009-07-31,788.696
2009-08-31,890.474
2009-09-30,986.116
2009-10-30,925.452
2009-11-30,999.695
2009-12-31,985.806
2010-01-29,980.479
2010-02-26,967.664
2010-03-31,1043.225
2010-04-30,1060.614
2010-05-31,924.316
2010-06-30,931.953
2010-07-30,1042.316
2010-08-31,998.707
2010-09-30,1166.672
2010-10-29,1289.576
2010-11-30,1240.071
2010-12-31,1401.38
2011-01-31,1434.021
2011-02-28,1459.441
2011-03-31,1510.409
2011-04-29,1637.684
2011-05-31,1624.686
2011-06-30,1634.907
2011-07-29,1509.655
2011-08-31,1277.223
2011-09-30,1096.225
2011-10-31,1242.21
2011-11-30,1143.777
2011-12-30,1091.131
2012-01-31,1218.881
2012-02-29,1312.506
2012-03-30,1331.676
2012-04-30,1310.146
2012-05-31,1134.324
2012-06-29,1185.467
2012-07-31,1181.577
2012-08-31,1224.471
2012-09-28,1282.953
2012-10-31,1340.637
2012-11-30,1383.024
2012-12-31,1438.92
2013-01-31,1593.52
2013-02-28,1609.662
2013-03-29,1534.064
2013-04-30,1580.792
2013-05-31,1640.721
2013-06-28,1578.64
2013-07-31,1691.319
2013-08-30,1726.259
2013-09-30,1859.485
2013-10-31,1993.302
2013-11-29,2023.701
2013-12-31,2043.507
2014-01-31,2065.975
2014-02-28,2214.697
2014-03-31,2162.979
2014-04-30,2163.255
2014-05-30,2235.259
2014-06-30,2236.99
2014-07-31,2020.541
2014-08-29,2010.211
2014-09-30,1893.787
2014-10-31,1852.991
2014-11-28,1932.208
2014-12-31,1898.402
2015-01-30,1923.422
2015-02-27,2049.005
2015-03-31,2024.267
2015-04-30,2097.763
2015-05-29,2072.507
2015-06-30,2043.858
2015-07-31,2124.754
2015-08-31,2077.162
2015-09-30,2083.661
2015-10-30,2201.915
2015-11-30,2128.72
2015-12-31,2141.825
2016-01-29,1992.602
2016-02-29,2001.107
2016-03-31,2223.108
2016-04-29,2266.564
2016-05-31,2297.446
2016-06-30,2167.968
2016-07-29,2351.679
2016-08-31,2361.84
2016-09-30,2387.045
2016-10-31,2313.212
2016-11-30,2183.217
2016-12-30,2299.957
2017-01-31,2397.856
2017-02-28,2438.746
2017-03-31,2553.589
2017-04-28,2666.411
2017-05-31,2867.374
2017-06-30,2840.136
2017-07-31,3022.172
2017-08-31,3117.591
2017-09-29,3238.911
2017-10-31,3252.528
2017-11-30,3392.785
2017-12-29,3541.78
2018-01-31,3735.654
2018-02-28,3492.233
2018-03-30,3459.297
2018-04-30,3511.407
2018-05-31,3417.769
2018-06-29,3305.758
2018-07-31,3446.157
2018-08-31,3379.191
2018-09-28,3248.915
2018-10-31,2977.918
2018-11-30,2904.81
2018-12-31,2696.612
2019-01-31,2984.853
2019-02-28,2939.591
2019-03-29,2960.061
2019-04-30,3083.989
2019-05-31,2939.816
2019-06-28,3087.13
2019-07-31,2979.607
2019-08-30,2935.174
2019-09-30,2959.557
2019-10-31,3078.06
2019-11-29,3062.74
2019-12-31,3275.06
2020-01-31,3116.469
2020-02-28,2796.98
2020-03-31,2158.761
2020-04-30,2383.546
2020-05-29,2564.746
2020-06-30,2653.507
2020-07-31,2788.601
2020-08-31,3044.772
2020-09-30,2981.195
2020-10-30,2715.16
2020-11-30,3356.998
2020-12-31,3615.304
2021-01-29,3659.702
2021-02-26,3712.837
2021-03-31,3725.418
2021-04-30,3915.999
2021-05-31,4080.85
2021-06-30,3888.557
2021-07-30,3993.588
2021-08-31,4025.336
2021-09-30,3821.107
2021-10-29,3870.064
2021-11-30,3646.991
2021-12-31,3823.384
2022-01-31,3697.009
2022-02-28,3814.198
2022-03-31,3837.288
2022-04-29,3680.458
2022-05-31,3621.578
2022-06-30,3001.279
2022-07-29,3036.42
2022-08-31,2822.939
2022-09-30,2433.356
2022-10-31,2651.465
2022-11-30,2957.86
2022-12-30,2999.883
2023-01-31,3485.594
2023-02-28,3460.715
