Date,GERMANY SMALL VALUE Small Cap
1994-05-31,315.685
1994-06-30,321.591
1994-07-29,324.545
1994-08-31,332.517
1994-09-30,326.026
1994-10-31,329.715
1994-11-30,311.426
1994-12-30,318.322
1995-01-31,316.422
1995-02-28,328.407
1995-03-31,335.712
1995-04-28,331.594
1995-05-31,331.453
1995-06-30,338.419
1995-07-31,341.381
1995-08-31,320.924
1995-09-29,324.356
1995-10-31,312.544
1995-11-30,299.18
1995-12-29,299.655
1996-01-31,295.327
1996-02-29,298.011
1996-03-29,289.332
1996-04-30,280.124
1996-05-31,286.647
1996-06-28,293.784
1996-07-31,290.179
1996-08-30,292.424
1996-09-30,284.552
1996-10-31,280.321
1996-11-29,276.679
1996-12-31,282.394
1997-01-31,280.558
1997-02-28,281.907
1997-03-31,297.833
1997-04-30,291.565
1997-05-30,318.296
1997-06-30,330.082
1997-07-31,324.172
1997-08-29,312.61
1997-09-30,325.545
1997-10-31,318.835
1997-11-28,312.3
1997-12-31,306.757
1998-01-30,307.626
1998-02-27,323.617
1998-03-31,332.44
1998-04-30,360.393
1998-05-29,375.333
1998-06-30,366.936
1998-07-31,369.076
1998-08-31,343.351
1998-09-30,341.162
1998-10-30,339.367
1998-11-30,347.042
1998-12-31,354.353
1999-01-29,338.656
1999-02-26,328.542
1999-03-31,322.327
1999-04-30,327.637
1999-05-31,321.519
1999-06-30,322.284
1999-07-30,330.384
1999-08-31,322.86
1999-09-30,316.568
1999-10-29,318.072
1999-11-30,300.92
1999-12-31,303.694
2000-01-31,300.942
2000-02-29,297.698
2000-03-31,302.891
2000-04-28,288.813
2000-05-31,294.329
2000-06-30,302.852
2000-07-31,293.305
2000-08-31,280.649
2000-09-29,268.962
2000-10-31,254.09
2000-11-30,251.224
2000-12-29,269.807
2001-01-31,276.733
2001-02-28,273.481
2001-03-30,254.424
2001-04-30,260.228
2001-05-31,253.995
2001-06-29,249.115
2001-07-31,251.084
2001-08-31,251.189
2001-09-28,234.625
2001-10-31,245.723
2001-11-30,251.052
2001-12-31,248.192
2002-01-31,243.71
2002-02-28,241.37
2002-03-29,246.263
2002-04-30,252.891
2002-05-31,262.104
2002-06-28,250.52
2002-07-31,218.163
2002-08-30,218.582
2002-09-30,175.67
2002-10-31,185.62
2002-11-29,197.696
2002-12-31,195.066
2003-01-31,190.79
2003-02-28,182.773
2003-03-31,183.857
2003-04-30,222.575
2003-05-30,239.513
2003-06-30,246.726
2003-07-31,269.279
2003-08-29,279.734
2003-09-30,294.465
2003-10-31,328.577
2003-11-28,335.623
2003-12-31,360.158
2004-01-30,378.032
2004-02-27,386.239
