Date,GERMANY SMALL GROWTH Small Cap
1994-05-31,601.891
1994-06-30,598.139
1994-07-29,605.789
1994-08-31,614.489
1994-09-30,595.616
1994-10-31,607.995
1994-11-30,572.605
1994-12-30,586.699
1995-01-31,580.349
1995-02-28,598.603
1995-03-31,606.691
1995-04-28,606.282
1995-05-31,608.32
1995-06-30,637.178
1995-07-31,656.906
1995-08-31,616.038
1995-09-29,616.372
1995-10-31,594.742
1995-11-30,569.665
1995-12-29,592.25
1996-01-31,578.462
1996-02-29,581.777
1996-03-29,565.715
1996-04-30,543.655
1996-05-31,550.028
1996-06-28,561.479
1996-07-31,558.05
1996-08-30,556.469
1996-09-30,540.619
1996-10-31,543.411
1996-11-29,543.813
1996-12-31,549.837
1997-01-31,545.638
1997-02-28,558.007
1997-03-31,586.639
1997-04-30,567.285
1997-05-30,601.436
1997-06-30,608.232
1997-07-31,607.055
1997-08-29,592.556
1997-09-30,601.124
1997-10-31,593.418
1997-11-28,571.653
1997-12-31,571.705
1998-01-30,581.845
1998-02-27,637.453
1998-03-31,685.375
1998-04-30,740.185
1998-05-29,794.357
1998-06-30,775.31
1998-07-31,841.298
1998-08-31,737.534
1998-09-30,710.535
1998-10-30,729.18
1998-11-30,759.055
1998-12-31,783.392
1999-01-29,839.906
1999-02-26,826.401
1999-03-31,769.703
1999-04-30,780.014
1999-05-31,751.474
1999-06-30,765.819
1999-07-30,770.81
1999-08-31,737.129
1999-09-30,707.121
1999-10-29,710.925
1999-11-30,730.16
1999-12-31,806.895
2000-01-31,913.412
2000-02-29,1083.869
2000-03-31,1024.452
2000-04-28,965.268
2000-05-31,878.087
2000-06-30,873.966
2000-07-31,849.142
2000-08-31,824.978
2000-09-29,759.907
2000-10-31,660.469
2000-11-30,535.32
2000-12-29,555.25
2001-01-31,577.401
2001-02-28,477.401
2001-03-30,387.92
2001-04-30,412.263
2001-05-31,388.772
2001-06-29,343.948
2001-07-31,325.886
2001-08-31,313.808
2001-09-28,270.541
2001-10-31,293.45
2001-11-30,311.32
2001-12-31,298.329
2002-01-31,293.406
2002-02-28,285.177
2002-03-29,289.486
2002-04-30,290.654
2002-05-31,296.368
2002-06-28,274.67
2002-07-31,223.65
2002-08-30,212.263
2002-09-30,176.868
2002-10-31,206.737
2002-11-29,217.748
2002-12-31,200.993
2003-01-31,211.497
2003-02-28,196.472
2003-03-31,202.929
2003-04-30,241.377
2003-05-30,272.474
2003-06-30,274.429
2003-07-31,288.216
2003-08-29,303.858
2003-09-30,311.948
2003-10-31,345.615
2003-11-28,357.884
2003-12-31,374.234
2004-01-30,407.997
2004-02-27,421.321
2004-03-31,407.012
2004-04-30,409.792
2004-05-31,405.432
2004-06-30,419.037
2004-07-30,378.876
2004-08-31,364.945
2004-09-30,390.893
2004-10-29,398.243
2004-11-30,430.678
2004-12-31,456.668
2005-01-31,455.851
2005-02-28,492.681
2005-03-31,466.712
2005-04-29,449.879
2005-05-31,452.911
2005-06-30,473.858
2005-07-29,518.381
2005-08-31,513.283
2005-09-30,527.539
2005-10-31,492.811
2005-11-30,508.463
2005-12-30,515.341
2006-01-31,592.442
2006-02-28,619.707
2006-03-31,647.507
2006-04-28,703.511
2006-05-31,658.209
2006-06-30,640.123
2006-07-31,622.856
2006-08-31,652.863
2006-09-29,682.578
2006-10-31,703.122
2006-11-30,750.957
2006-12-29,803.793
2007-01-31,845.442
2007-02-28,858.238
2007-03-30,917.502
2007-04-30,976.742
2007-05-31,1000.0
2007-06-29,1008.499
2007-07-31,1005.625
2007-08-31,960.741
2007-09-28,999.478
2007-10-31,1038.567
2007-11-30,972.963
2007-12-31,972.573
2008-01-31,846.25
2008-02-29,892.073
2008-03-31,910.304
2008-04-30,945.785
2008-05-30,965.75
2008-06-30,915.73
2008-07-31,847.3
2008-08-29,828.033
2008-09-30,635.174
2008-10-31,428.59
2008-11-28,417.639
2008-12-31,482.313
2009-01-30,412.919
2009-02-27,374.745
2009-03-31,397.253
2009-04-30,465.922
2009-05-29,522.953
2009-06-30,525.701
2009-07-31,553.382
2009-08-31,588.535
2009-09-30,665.173
2009-10-30,648.563
2009-11-30,699.982
2009-12-31,702.506
2010-01-29,680.206
2010-02-26,664.532
2010-03-31,707.262
2010-04-30,697.569
2010-05-31,610.646
2010-06-30,602.31
2010-07-30,668.051
2010-08-31,631.978
2010-09-30,715.291
2010-10-29,773.825
2010-11-30,721.511
2010-12-31,821.902
2011-01-31,842.105
2011-02-28,851.584
2011-03-31,891.237
2011-04-29,959.262
2011-05-31,926.25
2011-06-30,928.231
2011-07-29,862.735
2011-08-31,775.487
2011-09-30,653.212
2011-10-31,724.536
2011-11-30,690.01
2011-12-30,650.162
2012-01-31,704.565
2012-02-29,757.033
2012-03-30,756.48
2012-04-30,778.35
2012-05-31,689.298
2012-06-29,706.961
2012-07-31,713.996
2012-08-31,737.165
2012-09-28,764.482
2012-10-31,794.832
2012-11-30,816.12
2012-12-31,835.502
2013-01-31,874.328
2013-02-28,892.514
2013-03-29,880.632
2013-04-30,892.539
2013-05-31,931.517
2013-06-28,890.061
2013-07-31,932.517
2013-08-30,932.844
2013-09-30,1006.39
2013-10-31,1046.495
2013-11-29,1062.778
2013-12-31,1085.093
2014-01-31,1089.644
2014-02-28,1157.971
2014-03-31,1126.628
2014-04-30,1122.342
2014-05-30,1164.109
2014-06-30,1166.368
2014-07-31,1061.219
2014-08-29,1059.053
2014-09-30,1011.497
2014-10-31,1000.335
2014-11-28,1065.905
2014-12-31,1061.888
2015-01-30,1060.443
2015-02-27,1128.973
2015-03-31,1085.974
2015-04-30,1117.053
2015-05-29,1138.348
2015-06-30,1115.576
2015-07-31,1152.103
2015-08-31,1123.723
2015-09-30,1102.638
2015-10-30,1153.4
2015-11-30,1150.097
2015-12-31,1181.564
2016-01-29,1079.569
2016-02-29,1063.837
2016-03-31,1165.852
2016-04-29,1148.8
2016-05-31,1183.946
2016-06-30,1123.851
2016-07-29,1200.727
2016-08-31,1198.46
2016-09-30,1234.794
2016-10-31,1166.227
2016-11-30,1103.175
2016-12-30,1142.993
2017-01-31,1202.302
2017-02-28,1225.512
2017-03-31,1289.639
2017-04-28,1372.109
2017-05-31,1497.955
2017-06-30,1468.276
2017-07-31,1580.407
2017-08-31,1635.529
2017-09-29,1749.215
2017-10-31,1784.991
2017-11-30,1811.73
2017-12-29,1840.943
2018-01-31,1994.775
2018-02-28,1920.869
2018-03-30,1870.716
2018-04-30,1894.332
2018-05-31,1872.068
2018-06-29,1794.433
2018-07-31,1881.711
2018-08-31,1914.718
2018-09-28,1794.307
2018-10-31,1589.677
2018-11-30,1543.517
2018-12-31,1422.823
2019-01-31,1586.266
2019-02-28,1641.245
2019-03-29,1656.378
2019-04-30,1770.174
2019-05-31,1623.163
2019-06-28,1731.249
2019-07-31,1708.307
2019-08-30,1640.805
2019-09-30,1652.483
2019-10-31,1751.81
2019-11-29,1827.492
2019-12-31,1941.822
2020-01-31,1900.143
2020-02-28,1742.896
2020-03-31,1517.205
2020-04-30,1669.362
2020-05-29,1906.461
2020-06-30,1991.803
2020-07-31,2093.662
2020-08-31,2199.024
2020-09-30,2182.366
2020-10-30,1988.1
2020-11-30,2396.995
2020-12-31,2644.915
2021-01-29,2777.948
2021-02-26,2795.234
2021-03-31,2708.878
2021-04-30,2912.619
2021-05-31,2948.782
2021-06-30,2889.498
2021-07-30,2920.039
2021-08-31,3072.349
2021-09-30,2960.284
2021-10-29,3030.836
2021-11-30,2795.475
2021-12-31,2869.185
2022-01-31,2567.681
2022-02-28,2438.014
2022-03-31,2381.083
2022-04-29,2160.31
2022-05-31,2189.827
2022-06-30,1820.421
2022-07-29,1940.97
2022-08-31,1745.492
2022-09-30,1470.939
2022-10-31,1594.352
2022-11-30,1839.062
2022-12-30,1810.815
2023-01-31,2032.826
2023-02-28,2022.633
2023-03-31,2051.701
2023-04-28,2074.53
2023-05-31,1954.524
2023-06-30,2058.606
2023-07-31,2141.279
2023-08-31,2039.582
2023-09-29,1820.182
2023-10-31,1701.939
2023-11-30,1908.742
2023-12-29,2036.244
2024-01-31,1905.513
2024-02-29,1912.947
2024-03-29,1955.833
2024-04-30,1863.823
2024-05-31,1931.529
2024-06-28,1776.429
2024-07-31,1826.832
2024-08-30,1834.285
2024-09-30,1828.547
2024-10-31,1713.679
2024-11-29,1664.954
2024-12-31,1646.372
2025-01-31,1725.225
2025-02-28,1770.886
2025-03-31,1807.951
2025-04-30,2027.087
2025-05-30,2206.017
2025-06-30,2307.064
2025-07-31,2238.633
