Date,ITALY Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,104.183
1970-02-27,101.428
1970-03-31,105.097
1970-04-30,104.872
1970-05-29,95.026
1970-06-30,90.617
1970-07-31,93.198
1970-08-31,93.299
1970-09-30,91.074
1970-10-30,87.081
1970-11-30,85.424
1970-12-31,82.422
1971-01-29,83.551
1971-02-26,86.04
1971-03-31,83.133
1971-04-30,80.46
1971-05-31,75.217
1971-06-30,75.091
1971-07-30,72.346
1971-08-31,70.58
1971-09-30,67.828
1971-10-29,69.213
1971-11-30,67.661
1971-12-31,72.593
1972-01-31,75.357
1972-02-29,70.531
1972-03-31,71.858
1972-04-28,75.785
1972-05-31,78.344
1972-06-30,78.9
1972-07-31,77.316
1972-08-31,77.832
1972-09-29,76.985
1972-10-31,78.678
1972-11-30,85.902
1972-12-29,83.308
1973-01-31,77.41
1973-02-28,87.712
1973-03-30,96.022
1973-04-30,96.489
1973-05-31,106.656
1973-06-29,121.109
1973-07-31,95.173
1973-08-31,104.177
1973-09-28,101.109
1973-10-31,104.553
1973-11-30,91.766
1973-12-31,91.785
1974-01-31,88.592
1974-02-28,90.041
1974-03-29,106.808
1974-04-30,100.19
1974-05-31,88.206
1974-06-28,78.846
1974-07-31,79.364
1974-08-30,68.33
1974-09-30,63.412
1974-10-31,64.21
1974-11-29,67.822
1974-12-31,61.06
1975-01-31,67.207
1975-02-28,74.075
1975-03-31,72.151
1975-04-30,71.868
1975-05-30,70.278
1975-06-30,62.15
1975-07-31,54.634
1975-08-29,54.487
1975-09-30,51.592
1975-10-31,53.648
1975-11-28,55.677
1975-12-31,55.776
1976-01-30,54.359
1976-02-27,54.283
1976-03-31,44.278
1976-04-30,39.849
1976-05-31,42.766
1976-06-30,45.773
1976-07-30,47.67
1976-08-31,46.039
1976-09-30,42.436
1976-10-29,36.865
1976-11-30,39.442
1976-12-31,40.962
1977-01-31,38.272
1977-02-28,37.658
1977-03-31,37.065
1977-04-29,35.489
1977-05-31,33.787
1977-06-30,35.614
1977-07-29,32.997
1977-08-31,39.117
1977-09-30,37.684
1977-10-31,35.343
1977-11-30,33.523
1977-12-30,33.296
1978-01-31,35.566
1978-02-28,37.999
1978-03-31,40.091
1978-04-28,39.959
1978-05-31,42.251
1978-06-30,40.424
1978-07-31,41.306
1978-08-31,44.83
1978-09-29,55.969
1978-10-31,54.153
1978-11-30,48.109
1978-12-29,48.755
1979-01-31,50.653
1979-02-28,53.647
1979-03-30,54.379
1979-04-30,51.194
1979-05-31,53.676
1979-06-29,54.037
1979-07-31,57.336
1979-08-31,62.413
1979-09-28,64.943
1979-10-31,58.707
1979-11-30,57.586
1979-12-31,57.256
1980-01-31,62.507
1980-02-29,63.751
1980-03-31,57.3
1980-04-30,62.946
1980-05-30,65.112
1980-06-30,67.39
1980-07-31,74.484
1980-08-29,81.72
1980-09-30,91.305
1980-10-31,110.747
1980-11-28,103.266
1980-12-31,103.291
1981-01-30,119.149
1981-02-27,125.921
1981-03-31,127.03
1981-04-30,133.0
1981-05-29,134.219
1981-06-30,106.848
1981-07-31,95.886
1981-08-31,106.736
1981-09-30,94.684
1981-10-30,87.927
1981-11-30,96.537
1981-12-31,92.901
1982-01-29,89.606
1982-02-26,92.406
1982-03-31,89.175
1982-04-30,86.277
1982-05-31,79.113
1982-06-30,68.167
1982-07-30,72.554
1982-08-31,73.787
1982-09-30,70.255
1982-10-29,68.656
1982-11-30,73.241
1982-12-31,75.428
1983-01-31,84.329
1983-02-28,91.969
1983-03-31,96.338
