Date,ITALY Standard (Large+Mid Cap)
2001-01-01,997.744
2001-01-02,997.527
2001-01-03,975.727
2001-01-04,989.979
2001-01-05,1000.176
2001-01-08,998.871
2001-01-09,987.283
2001-01-10,991.447
2001-01-11,1013.359
2001-01-12,1024.259
2001-01-15,1016.187
2001-01-16,1005.198
2001-01-17,1008.91
2001-01-18,1025.518
2001-01-19,1010.018
2001-01-22,1013.217
2001-01-23,1009.569
2001-01-24,1004.253
2001-01-25,1002.532
2001-01-26,1003.219
2001-01-29,992.788
2001-01-30,1004.998
2001-01-31,1015.165
2001-02-01,1017.305
2001-02-02,999.258
2001-02-05,1000.998
2001-02-06,991.068
2001-02-07,979.795
2001-02-08,967.812
2001-02-09,962.683
2001-02-12,981.051
2001-02-13,966.218
2001-02-14,952.275
2001-02-15,938.865
2001-02-16,936.0
2001-02-19,939.805
2001-02-20,914.566
2001-02-21,913.223
2001-02-22,903.02
2001-02-23,891.951
2001-02-26,906.193
2001-02-27,909.383
2001-02-28,913.206
2001-03-01,910.788
2001-03-02,905.415
2001-03-05,897.932
2001-03-06,915.987
2001-03-07,917.347
2001-03-08,921.615
2001-03-09,909.388
2001-03-12,883.329
2001-03-13,872.575
2001-03-14,857.777
2001-03-15,856.124
2001-03-16,835.644
2001-03-19,836.289
2001-03-20,851.781
2001-03-21,842.878
2001-03-22,792.443
2001-03-23,817.93
2001-03-26,840.176
2001-03-27,863.46
2001-03-28,845.569
2001-03-29,848.604
2001-03-30,855.713
2001-04-02,857.703
2001-04-03,840.637
2001-04-04,865.115
2001-04-05,872.936
2001-04-06,876.424
2001-04-09,888.16
2001-04-10,885.438
2001-04-11,870.265
2001-04-12,881.708
2001-04-13,881.708
2001-04-16,872.679
2001-04-17,871.483
2001-04-18,877.769
2001-04-19,891.409
2001-04-20,896.297
2001-04-23,883.967
2001-04-24,891.616
2001-04-25,898.187
2001-04-26,899.719
2001-04-27,897.488
2001-04-30,903.144
2001-05-01,907.932
2001-05-02,907.133
2001-05-03,890.938
2001-05-04,892.101
2001-05-07,892.461
2001-05-08,879.904
2001-05-09,870.899
2001-05-10,879.12
2001-05-11,871.405
2001-05-14,874.435
2001-05-15,875.567
2001-05-16,875.834
2001-05-17,873.343
2001-05-18,870.686
2001-05-21,869.084
2001-05-22,870.092
2001-05-23,863.372
2001-05-24,865.419
2001-05-25,857.048
2001-05-28,864.029
2001-05-29,851.55
2001-05-30,841.114
2001-05-31,827.03
2001-06-01,824.104
2001-06-04,819.839
2001-06-05,825.593
2001-06-06,817.613
2001-06-07,826.357
2001-06-08,829.61
2001-06-11,822.038
2001-06-12,819.154
2001-06-13,825.641
2001-06-14,819.307
2001-06-15,815.619
2001-06-18,806.381
2001-06-19,803.035
2001-06-20,790.754
2001-06-21,784.789
2001-06-22,790.157
2001-06-25,803.683
2001-06-26,793.81
2001-06-27,797.395
2001-06-28,791.825
2001-06-29,794.532
2001-07-02,808.659
2001-07-03,806.45
2001-07-04,802.112
2001-07-05,794.249
2001-07-06,784.558
2001-07-09,791.637
2001-07-10,792.379
2001-07-11,789.548
2001-07-12,780.983
2001-07-13,780.185
2001-07-16,783.369
2001-07-17,766.858
2001-07-18,774.104
2001-07-19,785.807
2001-07-20,785.734
2001-07-23,787.298
2001-07-24,790.731
2001-07-25,787.507
2001-07-26,789.212
2001-07-27,794.534
2001-07-30,808.275
2001-07-31,811.526
2001-08-01,815.17
2001-08-02,815.458
2001-08-03,815.799
2001-08-06,817.421
2001-08-07,815.676
2001-08-08,810.379
2001-08-09,813.712
2001-08-10,807.452
2001-08-13,813.409
2001-08-14,818.917
2001-08-15,831.419
2001-08-16,825.605
2001-08-17,813.615
2001-08-20,808.155
2001-08-21,811.977
2001-08-22,823.195
2001-08-23,819.513
2001-08-24,831.261
2001-08-27,826.173
2001-08-28,816.385
2001-08-29,823.387
2001-08-30,809.357
2001-08-31,803.202
2001-09-03,792.502
2001-09-04,778.478
2001-09-05,757.758
2001-09-06,736.453
2001-09-07,741.975
2001-09-10,731.716
2001-09-11,689.244
2001-09-12,683.97
2001-09-13,694.719
2001-09-14,663.031
2001-09-17,664.958
2001-09-18,652.466
2001-09-19,642.85
2001-09-20,614.298
2001-09-21,579.204
2001-09-24,619.121
2001-09-25,641.871
2001-09-26,657.736
2001-09-27,668.875
2001-09-28,692.546
2001-10-01,679.923
2001-10-02,689.617
2001-10-03,701.06
2001-10-04,710.321
2001-10-05,700.488
2001-10-08,708.597
2001-10-09,705.825
2001-10-10,720.461
2001-10-11,721.955
2001-10-12,714.796
2001-10-15,703.129
2001-10-16,715.399
2001-10-17,726.619
2001-10-18,719.484
2001-10-19,698.022
2001-10-22,709.075
2001-10-23,726.636
2001-10-24,732.442
2001-10-25,717.95
2001-10-26,732.332
2001-10-29,730.629
2001-10-30,707.767
2001-10-31,714.636
2001-11-01,719.939
2001-11-02,712.624
2001-11-05,722.583
2001-11-06,711.113
2001-11-07,718.675
2001-11-08,725.404
2001-11-09,723.208
2001-11-12,702.208
2001-11-13,712.225
2001-11-14,712.269
2001-11-15,713.012
2001-11-16,724.175
2001-11-19,738.189
2001-11-20,731.752
2001-11-21,724.478
2001-11-22,731.804
2001-11-23,731.871
2001-11-26,726.275
2001-11-27,715.879
2001-11-28,717.51
2001-11-29,721.944
2001-11-30,727.902
2001-12-03,720.38
2001-12-04,729.556
2001-12-05,750.678
2001-12-06,755.455
2001-12-07,752.282
2001-12-10,735.908
2001-12-11,735.979
2001-12-12,729.87
2001-12-13,715.106
2001-12-14,715.013
2001-12-17,739.163
2001-12-18,731.715
2001-12-19,720.993
2001-12-20,712.916
2001-12-21,721.0
2001-12-24,713.806
2001-12-25,713.806
2001-12-26,714.416
2001-12-27,733.056
2001-12-28,730.204
2001-12-31,737.326
2002-01-01,737.326
2002-01-02,740.6
2002-01-03,752.112
2002-01-04,744.133
2002-01-07,735.05
2002-01-08,738.635
2002-01-09,738.172
2002-01-10,727.101
2002-01-11,730.901
2002-01-14,716.54
2002-01-15,723.051
2002-01-16,707.463
2002-01-17,714.612
2002-01-18,719.755
2002-01-21,712.927
2002-01-22,717.475
2002-01-23,721.062
2002-01-24,719.651
2002-01-25,712.404
2002-01-28,717.747
2002-01-29,712.318
2002-01-30,708.834
2002-01-31,711.155
2002-02-01,710.342
2002-02-04,703.726
2002-02-05,693.355
2002-02-06,682.64
2002-02-07,685.505
2002-02-08,690.974
2002-02-11,693.486
2002-02-12,686.534
2002-02-13,694.874
2002-02-14,700.74
2002-02-15,694.686
2002-02-18,689.325
2002-02-19,678.277
2002-02-20,674.92
2002-02-21,682.606
2002-02-22,684.428
2002-02-25,687.817
2002-02-26,689.007
2002-02-27,707.007
2002-02-28,709.516
2002-03-01,713.324
2002-03-04,731.047
2002-03-05,727.768
2002-03-06,738.234
2002-03-07,740.3
2002-03-08,744.34
2002-03-11,739.713
2002-03-12,732.044
2002-03-13,739.847
2002-03-14,748.529
2002-03-15,754.018
2002-03-18,748.245
2002-03-19,756.746
2002-03-20,753.156
2002-03-21,753.758
2002-03-22,754.015
2002-03-25,744.198
2002-03-26,747.465
2002-03-27,742.466
2002-03-28,754.643
2002-03-29,754.643
2002-04-01,760.828
2002-04-02,759.358
2002-04-03,762.383
2002-04-04,755.573
2002-04-05,753.172
2002-04-08,734.641
2002-04-09,739.446
2002-04-10,750.119
2002-04-11,743.739
2002-04-12,744.315
2002-04-15,747.991
2002-04-16,767.422
2002-04-17,767.262
2002-04-18,769.308
2002-04-19,772.783
2002-04-22,768.73
2002-04-23,767.353
2002-04-24,769.273
2002-04-25,764.22
2002-04-26,760.537
2002-04-29,762.986
2002-04-30,760.409
2002-05-01,764.713
2002-05-02,747.484
2002-05-03,751.526
2002-05-06,754.295
2002-05-07,747.76
2002-05-08,757.282
2002-05-09,747.659
2002-05-10,742.104
2002-05-13,751.475
2002-05-14,755.121
2002-05-15,759.825
2002-05-16,760.288
2002-05-17,766.606
2002-05-20,762.01
2002-05-21,760.847
2002-05-22,762.155
2002-05-23,755.677
2002-05-24,753.875
2002-05-27,753.399
2002-05-28,760.262
2002-05-29,762.139
2002-05-30,755.598
2002-05-31,747.341
2002-06-03,742.882
2002-06-04,730.445
2002-06-05,725.399
2002-06-06,727.298
2002-06-07,723.925
2002-06-10,728.143
2002-06-11,745.68
2002-06-12,736.628
2002-06-13,722.984
2002-06-14,710.913
2002-06-17,730.547
2002-06-18,735.732
2002-06-19,734.55
2002-06-20,724.025
2002-06-21,725.16
2002-06-24,721.584
2002-06-25,725.865
2002-06-26,737.843
2002-06-27,729.205
2002-06-28,753.694
2002-07-01,757.912
2002-07-02,734.796
2002-07-03,716.854
2002-07-04,721.277
2002-07-05,743.883
2002-07-08,752.005
2002-07-09,753.988
2002-07-10,735.341
2002-07-11,713.711
2002-07-12,706.404
2002-07-15,685.927
2002-07-16,691.391
2002-07-17,699.08
2002-07-18,711.013
2002-07-19,688.613
2002-07-22,655.447
2002-07-23,636.47
2002-07-24,632.839
2002-07-25,650.763
2002-07-26,646.602
2002-07-29,668.826
2002-07-30,677.617
2002-07-31,677.437
2002-08-01,659.53
2002-08-02,659.232
2002-08-05,648.095
2002-08-06,656.382
2002-08-07,653.949
2002-08-08,672.176
2002-08-09,683.612
2002-08-12,675.348
2002-08-13,683.836
2002-08-14,670.403
2002-08-15,665.409
2002-08-16,690.236
2002-08-19,705.003
2002-08-20,697.729
2002-08-21,706.01
2002-08-22,707.493
2002-08-23,701.457
2002-08-26,698.919
2002-08-27,721.826
2002-08-28,698.265
2002-08-29,682.853
2002-08-30,686.909
2002-09-02,679.394
2002-09-03,663.37
2002-09-04,669.816
2002-09-05,664.407
2002-09-06,676.197
2002-09-09,660.731
2002-09-10,674.383
2002-09-11,682.739
2002-09-12,664.959
2002-09-13,656.389
2002-09-16,653.646
2002-09-17,645.378
2002-09-18,632.034
2002-09-19,625.088
2002-09-20,616.605
2002-09-23,588.067
2002-09-24,586.658
2002-09-25,594.589
