Date,ITALY Standard (Large+Mid Cap)
2001-01-01,776.61
2001-01-02,776.441
2001-01-03,759.473
2001-01-04,770.566
2001-01-05,778.503
2001-01-08,777.488
2001-01-09,768.467
2001-01-10,771.709
2001-01-11,788.764
2001-01-12,797.248
2001-01-15,790.965
2001-01-16,782.412
2001-01-17,785.301
2001-01-18,798.228
2001-01-19,786.164
2001-01-22,788.653
2001-01-23,785.814
2001-01-24,781.676
2001-01-25,780.337
2001-01-26,780.871
2001-01-29,772.753
2001-01-30,782.256
2001-01-31,790.17
2001-02-01,791.836
2001-02-02,777.789
2001-02-05,779.142
2001-02-06,771.414
2001-02-07,762.639
2001-02-08,753.312
2001-02-09,749.319
2001-02-12,763.617
2001-02-13,752.071
2001-02-14,741.219
2001-02-15,730.781
2001-02-16,728.551
2001-02-19,731.512
2001-02-20,711.867
2001-02-21,710.822
2001-02-22,702.88
2001-02-23,694.264
2001-02-26,705.349
2001-02-27,707.832
2001-02-28,710.808
2001-03-01,708.926
2001-03-02,704.744
2001-03-05,698.919
2001-03-06,712.973
2001-03-07,714.031
2001-03-08,717.354
2001-03-09,707.837
2001-03-12,687.553
2001-03-13,679.182
2001-03-14,667.665
2001-03-15,666.378
2001-03-16,650.437
2001-03-19,650.939
2001-03-20,662.998
2001-03-21,656.068
2001-03-22,616.81
2001-03-23,636.649
2001-03-26,653.965
2001-03-27,672.088
2001-03-28,658.162
2001-03-29,660.524
2001-03-30,666.053
2001-04-02,667.602
2001-04-03,654.319
2001-04-04,673.371
2001-04-05,679.459
2001-04-06,682.174
2001-04-09,691.309
2001-04-10,689.19
2001-04-11,677.38
2001-04-12,686.287
2001-04-13,686.287
2001-04-16,679.259
2001-04-17,678.328
2001-04-18,683.221
2001-04-19,693.838
2001-04-20,697.643
2001-04-23,687.071
2001-04-24,693.017
2001-04-25,698.124
2001-04-26,699.314
2001-04-27,697.581
2001-04-30,701.977
2001-05-01,705.698
2001-05-02,705.077
2001-05-03,692.49
2001-05-04,693.394
2001-05-07,693.667
2001-05-08,683.907
2001-05-09,676.908
2001-05-10,683.297
2001-05-11,677.301
2001-05-14,679.656
2001-05-15,680.536
2001-05-16,680.744
2001-05-17,678.808
2001-05-18,676.742
2001-05-21,674.064
2001-05-22,674.846
2001-05-23,669.634
2001-05-24,671.222
2001-05-25,664.729
2001-05-28,670.144
2001-05-29,660.465
2001-05-30,652.37
2001-05-31,641.447
2001-06-01,639.177
2001-06-04,635.856
2001-06-05,640.319
2001-06-06,634.13
2001-06-07,640.912
2001-06-08,643.434
2001-06-11,637.561
2001-06-12,635.325
2001-06-13,640.356
2001-06-14,635.443
2001-06-15,632.583
2001-06-18,623.554
2001-06-19,620.967
2001-06-20,611.471
2001-06-21,606.858
2001-06-22,611.009
2001-06-25,621.468
2001-06-26,613.833
2001-06-27,616.606
2001-06-28,612.298
2001-06-29,614.392
2001-07-02,625.316
2001-07-03,623.608
2001-07-04,620.253
2001-07-05,614.173
2001-07-06,606.68
2001-07-09,612.153
2001-07-10,612.727
2001-07-11,610.538
2001-07-12,603.915
2001-07-13,603.298
2001-07-16,605.76
2001-07-17,592.992
2001-07-18,598.596
2001-07-19,607.645
2001-07-20,607.589
2001-07-23,608.798
2001-07-24,611.453
2001-07-25,608.959
2001-07-26,610.278
2001-07-27,614.394
2001-07-30,625.019
2001-07-31,627.533
2001-08-01,630.35
2001-08-02,630.573
2001-08-03,630.837
2001-08-06,632.091
2001-08-07,630.742
2001-08-08,626.646
2001-08-09,629.224
2001-08-10,624.383
2001-08-13,628.989
2001-08-14,633.248
2001-08-15,642.916
2001-08-16,638.42
2001-08-17,629.148
2001-08-20,624.926
2001-08-21,627.882
2001-08-22,636.556
2001-08-23,633.709
2001-08-24,642.794
2001-08-27,638.859
2001-08-28,631.29
2001-08-29,636.704
2001-08-30,625.855
2001-08-31,621.096
2001-09-03,612.822
2001-09-04,601.978
2001-09-05,585.955
2001-09-06,569.481
2001-09-07,573.75
2001-09-10,565.818
2001-09-11,532.975
2001-09-12,528.897
2001-09-13,537.209
2001-09-14,512.705
2001-09-17,514.196
2001-09-18,504.536
2001-09-19,497.1
2001-09-20,475.021
2001-09-21,447.884
2001-09-24,478.751
2001-09-25,496.343
2001-09-26,508.611
2001-09-27,517.225
2001-09-28,535.529
2001-10-01,525.767
2001-10-02,533.263
2001-10-03,542.112
2001-10-04,549.274
2001-10-05,541.67
2001-10-08,547.94
2001-10-09,545.797
2001-10-10,557.114
2001-10-11,558.27
2001-10-12,552.734
2001-10-15,543.713
2001-10-16,553.2
2001-10-17,561.876
2001-10-18,556.359
2001-10-19,539.763
2001-10-22,548.31
2001-10-23,561.89
2001-10-24,566.379
2001-10-25,555.173
2001-10-26,566.294
2001-10-29,564.978
2001-10-30,547.299
2001-10-31,552.61
2001-11-01,556.711
2001-11-02,551.055
2001-11-05,558.755
2001-11-06,549.886
2001-11-07,555.733
2001-11-08,560.937
2001-11-09,559.239
2001-11-12,543.0
2001-11-13,550.746
2001-11-14,550.78
2001-11-15,551.355
2001-11-16,559.987
2001-11-19,570.781
2001-11-20,565.803
2001-11-21,560.179
2001-11-22,565.843
2001-11-23,565.895
2001-11-26,561.568
2001-11-27,553.53
2001-11-28,554.791
2001-11-29,558.22
2001-11-30,562.826
2001-12-03,557.01
2001-12-04,564.105
2001-12-05,580.437
2001-12-06,584.131
2001-12-07,581.677
2001-12-10,569.017
2001-12-11,569.072
2001-12-12,564.348
2001-12-13,552.933
2001-12-14,552.861
2001-12-17,571.533
2001-12-18,565.775
2001-12-19,557.484
2001-12-20,551.239
2001-12-21,557.49
