Date,ITALY Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,104.1
1970-02-27,101.266
1970-03-31,104.85
1970-04-30,104.548
1970-05-29,94.654
1970-06-30,90.182
1970-07-31,92.668
1970-08-31,92.688
1970-09-30,90.405
1970-10-30,86.364
1970-11-30,84.643
1970-12-31,81.591
1971-01-29,82.63
1971-02-26,85.018
1971-03-31,82.066
1971-04-30,79.358
1971-05-31,74.117
1971-06-30,73.943
1971-07-30,71.19
1971-08-31,69.401
1971-09-30,66.646
1971-10-29,67.955
1971-11-30,66.381
1971-12-31,71.168
1972-01-31,73.825
1972-02-29,69.051
1972-03-31,70.292
1972-04-28,74.078
1972-05-31,76.524
1972-06-30,77.012
1972-07-31,75.412
1972-08-31,75.86
1972-09-29,74.979
1972-10-31,76.575
1972-11-30,83.552
1972-12-29,80.974
1973-01-31,75.189
1973-02-28,85.14
1973-03-30,93.155
1973-04-30,93.556
1973-05-31,103.366
1973-06-29,117.321
1973-07-31,92.146
1973-08-31,100.81
1973-09-28,97.789
1973-10-31,101.069
1973-11-30,88.66
1973-12-31,88.627
1974-01-31,85.499
1974-02-28,86.854
1974-03-29,102.989
1974-04-30,96.566
1974-05-31,84.975
1974-06-28,75.919
1974-07-31,76.377
1974-08-30,65.72
1974-09-30,60.953
1974-10-31,61.682
1974-11-29,65.113
1974-12-31,58.581
1975-01-31,64.44
1975-02-28,70.987
1975-03-31,69.088
1975-04-30,68.756
1975-05-30,67.175
1975-06-30,59.345
1975-07-31,52.11
1975-08-29,51.912
1975-09-30,49.097
1975-10-31,50.996
1975-11-28,52.868
1975-12-31,52.904
1976-01-30,51.508
1976-02-27,51.385
1976-03-31,41.879
1976-04-30,37.662
1976-05-31,40.39
1976-06-30,43.203
1976-07-30,44.965
1976-08-31,43.399
1976-09-30,39.91
1976-10-29,34.643
1976-11-30,37.038
1976-12-31,38.438
1977-01-31,35.886
1977-02-28,35.282
1977-03-31,34.694
1977-04-29,33.186
1977-05-31,31.561
1977-06-30,33.235
1977-07-29,30.76
1977-08-31,36.432
1977-09-30,35.064
1977-10-31,32.853
1977-11-30,31.128
1977-12-30,30.883
1978-01-31,32.956
1978-02-28,35.198
1978-03-31,37.082
1978-04-28,36.928
1978-05-31,39.009
1978-06-30,37.282
1978-07-31,38.055
1978-08-31,41.263
1978-09-29,51.475
1978-10-31,49.764
1978-11-30,44.172
1978-12-29,44.727
1979-01-31,46.431
1979-02-28,49.139
1979-03-30,49.769
1979-04-30,46.814
1979-05-31,49.054
1979-06-29,49.353
1979-07-31,52.335
1979-08-31,56.936
1979-09-28,59.208
1979-10-31,53.489
1979-11-30,52.433
1979-12-31,52.098
1980-01-31,56.842
1980-02-29,57.939
1980-03-31,52.042
1980-04-30,57.133
1980-05-30,59.06
1980-06-30,61.087
1980-07-31,67.477
1980-08-29,73.993
1980-09-30,82.63
1980-10-31,100.186
1980-11-28,93.383
1980-12-31,93.362
1981-01-30,107.653
1981-02-27,113.729
1981-03-31,114.699
1981-04-30,120.048
1981-05-29,121.112
1981-06-30,96.377
1981-07-31,86.452
1981-08-31,96.198
1981-09-30,85.299
1981-10-30,79.176
1981-11-30,86.892
1981-12-31,83.585
1982-01-29,80.583
1982-02-26,83.066
1982-03-31,80.119
1982-04-30,77.473
1982-05-31,70.996
1982-06-30,61.132
1982-07-30,65.024
1982-08-31,66.115
1982-09-30,62.907
1982-10-29,61.433
1982-11-30,65.493
1982-12-31,67.403
1983-01-31,75.313
1983-02-28,82.093
1983-03-31,85.946
1983-04-29,79.257
1983-05-31,74.713
1983-06-30,75.261
1983-07-29,75.315
1983-08-31,75.232
1983-09-30,73.329
1983-10-31,68.536
1983-11-30,70.042
1983-12-30,69.393
1984-01-31,80.242
1984-02-29,81.695
1984-03-30,82.473
1984-04-30,78.066
1984-05-31,74.61
1984-06-29,75.275
1984-07-31,72.203
1984-08-31,76.276
1984-09-28,69.746
1984-10-31,69.728
1984-11-30,69.714
1984-12-31,75.027
1985-01-31,84.897
1985-02-28,84.179
1985-03-29,87.622
1985-04-30,89.823
1985-05-31,98.242
1985-06-28,109.043
1985-07-31,119.82
1985-08-30,127.42
1985-09-30,141.518
1985-10-31,146.982
1985-11-29,163.366
1985-12-31,173.866
1986-01-31,188.25
1986-02-28,246.482
1986-03-31,297.346
1986-04-30,331.821
1986-05-30,318.617
1986-06-30,288.273
1986-07-31,338.72
1986-08-29,385.684
1986-09-30,348.846
1986-10-31,359.905
1986-11-28,355.533
1986-12-31,362.135
1987-01-30,365.59
1987-02-27,354.3
1987-03-31,370.907
1987-04-30,402.683
1987-05-29,356.105
1987-06-30,350.81
1987-07-31,347.313
1987-08-31,327.094
1987-09-30,331.87
1987-10-30,291.437
1987-11-30,299.437
1987-12-31,284.983
1988-01-29,262.594
1988-02-29,278.146
1988-03-31,289.339
1988-04-29,284.305
1988-05-31,254.214
1988-06-30,265.045
1988-07-29,272.985
1988-08-31,263.584
1988-09-30,280.815
1988-10-31,314.216
1988-11-30,319.349
1988-12-30,317.643
1989-01-31,308.992
1989-02-28,302.564
1989-03-31,306.849
1989-04-28,309.188
1989-05-31,294.558
1989-06-30,324.371
1989-07-31,358.929
1989-08-31,367.013
1989-09-29,364.333
1989-10-31,335.462
1989-11-30,352.352
1989-12-29,379.323
1990-01-31,377.775
1990-02-28,360.147
1990-03-30,374.201
1990-04-30,383.805
1990-05-31,408.026
1990-06-29,415.847
1990-07-31,419.343
1990-08-31,359.019
1990-09-28,316.201
1990-10-31,330.6
1990-11-30,297.213
1990-12-31,306.535
1991-01-31,298.283
1991-02-28,342.834
1991-03-29,310.404
1991-04-30,302.828
1991-05-31,320.066
1991-06-28,291.61
1991-07-31,294.384
1991-08-30,285.631
1991-09-30,286.099
1991-10-31,274.354
1991-11-29,288.441
1991-12-31,300.943
1992-01-31,308.79
1992-02-28,304.466
1992-03-31,287.005
1992-04-30,290.492
1992-05-29,296.019
1992-06-30,286.274
1992-07-31,263.086
1992-08-31,265.291
1992-09-30,215.582
1992-10-30,252.986
1992-11-30,238.077
1992-12-31,234.085
1993-01-29,255.546
1993-02-26,258.029
1993-03-31,236.739
1993-04-30,287.833
1993-05-31,295.512
1993-06-30,288.721
1993-07-30,293.322
1993-08-31,329.311
1993-09-30,309.323
1993-10-29,298.253
1993-11-30,266.989
1993-12-31,300.881
1994-01-31,330.091
1994-02-28,327.457
1994-03-31,380.414
1994-04-29,419.88
1994-05-31,387.241
1994-06-30,361.772
1994-07-29,381.072
1994-08-31,373.443
1994-09-30,373.584
1994-10-31,353.856
1994-11-30,329.371
1994-12-30,335.672
1995-01-31,358.403
1995-02-28,326.151
1995-03-31,307.503
1995-04-28,339.019
1995-05-31,340.177
1995-06-30,330.141
1995-07-31,356.029
1995-08-31,347.589
1995-09-29,344.216
1995-10-31,327.816
1995-11-30,309.547
1995-12-29,339.196
1996-01-31,354.592
1996-02-29,351.165
1996-03-29,337.324
1996-04-30,383.368
1996-05-31,381.175
1996-06-28,382.604
1996-07-31,354.259
1996-08-30,351.452
1996-09-30,373.936
1996-10-31,353.238
1996-11-29,381.116
1996-12-31,381.9
1997-01-31,422.371
1997-02-28,377.586
1997-03-31,386.98
1997-04-30,392.422
1997-05-30,388.015
1997-06-30,424.765
1997-07-31,449.245
1997-08-29,437.453
1997-09-30,500.779
1997-10-31,470.441
1997-11-28,482.054
1997-12-31,517.398
1998-01-30,564.541
1998-02-27,588.299
1998-03-31,703.817
1998-04-30,689.406
1998-05-29,725.08
1998-06-30,689.03
1998-07-31,758.024
1998-08-31,650.615
1998-09-30,620.804
1998-10-30,661.134
1998-11-30,729.34
1998-12-31,789.147
1999-01-29,747.852
1999-02-26,736.895
1999-03-31,765.387
1999-04-30,742.378
1999-05-31,702.523
1999-06-30,686.403
1999-07-30,664.294
1999-08-31,678.965
1999-09-30,692.774
1999-10-29,671.396
1999-11-30,687.346
1999-12-31,787.069
2000-01-31,746.658
2000-02-29,837.975
2000-03-31,785.23
2000-04-28,733.922
2000-05-31,766.046
2000-06-30,818.046
2000-07-31,783.691
2000-08-31,773.423
2000-09-29,728.421
2000-10-31,745.67
2000-11-30,760.125
2000-12-29,776.61
2001-01-31,790.17
2001-02-28,710.808
2001-03-30,666.053
2001-04-30,701.977
2001-05-31,641.447
2001-06-29,614.392
2001-07-31,627.533
2001-08-31,621.096
2001-09-28,535.529
2001-10-31,552.61
2001-11-30,562.826
2001-12-31,570.113
2002-01-31,549.877
2002-02-28,548.61
2002-03-29,583.503
2002-04-30,587.211
2002-05-31,574.838
2002-06-28,577.596
2002-07-31,519.142
2002-08-30,526.401
2002-09-30,453.843
2002-10-31,491.479
2002-11-29,537.347
2002-12-31,528.336
2003-01-31,520.332
2003-02-28,536.501
2003-03-31,494.184
2003-04-30,561.504
2003-05-30,624.776
2003-06-30,612.706
2003-07-31,611.135
2003-08-29,591.339
2003-09-30,614.004
2003-10-31,644.033
2003-11-28,695.636
2003-12-31,728.206
2004-01-30,743.068
2004-02-27,751.214
2004-03-31,725.493
2004-04-30,735.634
2004-05-31,741.63
2004-06-30,766.926
2004-07-30,748.208
2004-08-31,740.882
2004-09-30,783.066
2004-10-29,828.538
2004-11-30,894.644
2004-12-31,964.764
2005-01-31,942.452
2005-02-28,972.291
2005-03-31,969.652
2005-04-29,927.835
2005-05-31,916.217
2005-06-30,922.762
2005-07-29,961.77
2005-08-31,967.07
2005-09-30,985.5
2005-10-31,918.631
2005-11-30,940.064
2005-12-30,983.049
2006-01-31,1034.277
2006-02-28,1043.587
2006-03-31,1068.84
2006-04-28,1115.143
2006-05-31,1110.91
2006-06-30,1113.786
2006-07-31,1118.87
2006-08-31,1165.133
2006-09-29,1163.437
2006-10-31,1209.778
2006-11-30,1276.465
2006-12-29,1302.451
2007-01-31,1301.651
2007-02-28,1287.604
2007-03-30,1314.043
2007-04-30,1414.372
2007-05-31,1395.981
2007-06-29,1369.645
2007-07-31,1330.375
2007-08-31,1324.544
2007-09-28,1374.137
2007-10-31,1424.59
2007-11-30,1401.81
2007-12-31,1381.342
2008-01-31,1247.12
2008-02-29,1244.538
2008-03-31,1219.465
2008-04-30,1293.88
2008-05-30,1293.219
2008-06-30,1154.267
2008-07-31,1102.027
2008-08-29,1054.336
2008-09-30,898.143
2008-10-31,686.118
2008-11-28,647.033
2008-12-31,690.998
2009-01-30,594.806
2009-02-27,513.024
2009-03-31,548.809
2009-04-30,653.126
2009-05-29,737.754
2009-06-30,707.83
2009-07-31,766.867
2009-08-31,838.457
2009-09-30,898.62
2009-10-30,854.27
2009-11-30,865.306
2009-12-31,874.605
2010-01-29,800.596
2010-02-26,755.857
2010-03-31,810.898
2010-04-30,754.976
2010-05-31,642.144
2010-06-30,635.88
2010-07-30,736.526
2010-08-31,681.676
2010-09-30,761.563
2010-10-29,810.32
2010-11-30,683.266
2010-12-31,743.34
2011-01-31,826.059
2011-02-28,849.206
2011-03-31,845.676
2011-04-29,916.362
2011-05-31,849.469
2011-06-30,823.775
2011-07-29,747.523
2011-08-31,637.628
2011-09-30,566.898
2011-10-31,643.675
2011-11-30,598.218
2011-12-30,571.053
2012-01-31,607.391
2012-02-29,637.886
2012-03-30,621.861
2012-04-30,569.307
2012-05-31,477.079
2012-06-29,546.877
2012-07-31,517.1
2012-08-31,573.674
2012-09-28,587.768
2012-10-31,607.463
2012-11-30,620.002
2012-12-31,642.299
2013-01-31,699.583
2013-02-28,611.498
2013-03-29,579.526
2013-04-30,648.362
2013-05-31,657.043
2013-06-28,584.264
2013-07-31,644.541
2013-08-30,650.121
2013-09-30,698.98
2013-10-31,782.461
2013-11-29,768.099
2013-12-31,773.527
2014-01-31,777.582
2014-02-28,833.013
2014-03-31,886.386
2014-04-30,900.545
2014-05-30,890.697
2014-06-30,885.318
2014-07-31,837.785
2014-08-29,818.926
2014-09-30,808.185
2014-10-31,761.06
2014-11-28,761.747
2014-12-31,699.814
2015-01-30,699.913
2015-02-27,758.526
2015-03-31,747.65
2015-04-30,778.541
2015-05-29,786.267
2015-06-30,766.267
2015-07-31,797.958
2015-08-31,755.503
2015-09-30,732.889
2015-10-30,766.0
2015-11-30,741.491
2015-12-31,715.91
2016-01-29,618.846
2016-02-29,586.633
2016-03-31,632.412
2016-04-29,650.051
2016-05-31,623.634
2016-06-30,566.325
2016-07-29,590.526
2016-08-31,594.787
2016-09-30,578.821
2016-10-31,588.677
2016-11-30,567.265
2016-12-30,641.073
2017-01-31,624.698
2017-02-28,622.725
2017-03-31,680.616
2017-04-28,695.67
2017-05-31,732.85
2017-06-30,741.505
2017-07-31,797.403
2017-08-31,812.01
2017-09-29,842.928
2017-10-31,831.148
2017-11-30,836.162
2017-12-29,823.348
2018-01-31,919.224
2018-02-28,864.887
2018-03-30,867.432
2018-04-30,915.669
2018-05-31,809.465
2018-06-29,803.791
2018-07-31,829.263
2018-08-31,750.583
2018-09-28,768.02
2018-10-31,696.023
2018-11-30,701.314
2018-12-31,677.196
2019-01-31,735.068
2019-02-28,760.252
2019-03-29,775.774
2019-04-30,791.931
2019-05-31,727.049
2019-06-28,798.353
2019-07-31,787.175
2019-08-30,776.183
2019-09-30,797.892
2019-10-31,834.432
2019-11-29,839.358
2019-12-31,862.276
2020-01-31,843.531
2020-02-28,786.973
2020-03-31,609.656
2020-04-30,620.877
2020-05-29,656.445
2020-06-30,707.647
2020-07-31,733.775
2020-08-31,760.136
2020-09-30,717.112
2020-10-30,667.647
2020-11-30,846.77
2020-12-31,877.819
2021-01-29,842.893
2021-02-26,890.941
2021-03-31,932.981
2021-04-30,937.585
2021-05-31,997.828
2021-06-30,966.963
2021-07-30,973.821
2021-08-31,986.593
2021-09-30,956.549
2021-10-29,1006.026
2021-11-30,940.822
2021-12-31,1009.697
2022-01-31,983.652
2022-02-28,936.037
2022-03-31,908.241
2022-04-29,844.985
2022-05-31,873.542
2022-06-30,747.863
2022-07-29,766.608
2022-08-31,731.003
2022-09-30,683.987
2022-10-31,761.373
2022-11-30,864.547
2022-12-30,864.312
2023-01-31,977.536
2023-02-28,983.381
2023-03-31,991.038
2023-04-28,1035.507
2023-05-31,965.667
2023-06-30,1072.403
2023-07-31,1139.378
2023-08-31,1095.071
2023-09-29,1051.045
2023-10-31,1038.12
2023-11-30,1149.205
2023-12-29,1184.93
2024-01-31,1187.651
2024-02-29,1256.633
2024-03-29,1346.964
2024-04-30,1306.722
2024-05-31,1368.231
2024-06-28,1300.691
2024-07-31,1347.714
2024-08-30,1413.785
2024-09-30,1412.271
2024-10-31,1382.577
2024-11-29,1314.101
2024-12-31,1318.237
2025-01-31,1421.922
2025-02-28,1507.182
2025-03-31,1545.396
2025-04-30,1617.822
2025-05-30,1741.228
2025-06-30,1782.884
2025-07-31,1805.256
2025-08-29,1901.426
2025-09-30,1931.004
