Date,GERMANY GROWTH Standard (Large+Mid Cap)
2001-01-01,1861.062
2001-01-02,1819.229
2001-01-03,1878.334
2001-01-04,1850.182
2001-01-05,1845.312
2001-01-08,1839.671
2001-01-09,1826.461
2001-01-10,1813.835
2001-01-11,1892.574
2001-01-12,1914.509
2001-01-15,1905.223
2001-01-16,1899.556
2001-01-17,1926.888
2001-01-18,1948.999
2001-01-19,1934.596
2001-01-22,1923.989
2001-01-23,1942.289
2001-01-24,1909.396
2001-01-25,1903.325
2001-01-26,1896.623
2001-01-29,1909.923
2001-01-30,1923.986
2001-01-31,1949.193
2001-02-01,1943.392
2001-02-02,1912.375
2001-02-05,1913.317
2001-02-06,1918.657
2001-02-07,1875.21
2001-02-08,1863.788
2001-02-09,1820.626
2001-02-12,1851.454
2001-02-13,1816.173
2001-02-14,1767.561
2001-02-15,1772.159
2001-02-16,1737.661
2001-02-19,1754.508
2001-02-20,1724.197
2001-02-21,1692.173
2001-02-22,1662.186
2001-02-23,1594.983
2001-02-26,1649.117
2001-02-27,1672.882
2001-02-28,1700.566
2001-03-01,1689.341
2001-03-02,1691.571
2001-03-05,1690.922
2001-03-06,1713.2
2001-03-07,1714.914
2001-03-08,1711.427
2001-03-09,1685.632
2001-03-12,1633.523
2001-03-13,1571.549
2001-03-14,1528.344
2001-03-15,1545.642
2001-03-16,1467.037
2001-03-19,1448.031
2001-03-20,1497.45
2001-03-21,1452.018
2001-03-22,1374.123
2001-03-23,1439.715
2001-03-26,1487.74
2001-03-27,1535.519
2001-03-28,1475.473
2001-03-29,1471.065
2001-03-30,1474.544
2001-04-02,1444.868
2001-04-03,1389.768
2001-04-04,1423.259
2001-04-05,1478.313
2001-04-06,1468.074
2001-04-09,1475.821
2001-04-10,1471.842
2001-04-11,1479.539
2001-04-12,1508.834
2001-04-13,1508.834
2001-04-16,1493.382
2001-04-17,1465.172
2001-04-18,1507.73
2001-04-19,1544.552
2001-04-20,1550.615
2001-04-23,1525.051
2001-04-24,1537.048
2001-04-25,1547.002
2001-04-26,1558.32
2001-04-27,1559.026
2001-04-30,1576.128
2001-05-01,1584.484
2001-05-02,1574.671
2001-05-03,1544.567
2001-05-04,1551.366
2001-05-07,1544.282
2001-05-08,1534.167
2001-05-09,1515.052
2001-05-10,1540.586
2001-05-11,1519.175
2001-05-14,1497.107
2001-05-15,1509.508
2001-05-16,1536.405
2001-05-17,1542.911
2001-05-18,1540.486
2001-05-21,1554.249
2001-05-22,1549.619
2001-05-23,1532.158
2001-05-24,1546.131
2001-05-25,1535.827
2001-05-28,1539.641
2001-05-29,1519.315
2001-05-30,1497.492
2001-05-31,1499.42
2001-06-01,1498.662
2001-06-04,1523.777
2001-06-05,1553.832
2001-06-06,1540.325
2001-06-07,1538.066
2001-06-08,1543.174
2001-06-11,1517.607
2001-06-12,1499.89
2001-06-13,1517.481
2001-06-14,1507.208
2001-06-15,1482.452
2001-06-18,1466.791
2001-06-19,1477.561
2001-06-20,1452.135
2001-06-21,1465.485
2001-06-22,1476.626
2001-06-25,1470.055
2001-06-26,1461.81
2001-06-27,1442.385
2001-06-28,1457.953
2001-06-29,1468.198
2001-07-02,1474.773
2001-07-03,1456.354
2001-07-04,1441.614
2001-07-05,1415.916
2001-07-06,1392.572
2001-07-09,1401.259
2001-07-10,1398.42
2001-07-11,1396.246
2001-07-12,1408.98
2001-07-13,1418.55
2001-07-16,1407.059
2001-07-17,1396.576
2001-07-18,1395.54
2001-07-19,1429.19
2001-07-20,1408.359
2001-07-23,1426.747
2001-07-24,1407.52
2001-07-25,1400.147
2001-07-26,1427.796
2001-07-27,1439.343
2001-07-30,1451.045
2001-07-31,1474.199
2001-08-01,1488.423
2001-08-02,1487.114
2001-08-03,1485.072
2001-08-06,1472.718
2001-08-07,1476.927
2001-08-08,1466.512
2001-08-09,1462.682
2001-08-10,1463.283
2001-08-13,1483.245
2001-08-14,1490.421
2001-08-15,1506.15
2001-08-16,1494.057
2001-08-17,1470.955
2001-08-20,1455.223
2001-08-21,1455.557
2001-08-22,1470.548
2001-08-23,1468.502
2001-08-24,1494.085
2001-08-27,1495.532
2001-08-28,1468.268
2001-08-29,1466.942
2001-08-30,1425.706
2001-08-31,1431.675
2001-09-03,1392.952
2001-09-04,1398.881
2001-09-05,1343.567
2001-09-06,1284.019
2001-09-07,1269.574
2001-09-10,1242.673
2001-09-11,1138.088
2001-09-12,1163.517
2001-09-13,1184.678
2001-09-14,1134.893
2001-09-17,1157.953
2001-09-18,1168.598
2001-09-19,1142.078
2001-09-20,1076.274
2001-09-21,1041.659
2001-09-24,1107.337
2001-09-25,1113.964
2001-09-26,1145.263
2001-09-27,1182.067
2001-09-28,1192.522
2001-10-01,1192.512
2001-10-02,1212.108
2001-10-03,1258.327
2001-10-04,1275.192
2001-10-05,1257.202
2001-10-08,1252.63
2001-10-09,1244.583
2001-10-10,1277.877
2001-10-11,1305.865
2001-10-12,1279.693
2001-10-15,1265.908
2001-10-16,1287.733
2001-10-17,1287.791
2001-10-18,1259.147
2001-10-19,1240.848
2001-10-22,1263.967
2001-10-23,1273.54
2001-10-24,1307.037
2001-10-25,1293.074
2001-10-26,1321.556
2001-10-29,1288.995
2001-10-30,1267.617
2001-10-31,1254.61
2001-11-01,1284.552
2001-11-02,1270.527
2001-11-05,1306.755
2001-11-06,1299.377
2001-11-07,1332.947
2001-11-08,1353.893
2001-11-09,1328.763
2001-11-12,1303.33
2001-11-13,1303.17
2001-11-14,1305.805
2001-11-15,1304.511
