Date,GERMANY GROWTH Standard (Large+Mid Cap)
2001-01-01,1638.826
2001-01-02,1601.988
2001-01-03,1654.036
2001-01-04,1629.245
2001-01-05,1624.957
2001-01-08,1619.99
2001-01-09,1608.357
2001-01-10,1597.238
2001-01-11,1666.575
2001-01-12,1685.891
2001-01-15,1677.713
2001-01-16,1672.723
2001-01-17,1696.791
2001-01-18,1716.262
2001-01-19,1703.579
2001-01-22,1694.238
2001-01-23,1710.354
2001-01-24,1681.388
2001-01-25,1676.042
2001-01-26,1670.141
2001-01-29,1681.852
2001-01-30,1694.236
2001-01-31,1716.433
2001-02-01,1711.325
2001-02-02,1684.011
2001-02-05,1684.841
2001-02-06,1689.544
2001-02-07,1651.285
2001-02-08,1641.226
2001-02-09,1603.219
2001-02-12,1630.365
2001-02-13,1599.297
2001-02-14,1556.49
2001-02-15,1560.54
2001-02-16,1530.161
2001-02-19,1544.996
2001-02-20,1518.304
2001-02-21,1490.105
2001-02-22,1463.698
2001-02-23,1403.155
2001-02-26,1450.778
2001-02-27,1471.685
2001-02-28,1496.039
2001-03-01,1486.165
2001-03-02,1488.127
2001-03-05,1487.556
2001-03-06,1507.154
2001-03-07,1508.595
2001-03-08,1505.528
2001-03-09,1482.836
2001-03-12,1436.996
2001-03-13,1382.479
2001-03-14,1344.471
2001-03-15,1359.688
2001-03-16,1290.54
2001-03-19,1273.821
2001-03-20,1317.295
2001-03-21,1277.328
2001-03-22,1208.804
2001-03-23,1266.505
2001-03-26,1308.752
2001-03-27,1350.784
2001-03-28,1297.961
2001-03-29,1294.084
2001-03-30,1297.144
2001-04-02,1271.038
2001-04-03,1222.567
2001-04-04,1252.029
2001-04-05,1300.46
2001-04-06,1291.299
2001-04-09,1298.114
2001-04-10,1294.614
2001-04-11,1301.384
2001-04-12,1327.152
2001-04-13,1327.152
2001-04-16,1313.56
2001-04-17,1288.747
2001-04-18,1326.18
2001-04-19,1358.569
2001-04-20,1363.902
2001-04-23,1341.416
2001-04-24,1351.968
