Date,GERMANY GROWTH Standard (Large+Mid Cap)
1984-12-31,212.235
1985-01-31,228.814
1985-02-28,222.613
1985-03-29,242.602
1985-04-30,254.073
1985-05-31,278.656
1985-06-28,304.736
1985-07-31,308.267
1985-08-30,339.764
1985-09-30,372.75
1985-10-31,435.31
1985-11-29,439.84
1985-12-31,505.891
1986-01-31,547.337
1986-02-28,559.437
1986-03-31,584.372
1986-04-30,694.274
1986-05-30,585.173
1986-06-30,613.214
1986-07-31,611.0
1986-08-29,718.438
1986-09-30,665.645
1986-10-31,658.723
1986-11-28,730.19
1986-12-31,730.467
1987-01-30,664.02
1987-02-27,609.369
1987-03-31,637.36
1987-04-30,642.058
1987-05-29,618.02
1987-06-30,659.846
1987-07-31,686.705
1987-08-31,698.102
1987-09-30,664.983
1987-10-30,528.759
1987-11-30,462.904
1987-12-31,472.916
1988-01-29,415.636
1988-02-29,498.08
1988-03-31,501.515
1988-04-29,488.673
1988-05-31,475.537
1988-06-30,473.328
1988-07-29,481.914
1988-08-31,474.791
1988-09-30,515.031
1988-10-31,568.978
1988-11-30,562.072
1988-12-30,576.373
1989-01-31,541.573
1989-02-28,536.764
1989-03-31,521.133
1989-04-28,549.301
1989-05-31,524.25
1989-06-30,572.431
1989-07-31,652.397
1989-08-31,644.61
1989-09-29,682.654
1989-10-31,648.644
1989-11-30,713.351
1989-12-29,842.675
1990-01-31,868.876
1990-02-28,852.591
1990-03-30,961.083
1990-04-30,887.804
1990-05-31,905.29
1990-06-29,958.807
1990-07-31,1045.76
1990-08-31,886.22
1990-09-28,727.034
1990-10-31,838.435
1990-11-30,857.877
1990-12-31,812.723
1991-01-31,822.384
1991-02-28,883.027
1991-03-29,763.18
1991-04-30,792.456
1991-05-31,849.175
1991-06-28,769.955
1991-07-31,782.574
1991-08-30,782.214
1991-09-30,790.813
1991-10-31,772.142
1991-11-29,795.053
1991-12-31,849.791
1992-01-31,852.944
1992-02-28,877.647
1992-03-31,857.333
1992-04-30,849.772
1992-05-29,904.941
1992-06-30,924.065
1992-07-31,856.263
1992-08-31,844.88
1992-09-30,819.567
1992-10-30,776.413
1992-11-30,780.827
1992-12-31,769.039
1993-01-29,795.108
1993-02-26,842.079
1993-03-31,853.92
1993-04-30,849.904
1993-05-31,859.575
1993-06-30,808.89
1993-07-30,829.595
1993-08-31,919.044
1993-09-30,935.052
1993-10-29,1005.892
1993-11-30,977.215
1993-12-31,1007.632
1994-01-31,977.699
1994-02-28,944.378
1994-03-31,970.796
1994-04-29,1037.673
1994-05-31,980.869
1994-06-30,981.024
1994-07-29,1032.534
1994-08-31,1070.687
1994-09-30,1017.034
1994-10-31,1061.72
1994-11-30,1007.716
1994-12-30,1051.391
1995-01-31,1039.809
1995-02-28,1146.128
1995-03-31,1126.435
1995-04-28,1187.966
1995-05-31,1199.916
1995-06-30,1252.681
1995-07-31,1335.523
