Date,GERMANY GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,110.713
1975-02-28,124.956
1975-03-31,124.979
1975-04-30,128.317
1975-05-30,121.953
1975-06-30,123.442
1975-07-31,121.203
1975-08-29,115.124
1975-09-30,110.813
1975-10-31,123.756
1975-11-28,124.874
1975-12-31,123.531
1976-01-30,122.064
1976-02-27,122.042
1976-03-31,126.982
1976-04-30,119.273
1976-05-31,115.647
1976-06-30,117.547
1976-07-30,116.24
1976-08-31,116.826
1976-09-30,121.654
1976-10-29,115.062
1976-11-30,118.42
1976-12-31,121.685
1977-01-31,118.447
1977-02-28,115.872
1977-03-31,118.507
1977-04-29,128.013
1977-05-31,124.872
1977-06-30,123.199
1977-07-29,126.502
1977-08-31,128.806
1977-09-30,131.856
1977-10-31,140.407
1977-11-30,142.501
1977-12-30,149.372
1978-01-31,149.538
1978-02-28,154.817
1978-03-31,155.007
1978-04-28,147.383
1978-05-31,146.978
1978-06-30,153.964
1978-07-31,162.79
1978-08-31,168.191
1978-09-29,178.114
1978-10-31,196.365
1978-11-30,173.361
1978-12-29,183.406
1979-01-31,181.336
1979-02-28,176.892
1979-03-30,171.238
1979-04-30,167.738
1979-05-31,158.704
1979-06-29,159.054
1979-07-31,165.536
1979-08-31,168.611
1979-09-28,178.306
1979-10-31,163.297
1979-11-30,171.693
1979-12-31,170.268
1980-01-31,168.038
1980-02-29,169.663
1980-03-31,145.133
1980-04-30,162.311
1980-05-30,168.228
1980-06-30,176.274
1980-07-31,178.277
1980-08-29,175.902
1980-09-30,177.021
1980-10-31,166.093
1980-11-28,167.477
1980-12-31,160.099
1981-01-30,146.275
1981-02-27,143.81
1981-03-31,149.866
1981-04-30,149.37
1981-05-29,139.374
1981-06-30,144.818
1981-07-31,141.88
1981-08-31,140.361
1981-09-30,140.286
1981-10-30,146.694
1981-11-30,153.582
1981-12-31,145.804
1982-01-29,143.82
1982-02-26,142.002
1982-03-31,140.17
1982-04-30,144.547
1982-05-31,141.416
1982-06-30,134.696
