Date,AUSTRALIA VALUE Standard (Large+Mid Cap)
2001-01-01,4116.407
2001-01-02,4208.104
2001-01-03,4210.873
2001-01-04,4316.864
2001-01-05,4336.196
2001-01-08,4231.048
2001-01-09,4191.819
2001-01-10,4185.003
2001-01-11,4165.294
2001-01-12,4174.56
2001-01-15,4138.798
2001-01-16,4142.375
2001-01-17,4130.708
2001-01-18,4207.946
2001-01-19,4246.621
2001-01-22,4230.844
2001-01-23,4187.429
2001-01-24,4112.591
2001-01-25,4170.988
2001-01-26,4159.503
2001-01-29,4145.846
2001-01-30,4188.336
2001-01-31,4231.409
2001-02-01,4303.096
2001-02-02,4283.024
2001-02-05,4210.991
2001-02-06,4233.202
2001-02-07,4190.526
2001-02-08,4144.119
2001-02-09,4111.831
2001-02-12,4167.16
2001-02-13,4161.06
2001-02-14,4135.918
2001-02-15,4077.806
2001-02-16,4111.693
2001-02-19,4076.498
2001-02-20,4034.147
2001-02-21,4074.562
2001-02-22,4021.259
2001-02-23,4003.216
2001-02-26,4031.307
2001-02-27,4045.862
2001-02-28,4095.566
2001-03-01,4139.696
2001-03-02,4124.861
2001-03-05,4067.358
2001-03-06,3992.998
2001-03-07,4000.956
2001-03-08,3979.032
2001-03-09,3985.505
2001-03-12,3948.358
2001-03-13,3797.025
2001-03-14,3780.078
2001-03-15,3747.162
2001-03-16,3747.543
2001-03-19,3739.816
2001-03-20,3750.615
2001-03-21,3682.721
2001-03-22,3602.578
2001-03-23,3572.969
2001-03-26,3650.398
2001-03-27,3652.924
2001-03-28,3662.184
2001-03-29,3636.633
2001-03-30,3567.859
2001-04-02,3590.733
2001-04-03,3563.725
2001-04-04,3613.54
2001-04-05,3637.335
2001-04-06,3700.405
2001-04-09,3649.855
2001-04-10,3682.521
2001-04-11,3795.161
2001-04-12,3856.749
2001-04-13,3856.749
2001-04-16,3868.902
2001-04-17,3828.209
2001-04-18,3765.279
2001-04-19,3984.983
2001-04-20,4008.892
2001-04-23,3968.967
2001-04-24,3937.147
2001-04-25,3946.526
2001-04-26,3986.832
2001-04-27,3984.123
2001-04-30,4038.752
2001-05-01,4079.452
2001-05-02,4121.744
2001-05-03,4179.294
2001-05-04,4126.352
2001-05-07,4141.042
2001-05-08,4138.925
