Date,AUSTRALIA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,128.048
1975-02-28,132.485
1975-03-31,130.195
1975-04-30,126.745
1975-05-30,136.845
1975-06-30,134.906
1975-07-31,131.411
1975-08-29,127.765
1975-09-30,135.842
1975-10-31,140.346
1975-11-28,147.766
1975-12-31,152.01
1976-01-30,158.465
1976-02-27,163.151
1976-03-31,154.023
1976-04-30,157.955
1976-05-31,159.872
1976-06-30,165.173
1976-07-30,178.662
1976-08-31,179.53
1976-09-30,162.645
1976-10-29,154.564
1976-11-30,121.394
1976-12-31,134.645
1977-01-31,136.556
1977-02-28,131.459
1977-03-31,137.997
1977-04-29,136.407
1977-05-31,145.636
1977-06-30,145.975
1977-07-29,140.233
1977-08-31,136.064
1977-09-30,136.61
1977-10-31,150.956
1977-11-30,146.881
1977-12-30,161.961
1978-01-31,154.731
1978-02-28,148.191
1978-03-31,156.708
1978-04-28,168.107
1978-05-31,176.058
1978-06-30,178.576
1978-07-31,190.092
1978-08-31,199.386
1978-09-29,210.504
1978-10-31,201.221
1978-11-30,192.955
1978-12-29,205.273
1979-01-31,213.122
1979-02-28,220.784
1979-03-30,223.081
1979-04-30,215.804
1979-05-31,223.077
1979-06-29,221.162
1979-07-31,224.056
1979-08-31,249.66
1979-09-28,258.843
1979-10-31,252.91
1979-11-30,250.211
1979-12-31,269.126
1980-01-31,308.846
1980-02-29,314.266
1980-03-31,276.953
1980-04-30,289.905
1980-05-30,322.705
1980-06-30,340.917
1980-07-31,347.773
1980-08-29,363.628
1980-09-30,376.304
1980-10-31,385.716
1980-11-28,390.417
1980-12-31,398.204
1981-01-30,370.45
1981-02-27,364.832
1981-03-31,399.744
1981-04-30,403.667
1981-05-29,400.749
1981-06-30,407.133
1981-07-31,369.147
1981-08-31,367.564
1981-09-30,336.396
1981-10-30,318.63
1981-11-30,351.005
1981-12-31,342.329
1982-01-29,304.428
1982-02-26,280.178
1982-03-31,254.444
1982-04-30,284.756
1982-05-31,284.462
1982-06-30,260.84
1982-07-30,255.224
1982-08-31,257.048
1982-09-30,264.188
1982-10-29,260.788
1982-11-30,256.658
1982-12-31,267.301
1983-01-31,290.482
1983-02-28,269.025
1983-03-31,252.872
1983-04-29,300.641
1983-05-31,322.968
1983-06-30,315.95
1983-07-29,362.262
1983-08-31,380.92
1983-09-30,410.818
1983-10-31,410.18
1983-11-30,448.026
1983-12-30,454.794
1984-01-31,451.219
1984-02-29,435.774
1984-03-30,461.581
1984-04-30,456.438
1984-05-31,380.346
1984-06-29,369.088
1984-07-31,370.022
1984-08-31,402.86
1984-09-28,394.075
1984-10-31,407.51
1984-11-30,412.435
1984-12-31,383.87
1985-01-31,401.187
1985-02-28,363.878
1985-03-29,368.627
1985-04-30,375.359
1985-05-31,386.596
1985-06-28,386.387
1985-07-31,457.122
1985-08-30,444.44
1985-09-30,482.15
1985-10-31,497.999
1985-11-29,469.045
1985-12-31,478.878
1986-01-31,531.803
1986-02-28,501.576
1986-03-31,544.0
1986-04-30,586.69
1986-05-30,596.848
1986-06-30,532.565
1986-07-31,444.099
1986-08-29,464.107
1986-09-30,505.851
1986-10-31,561.149
1986-11-28,566.186
1986-12-31,610.791
1987-01-30,616.369
1987-02-27,663.921
1987-03-31,756.617
1987-04-30,791.597
1987-05-29,825.708
1987-06-30,848.137
1987-07-31,916.76
1987-08-31,981.241
1987-09-30,1020.685
1987-10-30,606.138
1987-11-30,655.276
1987-12-31,682.303
1988-01-29,645.701
1988-02-29,663.515
1988-03-31,777.201
1988-04-29,823.129
1988-05-31,948.081
1988-06-30,915.235
1988-07-29,977.965
1988-08-31,952.532
1988-09-30,933.76
1988-10-31,1009.155
1988-11-30,991.866
1988-12-30,976.273
1989-01-31,1070.298
1989-02-28,915.249
1989-03-31,935.903
1989-04-28,932.575
1989-05-31,908.288
1989-06-30,900.479
1989-07-31,966.56
1989-08-31,1061.199
1989-09-29,1078.315
1989-10-31,1024.32
1989-11-30,1008.94
1989-12-29,1050.102
1990-01-31,1055.942
1990-02-28,978.313
1990-03-30,944.833
1990-04-30,890.977
1990-05-31,969.432
1990-06-29,1006.61
1990-07-31,1023.843
1990-08-31,1007.132
1990-09-28,925.416
1990-10-31,820.759
1990-11-30,816.515
1990-12-31,791.657
1991-01-31,856.405
1991-02-28,920.788
1991-03-29,926.769
1991-04-30,984.951
1991-05-31,961.065
1991-06-28,960.292
1991-07-31,1022.769
1991-08-30,1024.527
1991-09-30,1067.925
1991-10-31,1129.215
1991-11-29,1090.747
1991-12-31,1102.799
1992-01-31,1067.724
1992-02-28,1084.343
1992-03-31,1093.04
1992-04-30,1126.082
1992-05-29,1146.124
1992-06-30,1106.525
1992-07-31,1103.29
1992-08-31,1028.146
1992-09-30,996.793
1992-10-30,944.134
1992-11-30,960.601
1992-12-31,1030.264
1993-01-29,989.497
1993-02-26,1069.389
1993-03-31,1127.518
1993-04-30,1156.527
1993-05-31,1166.637
1993-06-30,1141.56
1993-07-30,1264.254
1993-08-31,1319.515
1993-09-30,1277.718
1993-10-29,1410.85
1993-11-30,1323.298
1993-12-31,1466.107
1994-01-31,1637.481
1994-02-28,1567.447
1994-03-31,1440.412
1994-04-29,1511.538
1994-05-31,1538.036
1994-06-30,1438.649
1994-07-29,1509.696
1994-08-31,1548.812
1994-09-30,1462.489
1994-10-31,1491.76
1994-11-30,1464.789
1994-12-30,1480.569
1995-01-31,1430.608
1995-02-28,1514.052
1995-03-31,1525.906
1995-04-28,1595.042
1995-05-31,1579.801
1995-06-30,1562.391
1995-07-31,1652.421
1995-08-31,1679.135
1995-09-29,1694.672
1995-10-31,1639.928
1995-11-30,1669.144
1995-12-29,1713.531
1996-01-31,1781.127
1996-02-29,1831.827
1996-03-29,1829.937
1996-04-30,1868.832
1996-05-31,1845.618
1996-06-28,1817.856
1996-07-31,1732.227
1996-08-30,1839.022
1996-09-30,1882.236
1996-10-31,1977.019
1996-11-29,2075.287
1996-12-31,2062.833
1997-01-31,2006.748
1997-02-28,2100.327
1997-03-31,2092.83
1997-04-30,2107.641
1997-05-30,2142.548
1997-06-30,2216.38
1997-07-31,2246.568
1997-08-29,2113.478
1997-09-30,2252.977
1997-10-31,1963.717
1997-11-28,1952.466
1997-12-31,2000.017
1998-01-30,2150.111
1998-02-27,2142.314
1998-03-31,2150.904
1998-04-30,2149.974
1998-05-29,2024.075
1998-06-30,2126.403
1998-07-31,2043.832
1998-08-31,1739.974
1998-09-30,1887.054
1998-10-30,2091.575
1998-11-30,2106.422
1998-12-31,2024.82
1999-01-29,2117.005
1999-02-26,2099.458
1999-03-31,2217.958
1999-04-30,2540.913
1999-05-31,2342.278
1999-06-30,2453.397
1999-07-30,2498.864
1999-08-31,2296.372
1999-09-30,2280.617
1999-10-29,2275.599
1999-11-30,2358.255
1999-12-31,2564.13
2000-01-31,2597.004
2000-02-29,2673.842
2000-03-31,2638.987
2000-04-28,2651.363
2000-05-31,2685.336
2000-06-30,3024.902
2000-07-31,2886.003
2000-08-31,2938.957
2000-09-29,2807.621
2000-10-31,2640.198
2000-11-30,2735.583
2000-12-29,2836.266
2001-01-31,2915.503
2001-02-28,2819.479
2001-03-30,2453.674
2001-04-30,2777.416
2001-05-31,2781.134
2001-06-29,2973.683
2001-07-31,2828.318
2001-08-31,2800.151
2001-09-28,2316.632
2001-10-31,2609.581
2001-11-30,2785.205
2001-12-31,2819.352
2002-01-31,2841.034
2002-02-28,2827.44
2002-03-29,2938.609
2002-04-30,2923.929
2002-05-31,3161.48
2002-06-28,2961.03
2002-07-31,2743.798
2002-08-30,2838.985
2002-09-30,2686.841
2002-10-31,2839.95
2002-11-29,2930.25
2002-12-31,2875.782
2003-01-31,2929.751
2003-02-28,2891.355
2003-03-31,2970.971
2003-04-30,3230.48
2003-05-30,3327.413
2003-06-30,3494.959
2003-07-31,3407.3
2003-08-29,3405.337
2003-09-30,3551.675
2003-10-31,3793.943
2003-11-28,3790.16
2003-12-31,4108.214
2004-01-30,4137.369
2004-02-27,4334.907
2004-03-31,4451.974
2004-04-30,4124.619
2004-05-31,4184.301
2004-06-30,4195.713
2004-07-30,4157.077
2004-08-31,4262.135
2004-09-30,4466.027
2004-10-29,4794.103
2004-11-30,5106.392
2004-12-31,5337.971
2005-01-31,5361.364
2005-02-28,5542.94
2005-03-31,5307.808
2005-04-29,5346.285
2005-05-31,5329.308
2005-06-30,5511.389
2005-07-29,5601.611
2005-08-31,5595.665
2005-09-30,5888.992
2005-10-31,5637.389
2005-11-30,5770.394
2005-12-30,5838.059
2006-01-31,6191.906
2006-02-28,6212.744
2006-03-31,6034.971
2006-04-28,6557.971
2006-05-31,6165.297
2006-06-30,6244.698
2006-07-31,6402.184
2006-08-31,6616.753
2006-09-29,6574.676
2006-10-31,7057.962
2006-11-30,7371.331
2006-12-29,7644.331
2007-01-31,7657.693
2007-02-28,7812.987
2007-03-30,8079.507
2007-04-30,8634.177
2007-05-31,8678.024
2007-06-29,8753.785
2007-07-31,8582.112
2007-08-31,8373.094
2007-09-28,9302.802
2007-10-31,9965.754
2007-11-30,9124.886
2007-12-31,8735.063
2008-01-31,7921.332
2008-02-29,7773.643
2008-03-31,7553.6
2008-04-30,7978.817
2008-05-30,7992.996
2008-06-30,7146.677
2008-07-31,6880.336
2008-08-29,6519.689
2008-09-30,5802.629
2008-10-31,4338.246
2008-11-28,3927.028
2008-12-31,4147.636
2009-01-30,3487.691
2009-02-27,3286.999
2009-03-31,3932.319
2009-04-30,4381.545
2009-05-29,4798.841
2009-06-30,5112.003
2009-07-31,5696.425
2009-08-31,6335.84
2009-09-30,7201.287
2009-10-30,7128.368
2009-11-30,7248.447
2009-12-31,7365.684
2010-01-29,6947.861
2010-02-26,7091.297
2010-03-31,7608.303
2010-04-30,7740.015
2010-05-31,6429.037
2010-06-30,6289.595
2010-07-30,7071.72
2010-08-31,6935.962
2010-09-30,7789.16
