Date,AUSTRALIA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,128.238
1975-02-28,132.917
1975-03-31,130.824
1975-04-30,127.562
1975-05-30,137.916
1975-06-30,136.167
1975-07-31,132.848
1975-08-29,129.36
1975-09-30,137.755
1975-10-31,142.553
1975-11-28,150.312
1975-12-31,154.858
1976-01-30,161.664
1976-02-27,166.653
1976-03-31,157.557
1976-04-30,161.788
1976-05-31,163.963
1976-06-30,169.611
1976-07-30,183.668
1976-08-31,184.782
1976-09-30,167.652
1976-10-29,159.561
1976-11-30,125.518
1976-12-31,139.418
1977-01-31,141.6
1977-02-28,136.535
1977-03-31,143.531
1977-04-29,142.095
1977-05-31,151.911
1977-06-30,152.487
1977-07-29,146.725
1977-08-31,142.588
1977-09-30,143.391
1977-10-31,158.669
1977-11-30,154.643
1977-12-30,170.75
1978-01-31,163.39
1978-02-28,156.746
1978-03-31,165.992
1978-04-28,178.299
1978-05-31,186.971
1978-06-30,189.904
1978-07-31,202.396
1978-08-31,212.541
1978-09-29,224.661
1978-10-31,215.067
1978-11-30,206.515
1978-12-29,219.974
1979-01-31,228.658
1979-02-28,237.155
1979-03-30,239.914
1979-04-30,232.399
1979-05-31,240.534
1979-06-29,238.796
1979-07-31,242.248
1979-08-31,270.23
1979-09-28,280.509
1979-10-31,274.424
1979-11-30,271.852
1979-12-31,292.745
1980-01-31,336.273
1980-02-29,342.54
1980-03-31,302.315
1980-04-30,316.869
1980-05-30,353.123
1980-06-30,373.482
1980-07-31,381.435
1980-08-29,399.271
1980-09-30,413.635
1980-10-31,424.44
1980-11-28,430.078
1980-12-31,439.138
1981-01-30,409.041
1981-02-27,403.314
1981-03-31,442.365
1981-04-30,447.193
1981-05-29,444.465
1981-06-30,452.056
1981-07-31,410.423
1981-08-31,409.17
1981-09-30,375.027
1981-10-30,355.802
1981-11-30,392.483
1981-12-31,383.354
1982-01-29,341.513
1982-02-26,314.85
1982-03-31,286.433
1982-04-30,320.983
1982-05-31,321.1
1982-06-30,294.901
1982-07-30,288.98
1982-08-31,291.455
1982-09-30,299.944
1982-10-29,296.491
1982-11-30,292.227
1982-12-31,304.765
1983-01-31,331.583
1983-02-28,307.562
1983-03-31,289.531
1983-04-29,344.606
1983-05-31,370.637
1983-06-30,363.052
1983-07-29,416.676
1983-08-31,438.591
1983-09-30,473.52
1983-10-31,473.342
1983-11-30,517.523
1983-12-30,525.869
1984-01-31,522.313
1984-02-29,505.06
1984-03-30,535.53
1984-04-30,530.159
1984-05-31,442.475
1984-06-29,429.954
1984-07-31,431.583
1984-08-31,470.424
1984-09-28,460.747
1984-10-31,477.049
1984-11-30,483.43
1984-12-31,450.572
1985-01-31,471.454
1985-02-28,428.116
1985-03-29,434.156
1985-04-30,442.485
1985-05-31,456.186
1985-06-28,456.415
1985-07-31,540.447
1985-08-30,525.989
1985-09-30,571.15
1985-10-31,590.49
1985-11-29,556.766
1985-12-31,569.006
1986-01-31,632.47
1986-02-28,597.187
1986-03-31,648.341
1986-04-30,699.896
1986-05-30,712.665
1986-06-30,636.633
1986-07-31,531.539
1986-08-29,556.106
1986-09-30,606.739
1986-10-31,673.682
1986-11-28,680.429
1986-12-31,734.71
1987-01-30,742.124
1987-02-27,800.078
1987-03-31,912.58
1987-04-30,955.652
1987-05-29,997.765
1987-06-30,1025.849
1987-07-31,1109.726
1987-08-31,1188.744
1987-09-30,1237.515
1987-10-30,736.465
1987-11-30,797.19
1987-12-31,831.137
1988-01-29,787.669
1988-02-29,810.473
1988-03-31,950.322
1988-04-29,1007.595
1988-05-31,1161.686
1988-06-30,1122.701
1988-07-29,1200.852
1988-08-31,1170.948
1988-09-30,1149.182
1988-10-31,1243.3
1988-11-30,1223.755
1988-12-30,1206.103
1989-01-31,1323.859
1989-02-28,1133.721
1989-03-31,1161.022
1989-04-28,1158.519
1989-05-31,1129.978
1989-06-30,1121.95
1989-07-31,1205.749
1989-08-31,1325.296
1989-09-29,1348.466
1989-10-31,1282.922
1989-11-30,1265.715
1989-12-29,1319.334
1990-01-31,1328.612
1990-02-28,1233.097
1990-03-30,1193.152
1990-04-30,1127.463
1990-05-31,1228.893
1990-06-29,1278.402
1990-07-31,1302.656
1990-08-31,1284.067
1990-09-28,1182.507
1990-10-31,1051.224
1990-11-30,1047.817
1990-12-31,1018.164
1991-01-31,1103.376
1991-02-28,1188.215
1991-03-29,1198.008
1991-04-30,1275.197
