Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
2001-12-18,629.411
2001-12-19,628.337
2001-12-20,619.213
2001-12-21,624.429
2001-12-24,618.858
2001-12-25,618.858
2001-12-26,619.387
2001-12-27,636.569
2001-12-28,636.164
2001-12-31,642.368
2002-01-01,642.368
2002-01-02,645.052
2002-01-03,652.153
2002-01-04,642.179
2002-01-07,637.808
2002-01-08,630.197
2002-01-09,631.597
2002-01-10,627.404
2002-01-11,632.565
2002-01-14,621.802
2002-01-15,625.695
2002-01-16,610.936
2002-01-17,616.98
2002-01-18,612.249
2002-01-21,608.203
2002-01-22,610.731
2002-01-23,607.425
2002-01-24,617.664
2002-01-25,606.871
2002-01-28,609.761
2002-01-29,608.99
2002-01-30,599.03
2002-01-31,601.563
2002-02-01,599.304
2002-02-04,599.47
2002-02-05,591.314
2002-02-06,582.512
2002-02-07,585.677
2002-02-08,585.626
2002-02-11,596.682
2002-02-12,596.735
2002-02-13,599.619
2002-02-14,608.363
2002-02-15,604.668
2002-02-18,597.744
2002-02-19,589.678
2002-02-20,584.49
2002-02-21,586.638
2002-02-22,578.081
2002-02-25,581.821
2002-02-26,582.633
2002-02-27,582.55
2002-02-28,585.623
2002-03-01,589.991
2002-03-04,609.321
2002-03-05,613.407
2002-03-06,617.05
2002-03-07,628.975
2002-03-08,628.539
2002-03-11,628.188
2002-03-12,619.966
2002-03-13,615.27
2002-03-14,622.495
2002-03-15,632.105
2002-03-18,637.734
2002-03-19,643.486
2002-03-20,634.62
2002-03-21,632.469
2002-03-22,635.054
2002-03-25,631.975
2002-03-26,634.281
2002-03-27,633.069
2002-03-28,644.014
2002-03-29,644.014
2002-04-01,649.292
2002-04-02,650.846
2002-04-03,651.132
2002-04-04,642.614
2002-04-05,631.143
2002-04-08,619.291
2002-04-09,621.859
2002-04-10,625.696
2002-04-11,620.52
2002-04-12,618.903
2002-04-15,623.942
2002-04-16,641.476
2002-04-17,651.845
2002-04-18,649.193
2002-04-19,649.383
2002-04-22,645.21
2002-04-23,649.76
2002-04-24,646.912
2002-04-25,641.286
2002-04-26,637.616
2002-04-29,638.191
2002-04-30,639.013
2002-05-01,642.63
2002-05-02,629.851
2002-05-03,620.085
2002-05-06,625.028
2002-05-07,614.289
2002-05-08,625.473
2002-05-09,624.216
2002-05-10,617.768
2002-05-13,619.372
2002-05-14,625.133
2002-05-15,631.347
2002-05-16,630.678
2002-05-17,636.438
2002-05-20,632.92
2002-05-21,623.373
2002-05-22,623.072
2002-05-23,624.797
2002-05-24,624.95
2002-05-27,622.439
2002-05-28,625.422
2002-05-29,624.716
2002-05-30,611.864
2002-05-31,615.675
2002-06-03,608.477
2002-06-04,593.473
2002-06-05,590.849
2002-06-06,597.613
2002-06-07,580.042
2002-06-10,582.895
2002-06-11,593.433
2002-06-12,576.963
2002-06-13,569.688
2002-06-14,555.562
2002-06-17,571.494
2002-06-18,575.772
2002-06-19,570.391
2002-06-20,560.447
2002-06-21,554.482
2002-06-24,543.888
2002-06-25,555.555
2002-06-26,554.343
2002-06-27,558.585
2002-06-28,586.839
2002-07-01,584.565
2002-07-02,560.565
2002-07-03,534.451
2002-07-04,550.897
2002-07-05,568.9
2002-07-08,572.458
2002-07-09,570.38
2002-07-10,547.447
2002-07-11,528.924
2002-07-12,526.954
2002-07-15,510.42
2002-07-16,509.173
2002-07-17,528.512
2002-07-18,538.552
2002-07-19,520.322
2002-07-22,494.12
2002-07-23,473.218
2002-07-24,451.467
2002-07-25,466.318
2002-07-26,463.17
2002-07-29,487.545
2002-07-30,486.952
2002-07-31,494.641
2002-08-01,471.801
2002-08-02,457.851
2002-08-05,441.145
2002-08-06,449.565
2002-08-07,450.763
2002-08-08,466.15
2002-08-09,477.459
2002-08-12,468.433
2002-08-13,476.938
2002-08-14,469.563
2002-08-15,487.523
2002-08-16,495.932
2002-08-19,515.081
2002-08-20,509.232
2002-08-21,513.017
2002-08-22,525.934
2002-08-23,517.534
2002-08-26,503.247
2002-08-27,523.714
2002-08-28,502.883
2002-08-29,489.255
2002-08-30,491.699
2002-09-02,484.429
2002-09-03,473.08
2002-09-04,471.342
2002-09-05,463.165
2002-09-06,474.218
2002-09-09,457.916
2002-09-10,466.939
2002-09-11,480.815
2002-09-12,459.795
2002-09-13,452.544
2002-09-16,441.544
2002-09-17,434.916
2002-09-18,420.201
2002-09-19,412.759
2002-09-20,407.791
2002-09-23,392.064
2002-09-24,393.209
2002-09-25,400.88
2002-09-26,420.397
2002-09-27,417.567
2002-09-30,402.289
2002-10-01,408.14
2002-10-02,424.047
2002-10-03,420.941
2002-10-04,410.774
2002-10-07,401.908
2002-10-08,389.783
2002-10-09,391.1
2002-10-10,399.653
2002-10-11,416.809
2002-10-14,414.078
2002-10-15,440.686
2002-10-16,426.553
2002-10-17,437.526
2002-10-18,440.2
2002-10-21,440.94
2002-10-22,442.689
2002-10-23,427.763
2002-10-24,436.423
2002-10-25,431.975
2002-10-28,445.765
2002-10-29,426.323
2002-10-30,438.77
2002-10-31,450.189
2002-11-01,450.185
2002-11-04,462.78
2002-11-05,468.67
2002-11-06,461.681
2002-11-07,450.628
2002-11-08,442.106
2002-11-11,435.235
2002-11-12,436.768
2002-11-13,433.355
2002-11-14,443.499
2002-11-15,448.197
2002-11-18,456.84
2002-11-19,458.833
2002-11-20,453.425
2002-11-21,474.336
2002-11-22,479.112
2002-11-25,476.682
2002-11-26,464.765
2002-11-27,474.55
2002-11-28,481.102
2002-11-29,482.106
2002-12-02,483.767
2002-12-03,470.671
2002-12-04,464.16
2002-12-05,460.041
2002-12-06,462.44
2002-12-09,452.257
2002-12-10,453.29
2002-12-11,457.529
2002-12-12,454.924
2002-12-13,448.644
2002-12-16,460.621
2002-12-17,454.587
2002-12-18,440.245
2002-12-19,442.727
2002-12-20,451.021
2002-12-23,453.953
2002-12-24,451.199
2002-12-25,451.199
2002-12-26,452.336
2002-12-27,446.766
2002-12-30,449.376
2002-12-31,454.445
2003-01-01,454.445
2003-01-02,465.362
2003-01-03,466.034
2003-01-06,468.145
2003-01-07,464.533
2003-01-08,457.032
2003-01-09,462.831
2003-01-10,465.855
2003-01-13,467.364
2003-01-14,471.057
2003-01-15,463.607
2003-01-16,461.669
2003-01-17,451.917
2003-01-20,448.633
2003-01-21,443.51
2003-01-22,437.363
2003-01-23,431.518
2003-01-24,432.78
2003-01-27,421.924
2003-01-28,422.492
2003-01-29,416.325
2003-01-30,424.239
2003-01-31,426.371
2003-02-03,430.17
2003-02-04,419.846
2003-02-05,423.594
2003-02-06,417.15
2003-02-07,409.106
2003-02-10,400.379
2003-02-11,408.369
2003-02-12,398.615
2003-02-13,402.73
2003-02-14,411.666
2003-02-17,417.276
2003-02-18,418.067
2003-02-19,410.65
2003-02-20,412.174
2003-02-21,412.655
2003-02-24,404.638
2003-02-25,390.635
2003-02-26,392.742
2003-02-27,397.373
2003-02-28,406.542
2003-03-03,411.568
2003-03-04,401.407
2003-03-05,400.857
2003-03-06,395.292
2003-03-07,384.385
2003-03-10,376.102
2003-03-11,372.85
2003-03-12,363.132
2003-03-13,385.812
2003-03-14,400.465
2003-03-17,413.371
2003-03-18,412.253
2003-03-19,418.887
2003-03-20,416.381
2003-03-21,429.777
2003-03-24,407.928
2003-03-25,419.46
2003-03-26,417.113
2003-03-27,413.803
2003-03-28,417.706
2003-03-31,406.862
2003-04-01,411.528
2003-04-02,424.639
2003-04-03,423.366
2003-04-04,425.261
2003-04-07,441.694
2003-04-08,432.782
2003-04-09,432.154
2003-04-10,427.451
2003-04-11,431.156
2003-04-14,435.602
2003-04-15,446.215
2003-04-16,445.768
2003-04-17,450.257
2003-04-18,450.257
2003-04-21,448.316
2003-04-22,454.33
2003-04-23,459.615
2003-04-24,452.146
2003-04-25,445.836
2003-04-28,457.511
2003-04-29,454.559
2003-04-30,459.188
2003-05-01,463.405
2003-05-02,445.976
2003-05-05,458.95
2003-05-06,467.492
2003-05-07,461.593
2003-05-08,457.84
2003-05-09,461.258
2003-05-12,463.578
2003-05-13,462.373
2003-05-14,457.332
2003-05-15,454.223
2003-05-16,459.085
2003-05-19,450.644
2003-05-20,452.089
2003-05-21,445.932
2003-05-22,452.234
2003-05-23,450.454
2003-05-26,453.05
2003-05-27,455.165
2003-05-28,460.339
2003-05-29,463.658
2003-05-30,466.082
2003-06-02,474.108
2003-06-03,468.001
2003-06-04,475.449
2003-06-05,484.077
2003-06-06,495.255
2003-06-09,486.206
2003-06-10,482.276
2003-06-11,494.266
2003-06-12,493.871
2003-06-13,486.025
2003-06-16,498.49
2003-06-17,498.365
2003-06-18,496.431
2003-06-19,489.558
2003-06-20,493.534
2003-06-23,463.452
2003-06-24,454.761
2003-06-25,465.296
2003-06-26,458.69
2003-06-27,466.123
2003-06-30,458.891
2003-07-01,454.684
