Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,304.242
1994-06-30,297.877
1994-07-29,317.186
1994-08-31,333.026
1994-09-30,331.379
1994-10-31,345.212
1994-11-30,328.883
1994-12-30,341.909
1995-01-31,347.334
1995-02-28,357.609
1995-03-31,381.199
1995-04-28,395.742
1995-05-31,399.375
1995-06-30,413.848
1995-07-31,437.286
1995-08-31,413.174
1995-09-29,438.807
1995-10-31,426.577
1995-11-30,427.166
1995-12-29,433.257
1996-01-31,445.995
1996-02-29,462.739
1996-03-29,489.104
1996-04-30,489.658
1996-05-31,512.317
1996-06-28,514.572
1996-07-31,506.756
1996-08-30,531.632
1996-09-30,531.974
1996-10-31,528.687
1996-11-29,553.444
1996-12-31,564.23
1997-01-31,547.913
1997-02-28,580.153
1997-03-31,596.187
1997-04-30,589.257
1997-05-30,620.479
1997-06-30,659.744
1997-07-31,691.452
1997-08-29,643.086
1997-09-30,695.805
1997-10-31,663.408
1997-11-28,658.37
1997-12-31,657.145
1998-01-30,676.602
1998-02-27,763.11
1998-03-31,790.713
1998-04-30,812.659
1998-05-29,890.883
1998-06-30,880.134
1998-07-31,889.595
1998-08-31,817.236
1998-09-30,770.929
1998-10-30,817.363
1998-11-30,883.998
1998-12-31,978.549
1999-01-29,941.073
1999-02-26,903.002
1999-03-31,855.265
1999-04-30,870.499
1999-05-31,831.441
1999-06-30,828.325
1999-07-30,852.21
1999-08-31,875.525
1999-09-30,858.126
1999-10-29,870.073
1999-11-30,891.724
1999-12-31,967.873
2000-01-31,879.393
2000-02-29,959.62
2000-03-31,946.934
2000-04-28,899.45
2000-05-31,893.025
2000-06-30,931.915
2000-07-31,902.492
2000-08-31,897.859
2000-09-29,846.973
2000-10-31,818.737
2000-11-30,790.112
2000-12-29,831.208
2001-01-31,813.278
2001-02-28,757.93
2001-03-30,679.251
2001-04-30,722.141
2001-05-31,674.506
2001-06-29,661.285
2001-07-31,658.342
2001-08-31,658.912
2001-09-28,568.219
2001-10-31,580.834
2001-11-30,626.624
2001-12-31,642.368
2002-01-31,601.563
2002-02-28,585.623
2002-03-29,644.014
2002-04-30,639.013
2002-05-31,615.675
2002-06-28,586.839
2002-07-31,494.641
2002-08-30,491.699
2002-09-30,402.289
2002-10-31,450.189
2002-11-29,482.106
2002-12-31,454.445
2003-01-31,426.371
2003-02-28,406.542
2003-03-31,406.862
2003-04-30,459.188
2003-05-30,466.082
2003-06-30,458.891
2003-07-31,491.089
2003-08-29,510.92
2003-09-30,504.845
2003-10-31,540.205
2003-11-28,563.796
2003-12-31,590.907
2004-01-30,611.025
2004-02-27,630.24
2004-03-31,602.275
2004-04-30,583.004
2004-05-31,594.936
2004-06-30,604.803
2004-07-30,558.352
2004-08-31,538.632
2004-09-30,540.196
2004-10-29,560.188
2004-11-30,599.775
2004-12-31,627.628
2005-01-31,626.77
2005-02-28,662.172
2005-03-31,650.978
2005-04-29,610.078
2005-05-31,619.851
2005-06-30,616.015
2005-07-29,640.036
2005-08-31,646.826
2005-09-30,650.695
2005-10-31,628.306
2005-11-30,646.956
2005-12-30,682.706
2006-01-31,736.232
2006-02-28,727.139
2006-03-31,751.451
2006-04-28,783.559
2006-05-31,750.431
2006-06-30,748.256
2006-07-31,767.496
2006-08-31,792.141
2006-09-29,810.406
2006-10-31,819.443
2006-11-30,866.52
2006-12-29,886.405
2007-01-31,894.174
2007-02-28,873.18
2007-03-30,930.403
2007-04-30,990.48
2007-05-31,1000.0
2007-06-29,1026.736
2007-07-31,1052.67
2007-08-31,1031.648
2007-09-28,1075.478
2007-10-31,1102.541
2007-11-30,1091.446
2007-12-31,1081.816
2008-01-31,955.038
2008-02-29,971.492
2008-03-31,1006.113
2008-04-30,1039.236
2008-05-30,1058.098
2008-06-30,930.531
2008-07-31,870.811
2008-08-29,893.54
2008-09-30,749.221
