Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,803.659
2001-01-02,797.497
2001-01-03,779.285
2001-01-04,791.433
2001-01-05,794.558
2001-01-08,786.641
2001-01-09,784.895
2001-01-10,783.431
2001-01-11,800.909
2001-01-12,803.409
2001-01-15,796.153
2001-01-16,784.049
2001-01-17,792.72
2001-01-18,798.616
2001-01-19,789.011
2001-01-22,784.829
2001-01-23,790.091
2001-01-24,782.018
2001-01-25,775.434
2001-01-26,771.084
2001-01-29,774.392
2001-01-30,777.453
2001-01-31,786.324
2001-02-01,789.732
2001-02-02,775.455
2001-02-05,781.444
2001-02-06,777.288
2001-02-07,771.169
2001-02-08,759.165
2001-02-09,755.679
2001-02-12,766.277
2001-02-13,760.776
2001-02-14,748.257
2001-02-15,747.903
2001-02-16,749.229
2001-02-19,742.174
2001-02-20,729.546
2001-02-21,725.86
2001-02-22,718.117
2001-02-23,703.344
2001-02-26,717.9
2001-02-27,729.325
2001-02-28,732.821
2001-03-01,733.118
2001-03-02,737.409
2001-03-05,737.345
2001-03-06,750.363
2001-03-07,742.94
2001-03-08,741.318
2001-03-09,736.952
2001-03-12,718.694
2001-03-13,703.512
2001-03-14,688.038
2001-03-15,688.571
2001-03-16,663.234
2001-03-19,658.126
2001-03-20,665.116
2001-03-21,648.871
2001-03-22,612.082
2001-03-23,634.483
2001-03-26,656.904
2001-03-27,667.308
2001-03-28,659.396
2001-03-29,649.677
2001-03-30,657.069
2001-04-02,653.624
2001-04-03,631.065
2001-04-04,638.518
2001-04-05,652.829
2001-04-06,652.799
2001-04-09,655.848
2001-04-10,663.175
2001-04-11,671.881
2001-04-12,673.273
2001-04-13,673.273
2001-04-16,666.378
2001-04-17,655.811
2001-04-18,671.829
2001-04-19,683.882
2001-04-20,690.135
2001-04-23,678.579
2001-04-24,683.803
2001-04-25,687.921
2001-04-26,700.211
2001-04-27,703.512
2001-04-30,698.837
2001-05-01,703.673
2001-05-02,711.443
2001-05-03,700.264
2001-05-04,697.785
2001-05-07,700.411
2001-05-08,694.798
2001-05-09,688.013
2001-05-10,705.356
2001-05-11,699.903
2001-05-14,692.965
2001-05-15,699.053
2001-05-16,695.495
2001-05-17,702.026
2001-05-18,709.776
2001-05-21,702.767
2001-05-22,702.608
2001-05-23,685.987
2001-05-24,678.881
2001-05-25,670.292
2001-05-28,679.592
2001-05-29,667.508
2001-05-30,656.631
2001-05-31,653.879
2001-06-01,650.943
2001-06-04,651.798
2001-06-05,666.485
2001-06-06,668.125
2001-06-07,671.264
2001-06-08,669.556
2001-06-11,654.036
2001-06-12,647.568
2001-06-13,655.217
2001-06-14,646.491
2001-06-15,633.559
2001-06-18,636.859
2001-06-19,630.805
2001-06-20,618.199
2001-06-21,621.035
2001-06-22,634.084
2001-06-25,639.028
2001-06-26,633.37
2001-06-27,633.26
2001-06-28,628.744
2001-06-29,641.227
2001-07-02,649.284
2001-07-03,645.158
2001-07-04,642.311
2001-07-05,631.152
2001-07-06,624.802
2001-07-09,626.518
2001-07-10,631.587
2001-07-11,626.986
2001-07-12,626.795
2001-07-13,621.597
2001-07-16,617.898
2001-07-17,610.927
2001-07-18,619.575
2001-07-19,621.387
2001-07-20,618.264
2001-07-23,619.583
2001-07-24,623.375
2001-07-25,614.511
2001-07-26,614.562
2001-07-27,621.809
2001-07-30,632.533
2001-07-31,638.374
2001-08-01,646.01
2001-08-02,649.523
2001-08-03,647.032
2001-08-06,642.685
2001-08-07,641.159
2001-08-08,635.705
2001-08-09,639.805
2001-08-10,644.778
2001-08-13,650.012
2001-08-14,656.579
2001-08-15,657.276
2001-08-16,648.658
2001-08-17,643.678
2001-08-20,641.954
2001-08-21,649.221
2001-08-22,650.078
2001-08-23,653.476
2001-08-24,661.494
2001-08-27,663.928
2001-08-28,651.491
2001-08-29,655.043
2001-08-30,642.327
2001-08-31,639.399
2001-09-03,630.021
2001-09-04,622.53
2001-09-05,609.212
2001-09-06,592.071
2001-09-07,586.607
2001-09-10,581.732
2001-09-11,546.285
2001-09-12,544.04
2001-09-13,550.906
2001-09-14,518.467
2001-09-17,532.676
2001-09-18,532.551
2001-09-19,532.018
2001-09-20,503.852
2001-09-21,486.224
2001-09-24,512.301
2001-09-25,536.98
2001-09-26,541.794
2001-09-27,531.653
2001-09-28,551.565
2001-10-01,538.667
2001-10-02,538.657
2001-10-03,533.998
2001-10-04,557.844
2001-10-05,561.002
2001-10-08,565.297
2001-10-09,567.631
2001-10-10,576.178
2001-10-11,580.963
2001-10-12,577.152
2001-10-15,554.866
2001-10-16,561.189
2001-10-17,571.188
2001-10-18,552.438
2001-10-19,543.706
2001-10-22,548.697
2001-10-23,563.394
2001-10-24,565.283
2001-10-25,560.324
2001-10-26,571.916
2001-10-29,571.172
2001-10-30,560.115
2001-10-31,563.868
2001-11-01,572.087
2001-11-02,572.486
