Date,NETHERLANDS IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,288.148
1994-06-30,282.124
1994-07-29,300.412
1994-08-31,315.498
1994-09-30,313.997
1994-10-31,327.187
1994-11-30,311.84
1994-12-30,324.191
1995-01-31,329.335
1995-02-28,339.111
1995-03-31,361.491
1995-04-28,375.742
1995-05-31,380.233
1995-06-30,394.037
1995-07-31,416.359
1995-08-31,393.48
1995-09-29,418.024
1995-10-31,406.382
1995-11-30,407.118
1995-12-29,412.929
1996-01-31,425.07
1996-02-29,441.066
1996-03-29,466.329
1996-04-30,467.339
1996-05-31,489.75
1996-06-28,491.915
1996-07-31,484.445
1996-08-30,508.318
1996-09-30,509.004
1996-10-31,505.88
1996-11-29,529.681
1996-12-31,540.004
1997-01-31,524.387
1997-02-28,555.278
1997-03-31,570.627
1997-04-30,564.517
1997-05-30,595.253
1997-06-30,632.948
1997-07-31,663.389
1997-08-29,617.229
1997-09-30,667.943
1997-10-31,636.865
1997-11-28,632.157
1997-12-31,630.982
1998-01-30,649.665
1998-02-27,732.756
1998-03-31,759.69
1998-04-30,781.007
1998-05-29,857.404
1998-06-30,847.12
1998-07-31,856.26
1998-08-31,786.639
1998-09-30,742.07
1998-10-30,786.765
1998-11-30,850.906
1998-12-31,941.917
1999-01-29,905.845
1999-02-26,869.198
1999-03-31,823.256
1999-04-30,838.102
1999-05-31,801.449
1999-06-30,798.446
1999-07-30,821.469
1999-08-31,844.187
1999-09-30,827.551
1999-10-29,839.079
1999-11-30,860.124
1999-12-31,933.575
2000-01-31,848.23
2000-02-29,925.615
2000-03-31,913.69
2000-04-28,868.012
2000-05-31,862.818
2000-06-30,900.398
2000-07-31,871.97
2000-08-31,867.792
2000-09-29,818.702
2000-10-31,791.409
2000-11-30,763.912
2000-12-29,803.659
2001-01-31,786.324
2001-02-28,732.821
2001-03-30,657.069
2001-04-30,698.837
2001-05-31,653.879
2001-06-29,641.227
2001-07-31,638.374
2001-08-31,639.399
2001-09-28,551.565
2001-10-31,563.868
2001-11-30,608.321
2001-12-31,623.605
2002-01-31,584.012
2002-02-28,568.537
2002-03-29,625.241
2002-04-30,621.722
2002-05-31,599.468
2002-06-28,571.426
2002-07-31,481.655
2002-08-30,479.395
2002-09-30,392.258
2002-10-31,439.156
2002-11-29,470.291
2002-12-31,443.307
2003-01-31,415.995
2003-02-28,396.649
2003-03-31,397.288
2003-04-30,449.468
2003-05-30,456.931
2003-06-30,449.881
2003-07-31,481.461
2003-08-29,501.387
2003-09-30,495.474
2003-10-31,530.571
2003-11-28,553.74
2003-12-31,580.368
2004-01-30,600.128
2004-02-27,618.999
2004-03-31,592.106
2004-04-30,573.892
2004-05-31,586.979
2004-06-30,596.727
2004-07-30,550.896
2004-08-31,531.755
2004-09-30,533.388
2004-10-29,553.729
2004-11-30,592.859
2004-12-31,620.391
2005-01-31,619.543
2005-02-28,654.536
2005-03-31,643.472
2005-04-29,603.805
2005-05-31,615.132
2005-06-30,611.338
2005-07-29,635.176
2005-08-31,642.214
2005-09-30,646.177
2005-10-31,623.943
2005-11-30,642.919
2005-12-30,678.456
2006-01-31,731.648
2006-02-28,722.611
2006-03-31,747.656
