Date,USA IMI VALUE IMI (Large+Mid+Small Cap)
2001-12-18,556.919
2001-12-19,561.879
2001-12-20,560.53
2001-12-21,561.6
2001-12-24,562.774
2001-12-25,562.774
2001-12-26,565.495
2001-12-27,569.104
2001-12-28,571.553
2001-12-31,567.648
2002-01-01,567.645
2002-01-02,568.758
2002-01-03,572.024
2002-01-04,577.035
2002-01-07,574.881
2002-01-08,571.553
2002-01-09,568.911
2002-01-10,569.13
2002-01-11,564.198
2002-01-14,560.56
2002-01-15,565.09
2002-01-16,557.492
2002-01-17,561.387
2002-01-18,558.657
2002-01-21,558.657
2002-01-22,556.36
2002-01-23,560.87
2002-01-24,562.792
2002-01-25,564.115
2002-01-28,564.356
2002-01-29,550.1
2002-01-30,555.076
2002-01-31,562.961
2002-02-01,559.927
2002-02-04,547.833
2002-02-05,544.74
2002-02-06,540.31
2002-02-07,540.956
2002-02-08,548.728
2002-02-11,554.746
2002-02-12,553.521
2002-02-13,558.247
2002-02-14,558.031
2002-02-15,554.736
2002-02-18,554.736
2002-02-19,545.846
2002-02-20,552.786
2002-02-21,547.709
2002-02-22,553.097
2002-02-25,561.239
2002-02-26,562.361
2002-02-27,564.407
2002-02-28,564.404
2002-03-01,574.543
2002-03-04,584.997
2002-03-05,581.823
2002-03-06,591.125
2002-03-07,589.104
2002-03-08,589.951
2002-03-11,592.79
2002-03-12,593.054
2002-03-13,589.088
2002-03-14,589.323
2002-03-15,595.099
2002-03-18,595.306
2002-03-19,598.269
2002-03-20,591.683
2002-03-21,592.216
2002-03-22,589.985
2002-03-25,583.008
2002-03-26,587.002
2002-03-27,591.581
2002-03-28,591.874
2002-03-29,591.874
2002-04-01,589.913
2002-04-02,589.078
2002-04-03,583.58
2002-04-04,583.933
2002-04-05,584.395
2002-04-08,586.654
2002-04-09,585.463
2002-04-10,592.002
2002-04-11,581.795
2002-04-12,584.862
2002-04-15,581.039
2002-04-16,592.557
2002-04-17,592.149
2002-04-18,590.726
2002-04-19,591.484
2002-04-22,583.696
2002-04-23,582.531
2002-04-24,579.267
2002-04-25,578.703
2002-04-26,573.977
2002-04-29,568.56
2002-04-30,575.381
2002-05-01,580.559
2002-05-02,583.522
2002-05-03,580.689
2002-05-06,570.766
2002-05-07,569.094
2002-05-08,581.041
2002-05-09,575.924
2002-05-10,568.845
2002-05-13,576.946
2002-05-14,585.719
2002-05-15,583.533
2002-05-16,584.878
2002-05-17,586.654
2002-05-20,581.162
2002-05-21,577.565
2002-05-22,580.127
2002-05-23,585.91
2002-05-24,580.393
2002-05-27,580.393
2002-05-28,576.509
2002-05-29,574.137
2002-05-30,571.869
2002-05-31,574.65
2002-06-03,560.96
2002-06-04,558.699
2002-06-05,561.265
2002-06-06,549.846
2002-06-07,552.13
2002-06-10,552.945
2002-06-11,544.142
2002-06-12,547.471
2002-06-13,542.559
2002-06-14,541.809
2002-06-17,555.801
2002-06-18,557.88
2002-06-19,549.941
2002-06-20,543.975
2002-06-21,538.276
2002-06-24,536.584
2002-06-25,529.817
2002-06-26,525.333
2002-06-27,532.984
