Date,EUROPE SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,504.441
2001-01-02,500.207
2001-01-03,485.994
2001-01-04,492.596
2001-01-05,489.503
2001-01-08,481.545
2001-01-09,476.281
2001-01-10,476.593
2001-01-11,487.108
2001-01-12,495.092
2001-01-15,492.256
2001-01-16,487.101
2001-01-17,496.908
2001-01-18,505.709
2001-01-19,506.537
2001-01-22,503.334
2001-01-23,503.032
2001-01-24,499.71
2001-01-25,499.541
2001-01-26,497.721
2001-01-29,496.543
2001-01-30,502.032
2001-01-31,508.219
2001-02-01,510.167
2001-02-02,502.776
2001-02-05,500.77
2001-02-06,500.742
2001-02-07,495.588
2001-02-08,490.232
2001-02-09,487.907
2001-02-12,490.728
2001-02-13,486.209
2001-02-14,478.159
2001-02-15,476.648
2001-02-16,475.361
2001-02-19,474.375
2001-02-20,468.15
2001-02-21,463.685
2001-02-22,457.07
2001-02-23,452.7
2001-02-26,457.43
2001-02-27,462.054
2001-02-28,457.011
2001-03-01,451.399
2001-03-02,454.488
2001-03-05,453.721
2001-03-06,463.807
2001-03-07,463.938
2001-03-08,464.878
2001-03-09,458.806
2001-03-12,446.346
2001-03-13,433.527
2001-03-14,421.391
2001-03-15,422.379
2001-03-16,412.325
2001-03-19,408.949
2001-03-20,415.729
2001-03-21,404.106
2001-03-22,383.1
2001-03-23,395.258
2001-03-26,405.147
2001-03-27,409.292
2001-03-28,404.102
2001-03-29,399.219
2001-03-30,400.796
2001-04-02,396.622
2001-04-03,385.774
2001-04-04,389.421
2001-04-05,395.588
2001-04-06,395.746
2001-04-09,396.706
2001-04-10,398.639
2001-04-11,401.019
2001-04-12,405.818
2001-04-13,405.762
2001-04-16,402.364
2001-04-17,399.486
2001-04-18,408.439
2001-04-19,418.763
2001-04-20,422.446
2001-04-23,416.269
2001-04-24,415.144
2001-04-25,416.369
2001-04-26,421.934
2001-04-27,421.479
2001-04-30,424.757
2001-05-01,425.819
2001-05-02,428.847
2001-05-03,424.81
2001-05-04,425.025
2001-05-07,425.162
2001-05-08,424.327
2001-05-09,420.448
2001-05-10,422.328
2001-05-11,419.393
2001-05-14,414.913
2001-05-15,416.359
2001-05-16,417.254
2001-05-17,420.515
2001-05-18,421.403
2001-05-21,423.941
2001-05-22,424.675
2001-05-23,420.568
2001-05-24,418.195
2001-05-25,418.578
2001-05-28,419.682
2001-05-29,414.527
2001-05-30,410.879
2001-05-31,407.354
2001-06-01,405.444
2001-06-04,406.748
2001-06-05,408.454
2001-06-06,405.851
