Date,EUROPE SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,268.94
1994-06-30,264.371
1994-07-29,273.891
1994-08-31,280.415
1994-09-30,273.768
1994-10-31,280.224
1994-11-30,268.008
1994-12-30,271.199
1995-01-31,268.687
1995-02-28,271.225
1995-03-31,277.762
1995-04-28,284.312
1995-05-31,289.369
1995-06-30,294.367
1995-07-31,305.892
1995-08-31,295.743
1995-09-29,304.909
1995-10-31,299.506
1995-11-30,292.67
1995-12-29,300.243
1996-01-31,302.436
1996-02-29,316.227
1996-03-29,324.396
1996-04-30,330.931
1996-05-31,340.164
1996-06-28,342.256
1996-07-31,336.443
1996-08-30,345.248
1996-09-30,345.977
1996-10-31,356.424
1996-11-29,366.217
1996-12-31,375.738
1997-01-31,378.113
1997-02-28,382.317
1997-03-31,387.0
1997-04-30,375.27
1997-05-30,389.504
1997-06-30,399.971
1997-07-31,401.433
1997-08-29,396.982
1997-09-30,420.647
1997-10-31,410.925
1997-11-28,407.504
1997-12-31,409.43
1998-01-30,423.075
1998-02-27,455.619
1998-03-31,497.738
1998-04-30,518.118
1998-05-29,541.084
1998-06-30,528.334
1998-07-31,539.65
1998-08-31,468.116
1998-09-30,440.187
1998-10-30,465.246
1998-11-30,484.676
1998-12-31,501.919
1999-01-29,511.826
1999-02-26,498.524
1999-03-31,490.578
1999-04-30,496.78
1999-05-31,492.453
1999-06-30,501.819
1999-07-30,519.552
1999-08-31,535.762
1999-09-30,537.712
1999-10-29,545.426
1999-11-30,585.466
1999-12-31,652.532
2000-01-31,653.86
2000-02-29,751.546
2000-03-31,708.994
2000-04-28,629.75
2000-05-31,607.94
2000-06-30,616.597
2000-07-31,610.428
2000-08-31,611.416
2000-09-29,581.555
2000-10-31,528.244
2000-11-30,466.01
2000-12-29,496.06
2001-01-31,499.845
2001-02-28,449.492
2001-03-30,394.256
2001-04-30,417.978
2001-05-31,401.128
2001-06-29,372.743
2001-07-31,364.749
2001-08-31,356.589
2001-09-28,299.757
2001-10-31,320.981
2001-11-30,342.241
2001-12-31,345.648
2002-01-31,334.393
2002-02-28,329.548
2002-03-29,346.803
2002-04-30,343.965
2002-05-31,347.189
2002-06-28,330.381
2002-07-31,292.152
2002-08-30,289.18
2002-09-30,254.116
2002-10-31,272.706
2002-11-29,290.138
2002-12-31,277.921
2003-01-31,266.709
2003-02-28,253.524
2003-03-31,253.296
2003-04-30,286.979
2003-05-30,314.301
2003-06-30,317.753
2003-07-31,327.555
2003-08-29,333.994
2003-09-30,345.727
2003-10-31,374.487
2003-11-28,386.909
2003-12-31,409.125
2004-01-30,429.945
2004-02-27,445.65
2004-03-31,435.31
2004-04-30,428.493
2004-05-31,435.243
2004-06-30,445.113
2004-07-30,424.914
2004-08-31,422.53
2004-09-30,442.22
2004-10-29,457.957
2004-11-30,496.675
2004-12-31,521.563
2005-01-31,521.079
2005-02-28,547.63
2005-03-31,530.4
2005-04-29,514.123
2005-05-31,519.403
2005-06-30,530.414
2005-07-29,554.626
2005-08-31,569.741
2005-09-30,581.55
2005-10-31,555.481
2005-11-30,571.828
2005-12-30,596.563
2006-01-31,650.481
2006-02-28,660.909
2006-03-31,693.392
2006-04-28,736.567
2006-05-31,709.427
2006-06-30,704.58
2006-07-31,707.391
2006-08-31,736.175
2006-09-29,748.39
2006-10-31,785.72
2006-11-30,829.405
2006-12-29,871.951
2007-01-31,880.6
2007-02-28,885.026
2007-03-30,929.06
2007-04-30,979.538
2007-05-31,1000.0
2007-06-29,991.512
2007-07-31,980.143
2007-08-31,949.226
2007-09-28,977.984
2007-10-31,1034.875
2007-11-30,963.197
2007-12-31,942.806
2008-01-31,838.682
2008-02-29,873.249
2008-03-31,880.157
2008-04-30,911.173
2008-05-30,935.755
2008-06-30,867.481
2008-07-31,813.616
2008-08-29,792.498
2008-09-30,638.297
2008-10-31,460.492
2008-11-28,429.391
2008-12-31,448.938
2009-01-30,421.967
2009-02-27,392.459
2009-03-31,414.132
2009-04-30,479.384
2009-05-29,541.125
2009-06-30,535.08
2009-07-31,579.249
2009-08-31,613.221
2009-09-30,653.032
2009-10-30,641.677
2009-11-30,663.693
2009-12-31,676.114
2010-01-29,656.089
2010-02-26,640.438
2010-03-31,691.089
2010-04-30,693.073
2010-05-31,603.429
2010-06-30,601.594
2010-07-30,669.328
2010-08-31,642.758
2010-09-30,732.386
2010-10-29,765.74
2010-11-30,727.897
2010-12-31,804.308
2011-01-31,814.672
2011-02-28,838.905
2011-03-31,852.428
2011-04-29,916.516
2011-05-31,892.271
2011-06-30,869.006
2011-07-29,839.481
2011-08-31,763.973
2011-09-30,664.527
2011-10-31,741.265
2011-11-30,706.487
2011-12-30,690.428
2012-01-31,737.146
2012-02-29,795.877
2012-03-30,800.474
2012-04-30,799.038
2012-05-31,702.773
2012-06-29,735.895
2012-07-31,746.841
2012-08-31,776.288
2012-09-28,808.571
2012-10-31,815.336
2012-11-30,833.404
2012-12-31,855.741
2013-01-31,892.533
2013-02-28,893.838
2013-03-29,899.493
2013-04-30,919.019
2013-05-31,928.762
2013-06-28,895.652
2013-07-31,969.848
2013-08-30,965.751
2013-09-30,1031.106
2013-10-31,1066.24
2013-11-29,1084.82
2013-12-31,1120.076
2014-01-31,1096.812
2014-02-28,1192.065
2014-03-31,1171.921
2014-04-30,1175.793
2014-05-30,1187.587
2014-06-30,1176.195
2014-07-31,1120.351
2014-08-29,1125.577
2014-09-30,1061.517
2014-10-31,1047.079
2014-11-28,1077.474
2014-12-31,1064.305
2015-01-30,1058.942
2015-02-27,1134.971
2015-03-31,1104.42
2015-04-30,1165.299
2015-05-29,1181.921
2015-06-30,1159.084
2015-07-31,1193.295
2015-08-31,1136.336
2015-09-30,1098.154
2015-10-30,1165.357
2015-11-30,1165.86
2015-12-31,1165.442
2016-01-29,1071.019
2016-02-29,1062.818
2016-03-31,1144.922
2016-04-29,1153.221
2016-05-31,1167.237
2016-06-30,1082.347
2016-07-29,1146.941
2016-08-31,1154.027
2016-09-30,1167.843
2016-10-31,1098.106
2016-11-30,1072.025
2016-12-30,1109.63
2017-01-31,1157.962
2017-02-28,1176.679
2017-03-31,1216.235
2017-04-28,1288.84
2017-05-31,1350.728
2017-06-30,1331.54
2017-07-31,1383.559
2017-08-31,1393.347
2017-09-29,1447.722
2017-10-31,1465.39
2017-11-30,1459.192
2017-12-29,1490.537
2018-01-31,1579.28
2018-02-28,1500.293
2018-03-30,1480.122
2018-04-30,1502.208
2018-05-31,1502.094
2018-06-29,1487.199
2018-07-31,1525.368
2018-08-31,1518.829
2018-09-28,1489.887
2018-10-31,1330.087
2018-11-30,1283.514
2018-12-31,1218.041
2019-01-31,1320.66
2019-02-28,1366.104
2019-03-29,1373.677
2019-04-30,1440.024
2019-05-31,1362.054
2019-06-28,1450.391
2019-07-31,1428.265
2019-08-30,1394.448
2019-09-30,1412.736
2019-10-31,1470.408
2019-11-29,1522.561
2019-12-31,1593.471
2020-01-31,1573.178
2020-02-28,1448.911
2020-03-31,1218.363
2020-04-30,1344.927
2020-05-29,1465.998
2020-06-30,1500.755
2020-07-31,1613.275
2020-08-31,1715.77
2020-09-30,1692.855
2020-10-30,1617.862
2020-11-30,1826.535
2020-12-31,1963.03
2021-01-29,1947.759
2021-02-26,1960.42
2021-03-31,1983.21
2021-04-30,2124.681
2021-05-31,2201.216
2021-06-30,2179.181
2021-07-30,2275.024
2021-08-31,2323.011
2021-09-30,2166.218
2021-10-29,2259.217
2021-11-30,2147.9
2021-12-31,2246.145
2022-01-31,1966.261
2022-02-28,1894.458
2022-03-31,1893.693
2022-04-29,1737.093
2022-05-31,1706.562
2022-06-30,1503.284
2022-07-29,1634.103
2022-08-31,1484.18
2022-09-30,1302.117
2022-10-31,1390.626
2022-11-30,1542.691
2022-12-30,1544.854
2023-01-31,1686.237
2023-02-28,1675.427
2023-03-31,1710.026
2023-04-28,1764.025
2023-05-31,1668.727
2023-06-30,1711.656
2023-07-31,1780.961
