Date,EUROPE SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,276.577
1994-06-30,271.676
1994-07-29,281.334
1994-08-31,288.016
1994-09-30,281.173
1994-10-31,287.79
1994-11-30,275.238
1994-12-30,278.502
1995-01-31,275.903
1995-02-28,278.499
1995-03-31,285.193
1995-04-28,291.835
1995-05-31,296.804
1995-06-30,301.691
1995-07-31,313.379
1995-08-31,302.963
1995-09-29,312.339
1995-10-31,306.791
1995-11-30,299.789
1995-12-29,307.525
1996-01-31,309.755
1996-02-29,323.871
1996-03-29,332.215
1996-04-30,338.797
1996-05-31,348.06
1996-06-28,349.981
1996-07-31,343.924
1996-08-30,352.917
1996-09-30,353.639
1996-10-31,364.303
1996-11-29,374.309
1996-12-31,384.023
1997-01-31,386.438
1997-02-28,390.728
1997-03-31,395.483
1997-04-30,383.367
1997-05-30,397.685
1997-06-30,408.206
1997-07-31,409.582
1997-08-29,405.034
1997-09-30,429.15
1997-10-31,419.216
1997-11-28,415.722
1997-12-31,417.678
1998-01-30,431.575
1998-02-27,464.762
1998-03-31,507.679
1998-04-30,528.273
1998-05-29,551.439
1998-06-30,538.227
1998-07-31,549.621
1998-08-31,476.756
1998-09-30,448.301
1998-10-30,473.817
1998-11-30,493.605
1998-12-31,511.165
1999-01-29,521.24
1999-02-26,507.693
1999-03-31,499.573
1999-04-30,505.801
1999-05-31,501.305
1999-06-30,510.776
1999-07-30,528.78
1999-08-31,545.269
1999-09-30,547.25
1999-10-29,555.094
1999-11-30,595.842
1999-12-31,664.097
2000-01-31,665.439
2000-02-29,764.845
2000-03-31,721.492
2000-04-28,640.65
2000-05-31,618.323
2000-06-30,627.069
2000-07-31,620.718
2000-08-31,621.719
2000-09-29,591.353
2000-10-31,537.141
2000-11-30,473.852
2000-12-29,504.398
2001-01-31,508.219
2001-02-28,457.011
2001-03-30,400.796
2001-04-30,424.757
2001-05-31,407.354
2001-06-29,378.41
2001-07-31,370.225
2001-08-31,361.929
2001-09-28,304.24
2001-10-31,325.765
2001-11-30,347.338
2001-12-31,350.778
2002-01-31,339.334
2002-02-28,334.412
2002-03-29,351.838
2002-04-30,348.827
2002-05-31,351.854
2002-06-28,334.74
2002-07-31,295.967
2002-08-30,292.93
2002-09-30,257.408
2002-10-31,276.227
2002-11-29,293.879
2002-12-31,281.498
2003-01-31,270.098
2003-02-28,256.743
2003-03-31,256.398
2003-04-30,290.219
2003-05-30,317.586
2003-06-30,320.954
2003-07-31,330.81
2003-08-29,337.292
2003-09-30,349.137
2003-10-31,378.16
2003-11-28,390.694
2003-12-31,413.112
2004-01-30,434.104
2004-02-27,449.956
2004-03-31,439.395
2004-04-30,432.243
2004-05-31,438.65
2004-06-30,448.473
2004-07-30,428.078
2004-08-31,425.65
2004-09-30,445.475
2004-10-29,461.317
2004-11-30,500.274
2004-12-31,525.32
2005-01-31,524.799
2005-02-28,551.528
2005-03-31,534.073
2005-04-29,517.405
2005-05-31,522.098
2005-06-30,533.018
2005-07-29,557.26
2005-08-31,572.436
2005-09-30,584.285
2005-10-31,558.05
2005-11-30,574.447
2005-12-30,599.272
2006-01-31,653.393
2006-02-28,663.844
2006-03-31,696.274
2006-04-28,739.165
2006-05-31,711.157
2006-06-30,706.166
2006-07-31,708.815
2006-08-31,737.641
2006-09-29,749.861
2006-10-31,787.197
2006-11-30,830.935
2006-12-29,873.506
2007-01-31,882.111
2007-02-28,886.505
2007-03-30,930.43
2007-04-30,980.491
2007-05-31,1000.0
2007-06-29,991.325
2007-07-31,979.814
2007-08-31,948.882
2007-09-28,977.604
2007-10-31,1034.345
2007-11-30,962.656
2007-12-31,942.235
2008-01-31,838.1
2008-02-29,872.603
2008-03-31,879.109
2008-04-30,909.026
2008-05-30,932.478
2008-06-30,864.119
2008-07-31,810.293
2008-08-29,789.228
2008-09-30,635.56
2008-10-31,458.493
2008-11-28,427.495
2008-12-31,446.902
2009-01-30,419.959
2009-02-27,390.537
2009-03-31,411.904
2009-04-30,476.367
2009-05-29,536.868
2009-06-30,530.673
2009-07-31,574.34
2009-08-31,608.001
2009-09-30,647.438
2009-10-30,636.167
2009-11-30,657.936
2009-12-31,670.176
2010-01-29,650.298
2010-02-26,634.757
2010-03-31,684.643
2010-04-30,686.124
2010-05-31,596.88
2010-06-30,594.784
2010-07-30,661.623
2010-08-31,635.326
2010-09-30,723.882
2010-10-29,756.806
2010-11-30,719.368
2010-12-31,794.852
2011-01-31,805.062
2011-02-28,828.954
2011-03-31,841.892
2011-04-29,904.456
2011-05-31,879.309
2011-06-30,856.111
2011-07-29,826.875
2011-08-31,752.418
2011-09-30,654.42
2011-10-31,729.971
2011-11-30,695.662
2011-12-30,679.792
2012-01-31,725.728
2012-02-29,783.5
2012-03-30,787.65
2012-04-30,785.655
2012-05-31,690.058
2012-06-29,722.205
2012-07-31,732.869
2012-08-31,761.698
2012-09-28,793.311
2012-10-31,799.897
2012-11-30,817.546
2012-12-31,839.364
2013-01-31,875.363
2013-02-28,876.636
2013-03-29,881.929
2013-04-30,900.267
2013-05-31,908.486
2013-06-28,875.78
2013-07-31,948.186
2013-08-30,944.124
2013-09-30,1007.896
2013-10-31,1042.214
2013-11-29,1060.287
2013-12-31,1094.68
2014-01-31,1071.804
2014-02-28,1164.846
2014-03-31,1144.81
2014-04-30,1147.853
2014-05-30,1158.12
2014-06-30,1146.706
2014-07-31,1092.201
2014-08-29,1097.22
2014-09-30,1034.725
2014-10-31,1020.626
2014-11-28,1050.177
2014-12-31,1037.316
2015-01-30,1032.014
2015-02-27,1106.019
2015-03-31,1075.93
2015-04-30,1134.588
2015-05-29,1149.773
2015-06-30,1127.185
2015-07-31,1160.392
2015-08-31,1104.961
2015-09-30,1067.791
2015-10-30,1133.068
2015-11-30,1133.531
2015-12-31,1133.054
2016-01-29,1041.211
2016-02-29,1033.037
2016-03-31,1112.57
2016-04-29,1119.717
2016-05-31,1132.095
2016-06-30,1049.443
2016-07-29,1111.918
2016-08-31,1118.716
2016-09-30,1132.032
2016-10-31,1064.387
2016-11-30,1039.023
2016-12-30,1075.381
2017-01-31,1122.187
2017-02-28,1140.199
2017-03-31,1178.099
2017-04-28,1247.364
2017-05-31,1305.671
2017-06-30,1286.804
2017-07-31,1336.909
2017-08-31,1346.205
2017-09-29,1398.595
2017-10-31,1415.514
2017-11-30,1409.426
2017-12-29,1439.654
2018-01-31,1525.355
2018-02-28,1448.9
2018-03-30,1428.894
2018-04-30,1448.607
2018-05-31,1446.696
2018-06-29,1431.8
2018-07-31,1468.433
2018-08-31,1461.926
2018-09-28,1433.938
2018-10-31,1279.992
2018-11-30,1235.097
2018-12-31,1172.052
2019-01-31,1270.676
2019-02-28,1314.258
2019-03-29,1321.181
2019-04-30,1383.444
2019-05-31,1306.64
2019-06-28,1390.866
2019-07-31,1369.323
2019-08-30,1336.706
2019-09-30,1354.055
2019-10-31,1409.129
2019-11-29,1459.02
2019-12-31,1526.918
2020-01-31,1507.345
2020-02-28,1388.198
2020-03-31,1167.102
2020-04-30,1287.345
2020-05-29,1402.452
2020-06-30,1435.257
2020-07-31,1542.666
2020-08-31,1640.41
2020-09-30,1618.304
2020-10-30,1546.387
2020-11-30,1745.51
2020-12-31,1875.814
2021-01-29,1861.121
2021-02-26,1873.184
2021-03-31,1894.658
2021-04-30,2028.396
2021-05-31,2098.61
2021-06-30,2076.992
2021-07-30,2168.073
2021-08-31,2213.683
2021-09-30,2064.051
2021-10-29,2152.344
2021-11-30,2046.023
2021-12-31,2139.479
2022-01-31,1872.817
2022-02-28,1804.333
2022-03-31,1802.99
2022-04-29,1652.531
2022-05-31,1621.64
2022-06-30,1428.008
2022-07-29,1551.838
2022-08-31,1409.329
2022-09-30,1236.28
2022-10-31,1320.158
2022-11-30,1464.359
2022-12-30,1466.317
2023-01-31,1600.39
2023-02-28,1590.061
2023-03-31,1622.459
2023-04-28,1672.425
2023-05-31,1580.211
2023-06-30,1620.432
2023-07-31,1685.76
2023-08-31,1605.599
2023-09-29,1494.362
2023-10-31,1397.004
2023-11-30,1585.777
2023-12-29,1709.805
2024-01-31,1667.666
2024-02-29,1700.842
2024-03-29,1749.678
2024-04-30,1687.951
2024-05-31,1798.678
