Date,EUROPE SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,496.103
2001-01-02,491.947
2001-01-03,477.968
2001-01-04,484.461
2001-01-05,481.42
2001-01-08,473.593
2001-01-09,468.417
2001-01-10,468.725
2001-01-11,479.066
2001-01-12,486.918
2001-01-15,484.132
2001-01-16,479.062
2001-01-17,488.708
2001-01-18,497.364
2001-01-19,498.18
2001-01-22,495.033
2001-01-23,494.736
2001-01-24,491.468
2001-01-25,491.309
2001-01-26,489.518
2001-01-29,488.362
2001-01-30,493.761
2001-01-31,499.845
2001-02-01,501.764
2001-02-02,494.495
2001-02-05,492.522
2001-02-06,492.494
2001-02-07,487.425
2001-02-08,482.157
2001-02-09,479.871
2001-02-12,482.645
2001-02-13,478.2
2001-02-14,470.283
2001-02-15,468.797
2001-02-16,467.531
2001-02-19,466.561
2001-02-20,460.439
2001-02-21,456.047
2001-02-22,449.541
2001-02-23,445.243
2001-02-26,449.899
2001-02-27,454.447
2001-02-28,449.492
2001-03-01,443.972
2001-03-02,447.011
2001-03-05,446.257
2001-03-06,456.186
2001-03-07,456.324
2001-03-08,457.248
2001-03-09,451.282
2001-03-12,439.026
2001-03-13,426.417
2001-03-14,414.48
2001-03-15,415.455
2001-03-16,405.568
2001-03-19,402.247
2001-03-20,408.918
2001-03-21,397.491
2001-03-22,376.829
2001-03-23,388.795
2001-03-26,398.526
2001-03-27,402.604
2001-03-28,397.502
2001-03-29,392.701
2001-03-30,394.256
2001-04-02,390.155
2001-04-03,379.486
2001-04-04,383.076
2001-04-05,389.146
2001-04-06,389.306
2001-04-09,390.254
2001-04-10,392.155
2001-04-11,394.501
2001-04-12,399.226
2001-04-13,399.17
2001-04-16,395.827
2001-04-17,392.997
2001-04-18,401.805
2001-04-19,411.974
2001-04-20,415.602
2001-04-23,409.543
2001-04-24,408.441
2001-04-25,409.7
2001-04-26,415.188
2001-04-27,414.75
2001-04-30,417.978
2001-05-01,419.035
2001-05-02,422.025
2001-05-03,418.057
2001-05-04,418.289
2001-05-07,418.436
2001-05-08,417.615
2001-05-09,413.804
2001-05-10,415.663
2001-05-11,412.78
2001-05-14,408.405
2001-05-15,409.833
2001-05-16,410.726
2001-05-17,413.937
2001-05-18,414.815
2001-05-21,417.386
2001-05-22,418.146
2001-05-23,414.109
2001-05-24,411.777
2001-05-25,412.157
2001-05-28,413.248
2001-05-29,408.179
2001-05-30,404.587
2001-05-31,401.128
2001-06-01,399.257
2001-06-04,400.544
2001-06-05,402.228
2001-06-06,399.666
2001-06-07,401.078
2001-06-08,399.825
2001-06-11,393.867
2001-06-12,390.02
2001-06-13,393.276
2001-06-14,391.166
2001-06-15,388.398
2001-06-18,385.739
2001-06-19,383.868
2001-06-20,376.597
2001-06-21,378.277
2001-06-22,378.401
2001-06-25,379.246
2001-06-26,373.303
2001-06-27,373.049
2001-06-28,370.864
2001-06-29,372.743
2001-07-02,373.912
2001-07-03,371.187
2001-07-04,367.845
2001-07-05,360.162
2001-07-06,356.981
2001-07-09,356.882
2001-07-10,359.844
2001-07-11,356.914
2001-07-12,357.529
2001-07-13,356.651
