Date,ITALY LARGE CAP Large Cap
2001-12-19,374.812
2001-12-20,369.965
2001-12-21,374.773
2001-12-24,371.034
2001-12-25,371.034
2001-12-26,371.351
2001-12-27,380.911
2001-12-28,379.671
2001-12-31,383.374
2002-01-01,383.374
2002-01-02,385.119
2002-01-03,391.183
2002-01-04,386.894
2002-01-07,382.247
2002-01-08,384.643
2002-01-09,384.274
2002-01-10,377.852
2002-01-11,379.956
2002-01-14,372.121
2002-01-15,375.664
2002-01-16,367.849
2002-01-17,371.917
2002-01-18,374.361
2002-01-21,370.832
2002-01-22,372.557
2002-01-23,373.864
2002-01-24,373.643
2002-01-25,370.161
2002-01-28,372.954
2002-01-29,369.256
2002-01-30,366.689
2002-01-31,367.413
2002-02-01,367.114
2002-02-04,363.266
2002-02-05,358.147
2002-02-06,352.168
2002-02-07,354.272
2002-02-08,356.976
2002-02-11,357.939
2002-02-12,353.609
2002-02-13,358.297
2002-02-14,361.391
2002-02-15,358.115
2002-02-18,355.159
2002-02-19,349.382
2002-02-20,347.712
2002-02-21,351.919
2002-02-22,352.404
2002-02-25,354.783
2002-02-26,355.772
2002-02-27,365.324
2002-02-28,366.485
2002-03-01,369.138
2002-03-04,378.011
2002-03-05,376.697
2002-03-06,382.339
2002-03-07,383.191
2002-03-08,385.695
2002-03-11,382.682
2002-03-12,379.049
2002-03-13,383.242
2002-03-14,387.385
2002-03-15,390.102
2002-03-18,387.446
2002-03-19,392.106
2002-03-20,390.082
2002-03-21,390.266
2002-03-22,390.32
2002-03-25,385.485
2002-03-26,387.578
2002-03-27,384.377
2002-03-28,390.125
2002-03-29,390.125
2002-04-01,393.322
2002-04-02,392.547
2002-04-03,394.188
2002-04-04,390.61
2002-04-05,389.472
2002-04-08,379.178
2002-04-09,381.728
2002-04-10,387.445
2002-04-11,383.429
2002-04-12,383.411
2002-04-15,385.281
2002-04-16,396.003
2002-04-17,396.422
2002-04-18,396.487
2002-04-19,397.648
2002-04-22,395.085
2002-04-23,394.946
2002-04-24,396.312
2002-04-25,393.686
2002-04-26,391.595
2002-04-29,393.144
2002-04-30,391.166
2002-05-01,393.38
2002-05-02,384.015
2002-05-03,385.806
2002-05-06,387.543
2002-05-07,384.398
2002-05-08,389.964
2002-05-09,385.087
2002-05-10,381.816
2002-05-13,387.564
2002-05-14,389.369
2002-05-15,391.826
2002-05-16,392.099
2002-05-17,395.268
2002-05-20,392.495
2002-05-21,391.763
2002-05-22,392.404
2002-05-23,389.507
2002-05-24,388.685
2002-05-27,388.641
2002-05-28,392.198
2002-05-29,393.201
2002-05-30,389.999
2002-05-31,386.744
2002-06-03,384.745
2002-06-04,378.303
2002-06-05,375.329
2002-06-06,376.515
2002-06-07,375.093
2002-06-10,377.046
2002-06-11,386.476
2002-06-12,382.424
2002-06-13,375.759
2002-06-14,370.156
2002-06-17,381.447
2002-06-18,384.434
2002-06-19,383.858
2002-06-20,378.392
2002-06-21,379.95
2002-06-24,379.139
2002-06-25,382.063
2002-06-26,389.499
2002-06-27,383.379
2002-06-28,397.496
2002-07-01,400.408
2002-07-02,387.873
2002-07-03,378.577
2002-07-04,381.859
2002-07-05,394.987
2002-07-08,398.854
2002-07-09,399.295
2002-07-10,389.719
2002-07-11,377.905
2002-07-12,374.425
2002-07-15,361.771
2002-07-16,365.447
2002-07-17,369.128
2002-07-18,376.046
2002-07-19,362.729
2002-07-22,345.249
2002-07-23,335.402
2002-07-24,333.911
2002-07-25,346.262
2002-07-26,342.856
2002-07-29,355.39
2002-07-30,360.95
2002-07-31,361.871
