Date,ITALY LARGE CAP Large Cap
1994-05-31,243.152
1994-06-30,225.642
1994-07-29,238.708
1994-08-31,232.778
1994-09-30,232.948
1994-10-31,220.866
1994-11-30,206.066
1994-12-30,208.741
1995-01-31,222.378
1995-02-28,200.6
1995-03-31,188.811
1995-04-28,209.898
1995-05-31,211.203
1995-06-30,205.214
1995-07-31,225.247
1995-08-31,219.616
1995-09-29,217.08
1995-10-31,205.353
1995-11-30,195.803
1995-12-29,212.418
1996-01-31,223.627
1996-02-29,220.598
1996-03-29,209.465
1996-04-30,242.852
1996-05-31,248.903
1996-06-28,252.475
1996-07-31,233.725
1996-08-30,231.65
1996-09-30,252.067
1996-10-31,238.866
1996-11-29,260.875
1996-12-31,261.067
1997-01-31,291.231
1997-02-28,259.707
1997-03-31,265.155
1997-04-30,271.507
1997-05-30,272.506
1997-06-30,302.412
1997-07-31,321.137
1997-08-29,310.603
1997-09-30,354.382
1997-10-31,330.987
1997-11-28,339.344
1997-12-31,362.788
1998-01-30,396.535
1998-02-27,411.107
1998-03-31,490.43
1998-04-30,479.678
1998-05-29,509.071
1998-06-30,487.525
1998-07-31,538.74
1998-08-31,464.016
1998-09-30,437.114
1998-10-30,461.767
1998-11-30,510.511
1998-12-31,550.307
1999-01-29,526.531
1999-02-26,524.871
1999-03-31,541.801
1999-04-30,526.788
1999-05-31,500.504
1999-06-30,490.953
1999-07-30,475.078
1999-08-31,486.303
1999-09-30,490.316
1999-10-29,473.208
1999-11-30,482.255
1999-12-31,546.876
2000-01-31,525.152
2000-02-29,582.182
2000-03-31,543.511
2000-04-28,508.626
2000-05-31,523.972
2000-06-30,554.294
2000-07-31,534.237
2000-08-31,529.47
2000-09-29,498.589
2000-10-31,500.864
2000-11-30,505.524
2000-12-29,512.339
2001-01-31,526.395
2001-02-28,468.793
2001-03-30,437.704
2001-04-30,465.33
2001-05-31,424.078
2001-06-29,409.565
2001-07-31,421.156
2001-08-31,415.14
2001-09-28,353.453
2001-10-31,367.77
2001-11-30,376.387
2001-12-31,383.374
2002-01-31,367.413
2002-02-28,366.485
2002-03-29,390.125
2002-04-30,391.166
2002-05-31,386.744
2002-06-28,397.496
2002-07-31,361.871
2002-08-30,367.344
2002-09-30,316.741
2002-10-31,342.075
2002-11-29,369.8
2002-12-31,369.395
2003-01-31,363.444
2003-02-28,376.44
2003-03-31,347.176
2003-04-30,391.006
2003-05-30,439.555
2003-06-30,434.08
2003-07-31,428.702
2003-08-29,412.138
2003-09-30,424.586
2003-10-31,442.419
2003-11-28,479.811
2003-12-31,509.778
2004-01-30,517.467
2004-02-27,525.936
2004-03-31,514.704
2004-04-30,521.916
2004-05-31,530.983
2004-06-30,548.53
2004-07-30,537.999
2004-08-31,534.177
2004-09-30,565.204
2004-10-29,600.111
2004-11-30,648.578
2004-12-31,696.843
2005-01-31,677.2
2005-02-28,699.237
2005-03-31,696.596
2005-04-29,665.12
2005-05-31,653.324
2005-06-30,662.117
2005-07-29,692.711
2005-08-31,698.179
2005-09-30,707.069
2005-10-31,655.439
2005-11-30,671.545
2005-12-30,706.282
2006-01-31,737.422
2006-02-28,736.061
2006-03-31,751.248
2006-04-28,783.09
2006-05-31,787.201
2006-06-30,792.142
2006-07-31,793.435
2006-08-31,827.101
2006-09-29,827.908
2006-10-31,862.014
2006-11-30,913.478
2006-12-29,928.72
2007-01-31,924.086
2007-02-28,912.911
2007-03-30,931.605
2007-04-30,1006.593
2007-05-31,1000.0
2007-06-29,987.548
2007-07-31,964.317
2007-08-31,960.61
2007-09-28,1001.013
2007-10-31,1038.071
2007-11-30,1023.414
2007-12-31,1008.986
2008-01-31,908.507
2008-02-29,906.038
2008-03-31,887.714
2008-04-30,949.939
2008-05-30,960.443
2008-06-30,859.707
2008-07-31,815.648
2008-08-29,777.483
2008-09-30,662.764
2008-10-31,505.693
2008-11-28,476.62
2008-12-31,509.161
2009-01-30,435.074
2009-02-27,373.178
2009-03-31,399.338
2009-04-30,476.189
2009-05-29,542.265
2009-06-30,523.092
2009-07-31,568.307
2009-08-31,620.984
2009-09-30,667.466
2009-10-30,633.791
2009-11-30,641.847
2009-12-31,649.182
2010-01-29,592.836
2010-02-26,558.741
2010-03-31,598.138
2010-04-30,556.471
2010-05-31,476.987
2010-06-30,473.947
2010-07-30,550.099
2010-08-31,509.811
2010-09-30,571.282
2010-10-29,609.289
2010-11-30,514.675
2010-12-31,561.237
2011-01-31,626.174
2011-02-28,648.167
2011-03-31,645.402
2011-04-29,699.43
2011-05-31,649.757
2011-06-30,633.162
2011-07-29,578.012
2011-08-31,494.999
2011-09-30,438.613
2011-10-31,504.039
2011-11-30,472.732
2011-12-30,452.135
2012-01-31,476.594
2012-02-29,499.474
2012-03-30,486.182
2012-04-30,448.543
2012-05-31,377.405
2012-06-29,435.582
2012-07-31,412.6
2012-08-31,456.014
2012-09-28,466.577
2012-10-31,483.569
2012-11-30,496.728
2012-12-31,511.057
2013-01-31,552.397
2013-02-28,480.564
2013-03-29,457.825
2013-04-30,513.219
2013-05-31,515.799
2013-06-28,458.818
2013-07-31,505.665
2013-08-30,511.135
2013-09-30,550.554
2013-10-31,616.13
2013-11-29,603.699
2013-12-31,606.828
2014-01-31,605.728
2014-02-28,647.692
2014-03-31,689.42
2014-04-30,701.993
2014-05-30,704.621
2014-06-30,710.222
2014-07-31,672.385
2014-08-29,656.977
2014-09-30,654.912
2014-10-31,615.898
2014-11-28,612.82
2014-12-31,564.912
2015-01-30,562.304
2015-02-27,602.63
2015-03-31,590.259
2015-04-30,619.199
2015-05-29,626.216
2015-06-30,612.559
2015-07-31,636.648
2015-08-31,600.645
2015-09-30,587.713
2015-10-30,612.153
2015-11-30,593.282
2015-12-31,570.853
2016-01-29,504.6
2016-02-29,477.906
2016-03-31,515.556
2016-04-29,526.002
2016-05-31,512.116
2016-06-30,465.906
2016-07-29,482.761
2016-08-31,484.772
2016-09-30,471.466
2016-10-31,475.522
2016-11-30,452.112
2016-12-30,516.659
2017-01-31,496.021
2017-02-28,490.636
2017-03-31,541.975
2017-04-28,548.236
2017-05-31,584.447
2017-06-30,594.731
2017-07-31,636.492
2017-08-31,641.378
2017-09-29,661.188
2017-10-31,645.684
2017-11-30,659.561
2017-12-29,648.476
2018-01-31,727.991
2018-02-28,684.493
2018-03-30,689.671
2018-04-30,734.31
2018-05-31,642.022
2018-06-29,638.015
2018-07-31,657.904
2018-08-31,581.522
2018-09-28,598.389
2018-10-31,548.539
2018-11-30,557.074
2018-12-31,538.037
2019-01-31,578.371
2019-02-28,597.467
2019-03-29,609.07
2019-04-30,621.176
2019-05-31,569.095
2019-06-28,620.027
2019-07-31,612.641
2019-08-30,601.896
2019-09-30,622.888
2019-10-31,649.514
2019-11-29,650.79
2019-12-31,672.871
2020-01-31,664.654
2020-02-28,618.989
2020-03-31,476.606
2020-04-30,478.969
2020-05-29,512.339
2020-06-30,556.783
2020-07-31,576.545
2020-08-31,596.369
2020-09-30,553.516
2020-10-30,511.903
2020-11-30,659.489
2020-12-31,675.312
2021-01-29,653.845
2021-02-26,686.607
2021-03-31,730.226
2021-04-30,729.321
2021-05-31,776.256
2021-06-30,743.574
2021-07-30,749.13
2021-08-31,760.208
2021-09-30,740.325
2021-10-29,783.135
2021-11-30,718.074
2021-12-31,779.375
2022-01-31,786.228
2022-02-28,742.474
2022-03-31,701.692
2022-04-29,649.322
2022-05-31,683.645
2022-06-30,578.454
2022-07-29,587.325
2022-08-31,566.844
2022-09-30,526.92
2022-10-31,595.463
2022-11-30,681.503
2022-12-30,675.762
2023-01-31,780.385
2023-02-28,794.934
2023-03-31,801.952
2023-04-28,849.129
2023-05-31,793.306
2023-06-30,893.247
2023-07-31,959.843
2023-08-31,923.298
2023-09-29,899.702
2023-10-31,905.582
2023-11-30,1015.471
2023-12-29,1033.48
2024-01-31,1042.634
2024-02-29,1107.783
2024-03-29,1194.799
2024-04-30,1163.341
2024-05-31,1212.827
2024-06-28,1159.228
2024-07-31,1197.172
2024-08-30,1264.521
2024-09-30,1262.491
2024-10-31,1246.205
2024-11-29,1170.031
2024-12-31,1172.011
2025-01-31,1258.423
2025-02-28,1348.09
2025-03-31,1382.993
2025-04-30,1444.325
2025-05-30,1545.996
2025-06-30,1592.495
2025-07-31,1620.909
2025-08-29,1700.596
2025-09-30,1717.686
2025-10-31,1691.307
