Date,ITALY LARGE CAP Large Cap
2001-01-01,550.505
2001-01-02,548.067
2001-01-03,534.819
2001-01-04,543.666
2001-01-05,550.342
2001-01-08,548.271
2001-01-09,542.546
2001-01-10,544.871
2001-01-11,559.654
2001-01-12,567.351
2001-01-15,562.493
2001-01-16,556.232
2001-01-17,560.308
2001-01-18,569.79
2001-01-19,562.164
2001-01-22,564.011
2001-01-23,561.626
2001-01-24,559.212
2001-01-25,557.997
2001-01-26,559.236
2001-01-29,554.405
2001-01-30,559.941
2001-01-31,565.609
2001-02-01,565.374
2001-02-02,555.965
2001-02-05,555.133
2001-02-06,550.723
2001-02-07,544.049
2001-02-08,537.36
2001-02-09,534.153
2001-02-12,545.091
2001-02-13,536.74
2001-02-14,527.685
2001-02-15,521.385
2001-02-16,518.524
2001-02-19,521.205
2001-02-20,506.268
2001-02-21,504.904
2001-02-22,499.029
2001-02-23,492.164
2001-02-26,500.419
2001-02-27,501.899
2001-02-28,503.716
2001-03-01,500.67
2001-03-02,497.795
2001-03-05,494.451
2001-03-06,505.451
2001-03-07,505.868
2001-03-08,508.42
2001-03-09,500.513
2001-03-12,485.342
2001-03-13,479.902
2001-03-14,471.208
2001-03-15,470.148
2001-03-16,458.121
2001-03-19,459.322
2001-03-20,467.593
2001-03-21,461.947
2001-03-22,435.101
2001-03-23,449.763
2001-03-26,461.837
2001-03-27,475.072
2001-03-28,465.33
2001-03-29,467.113
2001-03-30,470.311
2001-04-02,471.334
2001-04-03,461.951
2001-04-04,477.078
2001-04-05,481.581
2001-04-06,483.215
2001-04-09,489.823
2001-04-10,488.543
2001-04-11,481.803
2001-04-12,487.811
2001-04-13,487.811
2001-04-16,482.817
2001-04-17,482.722
2001-04-18,486.411
2001-04-19,493.055
2001-04-20,495.28
2001-04-23,487.472
2001-04-24,491.301
2001-04-25,495.195
2001-04-26,496.877
2001-04-27,496.126
2001-04-30,499.362
2001-05-01,502.064
2001-05-02,502.137
2001-05-03,491.577
2001-05-04,492.176
2001-05-07,491.781
2001-05-08,485.914
2001-05-09,479.996
2001-05-10,484.394
2001-05-11,479.135
2001-05-14,481.737
2001-05-15,481.97
2001-05-16,483.066
2001-05-17,482.531
2001-05-18,481.027
2001-05-21,478.543
2001-05-22,479.999
2001-05-23,475.524
2001-05-24,477.37
2001-05-25,472.299
2001-05-28,476.094
2001-05-29,469.375
2001-05-30,461.659
2001-05-31,454.221
2001-06-01,451.575
2001-06-04,448.422
2001-06-05,452.058
2001-06-06,447.161
2001-06-07,452.536
2001-06-08,454.288
2001-06-11,450.217
2001-06-12,448.709
2001-06-13,452.294
2001-06-14,447.993
2001-06-15,446.234
2001-06-18,439.828
2001-06-19,437.94
2001-06-20,431.746
2001-06-21,428.936
2001-06-22,431.23
2001-06-25,439.737
2001-06-26,434.08
2001-06-27,437.749
2001-06-28,435.392
2001-06-29,437.206
2001-07-02,445.705
2001-07-03,444.887
2001-07-04,441.563
2001-07-05,437.946
2001-07-06,432.439
2001-07-09,437.221
2001-07-10,436.223
2001-07-11,434.576
2001-07-12,430.154
2001-07-13,431.02
2001-07-16,432.575
2001-07-17,424.474
2001-07-18,428.579
2001-07-19,434.376
2001-07-20,434.415
2001-07-23,434.315
2001-07-24,436.852
2001-07-25,435.884
2001-07-26,437.4
2001-07-27,441.795
2001-07-30,448.236
2001-07-31,449.564
2001-08-01,452.245
2001-08-02,451.599
2001-08-03,452.592
2001-08-06,454.081
2001-08-07,453.36
2001-08-08,450.386
2001-08-09,452.562
2001-08-10,448.662
2001-08-13,451.281
2001-08-14,454.153
2001-08-15,461.087
2001-08-16,457.338
2001-08-17,450.841
2001-08-20,448.101
2001-08-21,449.427
2001-08-22,455.248
2001-08-23,452.489
2001-08-24,459.646
2001-08-27,457.093
2001-08-28,451.059
2001-08-29,454.809
2001-08-30,446.679
2001-08-31,443.142
2001-09-03,437.749
2001-09-04,429.51
2001-09-05,415.415
2001-09-06,402.856
2001-09-07,404.872
2001-09-10,399.142
2001-09-11,374.754
2001-09-12,373.699
2001-09-13,378.644
2001-09-14,359.849
2001-09-17,360.084
2001-09-18,353.066
2001-09-19,348.852
2001-09-20,334.07
2001-09-21,314.858
2001-09-24,337.211
2001-09-25,349.853
2001-09-26,357.905
2001-09-27,363.594
2001-09-28,377.294
2001-10-01,370.55
2001-10-02,376.158
2001-10-03,382.977
2001-10-04,389.043
2001-10-05,383.205
2001-10-08,388.655
2001-10-09,387.077
2001-10-10,395.311
2001-10-11,396.212
2001-10-12,391.835
2001-10-15,385.223
2001-10-16,392.204
2001-10-17,399.012
2001-10-18,395.437
2001-10-19,384.042
2001-10-22,390.393
2001-10-23,399.69
2001-10-24,403.112
2001-10-25,394.874
2001-10-26,403.291
2001-10-29,401.358
2001-10-30,388.112
2001-10-31,392.577
2001-11-01,395.602
2001-11-02,391.238
2001-11-05,397.317
2001-11-06,392.532
2001-11-07,396.992
2001-11-08,401.028
2001-11-09,399.118
2001-11-12,387.591
2001-11-13,394.184
2001-11-14,395.529
2001-11-15,397.35
2001-11-16,403.793
2001-11-19,410.479
2001-11-20,405.731
2001-11-21,401.841
2001-11-22,405.459
2001-11-23,405.557
2001-11-26,403.868
2001-11-27,397.063
2001-11-28,397.323
2001-11-29,399.234
2001-11-30,401.751
2001-12-03,396.345
2001-12-04,401.158
2001-12-05,414.146
2001-12-06,417.568
2001-12-07,415.988
2001-12-10,406.443
2001-12-11,407.1
2001-12-12,404.558
2001-12-13,396.726
2001-12-14,397.084
2001-12-17,410.852
2001-12-18,405.686
2001-12-19,400.069
2001-12-20,394.896
2001-12-21,400.028
2001-12-24,396.037
2001-12-25,396.037
2001-12-26,396.375
2001-12-27,406.58
2001-12-28,405.256
2001-12-31,409.209
2002-01-01,409.209
2002-01-02,411.071
2002-01-03,417.544
2002-01-04,412.966
2002-01-07,408.006
2002-01-08,410.563
2002-01-09,410.17
2002-01-10,403.315
2002-01-11,405.56
2002-01-14,397.197
2002-01-15,400.979
2002-01-16,392.637
2002-01-17,396.98
2002-01-18,399.589
2002-01-21,395.822
2002-01-22,397.663
2002-01-23,399.058
2002-01-24,398.822
2002-01-25,395.106
2002-01-28,398.087
2002-01-29,394.14
2002-01-30,391.399
2002-01-31,392.172
2002-02-01,391.852
2002-02-04,387.746
2002-02-05,382.281
2002-02-06,375.9
2002-02-07,378.146
2002-02-08,381.032
2002-02-11,382.06
2002-02-12,377.438
2002-02-13,382.441
2002-02-14,385.744
2002-02-15,382.247
2002-02-18,379.092
2002-02-19,372.926
2002-02-20,371.143
2002-02-21,375.633
2002-02-22,376.151
2002-02-25,378.691
2002-02-26,379.747
2002-02-27,389.942
2002-02-28,391.181
2002-03-01,394.013
2002-03-04,403.485
2002-03-05,402.082
2002-03-06,408.104
2002-03-07,409.013
2002-03-08,411.686
2002-03-11,408.47
2002-03-12,404.592
2002-03-13,409.068
2002-03-14,413.49
2002-03-15,416.39
2002-03-18,413.555
2002-03-19,418.529
2002-03-20,416.369
2002-03-21,416.565
2002-03-22,416.622
2002-03-25,411.462
2002-03-26,413.696
2002-03-27,410.279
2002-03-28,416.414
2002-03-29,416.414
2002-04-01,419.827
2002-04-02,419.0
2002-04-03,420.751
2002-04-04,416.932
2002-04-05,415.718
2002-04-08,404.73
2002-04-09,407.452
2002-04-10,413.554
2002-04-11,409.267
2002-04-12,409.248
2002-04-15,411.244
2002-04-16,422.688
2002-04-17,423.136
2002-04-18,423.205
2002-04-19,424.445
2002-04-22,421.192
2002-04-23,421.044
2002-04-24,422.5
2002-04-25,419.701
2002-04-26,417.471
2002-04-29,419.123
2002-04-30,417.014
2002-05-01,419.374
2002-05-02,409.39
2002-05-03,411.3
2002-05-06,413.151
2002-05-07,409.799
2002-05-08,415.732
2002-05-09,410.533
2002-05-10,407.046
2002-05-13,413.174
2002-05-14,415.099
2002-05-15,417.718
2002-05-16,418.008
2002-05-17,421.387
2002-05-20,416.82
2002-05-21,416.044
2002-05-22,416.724
2002-05-23,413.647
2002-05-24,412.774
2002-05-27,412.728
2002-05-28,416.505
2002-05-29,417.57
2002-05-30,414.169
2002-05-31,410.713
2002-06-03,408.59
2002-06-04,401.749
2002-06-05,398.59
2002-06-06,399.85
2002-06-07,398.34
2002-06-10,400.414
2002-06-11,410.428
2002-06-12,406.125
2002-06-13,399.047
2002-06-14,393.097
2002-06-17,405.088
2002-06-18,408.26
2002-06-19,407.649
2002-06-20,401.844
2002-06-21,403.498
2002-06-24,400.691
2002-06-25,403.781
2002-06-26,411.64
2002-06-27,405.172
2002-06-28,420.091
2002-07-01,423.169
2002-07-02,409.922
2002-07-03,400.097
2002-07-04,403.566
2002-07-05,417.44
2002-07-08,421.527
2002-07-09,421.993
2002-07-10,411.872
2002-07-11,399.387
2002-07-12,395.71
2002-07-15,382.336
2002-07-16,386.22
2002-07-17,390.111
2002-07-18,397.422
2002-07-19,383.348
2002-07-22,364.875
2002-07-23,354.468
2002-07-24,352.892
2002-07-25,365.945
2002-07-26,362.346
2002-07-29,375.592
2002-07-30,381.468
2002-07-31,382.441
2002-08-01,370.525
2002-08-02,371.466
2002-08-05,366.973
2002-08-06,372.061
2002-08-07,371.15
2002-08-08,381.944
2002-08-09,388.734
2002-08-12,384.179
2002-08-13,389.297
2002-08-14,380.186
2002-08-15,377.355
2002-08-16,391.856
2002-08-19,400.769
2002-08-20,396.303
2002-08-21,400.439
2002-08-22,400.092
2002-08-23,396.406
2002-08-26,395.032
2002-08-27,409.187
2002-08-28,393.693
2002-08-29,385.349
2002-08-30,388.225
2002-09-02,382.969
2002-09-03,373.893
2002-09-04,378.847
2002-09-05,376.243
2002-09-06,382.95
2002-09-09,374.178
2002-09-10,382.74
2002-09-11,387.038
2002-09-12,376.147
2002-09-13,370.944
2002-09-16,370.612
2002-09-17,366.403
2002-09-18,357.899
2002-09-19,353.648
2002-09-20,347.117
2002-09-23,330.882
2002-09-24,331.007
2002-09-25,337.039
2002-09-26,347.332
2002-09-27,345.11
2002-09-30,334.746
2002-10-01,336.252
2002-10-02,344.772
2002-10-03,346.463
2002-10-04,335.601
2002-10-07,336.164
2002-10-08,328.732
2002-10-09,329.5
2002-10-10,338.857
2002-10-11,349.071
