Date,ITALY LARGE CAP Large Cap
1994-05-31,270.918
1994-06-30,251.149
1994-07-29,265.173
1994-08-31,258.586
1994-09-30,258.775
1994-10-31,245.34
1994-11-30,228.865
1994-12-30,231.836
1995-01-31,246.981
1995-02-28,222.794
1995-03-31,209.701
1995-04-28,233.121
1995-05-31,233.998
1995-06-30,227.136
1995-07-31,248.848
1995-08-31,242.609
1995-09-29,239.807
1995-10-31,226.853
1995-11-30,216.268
1995-12-29,234.619
1996-01-31,247.0
1996-02-29,243.654
1996-03-29,231.357
1996-04-30,268.234
1996-05-31,274.26
1996-06-28,277.312
1996-07-31,256.255
1996-08-30,253.98
1996-09-30,276.366
1996-10-31,261.892
1996-11-29,285.991
1996-12-31,286.201
1997-01-31,319.269
1997-02-28,284.71
1997-03-31,290.682
1997-04-30,297.646
1997-05-30,297.897
1997-06-30,329.715
1997-07-31,349.743
1997-08-29,338.271
1997-09-30,385.949
1997-10-31,360.471
1997-11-28,369.541
1997-12-31,395.072
1998-01-30,431.821
1998-02-27,447.69
1998-03-31,534.071
1998-04-30,522.327
1998-05-29,553.628
1998-06-30,528.925
1998-07-31,583.925
1998-08-31,502.933
1998-09-30,473.775
1998-10-30,500.496
1998-11-30,553.328
1998-12-31,596.462
1999-01-29,570.691
1999-02-26,568.892
1999-03-31,587.242
1999-04-30,570.916
1999-05-31,541.654
1999-06-30,530.576
1999-07-30,512.824
1999-08-31,524.941
1999-09-30,529.272
1999-10-29,510.805
1999-11-30,520.549
1999-12-31,590.302
2000-01-31,566.853
2000-02-29,628.412
2000-03-31,586.67
2000-04-28,548.603
2000-05-31,564.469
2000-06-30,596.258
2000-07-31,574.055
2000-08-31,568.932
2000-09-29,535.75
2000-10-31,538.195
2000-11-30,543.183
2000-12-29,550.505
2001-01-31,565.609
2001-02-28,503.716
2001-03-30,470.311
2001-04-30,499.362
2001-05-31,454.221
2001-06-29,437.206
2001-07-31,449.564
2001-08-31,443.142
2001-09-28,377.294
2001-10-31,392.577
2001-11-30,401.751
2001-12-31,409.209
2002-01-31,392.172
2002-02-28,391.181
2002-03-29,416.414
2002-04-30,417.014
2002-05-31,410.713
2002-06-28,420.091
2002-07-31,382.441
