Date,EM (EMERGING MARKETS) LARGE GROWTH Large Cap
1994-05-31,523.303
1994-06-30,509.83
1994-07-29,546.087
1994-08-31,625.737
1994-09-30,634.543
1994-10-31,632.773
1994-11-30,592.379
1994-12-30,561.07
1995-01-31,519.737
1995-02-28,518.082
1995-03-31,500.375
1995-04-28,510.854
1995-05-31,555.08
1995-06-30,548.434
1995-07-31,560.238
1995-08-31,546.076
1995-09-29,542.553
1995-10-31,525.852
1995-11-30,514.396
1995-12-29,541.901
1996-01-31,581.162
1996-02-29,566.329
1996-03-29,566.501
1996-04-30,583.215
1996-05-31,586.302
1996-06-28,586.924
1996-07-31,542.238
1996-08-30,559.092
1996-09-30,567.004
1996-10-31,548.149
1996-11-29,556.698
1996-12-31,561.272
1997-01-31,596.88
1997-02-28,620.44
1997-03-31,602.587
1997-04-30,590.039
1997-05-30,608.189
1997-06-30,649.654
1997-07-31,659.633
1997-08-29,566.541
1997-09-30,577.231
1997-10-31,475.293
1997-11-28,461.629
1997-12-31,467.027
1998-01-30,435.889
1998-02-27,483.97
1998-03-31,494.179
1998-04-30,488.945
1998-05-29,417.6
1998-06-30,374.195
1998-07-31,388.576
1998-08-31,268.686
1998-09-30,277.819
1998-10-30,307.892
1998-11-30,325.277
1998-12-31,309.99
1999-01-29,293.256
1999-02-26,296.27
1999-03-31,336.582
1999-04-30,371.66
1999-05-31,368.505
1999-06-30,418.492
1999-07-30,416.113
1999-08-31,413.628
1999-09-30,395.757
1999-10-29,410.137
1999-11-30,460.327
1999-12-31,569.201
2000-01-31,551.782
2000-02-29,578.981
2000-03-31,581.441
2000-04-28,507.045
2000-05-31,483.976
2000-06-30,516.658
2000-07-31,473.478
2000-08-31,482.546
2000-09-29,433.818
2000-10-31,405.036
2000-11-30,363.977
2000-12-29,365.938
2001-01-31,418.583
2001-02-28,372.778
2001-03-30,326.411
2001-04-30,348.189
2001-05-31,345.977
2001-06-29,336.458
2001-07-31,317.75
2001-08-31,300.481
2001-09-28,249.286
2001-10-31,270.144
2001-11-30,302.444
2001-12-31,333.506
2002-01-31,334.649
2002-02-28,335.684
2002-03-29,355.139
2002-04-30,353.085
2002-05-31,342.759
2002-06-28,312.435
2002-07-31,281.285
2002-08-30,288.559
2002-09-30,256.797
2002-10-31,278.272
2002-11-29,297.094
2002-12-31,280.508
2003-01-31,276.453
2003-02-28,266.366
2003-03-31,259.219
2003-04-30,280.761
2003-05-30,301.247
2003-06-30,319.202
2003-07-31,339.54
2003-08-29,364.906
2003-09-30,366.301
2003-10-31,391.513
2003-11-28,391.936
2003-12-31,412.941
2004-01-30,432.127
2004-02-27,449.919
2004-03-31,451.295
2004-04-30,413.235
2004-05-31,412.372
2004-06-30,405.736
2004-07-30,391.364
2004-08-31,411.203
2004-09-30,432.257
2004-10-29,440.838
2004-11-30,480.122
2004-12-31,502.794
2005-01-31,507.18
2005-02-28,548.21
2005-03-31,513.031
2005-04-29,497.086
2005-05-31,522.538
2005-06-30,537.963
2005-07-29,576.325
2005-08-31,581.644
2005-09-30,636.172
2005-10-31,599.578
2005-11-30,651.073
2005-12-30,693.266
2006-01-31,773.502
2006-02-28,767.169
2006-03-31,769.353
2006-04-28,822.278
2006-05-31,735.476
2006-06-30,736.534
2006-07-31,747.612
2006-08-31,776.866
2006-09-29,781.54
2006-10-31,811.133
2006-11-30,871.142
2006-12-29,913.454
2007-01-31,906.107
2007-02-28,896.583
2007-03-30,925.632
2007-04-30,974.797
2007-05-31,1000.0
2007-06-29,1047.329
2007-07-31,1107.026
2007-08-31,1080.131
2007-09-28,1202.139
2007-10-31,1332.51
2007-11-30,1237.351
2007-12-31,1231.43
2008-01-31,1053.659
2008-02-29,1149.513
2008-03-31,1087.749
2008-04-30,1172.889
2008-05-30,1209.457
2008-06-30,1086.146
2008-07-31,1037.036
2008-08-29,946.158
2008-09-30,777.012
2008-10-31,566.101
2008-11-28,518.137
2008-12-31,554.368
2009-01-30,523.172
2009-02-27,500.152
2009-03-31,568.07
2009-04-30,653.583
2009-05-29,761.16
2009-06-30,747.1
2009-07-31,829.828
2009-08-31,826.637
2009-09-30,900.927
2009-10-30,899.507
2009-11-30,941.064
2009-12-31,976.915
2010-01-29,920.46
2010-02-26,923.78
2010-03-31,1005.847
2010-04-30,1016.488
2010-05-31,925.493
2010-06-30,911.786
2010-07-30,991.484
2010-08-31,974.618
2010-09-30,1086.204
2010-10-29,1120.113
2010-11-30,1093.863
2010-12-31,1174.307
2011-01-31,1138.661
2011-02-28,1125.148
2011-03-31,1193.211
2011-04-29,1238.714
2011-05-31,1207.397
2011-06-30,1187.55
2011-07-29,1184.353
2011-08-31,1072.977
2011-09-30,912.135
2011-10-31,1040.41
2011-11-30,970.72
2011-12-30,960.728
2012-01-31,1050.234
2012-02-29,1116.592
2012-03-30,1091.986
2012-04-30,1094.625
2012-05-31,967.974
2012-06-29,1005.545
2012-07-31,1033.826
2012-08-31,1029.644
2012-09-28,1090.619
2012-10-31,1087.852
2012-11-30,1116.07
2012-12-31,1163.185
2013-01-31,1178.901
2013-02-28,1171.605
2013-03-29,1153.732
2013-04-30,1169.568
2013-05-31,1148.454
2013-06-28,1081.136
2013-07-31,1081.045
2013-08-30,1062.475
2013-09-30,1131.909
2013-10-31,1196.312
2013-11-29,1185.726
2013-12-31,1167.306
2014-01-31,1092.398
2014-02-28,1142.114
2014-03-31,1163.883
2014-04-30,1163.001
2014-05-30,1207.502
2014-06-30,1235.642
2014-07-31,1251.592
2014-08-29,1276.362
2014-09-30,1189.297
2014-10-31,1218.225
2014-11-28,1217.025
2014-12-31,1166.485
2015-01-30,1186.536
2015-02-27,1222.032
2015-03-31,1212.195
2015-04-30,1282.809
2015-05-29,1236.213
2015-06-30,1205.127
2015-07-31,1119.429
2015-08-31,1022.935
2015-09-30,997.408
2015-10-30,1072.208
2015-11-30,1044.935
2015-12-31,1025.694
2016-01-29,956.095
2016-02-29,949.85
2016-03-31,1064.197
2016-04-29,1058.957
2016-05-31,1044.308
2016-06-30,1084.358
2016-07-29,1135.196
2016-08-31,1175.361
2016-09-30,1199.66
2016-10-31,1185.958
2016-11-30,1119.54
2016-12-30,1117.743
2017-01-31,1190.58
2017-02-28,1216.809
2017-03-31,1258.552
2017-04-28,1305.575
2017-05-31,1356.41
2017-06-30,1388.732
2017-07-31,1484.347
2017-08-31,1518.754
2017-09-29,1537.4
2017-10-31,1602.974
2017-11-30,1617.943
2017-12-29,1659.76
2018-01-31,1795.239
2018-02-28,1713.402
2018-03-30,1676.139
2018-04-30,1644.899
2018-05-31,1608.077
2018-06-29,1562.857
2018-07-31,1570.938
2018-08-31,1516.708
2018-09-28,1476.193
2018-10-31,1321.559
2018-11-30,1390.773
2018-12-31,1343.346
2019-01-31,1477.158
2019-02-28,1491.367
2019-03-29,1518.999
2019-04-30,1567.084
2019-05-31,1412.713
2019-06-28,1518.241
2019-07-31,1525.133
2019-08-30,1468.861
2019-09-30,1494.548
2019-10-31,1569.302
2019-11-29,1581.597
2019-12-31,1707.788
2020-01-31,1662.511
2020-02-28,1604.836
2020-03-31,1409.13
2020-04-30,1536.002
2020-05-29,1555.477
2020-06-30,1706.585
2020-07-31,1903.547
2020-08-31,1975.617
2020-09-30,1962.247
2020-10-30,2043.296
2020-11-30,2163.592
2020-12-31,2291.15
2021-01-29,2433.691
2021-02-26,2405.259
2021-03-31,2310.234
2021-04-30,2365.487
2021-05-31,2375.401
2021-06-30,2387.349
2021-07-30,2170.725
2021-08-31,2223.39
2021-09-30,2115.827
2021-10-29,2156.529
2021-11-30,2063.304
2021-12-31,2069.1
2022-01-31,2016.591
2022-02-28,1919.068
2022-03-31,1842.851
2022-04-29,1749.18
2022-05-31,1746.277
2022-06-30,1632.054
2022-07-29,1636.237
2022-08-31,1647.133
2022-09-30,1429.353
2022-10-31,1349.241
2022-11-30,1584.339
2022-12-30,1564.524
2023-01-31,1709.304
2023-02-28,1570.086
2023-03-31,1631.999
2023-04-28,1577.614
2023-05-31,1555.593
2023-06-30,1610.297
2023-07-31,1706.944
