Date,EM (EMERGING MARKETS) LARGE GROWTH Large Cap
1994-05-31,534.168
1994-06-30,520.393
1994-07-29,557.293
1994-08-31,638.542
1994-09-30,647.501
1994-10-31,645.627
1994-11-30,604.372
1994-12-30,572.249
1995-01-31,529.97
1995-02-28,528.214
1995-03-31,510.111
1995-04-28,520.756
1995-05-31,565.733
1995-06-30,558.948
1995-07-31,570.891
1995-08-31,556.428
1995-09-29,552.78
1995-10-31,535.734
1995-11-30,524.042
1995-12-29,551.929
1996-01-31,591.847
1996-02-29,576.732
1996-03-29,576.872
1996-04-30,593.841
1996-05-31,596.869
1996-06-28,597.474
1996-07-31,551.942
1996-08-30,569.061
1996-09-30,577.1
1996-10-31,557.89
1996-11-29,566.55
1996-12-31,571.159
1997-01-31,607.312
1997-02-28,631.242
1997-03-31,613.014
1997-04-30,600.202
1997-05-30,618.482
1997-06-30,660.608
1997-07-31,670.71
1997-08-29,576.019
1997-09-30,586.863
1997-10-31,483.185
1997-11-28,469.263
1997-12-31,474.687
1998-01-30,443.005
1998-02-27,491.795
1998-03-31,502.16
1998-04-30,496.838
1998-05-29,424.231
1998-06-30,380.118
1998-07-31,394.706
1998-08-31,272.906
1998-09-30,282.178
1998-10-30,312.709
1998-11-30,330.32
1998-12-31,314.73
1999-01-29,297.701
1999-02-26,300.751
1999-03-31,341.633
1999-04-30,377.183
1999-05-31,373.883
1999-06-30,424.546
1999-07-30,422.108
1999-08-31,419.571
1999-09-30,401.431
1999-10-29,416.017
1999-11-30,466.92
1999-12-31,577.326
2000-01-31,559.574
2000-02-29,587.154
2000-03-31,589.612
2000-04-28,514.147
2000-05-31,490.702
2000-06-30,523.82
2000-07-31,479.978
2000-08-31,489.169
2000-09-29,439.77
2000-10-31,410.584
2000-11-30,368.952
2000-12-29,370.939
2001-01-31,424.297
2001-02-28,377.843
2001-03-30,330.798
2001-04-30,352.849
2001-05-31,350.571
2001-06-29,340.904
2001-07-31,321.863
2001-08-31,304.342
2001-09-28,252.484
2001-10-31,273.606
2001-11-30,306.301
2001-12-31,337.756
2002-01-31,338.87
2002-02-28,339.887
2002-03-29,359.579
2002-04-30,357.466
2002-05-31,346.921
2002-06-28,316.165
2002-07-31,284.592
2002-08-30,291.949
2002-09-30,259.81
2002-10-31,281.58
2002-11-29,300.624
2002-12-31,283.831
